context: Chaos response:	SHOGI HALL
context: Chaos\SHOGI HALL response:	Why?!
context: Chaos\SHOGI HALL\Why?! response:	Unbelievable!
context: Chaos\SHOGI HALL\Why?!\Unbelievable! response:	B BLOCK
context: Chaos\SHOGI HALL\Why?!\Unbelievable!\B BLOCK response:	FINALS
context: Chaos\SHOGI HALL\Why?!\Unbelievable!\B BLOCK\FINALS response:	A BLOCK
context: Chaos\SHOGI HALL\Why?!\Unbelievable!\B BLOCK\FINALS\A BLOCK response:	I clawed my way up to C-1, the same as you,
context: Chaos\SHOGI HALL\Why?!\Unbelievable!\B BLOCK\FINALS\A BLOCK\I clawed my way up to C-1, the same as you, response:	driven by desperation and thoughts of the day I would play against you.
context: SHOGI HALL\Why?!\Unbelievable!\B BLOCK\FINALS\A BLOCK\I clawed my way up to C-1, the same as you,\driven by desperation and thoughts of the day I would play against you. response:	TREMBLE TREMBLE
context: Why?!\Unbelievable!\B BLOCK\FINALS\A BLOCK\I clawed my way up to C-1, the same as you,\driven by desperation and thoughts of the day I would play against you.\TREMBLE TREMBLE response:	So why can't we play against each other?
context: Unbelievable!\B BLOCK\FINALS\A BLOCK\I clawed my way up to C-1, the same as you,\driven by desperation and thoughts of the day I would play against you.\TREMBLE TREMBLE\So why can't we play against each other? response:	ZA-BAM
context: B BLOCK\FINALS\A BLOCK\I clawed my way up to C-1, the same as you,\driven by desperation and thoughts of the day I would play against you.\TREMBLE TREMBLE\So why can't we play against each other?\ZA-BAM response:	Are you being shy, Kiriyama?!
context: FINALS\A BLOCK\I clawed my way up to C-1, the same as you,\driven by desperation and thoughts of the day I would play against you.\TREMBLE TREMBLE\So why can't we play against each other?\ZA-BAM\Are you being shy, Kiriyama?! response:	Ugh, so noisy.
context: A BLOCK\I clawed my way up to C-1, the same as you,\driven by desperation and thoughts of the day I would play against you.\TREMBLE TREMBLE\So why can't we play against each other?\ZA-BAM\Are you being shy, Kiriyama?!\Ugh, so noisy. response:	Why does he blame me?
context: I clawed my way up to C-1, the same as you,\driven by desperation and thoughts of the day I would play against you.\TREMBLE TREMBLE\So why can't we play against each other?\ZA-BAM\Are you being shy, Kiriyama?!\Ugh, so noisy.\Why does he blame me? response:	BRISK WALKING
context: driven by desperation and thoughts of the day I would play against you.\TREMBLE TREMBLE\So why can't we play against each other?\ZA-BAM\Are you being shy, Kiriyama?!\Ugh, so noisy.\Why does he blame me?\BRISK WALKING response:	We had more matches together at the kids' tournaments back in elementary school!
