context: Does the phrase, Zawsze in love ring a bell? response:	Wait, how do you know about that?
context: Does the phrase, Zawsze in love ring a bell?\Wait, how do you know about that? response:	So you have,
context: Does the phrase, Zawsze in love ring a bell?\Wait, how do you know about that?\So you have, response:	haven't you?
context: Does the phrase, Zawsze in love ring a bell?\Wait, how do you know about that?\So you have,\haven't you? response:	What's going on here?
context: Does the phrase, Zawsze in love ring a bell?\Wait, how do you know about that?\So you have,\haven't you?\What's going on here? response:	I mean, those are the same words from when that girl and I made our promise.
context: Does the phrase, Zawsze in love ring a bell?\Wait, how do you know about that?\So you have,\haven't you?\What's going on here?\I mean, those are the same words from when that girl and I made our promise. response:	The other day, I found my old diary, and it made me remember all kinds of things.
context: Does the phrase, Zawsze in love ring a bell?\Wait, how do you know about that?\So you have,\haven't you?\What's going on here?\I mean, those are the same words from when that girl and I made our promise.\The other day, I found my old diary, and it made me remember all kinds of things. response:	Ten years ago, I met a certain boy,
context: Does the phrase, Zawsze in love ring a bell?\Wait, how do you know about that?\So you have,\haven't you?\What's going on here?\I mean, those are the same words from when that girl and I made our promise.\The other day, I found my old diary, and it made me remember all kinds of things.\Ten years ago, I met a certain boy, response:	and we played together all summer long, becoming close friends.
context: Wait, how do you know about that?\So you have,\haven't you?\What's going on here?\I mean, those are the same words from when that girl and I made our promise.\The other day, I found my old diary, and it made me remember all kinds of things.\Ten years ago, I met a certain boy,\and we played together all summer long, becoming close friends. response:	And when it came time to part ways,
context: So you have,\haven't you?\What's going on here?\I mean, those are the same words from when that girl and I made our promise.\The other day, I found my old diary, and it made me remember all kinds of things.\Ten years ago, I met a certain boy,\and we played together all summer long, becoming close friends.\And when it came time to part ways, response:	I made some kind of promise with him.
context: haven't you?\What's going on here?\I mean, those are the same words from when that girl and I made our promise.\The other day, I found my old diary, and it made me remember all kinds of things.\Ten years ago, I met a certain boy,\and we played together all summer long, becoming close friends.\And when it came time to part ways,\I made some kind of promise with him. response:	But that's exactly like my own memory.
context: What's going on here?\I mean, those are the same words from when that girl and I made our promise.\The other day, I found my old diary, and it made me remember all kinds of things.\Ten years ago, I met a certain boy,\and we played together all summer long, becoming close friends.\And when it came time to part ways,\I made some kind of promise with him.\But that's exactly like my own memory. response:	No, it's the same as Onodera's...
context: I mean, those are the same words from when that girl and I made our promise.\The other day, I found my old diary, and it made me remember all kinds of things.\Ten years ago, I met a certain boy,\and we played together all summer long, becoming close friends.\And when it came time to part ways,\I made some kind of promise with him.\But that's exactly like my own memory.\No, it's the same as Onodera's... response:	I don't remember his name or what he looked like anymore,
context: The other day, I found my old diary, and it made me remember all kinds of things.\Ten years ago, I met a certain boy,\and we played together all summer long, becoming close friends.\And when it came time to part ways,\I made some kind of promise with him.\But that's exactly like my own memory.\No, it's the same as Onodera's...\I don't remember his name or what he looked like anymore, response:	but what I do remember are those words.
context: Ten years ago, I met a certain boy,\and we played together all summer long, becoming close friends.\And when it came time to part ways,\I made some kind of promise with him.\But that's exactly like my own memory.\No, it's the same as Onodera's...\I don't remember his name or what he looked like anymore,\but what I do remember are those words. response:	Oh, and another thing This was stuck inside my diary.
context: and we played together all summer long, becoming close friends.\And when it came time to part ways,\I made some kind of promise with him.\But that's exactly like my own memory.\No, it's the same as Onodera's...\I don't remember his name or what he looked like anymore,\but what I do remember are those words.\Oh, and another thing This was stuck inside my diary. response:	That key!
context: And when it came time to part ways,\I made some kind of promise with him.\But that's exactly like my own memory.\No, it's the same as Onodera's...\I don't remember his name or what he looked like anymore,\but what I do remember are those words.\Oh, and another thing This was stuck inside my diary.\That key! response:	You recognize it?
context: I made some kind of promise with him.\But that's exactly like my own memory.\No, it's the same as Onodera's...\I don't remember his name or what he looked like anymore,\but what I do remember are those words.\Oh, and another thing This was stuck inside my diary.\That key!\You recognize it? response:	Uh, no...
context: But that's exactly like my own memory.\No, it's the same as Onodera's...\I don't remember his name or what he looked like anymore,\but what I do remember are those words.\Oh, and another thing This was stuck inside my diary.\That key!\You recognize it?\Uh, no... response:	I admit that it did seem familiar at first glance.
context: No, it's the same as Onodera's...\I don't remember his name or what he looked like anymore,\but what I do remember are those words.\Oh, and another thing This was stuck inside my diary.\That key!\You recognize it?\Uh, no...\I admit that it did seem familiar at first glance. response:	But it can't be...
context: I don't remember his name or what he looked like anymore,\but what I do remember are those words.\Oh, and another thing This was stuck inside my diary.\That key!\You recognize it?\Uh, no...\I admit that it did seem familiar at first glance.\But it can't be... response:	Onodera is supposed to be the girl.
context: but what I do remember are those words.\Oh, and another thing This was stuck inside my diary.\That key!\You recognize it?\Uh, no...\I admit that it did seem familiar at first glance.\But it can't be...\Onodera is supposed to be the girl. response:	But Chitoge's got a key too,
context: Oh, and another thing This was stuck inside my diary.\That key!\You recognize it?\Uh, no...\I admit that it did seem familiar at first glance.\But it can't be...\Onodera is supposed to be the girl.\But Chitoge's got a key too, response:	and she knows that phrase!
context: That key!\You recognize it?\Uh, no...\I admit that it did seem familiar at first glance.\But it can't be...\Onodera is supposed to be the girl.\But Chitoge's got a key too,\and she knows that phrase! response:	I made a promise with the girl that I met all those years ago.
context: You recognize it?\Uh, no...\I admit that it did seem familiar at first glance.\But it can't be...\Onodera is supposed to be the girl.\But Chitoge's got a key too,\and she knows that phrase!\I made a promise with the girl that I met all those years ago. response:	That we would open up this locket together when we were reunited.
context: Uh, no...\I admit that it did seem familiar at first glance.\But it can't be...\Onodera is supposed to be the girl.\But Chitoge's got a key too,\and she knows that phrase!\I made a promise with the girl that I met all those years ago.\That we would open up this locket together when we were reunited. response:	So if she still remembers our promise, then she'd have the key for sure.
context: I admit that it did seem familiar at first glance.\But it can't be...\Onodera is supposed to be the girl.\But Chitoge's got a key too,\and she knows that phrase!\I made a promise with the girl that I met all those years ago.\That we would open up this locket together when we were reunited.\So if she still remembers our promise, then she'd have the key for sure. response:	Are you saying my key's...
context: But it can't be...\Onodera is supposed to be the girl.\But Chitoge's got a key too,\and she knows that phrase!\I made a promise with the girl that I met all those years ago.\That we would open up this locket together when we were reunited.\So if she still remembers our promise, then she'd have the key for sure.\Are you saying my key's... response:	Episode 12: Confirmation
