context: Hm? response:	You got it?
context: Hm?\You got it? response:	What, how lame.
context: Hm?\You got it?\What, how lame. response:	You can't, huh.
context: Hm?\You got it?\What, how lame.\You can't, huh. response:	It makes sense to you.
context: Hm?\You got it?\What, how lame.\You can't, huh.\It makes sense to you. response:	Really?
context: Hm?\You got it?\What, how lame.\You can't, huh.\It makes sense to you.\Really? response:	It's fine, I guess.
context: Hm?\You got it?\What, how lame.\You can't, huh.\It makes sense to you.\Really?\It's fine, I guess. response:	But yeah... to the kobolds, we're invaders.
context: Hm?\You got it?\What, how lame.\You can't, huh.\It makes sense to you.\Really?\It's fine, I guess.\But yeah... to the kobolds, we're invaders. response:	Should I get'em? It'll be nice and quick.
context: You got it?\What, how lame.\You can't, huh.\It makes sense to you.\Really?\It's fine, I guess.\But yeah... to the kobolds, we're invaders.\Should I get'em? It'll be nice and quick. response:	What's that supposed to mean?
context: What, how lame.\You can't, huh.\It makes sense to you.\Really?\It's fine, I guess.\But yeah... to the kobolds, we're invaders.\Should I get'em? It'll be nice and quick.\What's that supposed to mean? response:	Is that why you
context: You can't, huh.\It makes sense to you.\Really?\It's fine, I guess.\But yeah... to the kobolds, we're invaders.\Should I get'em? It'll be nice and quick.\What's that supposed to mean?\Is that why you response:	Ergh, Haruhiro, you bastard!
context: It makes sense to you.\Really?\It's fine, I guess.\But yeah... to the kobolds, we're invaders.\Should I get'em? It'll be nice and quick.\What's that supposed to mean?\Is that why you\Ergh, Haruhiro, you bastard! response:	Ranta, it's you?!
context: Really?\It's fine, I guess.\But yeah... to the kobolds, we're invaders.\Should I get'em? It'll be nice and quick.\What's that supposed to mean?\Is that why you\Ergh, Haruhiro, you bastard!\Ranta, it's you?! response:	Watch where you're going!
context: It's fine, I guess.\But yeah... to the kobolds, we're invaders.\Should I get'em? It'll be nice and quick.\What's that supposed to mean?\Is that why you\Ergh, Haruhiro, you bastard!\Ranta, it's you?!\Watch where you're going! response:	You should, too!
context: But yeah... to the kobolds, we're invaders.\Should I get'em? It'll be nice and quick.\What's that supposed to mean?\Is that why you\Ergh, Haruhiro, you bastard!\Ranta, it's you?!\Watch where you're going!\You should, too! response:	Thanks!
context: Should I get'em? It'll be nice and quick.\What's that supposed to mean?\Is that why you\Ergh, Haruhiro, you bastard!\Ranta, it's you?!\Watch where you're going!\You should, too!\Thanks! response:	There!
context: What's that supposed to mean?\Is that why you\Ergh, Haruhiro, you bastard!\Ranta, it's you?!\Watch where you're going!\You should, too!\Thanks!\There! response:	This is Yume's new skill, Star Strike.
context: Is that why you\Ergh, Haruhiro, you bastard!\Ranta, it's you?!\Watch where you're going!\You should, too!\Thanks!\There!\This is Yume's new skill, Star Strike. response:	I'm fine!
context: Ergh, Haruhiro, you bastard!\Ranta, it's you?!\Watch where you're going!\You should, too!\Thanks!\There!\This is Yume's new skill, Star Strike.\I'm fine! response:	Go help that idiot Haruhiro.
context: Ranta, it's you?!\Watch where you're going!\You should, too!\Thanks!\There!\This is Yume's new skill, Star Strike.\I'm fine!\Go help that idiot Haruhiro. response:	Who are you calling idiot?!
context: Watch where you're going!\You should, too!\Thanks!\There!\This is Yume's new skill, Star Strike.\I'm fine!\Go help that idiot Haruhiro.\Who are you calling idiot?! response:	Now! Spider!
context: You should, too!\Thanks!\There!\This is Yume's new skill, Star Strike.\I'm fine!\Go help that idiot Haruhiro.\Who are you calling idiot?!\Now! Spider! response:	Stay back!
context: Thanks!\There!\This is Yume's new skill, Star Strike.\I'm fine!\Go help that idiot Haruhiro.\Who are you calling idiot?!\Now! Spider!\Stay back! response:	What?!
context: There!\This is Yume's new skill, Star Strike.\I'm fine!\Go help that idiot Haruhiro.\Who are you calling idiot?!\Now! Spider!\Stay back!\What?! response:	Exhaust!
context: This is Yume's new skill, Star Strike.\I'm fine!\Go help that idiot Haruhiro.\Who are you calling idiot?!\Now! Spider!\Stay back!\What?!\Exhaust! response:	Come forth Dark Skullhell!
context: I'm fine!\Go help that idiot Haruhiro.\Who are you calling idiot?!\Now! Spider!\Stay back!\What?!\Exhaust!\Come forth Dark Skullhell! response:	Cause limitless fear for those who don't obey!
context: Go help that idiot Haruhiro.\Who are you calling idiot?!\Now! Spider!\Stay back!\What?!\Exhaust!\Come forth Dark Skullhell!\Cause limitless fear for those who don't obey! response:	Dread Terror!
context: Who are you calling idiot?!\Now! Spider!\Stay back!\What?!\Exhaust!\Come forth Dark Skullhell!\Cause limitless fear for those who don't obey!\Dread Terror! response:	This causes fear, making the opponent unable to make clear decisions.
context: Now! Spider!\Stay back!\What?!\Exhaust!\Come forth Dark Skullhell!\Cause limitless fear for those who don't obey!\Dread Terror!\This causes fear, making the opponent unable to make clear decisions. response:	This is magic only a Dark Knight can cast.
context: Stay back!\What?!\Exhaust!\Come forth Dark Skullhell!\Cause limitless fear for those who don't obey!\Dread Terror!\This causes fear, making the opponent unable to make clear decisions.\This is magic only a Dark Knight can cast. response:	This isn't what it's supposed to do!
context: What?!\Exhaust!\Come forth Dark Skullhell!\Cause limitless fear for those who don't obey!\Dread Terror!\This causes fear, making the opponent unable to make clear decisions.\This is magic only a Dark Knight can cast.\This isn't what it's supposed to do! response:	Exhaust!
context: Exhaust!\Come forth Dark Skullhell!\Cause limitless fear for those who don't obey!\Dread Terror!\This causes fear, making the opponent unable to make clear decisions.\This is magic only a Dark Knight can cast.\This isn't what it's supposed to do!\Exhaust! response:	It does seem like it's confused.
context: Come forth Dark Skullhell!\Cause limitless fear for those who don't obey!\Dread Terror!\This causes fear, making the opponent unable to make clear decisions.\This is magic only a Dark Knight can cast.\This isn't what it's supposed to do!\Exhaust!\It does seem like it's confused. response:	Exhaust! Exhaust! Exhaust!
context: Cause limitless fear for those who don't obey!\Dread Terror!\This causes fear, making the opponent unable to make clear decisions.\This is magic only a Dark Knight can cast.\This isn't what it's supposed to do!\Exhaust!\It does seem like it's confused.\Exhaust! Exhaust! Exhaust! response:	Anger! Exhaust! Avoid! Exhaust!
context: Dread Terror!\This causes fear, making the opponent unable to make clear decisions.\This is magic only a Dark Knight can cast.\This isn't what it's supposed to do!\Exhaust!\It does seem like it's confused.\Exhaust! Exhaust! Exhaust!\Anger! Exhaust! Avoid! Exhaust! response:	Need a hand?
context: This causes fear, making the opponent unable to make clear decisions.\This is magic only a Dark Knight can cast.\This isn't what it's supposed to do!\Exhaust!\It does seem like it's confused.\Exhaust! Exhaust! Exhaust!\Anger! Exhaust! Avoid! Exhaust!\Need a hand? response:	Mind your own business!
context: This is magic only a Dark Knight can cast.\This isn't what it's supposed to do!\Exhaust!\It does seem like it's confused.\Exhaust! Exhaust! Exhaust!\Anger! Exhaust! Avoid! Exhaust!\Need a hand?\Mind your own business! response:	He's my prey!
context: This isn't what it's supposed to do!\Exhaust!\It does seem like it's confused.\Exhaust! Exhaust! Exhaust!\Anger! Exhaust! Avoid! Exhaust!\Need a hand?\Mind your own business!\He's my prey! response:	My rival!
context: Exhaust!\It does seem like it's confused.\Exhaust! Exhaust! Exhaust!\Anger! Exhaust! Avoid! Exhaust!\Need a hand?\Mind your own business!\He's my prey!\My rival! response:	Oh?
context: It does seem like it's confused.\Exhaust! Exhaust! Exhaust!\Anger! Exhaust! Avoid! Exhaust!\Need a hand?\Mind your own business!\He's my prey!\My rival!\Oh? response:	So it's his rival?
context: Exhaust! Exhaust! Exhaust!\Anger! Exhaust! Avoid! Exhaust!\Need a hand?\Mind your own business!\He's my prey!\My rival!\Oh?\So it's his rival? response:	I just wanna call it that!
context: Anger! Exhaust! Avoid! Exhaust!\Need a hand?\Mind your own business!\He's my prey!\My rival!\Oh?\So it's his rival?\I just wanna call it that! response:	Hatred!
context: Need a hand?\Mind your own business!\He's my prey!\My rival!\Oh?\So it's his rival?\I just wanna call it that!\Hatred! response:	All right, c'mon!
context: Mind your own business!\He's my prey!\My rival!\Oh?\So it's his rival?\I just wanna call it that!\Hatred!\All right, c'mon! response:	Die!
context: He's my prey!\My rival!\Oh?\So it's his rival?\I just wanna call it that!\Hatred!\All right, c'mon!\Die! response:	Repeating a yesterday filled with scrapes,
context: My rival!\Oh?\So it's his rival?\I just wanna call it that!\Hatred!\All right, c'mon!\Die!\Repeating a yesterday filled with scrapes, response:	We clear the path to a hopeful tomorrow.
context: Oh?\So it's his rival?\I just wanna call it that!\Hatred!\All right, c'mon!\Die!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow. response:	I wonder what remains
context: So it's his rival?\I just wanna call it that!\Hatred!\All right, c'mon!\Die!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains response:	in both these tiny hands?
context: I just wanna call it that!\Hatred!\All right, c'mon!\Die!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands? response:	The voice I raised upwards scattered into the air.
context: Hatred!\All right, c'mon!\Die!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air. response:	The reality I've gamed is hazy,
context: All right, c'mon!\Die!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy, response:	and even if I can't see ahead of me,
context: Die!\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me, response:	I can keep moving forward on this long road
context: Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road response:	if I'm with you.
context: We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you. response:	Connecting a bond covered in dust,
context: I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust, response:	We join back to back in the past and future.
context: in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future. response:	Repeating an answer full of mistakes,
context: The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes, response:	I will reach out my hands to seek the light, again and again.
context: The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again. response:	That's a talisman.
context: and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\That's a talisman. response:	A kobold's protective charm.
context: I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\That's a talisman.\A kobold's protective charm. response:	Every kobold has a talisman.
context: if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\That's a talisman.\A kobold's protective charm.\Every kobold has a talisman. response:	Ohhh...
context: Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\That's a talisman.\A kobold's protective charm.\Every kobold has a talisman.\Ohhh... response:	But this doesn't look like it's worth much.
