context: I have a reliable friend who can protect you in my stead. response:	You do?
context: I have a reliable friend who can protect you in my stead.\You do? response:	I am Ganba Red!
context: I have a reliable friend who can protect you in my stead.\You do?\I am Ganba Red! response:	How could I lose my sight at such a crucial moment?!
context: I have a reliable friend who can protect you in my stead.\You do?\I am Ganba Red!\How could I lose my sight at such a crucial moment?! response:	Is this it for me?!
context: I have a reliable friend who can protect you in my stead.\You do?\I am Ganba Red!\How could I lose my sight at such a crucial moment?!\Is this it for me?! response:	You can't give up!
context: I have a reliable friend who can protect you in my stead.\You do?\I am Ganba Red!\How could I lose my sight at such a crucial moment?!\Is this it for me?!\You can't give up! response:	We still have this.
context: I have a reliable friend who can protect you in my stead.\You do?\I am Ganba Red!\How could I lose my sight at such a crucial moment?!\Is this it for me?!\You can't give up!\We still have this. response:	Then we're not finished yet!
context: I have a reliable friend who can protect you in my stead.\You do?\I am Ganba Red!\How could I lose my sight at such a crucial moment?!\Is this it for me?!\You can't give up!\We still have this.\Then we're not finished yet! response:	Now is the time to release our power!
context: You do?\I am Ganba Red!\How could I lose my sight at such a crucial moment?!\Is this it for me?!\You can't give up!\We still have this.\Then we're not finished yet!\Now is the time to release our power! response:	Congratulations On Your Win!
context: I am Ganba Red!\How could I lose my sight at such a crucial moment?!\Is this it for me?!\You can't give up!\We still have this.\Then we're not finished yet!\Now is the time to release our power!\Congratulations On Your Win! response:	Shirahamazaka High's Tanaka Taichi
context: How could I lose my sight at such a crucial moment?!\Is this it for me?!\You can't give up!\We still have this.\Then we're not finished yet!\Now is the time to release our power!\Congratulations On Your Win!\Shirahamazaka High's Tanaka Taichi response:	This is the sword
context: Is this it for me?!\You can't give up!\We still have this.\Then we're not finished yet!\Now is the time to release our power!\Congratulations On Your Win!\Shirahamazaka High's Tanaka Taichi\This is the sword response:	that holds all of our hopes.
context: You can't give up!\We still have this.\Then we're not finished yet!\Now is the time to release our power!\Congratulations On Your Win!\Shirahamazaka High's Tanaka Taichi\This is the sword\that holds all of our hopes. response:	The nationals, huh?
context: We still have this.\Then we're not finished yet!\Now is the time to release our power!\Congratulations On Your Win!\Shirahamazaka High's Tanaka Taichi\This is the sword\that holds all of our hopes.\The nationals, huh? response:	The Eternal Holy Blade!
context: Then we're not finished yet!\Now is the time to release our power!\Congratulations On Your Win!\Shirahamazaka High's Tanaka Taichi\This is the sword\that holds all of our hopes.\The nationals, huh?\The Eternal Holy Blade! response:	Turn courage and tears into strength!
context: Now is the time to release our power!\Congratulations On Your Win!\Shirahamazaka High's Tanaka Taichi\This is the sword\that holds all of our hopes.\The nationals, huh?\The Eternal Holy Blade!\Turn courage and tears into strength! response:	Nervous?
context: Congratulations On Your Win!\Shirahamazaka High's Tanaka Taichi\This is the sword\that holds all of our hopes.\The nationals, huh?\The Eternal Holy Blade!\Turn courage and tears into strength!\Nervous? response:	No.
context: Shirahamazaka High's Tanaka Taichi\This is the sword\that holds all of our hopes.\The nationals, huh?\The Eternal Holy Blade!\Turn courage and tears into strength!\Nervous?\No. response:	I've imagined being here a million times.
context: This is the sword\that holds all of our hopes.\The nationals, huh?\The Eternal Holy Blade!\Turn courage and tears into strength!\Nervous?\No.\I've imagined being here a million times. response:	Now face your colossal foe!
context: that holds all of our hopes.\The nationals, huh?\The Eternal Holy Blade!\Turn courage and tears into strength!\Nervous?\No.\I've imagined being here a million times.\Now face your colossal foe! response:	That's so great.
context: The nationals, huh?\The Eternal Holy Blade!\Turn courage and tears into strength!\Nervous?\No.\I've imagined being here a million times.\Now face your colossal foe!\That's so great. response:	I'd love to stand on a grand stage someday.
context: The Eternal Holy Blade!\Turn courage and tears into strength!\Nervous?\No.\I've imagined being here a million times.\Now face your colossal foe!\That's so great.\I'd love to stand on a grand stage someday. response:	You mean for archery?
context: Turn courage and tears into strength!\Nervous?\No.\I've imagined being here a million times.\Now face your colossal foe!\That's so great.\I'd love to stand on a grand stage someday.\You mean for archery? response:	Forever! (Forever!) Forever! (Forever!)
context: Nervous?\No.\I've imagined being here a million times.\Now face your colossal foe!\That's so great.\I'd love to stand on a grand stage someday.\You mean for archery?\Forever! (Forever!) Forever! (Forever!) response:	No.
context: No.\I've imagined being here a million times.\Now face your colossal foe!\That's so great.\I'd love to stand on a grand stage someday.\You mean for archery?\Forever! (Forever!) Forever! (Forever!)\No. response:	It's horses for me.
context: I've imagined being here a million times.\Now face your colossal foe!\That's so great.\I'd love to stand on a grand stage someday.\You mean for archery?\Forever! (Forever!) Forever! (Forever!)\No.\It's horses for me. response:	Horses?
context: Now face your colossal foe!\That's so great.\I'd love to stand on a grand stage someday.\You mean for archery?\Forever! (Forever!) Forever! (Forever!)\No.\It's horses for me.\Horses? response:	I'd like to be a jockey.
context: That's so great.\I'd love to stand on a grand stage someday.\You mean for archery?\Forever! (Forever!) Forever! (Forever!)\No.\It's horses for me.\Horses?\I'd like to be a jockey. response:	I want to race to the finish ahead of the pack,
context: I'd love to stand on a grand stage someday.\You mean for archery?\Forever! (Forever!) Forever! (Forever!)\No.\It's horses for me.\Horses?\I'd like to be a jockey.\I want to race to the finish ahead of the pack, response:	on a horse running at breakneck speed.
context: You mean for archery?\Forever! (Forever!) Forever! (Forever!)\No.\It's horses for me.\Horses?\I'd like to be a jockey.\I want to race to the finish ahead of the pack,\on a horse running at breakneck speed. response:	That sounds cool.
context: Forever! (Forever!) Forever! (Forever!)\No.\It's horses for me.\Horses?\I'd like to be a jockey.\I want to race to the finish ahead of the pack,\on a horse running at breakneck speed.\That sounds cool. response:	Does it?
context: No.\It's horses for me.\Horses?\I'd like to be a jockey.\I want to race to the finish ahead of the pack,\on a horse running at breakneck speed.\That sounds cool.\Does it? response:	Hey! Put a sock in it, you guys.
context: It's horses for me.\Horses?\I'd like to be a jockey.\I want to race to the finish ahead of the pack,\on a horse running at breakneck speed.\That sounds cool.\Does it?\Hey! Put a sock in it, you guys. response:	And it's not time for congratulations yet.
context: Horses?\I'd like to be a jockey.\I want to race to the finish ahead of the pack,\on a horse running at breakneck speed.\That sounds cool.\Does it?\Hey! Put a sock in it, you guys.\And it's not time for congratulations yet. response:	This is only the first round!
context: I'd like to be a jockey.\I want to race to the finish ahead of the pack,\on a horse running at breakneck speed.\That sounds cool.\Does it?\Hey! Put a sock in it, you guys.\And it's not time for congratulations yet.\This is only the first round! response:	We're trying to put you in a champion's frame of mind!
context: I want to race to the finish ahead of the pack,\on a horse running at breakneck speed.\That sounds cool.\Does it?\Hey! Put a sock in it, you guys.\And it's not time for congratulations yet.\This is only the first round!\We're trying to put you in a champion's frame of mind! response:	Right?
context: on a horse running at breakneck speed.\That sounds cool.\Does it?\Hey! Put a sock in it, you guys.\And it's not time for congratulations yet.\This is only the first round!\We're trying to put you in a champion's frame of mind!\Right? response:	Darn right!
context: That sounds cool.\Does it?\Hey! Put a sock in it, you guys.\And it's not time for congratulations yet.\This is only the first round!\We're trying to put you in a champion's frame of mind!\Right?\Darn right! response:	Are you going to waste Wien's efforts?
context: Does it?\Hey! Put a sock in it, you guys.\And it's not time for congratulations yet.\This is only the first round!\We're trying to put you in a champion's frame of mind!\Right?\Darn right!\Are you going to waste Wien's efforts? response:	What's with your uppity attitude?
context: Hey! Put a sock in it, you guys.\And it's not time for congratulations yet.\This is only the first round!\We're trying to put you in a champion's frame of mind!\Right?\Darn right!\Are you going to waste Wien's efforts?\What's with your uppity attitude? response:	Wakana!
context: And it's not time for congratulations yet.\This is only the first round!\We're trying to put you in a champion's frame of mind!\Right?\Darn right!\Are you going to waste Wien's efforts?\What's with your uppity attitude?\Wakana! response:	Let's cheer him on together!
context: This is only the first round!\We're trying to put you in a champion's frame of mind!\Right?\Darn right!\Are you going to waste Wien's efforts?\What's with your uppity attitude?\Wakana!\Let's cheer him on together! response:	I brought you maracas.
context: We're trying to put you in a champion's frame of mind!\Right?\Darn right!\Are you going to waste Wien's efforts?\What's with your uppity attitude?\Wakana!\Let's cheer him on together!\I brought you maracas. response:	Now face your colossal foe!
context: Right?\Darn right!\Are you going to waste Wien's efforts?\What's with your uppity attitude?\Wakana!\Let's cheer him on together!\I brought you maracas.\Now face your colossal foe! response:	Go!
context: Darn right!\Are you going to waste Wien's efforts?\What's with your uppity attitude?\Wakana!\Let's cheer him on together!\I brought you maracas.\Now face your colossal foe!\Go! response:	Sorry, I'm not feeling very well today.
context: Are you going to waste Wien's efforts?\What's with your uppity attitude?\Wakana!\Let's cheer him on together!\I brought you maracas.\Now face your colossal foe!\Go!\Sorry, I'm not feeling very well today. response:	I think I'll go home.
context: What's with your uppity attitude?\Wakana!\Let's cheer him on together!\I brought you maracas.\Now face your colossal foe!\Go!\Sorry, I'm not feeling very well today.\I think I'll go home. response:	Episode 5 Throwing Away and Holding On
context: Wakana!\Let's cheer him on together!\I brought you maracas.\Now face your colossal foe!\Go!\Sorry, I'm not feeling very well today.\I think I'll go home.\Episode 5 Throwing Away and Holding On response:	I wonder if we were being too loud.
context: Let's cheer him on together!\I brought you maracas.\Now face your colossal foe!\Go!\Sorry, I'm not feeling very well today.\I think I'll go home.\Episode 5 Throwing Away and Holding On\I wonder if we were being too loud. response:	You do tend to go all out.
context: I brought you maracas.\Now face your colossal foe!\Go!\Sorry, I'm not feeling very well today.\I think I'll go home.\Episode 5 Throwing Away and Holding On\I wonder if we were being too loud.\You do tend to go all out. response:	You think?
context: Now face your colossal foe!\Go!\Sorry, I'm not feeling very well today.\I think I'll go home.\Episode 5 Throwing Away and Holding On\I wonder if we were being too loud.\You do tend to go all out.\You think? response:	Hey, why did you start playing badmin?
context: Go!\Sorry, I'm not feeling very well today.\I think I'll go home.\Episode 5 Throwing Away and Holding On\I wonder if we were being too loud.\You do tend to go all out.\You think?\Hey, why did you start playing badmin? response:	Don't shorten it.
context: Sorry, I'm not feeling very well today.\I think I'll go home.\Episode 5 Throwing Away and Holding On\I wonder if we were being too loud.\You do tend to go all out.\You think?\Hey, why did you start playing badmin?\Don't shorten it. response:	Would Shirahamazaka High School's Tanaka Taichi-kun
context: I think I'll go home.\Episode 5 Throwing Away and Holding On\I wonder if we were being too loud.\You do tend to go all out.\You think?\Hey, why did you start playing badmin?\Don't shorten it.\Would Shirahamazaka High School's Tanaka Taichi-kun response:	kindly proceed to his designated court.
context: Episode 5 Throwing Away and Holding On\I wonder if we were being too loud.\You do tend to go all out.\You think?\Hey, why did you start playing badmin?\Don't shorten it.\Would Shirahamazaka High School's Tanaka Taichi-kun\kindly proceed to his designated court. response:	Good luck!
context: I wonder if we were being too loud.\You do tend to go all out.\You think?\Hey, why did you start playing badmin?\Don't shorten it.\Would Shirahamazaka High School's Tanaka Taichi-kun\kindly proceed to his designated court.\Good luck! response:	To arms!
context: You do tend to go all out.\You think?\Hey, why did you start playing badmin?\Don't shorten it.\Would Shirahamazaka High School's Tanaka Taichi-kun\kindly proceed to his designated court.\Good luck!\To arms! response:	What does that mean?
context: You think?\Hey, why did you start playing badmin?\Don't shorten it.\Would Shirahamazaka High School's Tanaka Taichi-kun\kindly proceed to his designated court.\Good luck!\To arms!\What does that mean? response:	Taichi, are you ready?
context: Hey, why did you start playing badmin?\Don't shorten it.\Would Shirahamazaka High School's Tanaka Taichi-kun\kindly proceed to his designated court.\Good luck!\To arms!\What does that mean?\Taichi, are you ready? response:	It's a battle cry used during peasant uprisings in the Edo period.
context: Don't shorten it.\Would Shirahamazaka High School's Tanaka Taichi-kun\kindly proceed to his designated court.\Good luck!\To arms!\What does that mean?\Taichi, are you ready?\It's a battle cry used during peasant uprisings in the Edo period. response:	Yes.
context: Would Shirahamazaka High School's Tanaka Taichi-kun\kindly proceed to his designated court.\Good luck!\To arms!\What does that mean?\Taichi, are you ready?\It's a battle cry used during peasant uprisings in the Edo period.\Yes. response:	Willing to sacrifice their lives,
