context: Get off your butts and start doing damage! response:	Up the tempo, and whittle down his health!
context: Get off your butts and start doing damage!\Up the tempo, and whittle down his health! response:	Defeating him and solving the problem are different things.
context: Get off your butts and start doing damage!\Up the tempo, and whittle down his health!\Defeating him and solving the problem are different things. response:	Fortress Stance!
context: Get off your butts and start doing damage!\Up the tempo, and whittle down his health!\Defeating him and solving the problem are different things.\Fortress Stance! response:	Time to see what my new shield and armor can do!
context: Get off your butts and start doing damage!\Up the tempo, and whittle down his health!\Defeating him and solving the problem are different things.\Fortress Stance!\Time to see what my new shield and armor can do! response:	Wish strongly, and keep thinking to make it come true.
context: Get off your butts and start doing damage!\Up the tempo, and whittle down his health!\Defeating him and solving the problem are different things.\Fortress Stance!\Time to see what my new shield and armor can do!\Wish strongly, and keep thinking to make it come true. response:	Continue to train, without giving up.
context: Get off your butts and start doing damage!\Up the tempo, and whittle down his health!\Defeating him and solving the problem are different things.\Fortress Stance!\Time to see what my new shield and armor can do!\Wish strongly, and keep thinking to make it come true.\Continue to train, without giving up. response:	These are the lessons we must hand down.
context: Get off your butts and start doing damage!\Up the tempo, and whittle down his health!\Defeating him and solving the problem are different things.\Fortress Stance!\Time to see what my new shield and armor can do!\Wish strongly, and keep thinking to make it come true.\Continue to train, without giving up.\These are the lessons we must hand down. response:	Hurry!
context: Up the tempo, and whittle down his health!\Defeating him and solving the problem are different things.\Fortress Stance!\Time to see what my new shield and armor can do!\Wish strongly, and keep thinking to make it come true.\Continue to train, without giving up.\These are the lessons we must hand down.\Hurry! response:	Shiroe's team will lead the attack!
context: Defeating him and solving the problem are different things.\Fortress Stance!\Time to see what my new shield and armor can do!\Wish strongly, and keep thinking to make it come true.\Continue to train, without giving up.\These are the lessons we must hand down.\Hurry!\Shiroe's team will lead the attack! response:	Nice! Nice!
context: Fortress Stance!\Time to see what my new shield and armor can do!\Wish strongly, and keep thinking to make it come true.\Continue to train, without giving up.\These are the lessons we must hand down.\Hurry!\Shiroe's team will lead the attack!\Nice! Nice! response:	500 dogs is a lucky sign!
context: Time to see what my new shield and armor can do!\Wish strongly, and keep thinking to make it come true.\Continue to train, without giving up.\These are the lessons we must hand down.\Hurry!\Shiroe's team will lead the attack!\Nice! Nice!\500 dogs is a lucky sign! response:	You can't get this excitement in real life!
context: Wish strongly, and keep thinking to make it come true.\Continue to train, without giving up.\These are the lessons we must hand down.\Hurry!\Shiroe's team will lead the attack!\Nice! Nice!\500 dogs is a lucky sign!\You can't get this excitement in real life! response:	Stupid.
