context: This is what started it all. response:	Thank you very much, Inaho.
context: This is what started it all.\Thank you very much, Inaho. response:	I'm given to understand that it's you whom I owe my life to.
context: This is what started it all.\Thank you very much, Inaho.\I'm given to understand that it's you whom I owe my life to. response:	No, it's because we're in a war.
context: This is what started it all.\Thank you very much, Inaho.\I'm given to understand that it's you whom I owe my life to.\No, it's because we're in a war. response:	How many times does this make it?
context: This is what started it all.\Thank you very much, Inaho.\I'm given to understand that it's you whom I owe my life to.\No, it's because we're in a war.\How many times does this make it? response:	I'm not sure. And I wouldn't say that I've saved it.
context: This is what started it all.\Thank you very much, Inaho.\I'm given to understand that it's you whom I owe my life to.\No, it's because we're in a war.\How many times does this make it?\I'm not sure. And I wouldn't say that I've saved it. response:	This is a war, after all.
context: This is what started it all.\Thank you very much, Inaho.\I'm given to understand that it's you whom I owe my life to.\No, it's because we're in a war.\How many times does this make it?\I'm not sure. And I wouldn't say that I've saved it.\This is a war, after all. response:	You're a kind person, aren't you?
context: This is what started it all.\Thank you very much, Inaho.\I'm given to understand that it's you whom I owe my life to.\No, it's because we're in a war.\How many times does this make it?\I'm not sure. And I wouldn't say that I've saved it.\This is a war, after all.\You're a kind person, aren't you? response:	You are.
context: Thank you very much, Inaho.\I'm given to understand that it's you whom I owe my life to.\No, it's because we're in a war.\How many times does this make it?\I'm not sure. And I wouldn't say that I've saved it.\This is a war, after all.\You're a kind person, aren't you?\You are. response:	After all this is over...
context: I'm given to understand that it's you whom I owe my life to.\No, it's because we're in a war.\How many times does this make it?\I'm not sure. And I wouldn't say that I've saved it.\This is a war, after all.\You're a kind person, aren't you?\You are.\After all this is over... response:	We will remain friends after all this is over, won't we?
context: No, it's because we're in a war.\How many times does this make it?\I'm not sure. And I wouldn't say that I've saved it.\This is a war, after all.\You're a kind person, aren't you?\You are.\After all this is over...\We will remain friends after all this is over, won't we? response:	Yes.
context: How many times does this make it?\I'm not sure. And I wouldn't say that I've saved it.\This is a war, after all.\You're a kind person, aren't you?\You are.\After all this is over...\We will remain friends after all this is over, won't we?\Yes. response:	I'm glad.
context: I'm not sure. And I wouldn't say that I've saved it.\This is a war, after all.\You're a kind person, aren't you?\You are.\After all this is over...\We will remain friends after all this is over, won't we?\Yes.\I'm glad. response:	I am Asseylum Vers Allusia.
context: This is a war, after all.\You're a kind person, aren't you?\You are.\After all this is over...\We will remain friends after all this is over, won't we?\Yes.\I'm glad.\I am Asseylum Vers Allusia. response:	I am the Princess Royal, granddaughter of
context: You're a kind person, aren't you?\You are.\After all this is over...\We will remain friends after all this is over, won't we?\Yes.\I'm glad.\I am Asseylum Vers Allusia.\I am the Princess Royal, granddaughter of response:	Rayregalia Vers Rayvers, Emperor of Vers.
context: You are.\After all this is over...\We will remain friends after all this is over, won't we?\Yes.\I'm glad.\I am Asseylum Vers Allusia.\I am the Princess Royal, granddaughter of\Rayregalia Vers Rayvers, Emperor of Vers. response:	I address the people of Father Vers.
context: After all this is over...\We will remain friends after all this is over, won't we?\Yes.\I'm glad.\I am Asseylum Vers Allusia.\I am the Princess Royal, granddaughter of\Rayregalia Vers Rayvers, Emperor of Vers.\I address the people of Father Vers. response:	I call for an immediate cessation of hostilities in this meaningless war.
context: We will remain friends after all this is over, won't we?\Yes.\I'm glad.\I am Asseylum Vers Allusia.\I am the Princess Royal, granddaughter of\Rayregalia Vers Rayvers, Emperor of Vers.\I address the people of Father Vers.\I call for an immediate cessation of hostilities in this meaningless war. response:	I am safe. Alive and well.
context: Yes.\I'm glad.\I am Asseylum Vers Allusia.\I am the Princess Royal, granddaughter of\Rayregalia Vers Rayvers, Emperor of Vers.\I address the people of Father Vers.\I call for an immediate cessation of hostilities in this meaningless war.\I am safe. Alive and well. response:	It is not Terrans who made an attempt on my life.
