context: Kill... the Symbol of Peace. response:	Nice to meet you.
context: Kill... the Symbol of Peace.\Nice to meet you. response:	We are the League of Villains.
context: Kill... the Symbol of Peace.\Nice to meet you.\We are the League of Villains. response:	It may be presumptuous of us
context: Kill... the Symbol of Peace.\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us response:	but we have invited ourselves in to the home of the heroes, U.A. High School
context: Kill... the Symbol of Peace.\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us\but we have invited ourselves in to the home of the heroes, U.A. High School response:	in order to have All Might, the Symbol of Peace, take his last breath.
context: Kill... the Symbol of Peace.\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us\but we have invited ourselves in to the home of the heroes, U.A. High School\in order to have All Might, the Symbol of Peace, take his last breath. response:	Everyone...!
context: Kill... the Symbol of Peace.\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us\but we have invited ourselves in to the home of the heroes, U.A. High School\in order to have All Might, the Symbol of Peace, take his last breath.\Everyone...! response:	Idiots!
context: Kill... the Symbol of Peace.\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us\but we have invited ourselves in to the home of the heroes, U.A. High School\in order to have All Might, the Symbol of Peace, take his last breath.\Everyone...!\Idiots! response:	He can erase Quirks just by looking at them!
context: Nice to meet you.\We are the League of Villains.\It may be presumptuous of us\but we have invited ourselves in to the home of the heroes, U.A. High School\in order to have All Might, the Symbol of Peace, take his last breath.\Everyone...!\Idiots!\He can erase Quirks just by looking at them! response:	It's a Eraser Head!
context: We are the League of Villains.\It may be presumptuous of us\but we have invited ourselves in to the home of the heroes, U.A. High School\in order to have All Might, the Symbol of Peace, take his last breath.\Everyone...!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head! response:	Class rep!
context: It may be presumptuous of us\but we have invited ourselves in to the home of the heroes, U.A. High School\in order to have All Might, the Symbol of Peace, take his last breath.\Everyone...!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Class rep! response:	Yes?
context: but we have invited ourselves in to the home of the heroes, U.A. High School\in order to have All Might, the Symbol of Peace, take his last breath.\Everyone...!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Class rep!\Yes? response:	I entrust this duty to you.
context: in order to have All Might, the Symbol of Peace, take his last breath.\Everyone...!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Class rep!\Yes?\I entrust this duty to you. response:	Run to the school and tell them about what is happening here.
context: Everyone...!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here. response:	But it would be a disgrace as class rep to leave everyone behind
context: Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\But it would be a disgrace as class rep to leave everyone behind response:	Use your Quirk in order to save others!
context: He can erase Quirks just by looking at them!\It's a Eraser Head!\Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\But it would be a disgrace as class rep to leave everyone behind\Use your Quirk in order to save others! response:	Black Hole!
context: It's a Eraser Head!\Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\But it would be a disgrace as class rep to leave everyone behind\Use your Quirk in order to save others!\Black Hole! response:	What do you mean, fight?
context: Class rep!\Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\But it would be a disgrace as class rep to leave everyone behind\Use your Quirk in order to save others!\Black Hole!\What do you mean, fight? response:	Are you stupid?!
context: Yes?\I entrust this duty to you.\Run to the school and tell them about what is happening here.\But it would be a disgrace as class rep to leave everyone behind\Use your Quirk in order to save others!\Black Hole!\What do you mean, fight?\Are you stupid?! response:	This is the only way...
context: I entrust this duty to you.\Run to the school and tell them about what is happening here.\But it would be a disgrace as class rep to leave everyone behind\Use your Quirk in order to save others!\Black Hole!\What do you mean, fight?\Are you stupid?!\This is the only way... response:	Delaware Smash!
context: Run to the school and tell them about what is happening here.\But it would be a disgrace as class rep to leave everyone behind\Use your Quirk in order to save others!\Black Hole!\What do you mean, fight?\Are you stupid?!\This is the only way...\Delaware Smash! response:	Even I...
context: But it would be a disgrace as class rep to leave everyone behind\Use your Quirk in order to save others!\Black Hole!\What do you mean, fight?\Are you stupid?!\This is the only way...\Delaware Smash!\Even I... response:	Even I can...!
context: Use your Quirk in order to save others!\Black Hole!\What do you mean, fight?\Are you stupid?!\This is the only way...\Delaware Smash!\Even I...\Even I can...! response:	Move!
context: Black Hole!\What do you mean, fight?\Are you stupid?!\This is the only way...\Delaware Smash!\Even I...\Even I can...!\Move! response:	Get away!
context: What do you mean, fight?\Are you stupid?!\This is the only way...\Delaware Smash!\Even I...\Even I can...!\Move!\Get away! response:	You too!
context: Are you stupid?!\This is the only way...\Delaware Smash!\Even I...\Even I can...!\Move!\Get away!\You too! response:	You're in my way!
context: This is the only way...\Delaware Smash!\Even I...\Even I can...!\Move!\Get away!\You too!\You're in my way! response:	I guess...
context: Delaware Smash!\Even I...\Even I can...!\Move!\Get away!\You too!\You're in my way!\I guess... response:	You're both amazing!
context: Even I...\Even I can...!\Move!\Get away!\You too!\You're in my way!\I guess...\You're both amazing! response:	Bastard, get off!
context: Even I can...!\Move!\Get away!\You too!\You're in my way!\I guess...\You're both amazing!\Bastard, get off! response:	I had a bowel movement this morning, so those things will stick all day.
context: Move!\Get away!\You too!\You're in my way!\I guess...\You're both amazing!\Bastard, get off!\I had a bowel movement this morning, so those things will stick all day. response:	We were lucky that was all of them.
context: Get away!\You too!\You're in my way!\I guess...\You're both amazing!\Bastard, get off!\I had a bowel movement this morning, so those things will stick all day.\We were lucky that was all of them. response:	I took a huge gamble.
context: You too!\You're in my way!\I guess...\You're both amazing!\Bastard, get off!\I had a bowel movement this morning, so those things will stick all day.\We were lucky that was all of them.\I took a huge gamble. response:	Normally, they would have kept some people underwater in reserve.
context: You're in my way!\I guess...\You're both amazing!\Bastard, get off!\I had a bowel movement this morning, so those things will stick all day.\We were lucky that was all of them.\I took a huge gamble.\Normally, they would have kept some people underwater in reserve. response:	I was trying to keep my composure, but I couldn't stay calm.
context: I guess...\You're both amazing!\Bastard, get off!\I had a bowel movement this morning, so those things will stick all day.\We were lucky that was all of them.\I took a huge gamble.\Normally, they would have kept some people underwater in reserve.\I was trying to keep my composure, but I couldn't stay calm. response:	Midoriya, stop that.
context: You're both amazing!\Bastard, get off!\I had a bowel movement this morning, so those things will stick all day.\We were lucky that was all of them.\I took a huge gamble.\Normally, they would have kept some people underwater in reserve.\I was trying to keep my composure, but I couldn't stay calm.\Midoriya, stop that. response:	This is dangerous, I have to be more careful...
context: Bastard, get off!\I had a bowel movement this morning, so those things will stick all day.\We were lucky that was all of them.\I took a huge gamble.\Normally, they would have kept some people underwater in reserve.\I was trying to keep my composure, but I couldn't stay calm.\Midoriya, stop that.\This is dangerous, I have to be more careful... response:	It's scary.
context: I had a bowel movement this morning, so those things will stick all day.\We were lucky that was all of them.\I took a huge gamble.\Normally, they would have kept some people underwater in reserve.\I was trying to keep my composure, but I couldn't stay calm.\Midoriya, stop that.\This is dangerous, I have to be more careful...\It's scary. response:	Rather than reflecting back, shouldn't you think about what to do next?
context: We were lucky that was all of them.\I took a huge gamble.\Normally, they would have kept some people underwater in reserve.\I was trying to keep my composure, but I couldn't stay calm.\Midoriya, stop that.\This is dangerous, I have to be more careful...\It's scary.\Rather than reflecting back, shouldn't you think about what to do next? response:	Y-You're right.
context: I took a huge gamble.\Normally, they would have kept some people underwater in reserve.\I was trying to keep my composure, but I couldn't stay calm.\Midoriya, stop that.\This is dangerous, I have to be more careful...\It's scary.\Rather than reflecting back, shouldn't you think about what to do next?\Y-You're right. response:	Are you all right?
context: Normally, they would have kept some people underwater in reserve.\I was trying to keep my composure, but I couldn't stay calm.\Midoriya, stop that.\This is dangerous, I have to be more careful...\It's scary.\Rather than reflecting back, shouldn't you think about what to do next?\Y-You're right.\Are you all right? response:	Y-Yeah.
context: I was trying to keep my composure, but I couldn't stay calm.\Midoriya, stop that.\This is dangerous, I have to be more careful...\It's scary.\Rather than reflecting back, shouldn't you think about what to do next?\Y-You're right.\Are you all right?\Y-Yeah. response:	Anyway, we should make getting help our top priority.
context: Midoriya, stop that.\This is dangerous, I have to be more careful...\It's scary.\Rather than reflecting back, shouldn't you think about what to do next?\Y-You're right.\Are you all right?\Y-Yeah.\Anyway, we should make getting help our top priority. response:	It would be best to follow the shore
context: This is dangerous, I have to be more careful...\It's scary.\Rather than reflecting back, shouldn't you think about what to do next?\Y-You're right.\Are you all right?\Y-Yeah.\Anyway, we should make getting help our top priority.\It would be best to follow the shore response:	and avoid the central plaza as we head toward the exit.
context: It's scary.\Rather than reflecting back, shouldn't you think about what to do next?\Y-You're right.\Are you all right?\Y-Yeah.\Anyway, we should make getting help our top priority.\It would be best to follow the shore\and avoid the central plaza as we head toward the exit. response:	That's true.
context: Rather than reflecting back, shouldn't you think about what to do next?\Y-You're right.\Are you all right?\Y-Yeah.\Anyway, we should make getting help our top priority.\It would be best to follow the shore\and avoid the central plaza as we head toward the exit.\That's true. response:	Mr. Aizawa has drawn a large number of villains to the plaza.
context: Y-You're right.\Are you all right?\Y-Yeah.\Anyway, we should make getting help our top priority.\It would be best to follow the shore\and avoid the central plaza as we head toward the exit.\That's true.\Mr. Aizawa has drawn a large number of villains to the plaza. response:	But... there are too many villains.
context: Are you all right?\Y-Yeah.\Anyway, we should make getting help our top priority.\It would be best to follow the shore\and avoid the central plaza as we head toward the exit.\That's true.\Mr. Aizawa has drawn a large number of villains to the plaza.\But... there are too many villains. response:	Of course, Mr. Aizawa is trying to suppress them...
context: Y-Yeah.\Anyway, we should make getting help our top priority.\It would be best to follow the shore\and avoid the central plaza as we head toward the exit.\That's true.\Mr. Aizawa has drawn a large number of villains to the plaza.\But... there are too many villains.\Of course, Mr. Aizawa is trying to suppress them... response:	Wait, Midoriya, don't tell me you...
