context: This is bad! response:	It's spewing fire!
context: This is bad!\It's spewing fire! response:	I'd heard their fire-related organs had become vestigial!
context: This is bad!\It's spewing fire!\I'd heard their fire-related organs had become vestigial! response:	Elias...
context: This is bad!\It's spewing fire!\I'd heard their fire-related organs had become vestigial!\Elias... response:	It's an atavism.
context: This is bad!\It's spewing fire!\I'd heard their fire-related organs had become vestigial!\Elias...\It's an atavism. response:	It's become like the dragons you'd read about in fairy tales.
context: This is bad!\It's spewing fire!\I'd heard their fire-related organs had become vestigial!\Elias...\It's an atavism.\It's become like the dragons you'd read about in fairy tales. response:	Elias, he can still go home.
context: This is bad!\It's spewing fire!\I'd heard their fire-related organs had become vestigial!\Elias...\It's an atavism.\It's become like the dragons you'd read about in fairy tales.\Elias, he can still go home. response:	He wants to go home!
context: This is bad!\It's spewing fire!\I'd heard their fire-related organs had become vestigial!\Elias...\It's an atavism.\It's become like the dragons you'd read about in fairy tales.\Elias, he can still go home.\He wants to go home! response:	He has a place to go home to!
context: It's spewing fire!\I'd heard their fire-related organs had become vestigial!\Elias...\It's an atavism.\It's become like the dragons you'd read about in fairy tales.\Elias, he can still go home.\He wants to go home!\He has a place to go home to! response:	Please, teach me how to help.
context: I'd heard their fire-related organs had become vestigial!\Elias...\It's an atavism.\It's become like the dragons you'd read about in fairy tales.\Elias, he can still go home.\He wants to go home!\He has a place to go home to!\Please, teach me how to help. response:	Your selfish requests are never for yourself.
context: Elias...\It's an atavism.\It's become like the dragons you'd read about in fairy tales.\Elias, he can still go home.\He wants to go home!\He has a place to go home to!\Please, teach me how to help.\Your selfish requests are never for yourself. response:	It's all right.
context: It's an atavism.\It's become like the dragons you'd read about in fairy tales.\Elias, he can still go home.\He wants to go home!\He has a place to go home to!\Please, teach me how to help.\Your selfish requests are never for yourself.\It's all right. response:	That's why I'm here to begin with.
context: It's become like the dragons you'd read about in fairy tales.\Elias, he can still go home.\He wants to go home!\He has a place to go home to!\Please, teach me how to help.\Your selfish requests are never for yourself.\It's all right.\That's why I'm here to begin with. response:	Thank you.
context: Elias, he can still go home.\He wants to go home!\He has a place to go home to!\Please, teach me how to help.\Your selfish requests are never for yourself.\It's all right.\That's why I'm here to begin with.\Thank you. response:	First, touch the dragon.
context: He wants to go home!\He has a place to go home to!\Please, teach me how to help.\Your selfish requests are never for yourself.\It's all right.\That's why I'm here to begin with.\Thank you.\First, touch the dragon. response:	That way, you can absorb its magic.
context: He has a place to go home to!\Please, teach me how to help.\Your selfish requests are never for yourself.\It's all right.\That's why I'm here to begin with.\Thank you.\First, touch the dragon.\That way, you can absorb its magic. response:	And I'll absorb that before your body breaks.
context: Please, teach me how to help.\Your selfish requests are never for yourself.\It's all right.\That's why I'm here to begin with.\Thank you.\First, touch the dragon.\That way, you can absorb its magic.\And I'll absorb that before your body breaks. response:	Okay.
context: Your selfish requests are never for yourself.\It's all right.\That's why I'm here to begin with.\Thank you.\First, touch the dragon.\That way, you can absorb its magic.\And I'll absorb that before your body breaks.\Okay. response:	Alice!
context: It's all right.\That's why I'm here to begin with.\Thank you.\First, touch the dragon.\That way, you can absorb its magic.\And I'll absorb that before your body breaks.\Okay.\Alice! response:	Right!
context: That's why I'm here to begin with.\Thank you.\First, touch the dragon.\That way, you can absorb its magic.\And I'll absorb that before your body breaks.\Okay.\Alice!\Right! response:	We're going to draw the dragon's attention.
context: Thank you.\First, touch the dragon.\That way, you can absorb its magic.\And I'll absorb that before your body breaks.\Okay.\Alice!\Right!\We're going to draw the dragon's attention. response:	Thanks.
context: First, touch the dragon.\That way, you can absorb its magic.\And I'll absorb that before your body breaks.\Okay.\Alice!\Right!\We're going to draw the dragon's attention.\Thanks. response:	Over here!
context: That way, you can absorb its magic.\And I'll absorb that before your body breaks.\Okay.\Alice!\Right!\We're going to draw the dragon's attention.\Thanks.\Over here! response:	Take this!
context: And I'll absorb that before your body breaks.\Okay.\Alice!\Right!\We're going to draw the dragon's attention.\Thanks.\Over here!\Take this! response:	This way!
context: Okay.\Alice!\Right!\We're going to draw the dragon's attention.\Thanks.\Over here!\Take this!\This way! response:	Fire!
context: Alice!\Right!\We're going to draw the dragon's attention.\Thanks.\Over here!\Take this!\This way!\Fire! response:	Merituuli!
context: Right!\We're going to draw the dragon's attention.\Thanks.\Over here!\Take this!\This way!\Fire!\Merituuli! response:	You naughty boy!
context: We're going to draw the dragon's attention.\Thanks.\Over here!\Take this!\This way!\Fire!\Merituuli!\You naughty boy! response:	We're going back home!
context: Thanks.\Over here!\Take this!\This way!\Fire!\Merituuli!\You naughty boy!\We're going back home! response:	Now!
context: Over here!\Take this!\This way!\Fire!\Merituuli!\You naughty boy!\We're going back home!\Now! response:	Here we go.
context: Take this!\This way!\Fire!\Merituuli!\You naughty boy!\We're going back home!\Now!\Here we go. response:	By the base of its neck.
context: This way!\Fire!\Merituuli!\You naughty boy!\We're going back home!\Now!\Here we go.\By the base of its neck. response:	There's a powerful flow there.
context: Fire!\Merituuli!\You naughty boy!\We're going back home!\Now!\Here we go.\By the base of its neck.\There's a powerful flow there. response:	Chise!
context: Merituuli!\You naughty boy!\We're going back home!\Now!\Here we go.\By the base of its neck.\There's a powerful flow there.\Chise! response:	It's trying to go outside!
context: You naughty boy!\We're going back home!\Now!\Here we go.\By the base of its neck.\There's a powerful flow there.\Chise!\It's trying to go outside! response:	Merituuli, distract it!
context: We're going back home!\Now!\Here we go.\By the base of its neck.\There's a powerful flow there.\Chise!\It's trying to go outside!\Merituuli, distract it! response:	Gah, jeez!
context: Now!\Here we go.\By the base of its neck.\There's a powerful flow there.\Chise!\It's trying to go outside!\Merituuli, distract it!\Gah, jeez! response:	This is bad!
context: Here we go.\By the base of its neck.\There's a powerful flow there.\Chise!\It's trying to go outside!\Merituuli, distract it!\Gah, jeez!\This is bad! response:	It's going to cave!
context: By the base of its neck.\There's a powerful flow there.\Chise!\It's trying to go outside!\Merituuli, distract it!\Gah, jeez!\This is bad!\It's going to cave! response:	Chise!
context: There's a powerful flow there.\Chise!\It's trying to go outside!\Merituuli, distract it!\Gah, jeez!\This is bad!\It's going to cave!\Chise! response:	Chise!
context: Chise!\It's trying to go outside!\Merituuli, distract it!\Gah, jeez!\This is bad!\It's going to cave!\Chise!\Chise! response:	Damn it! Be careful!
context: It's trying to go outside!\Merituuli, distract it!\Gah, jeez!\This is bad!\It's going to cave!\Chise!\Chise!\Damn it! Be careful! response:	Ruth.
context: Merituuli, distract it!\Gah, jeez!\This is bad!\It's going to cave!\Chise!\Chise!\Damn it! Be careful!\Ruth. response:	Chise, are you ready?
context: Gah, jeez!\This is bad!\It's going to cave!\Chise!\Chise!\Damn it! Be careful!\Ruth.\Chise, are you ready? response:	Elias!
context: This is bad!\It's going to cave!\Chise!\Chise!\Damn it! Be careful!\Ruth.\Chise, are you ready?\Elias! response:	Ruth!
context: It's going to cave!\Chise!\Chise!\Damn it! Be careful!\Ruth.\Chise, are you ready?\Elias!\Ruth! response:	Right.
context: Chise!\Chise!\Damn it! Be careful!\Ruth.\Chise, are you ready?\Elias!\Ruth!\Right. response:	Huh?
context: Chise!\Damn it! Be careful!\Ruth.\Chise, are you ready?\Elias!\Ruth!\Right.\Huh? response:	The moon looks odd.
context: Damn it! Be careful!\Ruth.\Chise, are you ready?\Elias!\Ruth!\Right.\Huh?\The moon looks odd. response:	Chise, are you all right?
context: Ruth.\Chise, are you ready?\Elias!\Ruth!\Right.\Huh?\The moon looks odd.\Chise, are you all right? response:	Ruth, how's Elias?
context: Chise, are you ready?\Elias!\Ruth!\Right.\Huh?\The moon looks odd.\Chise, are you all right?\Ruth, how's Elias? response:	Singed, but he's fine.
context: Elias!\Ruth!\Right.\Huh?\The moon looks odd.\Chise, are you all right?\Ruth, how's Elias?\Singed, but he's fine. response:	We're on our way.
context: Ruth!\Right.\Huh?\The moon looks odd.\Chise, are you all right?\Ruth, how's Elias?\Singed, but he's fine.\We're on our way. response:	The river.
context: Right.\Huh?\The moon looks odd.\Chise, are you all right?\Ruth, how's Elias?\Singed, but he's fine.\We're on our way.\The river. response:	Wait, Chise...
context: Huh?\The moon looks odd.\Chise, are you all right?\Ruth, how's Elias?\Singed, but he's fine.\We're on our way.\The river.\Wait, Chise... response:	You don't have to come with me, Ruth.
context: The moon looks odd.\Chise, are you all right?\Ruth, how's Elias?\Singed, but he's fine.\We're on our way.\The river.\Wait, Chise...\You don't have to come with me, Ruth. response:	Go get the others and then come get me.
context: Chise, are you all right?\Ruth, how's Elias?\Singed, but he's fine.\We're on our way.\The river.\Wait, Chise...\You don't have to come with me, Ruth.\Go get the others and then come get me. response:	Chise, you better not be...
context: Ruth, how's Elias?\Singed, but he's fine.\We're on our way.\The river.\Wait, Chise...\You don't have to come with me, Ruth.\Go get the others and then come get me.\Chise, you better not be... response:	It's okay.
context: Singed, but he's fine.\We're on our way.\The river.\Wait, Chise...\You don't have to come with me, Ruth.\Go get the others and then come get me.\Chise, you better not be...\It's okay. response:	Let's go home together.
context: We're on our way.\The river.\Wait, Chise...\You don't have to come with me, Ruth.\Go get the others and then come get me.\Chise, you better not be...\It's okay.\Let's go home together. response:	Idiot!
context: The river.\Wait, Chise...\You don't have to come with me, Ruth.\Go get the others and then come get me.\Chise, you better not be...\It's okay.\Let's go home together.\Idiot! response:	Chise!
context: Wait, Chise...\You don't have to come with me, Ruth.\Go get the others and then come get me.\Chise, you better not be...\It's okay.\Let's go home together.\Idiot!\Chise! response:	Hey, hang in there!
context: You don't have to come with me, Ruth.\Go get the others and then come get me.\Chise, you better not be...\It's okay.\Let's go home together.\Idiot!\Chise!\Hey, hang in there! response:	Ruth...
context: Go get the others and then come get me.\Chise, you better not be...\It's okay.\Let's go home together.\Idiot!\Chise!\Hey, hang in there!\Ruth... response:	Where's Chise?
context: Chise, you better not be...\It's okay.\Let's go home together.\Idiot!\Chise!\Hey, hang in there!\Ruth...\Where's Chise? response:	To think it escaped...
context: It's okay.\Let's go home together.\Idiot!\Chise!\Hey, hang in there!\Ruth...\Where's Chise?\To think it escaped... response:	Shannon-san...
context: Let's go home together.\Idiot!\Chise!\Hey, hang in there!\Ruth...\Where's Chise?\To think it escaped...\Shannon-san... response:	Why...
