context: The Second Dish response:	Episode 3
context: The Second Dish\Episode 3 response:	Shrimp, shrimp, shrimp!
context: The Second Dish\Episode 3\Shrimp, shrimp, shrimp! response:	Scallops, scallops, scallops!
context: The Second Dish\Episode 3\Shrimp, shrimp, shrimp!\Scallops, scallops, scallops! response:	The Director's taken up the brush!
context: The Second Dish\Episode 3\Shrimp, shrimp, shrimp!\Scallops, scallops, scallops!\The Director's taken up the brush! response:	Who is the victor?
context: The Second Dish\Episode 3\Shrimp, shrimp, shrimp!\Scallops, scallops, scallops!\The Director's taken up the brush!\Who is the victor? response:	Which one is it?!
context: The Second Dish\Episode 3\Shrimp, shrimp, shrimp!\Scallops, scallops, scallops!\The Director's taken up the brush!\Who is the victor?\Which one is it?! response:	The victor is Candidate Kurokiba Ryo!
context: The Second Dish\Episode 3\Shrimp, shrimp, shrimp!\Scallops, scallops, scallops!\The Director's taken up the brush!\Who is the victor?\Which one is it?!\The victor is Candidate Kurokiba Ryo! response:	Kurokiba Ryo
context: Episode 3\Shrimp, shrimp, shrimp!\Scallops, scallops, scallops!\The Director's taken up the brush!\Who is the victor?\Which one is it?!\The victor is Candidate Kurokiba Ryo!\Kurokiba Ryo response:	For Tadokoro's dish, the director didn't...
context: Shrimp, shrimp, shrimp!\Scallops, scallops, scallops!\The Director's taken up the brush!\Who is the victor?\Which one is it?!\The victor is Candidate Kurokiba Ryo!\Kurokiba Ryo\For Tadokoro's dish, the director didn't... response:	Yeah, he didn't go bare-chested.
context: Scallops, scallops, scallops!\The Director's taken up the brush!\Who is the victor?\Which one is it?!\The victor is Candidate Kurokiba Ryo!\Kurokiba Ryo\For Tadokoro's dish, the director didn't...\Yeah, he didn't go bare-chested. response:	Honored guests,
context: The Director's taken up the brush!\Who is the victor?\Which one is it?!\The victor is Candidate Kurokiba Ryo!\Kurokiba Ryo\For Tadokoro's dish, the director didn't...\Yeah, he didn't go bare-chested.\Honored guests, response:	this completes today's program.
context: Who is the victor?\Which one is it?!\The victor is Candidate Kurokiba Ryo!\Kurokiba Ryo\For Tadokoro's dish, the director didn't...\Yeah, he didn't go bare-chested.\Honored guests,\this completes today's program. response:	The third and fourth matches will be held tomorrow.
context: Which one is it?!\The victor is Candidate Kurokiba Ryo!\Kurokiba Ryo\For Tadokoro's dish, the director didn't...\Yeah, he didn't go bare-chested.\Honored guests,\this completes today's program.\The third and fourth matches will be held tomorrow. response:	Have a safe trip home.
context: The victor is Candidate Kurokiba Ryo!\Kurokiba Ryo\For Tadokoro's dish, the director didn't...\Yeah, he didn't go bare-chested.\Honored guests,\this completes today's program.\The third and fourth matches will be held tomorrow.\Have a safe trip home. response:	Let's go get Tadokoro.
context: Kurokiba Ryo\For Tadokoro's dish, the director didn't...\Yeah, he didn't go bare-chested.\Honored guests,\this completes today's program.\The third and fourth matches will be held tomorrow.\Have a safe trip home.\Let's go get Tadokoro. response:	Good idea.
context: For Tadokoro's dish, the director didn't...\Yeah, he didn't go bare-chested.\Honored guests,\this completes today's program.\The third and fourth matches will be held tomorrow.\Have a safe trip home.\Let's go get Tadokoro.\Good idea. response:	Huh?
context: Yeah, he didn't go bare-chested.\Honored guests,\this completes today's program.\The third and fourth matches will be held tomorrow.\Have a safe trip home.\Let's go get Tadokoro.\Good idea.\Huh? response:	Yuki?
context: Honored guests,\this completes today's program.\The third and fourth matches will be held tomorrow.\Have a safe trip home.\Let's go get Tadokoro.\Good idea.\Huh?\Yuki? response:	Megumi!
context: this completes today's program.\The third and fourth matches will be held tomorrow.\Have a safe trip home.\Let's go get Tadokoro.\Good idea.\Huh?\Yuki?\Megumi! response:	Huh?
context: The third and fourth matches will be held tomorrow.\Have a safe trip home.\Let's go get Tadokoro.\Good idea.\Huh?\Yuki?\Megumi!\Huh? response:	Kurokiba-kun was really scary.
context: Have a safe trip home.\Let's go get Tadokoro.\Good idea.\Huh?\Yuki?\Megumi!\Huh?\Kurokiba-kun was really scary. response:	Yeah, I totally get it.
context: Let's go get Tadokoro.\Good idea.\Huh?\Yuki?\Megumi!\Huh?\Kurokiba-kun was really scary.\Yeah, I totally get it. response:	You were like a rabbit being hunted by a wild dog!
context: Good idea.\Huh?\Yuki?\Megumi!\Huh?\Kurokiba-kun was really scary.\Yeah, I totally get it.\You were like a rabbit being hunted by a wild dog! response:	Well done, Tadokoro Megumi.
context: Huh?\Yuki?\Megumi!\Huh?\Kurokiba-kun was really scary.\Yeah, I totally get it.\You were like a rabbit being hunted by a wild dog!\Well done, Tadokoro Megumi. response:	Hojo-san.
context: Yuki?\Megumi!\Huh?\Kurokiba-kun was really scary.\Yeah, I totally get it.\You were like a rabbit being hunted by a wild dog!\Well done, Tadokoro Megumi.\Hojo-san. response:	It was amazing!
context: Megumi!\Huh?\Kurokiba-kun was really scary.\Yeah, I totally get it.\You were like a rabbit being hunted by a wild dog!\Well done, Tadokoro Megumi.\Hojo-san.\It was amazing! response:	I didn't think you'd get that far against Kurokiba!
context: Huh?\Kurokiba-kun was really scary.\Yeah, I totally get it.\You were like a rabbit being hunted by a wild dog!\Well done, Tadokoro Megumi.\Hojo-san.\It was amazing!\I didn't think you'd get that far against Kurokiba! response:	Great match!
context: Kurokiba-kun was really scary.\Yeah, I totally get it.\You were like a rabbit being hunted by a wild dog!\Well done, Tadokoro Megumi.\Hojo-san.\It was amazing!\I didn't think you'd get that far against Kurokiba!\Great match! response:	It wasn't just a fluke that you passed the prelims, huh?
context: Yeah, I totally get it.\You were like a rabbit being hunted by a wild dog!\Well done, Tadokoro Megumi.\Hojo-san.\It was amazing!\I didn't think you'd get that far against Kurokiba!\Great match!\It wasn't just a fluke that you passed the prelims, huh? response:	Oh, um...
context: You were like a rabbit being hunted by a wild dog!\Well done, Tadokoro Megumi.\Hojo-san.\It was amazing!\I didn't think you'd get that far against Kurokiba!\Great match!\It wasn't just a fluke that you passed the prelims, huh?\Oh, um... response:	Good work today, judges.
context: Well done, Tadokoro Megumi.\Hojo-san.\It was amazing!\I didn't think you'd get that far against Kurokiba!\Great match!\It wasn't just a fluke that you passed the prelims, huh?\Oh, um...\Good work today, judges. response:	Your cars are waiting for you.
context: Hojo-san.\It was amazing!\I didn't think you'd get that far against Kurokiba!\Great match!\It wasn't just a fluke that you passed the prelims, huh?\Oh, um...\Good work today, judges.\Your cars are waiting for you. response:	That way, please.
context: It was amazing!\I didn't think you'd get that far against Kurokiba!\Great match!\It wasn't just a fluke that you passed the prelims, huh?\Oh, um...\Good work today, judges.\Your cars are waiting for you.\That way, please. response:	Grandfather?
context: I didn't think you'd get that far against Kurokiba!\Great match!\It wasn't just a fluke that you passed the prelims, huh?\Oh, um...\Good work today, judges.\Your cars are waiting for you.\That way, please.\Grandfather? response:	Is something wrong?
context: Great match!\It wasn't just a fluke that you passed the prelims, huh?\Oh, um...\Good work today, judges.\Your cars are waiting for you.\That way, please.\Grandfather?\Is something wrong? response:	No... It's nothing.
context: It wasn't just a fluke that you passed the prelims, huh?\Oh, um...\Good work today, judges.\Your cars are waiting for you.\That way, please.\Grandfather?\Is something wrong?\No... It's nothing. response:	I need to go to the washroom.
context: Oh, um...\Good work today, judges.\Your cars are waiting for you.\That way, please.\Grandfather?\Is something wrong?\No... It's nothing.\I need to go to the washroom. response:	Hmm...
context: Good work today, judges.\Your cars are waiting for you.\That way, please.\Grandfather?\Is something wrong?\No... It's nothing.\I need to go to the washroom.\Hmm... response:	Tadokoro Megumi, was it?
context: Your cars are waiting for you.\That way, please.\Grandfather?\Is something wrong?\No... It's nothing.\I need to go to the washroom.\Hmm...\Tadokoro Megumi, was it? response:	It seems the girl possesses even greater power
context: That way, please.\Grandfather?\Is something wrong?\No... It's nothing.\I need to go to the washroom.\Hmm...\Tadokoro Megumi, was it?\It seems the girl possesses even greater power response:	that still lies dormant within her.
context: Grandfather?\Is something wrong?\No... It's nothing.\I need to go to the washroom.\Hmm...\Tadokoro Megumi, was it?\It seems the girl possesses even greater power\that still lies dormant within her. response:	I went bare before I even realized it.
