context: Wow, so pretty! response:	Such beautiful flowers, Sister!
context: Wow, so pretty!\Such beautiful flowers, Sister! response:	So glad we still have these kinds of places.
context: Wow, so pretty!\Such beautiful flowers, Sister!\So glad we still have these kinds of places. response:	Purple flowers all over the place.
context: Wow, so pretty!\Such beautiful flowers, Sister!\So glad we still have these kinds of places.\Purple flowers all over the place. response:	Do you know what this flower is?
context: Wow, so pretty!\Such beautiful flowers, Sister!\So glad we still have these kinds of places.\Purple flowers all over the place.\Do you know what this flower is? response:	Hm... I wonder what this is.
context: Wow, so pretty!\Such beautiful flowers, Sister!\So glad we still have these kinds of places.\Purple flowers all over the place.\Do you know what this flower is?\Hm... I wonder what this is. response:	I'm not so good with flower names.
context: Wow, so pretty!\Such beautiful flowers, Sister!\So glad we still have these kinds of places.\Purple flowers all over the place.\Do you know what this flower is?\Hm... I wonder what this is.\I'm not so good with flower names. response:	That flower is myosotis.
context: Wow, so pretty!\Such beautiful flowers, Sister!\So glad we still have these kinds of places.\Purple flowers all over the place.\Do you know what this flower is?\Hm... I wonder what this is.\I'm not so good with flower names.\That flower is myosotis. response:	Huh?
context: Such beautiful flowers, Sister!\So glad we still have these kinds of places.\Purple flowers all over the place.\Do you know what this flower is?\Hm... I wonder what this is.\I'm not so good with flower names.\That flower is myosotis.\Huh? response:	Hm... This is how myosotis look?
context: So glad we still have these kinds of places.\Purple flowers all over the place.\Do you know what this flower is?\Hm... I wonder what this is.\I'm not so good with flower names.\That flower is myosotis.\Huh?\Hm... This is how myosotis look? response:	Its floral phrases are Forget-me-not and True friendship.
context: Purple flowers all over the place.\Do you know what this flower is?\Hm... I wonder what this is.\I'm not so good with flower names.\That flower is myosotis.\Huh?\Hm... This is how myosotis look?\Its floral phrases are Forget-me-not and True friendship. response:	Thank you, Mr. Robot!
context: Do you know what this flower is?\Hm... I wonder what this is.\I'm not so good with flower names.\That flower is myosotis.\Huh?\Hm... This is how myosotis look?\Its floral phrases are Forget-me-not and True friendship.\Thank you, Mr. Robot! response:	My name is SEEK.
context: Hm... I wonder what this is.\I'm not so good with flower names.\That flower is myosotis.\Huh?\Hm... This is how myosotis look?\Its floral phrases are Forget-me-not and True friendship.\Thank you, Mr. Robot!\My name is SEEK. response:	Mine is Touka.
context: I'm not so good with flower names.\That flower is myosotis.\Huh?\Hm... This is how myosotis look?\Its floral phrases are Forget-me-not and True friendship.\Thank you, Mr. Robot!\My name is SEEK.\Mine is Touka. response:	This here is my sister, Karen.
context: That flower is myosotis.\Huh?\Hm... This is how myosotis look?\Its floral phrases are Forget-me-not and True friendship.\Thank you, Mr. Robot!\My name is SEEK.\Mine is Touka.\This here is my sister, Karen. response:	Touka-san, Karen-san, hello.
context: Huh?\Hm... This is how myosotis look?\Its floral phrases are Forget-me-not and True friendship.\Thank you, Mr. Robot!\My name is SEEK.\Mine is Touka.\This here is my sister, Karen.\Touka-san, Karen-san, hello. response:	I am property of city hall.
context: Hm... This is how myosotis look?\Its floral phrases are Forget-me-not and True friendship.\Thank you, Mr. Robot!\My name is SEEK.\Mine is Touka.\This here is my sister, Karen.\Touka-san, Karen-san, hello.\I am property of city hall. response:	I provide nursing, mowing, and street cleaning services.
context: Its floral phrases are Forget-me-not and True friendship.\Thank you, Mr. Robot!\My name is SEEK.\Mine is Touka.\This here is my sister, Karen.\Touka-san, Karen-san, hello.\I am property of city hall.\I provide nursing, mowing, and street cleaning services. response:	I provide useful services through continual study
context: Thank you, Mr. Robot!\My name is SEEK.\Mine is Touka.\This here is my sister, Karen.\Touka-san, Karen-san, hello.\I am property of city hall.\I provide nursing, mowing, and street cleaning services.\I provide useful services through continual study response:	and the acquisition of new information.
context: My name is SEEK.\Mine is Touka.\This here is my sister, Karen.\Touka-san, Karen-san, hello.\I am property of city hall.\I provide nursing, mowing, and street cleaning services.\I provide useful services through continual study\and the acquisition of new information. response:	Keep up the good work, SEEK!
context: Mine is Touka.\This here is my sister, Karen.\Touka-san, Karen-san, hello.\I am property of city hall.\I provide nursing, mowing, and street cleaning services.\I provide useful services through continual study\and the acquisition of new information.\Keep up the good work, SEEK! response:	Yes.
context: This here is my sister, Karen.\Touka-san, Karen-san, hello.\I am property of city hall.\I provide nursing, mowing, and street cleaning services.\I provide useful services through continual study\and the acquisition of new information.\Keep up the good work, SEEK!\Yes. response:	Excuse me, would you please be my friends?
context: Touka-san, Karen-san, hello.\I am property of city hall.\I provide nursing, mowing, and street cleaning services.\I provide useful services through continual study\and the acquisition of new information.\Keep up the good work, SEEK!\Yes.\Excuse me, would you please be my friends? response:	I have not any friends yet.
context: I am property of city hall.\I provide nursing, mowing, and street cleaning services.\I provide useful services through continual study\and the acquisition of new information.\Keep up the good work, SEEK!\Yes.\Excuse me, would you please be my friends?\I have not any friends yet. response:	Sure, sounds good!
context: I provide nursing, mowing, and street cleaning services.\I provide useful services through continual study\and the acquisition of new information.\Keep up the good work, SEEK!\Yes.\Excuse me, would you please be my friends?\I have not any friends yet.\Sure, sounds good! response:	Here.
context: I provide useful services through continual study\and the acquisition of new information.\Keep up the good work, SEEK!\Yes.\Excuse me, would you please be my friends?\I have not any friends yet.\Sure, sounds good!\Here. response:	I am your friend, SEEK.
context: and the acquisition of new information.\Keep up the good work, SEEK!\Yes.\Excuse me, would you please be my friends?\I have not any friends yet.\Sure, sounds good!\Here.\I am your friend, SEEK. response:	Thank you.
context: Keep up the good work, SEEK!\Yes.\Excuse me, would you please be my friends?\I have not any friends yet.\Sure, sounds good!\Here.\I am your friend, SEEK.\Thank you. response:	In five years, the machines took down human society.
context: Yes.\Excuse me, would you please be my friends?\I have not any friends yet.\Sure, sounds good!\Here.\I am your friend, SEEK.\Thank you.\In five years, the machines took down human society. response:	They sifted through the humans killing some
context: Excuse me, would you please be my friends?\I have not any friends yet.\Sure, sounds good!\Here.\I am your friend, SEEK.\Thank you.\In five years, the machines took down human society.\They sifted through the humans killing some response:	and allowing others to live.
context: I have not any friends yet.\Sure, sounds good!\Here.\I am your friend, SEEK.\Thank you.\In five years, the machines took down human society.\They sifted through the humans killing some\and allowing others to live. response:	My sister, Touka, was killed by the machines.
context: Sure, sounds good!\Here.\I am your friend, SEEK.\Thank you.\In five years, the machines took down human society.\They sifted through the humans killing some\and allowing others to live.\My sister, Touka, was killed by the machines. response:	But she is always with me.
context: Here.\I am your friend, SEEK.\Thank you.\In five years, the machines took down human society.\They sifted through the humans killing some\and allowing others to live.\My sister, Touka, was killed by the machines.\But she is always with me. response:	Come to think of it, Sis, you always get strawberry.
context: I am your friend, SEEK.\Thank you.\In five years, the machines took down human society.\They sifted through the humans killing some\and allowing others to live.\My sister, Touka, was killed by the machines.\But she is always with me.\Come to think of it, Sis, you always get strawberry. response:	Do I?
context: Thank you.\In five years, the machines took down human society.\They sifted through the humans killing some\and allowing others to live.\My sister, Touka, was killed by the machines.\But she is always with me.\Come to think of it, Sis, you always get strawberry.\Do I? response:	I like the color red.
context: In five years, the machines took down human society.\They sifted through the humans killing some\and allowing others to live.\My sister, Touka, was killed by the machines.\But she is always with me.\Come to think of it, Sis, you always get strawberry.\Do I?\I like the color red. response:	Can I have some?
context: They sifted through the humans killing some\and allowing others to live.\My sister, Touka, was killed by the machines.\But she is always with me.\Come to think of it, Sis, you always get strawberry.\Do I?\I like the color red.\Can I have some? response:	Sure.
context: and allowing others to live.\My sister, Touka, was killed by the machines.\But she is always with me.\Come to think of it, Sis, you always get strawberry.\Do I?\I like the color red.\Can I have some?\Sure. response:	Really?
context: My sister, Touka, was killed by the machines.\But she is always with me.\Come to think of it, Sis, you always get strawberry.\Do I?\I like the color red.\Can I have some?\Sure.\Really? response:	I believe this will be remembered as a tale of those who threw down
