context: The One-Eyed Transfer Student response:	Next Time
context: The One-Eyed Transfer Student\Next Time response:	Call of the Wild
context: The One-Eyed Transfer Student\Next Time\Call of the Wild response:	osore
context: The One-Eyed Transfer Student\Next Time\Call of the Wild\osore response:	living your life don't give up now keep moving on
context: The One-Eyed Transfer Student\Next Time\Call of the Wild\osore\living your life don't give up now keep moving on response:	kimi wo dakishimeru nandomo nandomo nandomo
context: The One-Eyed Transfer Student\Next Time\Call of the Wild\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo response:	ashita boku wa kimi ni deau darou
context: The One-Eyed Transfer Student\Next Time\Call of the Wild\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou response:	wazukana hoshiakari wo tayori ni
context: The One-Eyed Transfer Student\Next Time\Call of the Wild\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni response:	boku ni wa kimi ga wakaru yo wakaru yo
context: Next Time\Call of the Wild\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo response:	sen'oku no toki wo koe futari hiraku densetsu no tobira
context: Call of the Wild\osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira response:	naraku no ao tobikoete
context: osore\living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete response:	kimi to hai ni naru tame
context: living your life don't give up now keep moving on\kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame response:	nagaki rinne wo kanashimi tsurete tabi shitekitanda
context: kimi wo dakishimeru nandomo nandomo nandomo\ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda response:	zenryoku de mikansei kimi no tonari de
context: ashita boku wa kimi ni deau darou\wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de response:	kawaita kokoro hodoke chi wo nagasu kedo
context: wazukana hoshiakari wo tayori ni\boku ni wa kimi ga wakaru yo wakaru yo\sen'oku no toki wo koe futari hiraku densetsu no tobira\naraku no ao tobikoete\kimi to hai ni naru tame\nagaki rinne wo kanashimi tsurete tabi shitekitanda\zenryoku de mikansei kimi no tonari de\kawaita kokoro hodoke chi wo nagasu kedo response:	soba ni iru yo zutto yorisotte zutto
