context: Second Dish response:	Episode 1
context: Second Dish\Episode 1 response:	a culinary bastion that continues to produce world-renowned chefs.
context: Second Dish\Episode 1\a culinary bastion that continues to produce world-renowned chefs. response:	Cooking in Progress
context: Second Dish\Episode 1\a culinary bastion that continues to produce world-renowned chefs.\Cooking in Progress response:	Their high school first-years are contestants in the Autumn Elections,
context: Second Dish\Episode 1\a culinary bastion that continues to produce world-renowned chefs.\Cooking in Progress\Their high school first-years are contestants in the Autumn Elections, response:	which is now coming to a head.
context: Second Dish\Episode 1\a culinary bastion that continues to produce world-renowned chefs.\Cooking in Progress\Their high school first-years are contestants in the Autumn Elections,\which is now coming to a head. response:	Those who have survived the preliminary round
context: Second Dish\Episode 1\a culinary bastion that continues to produce world-renowned chefs.\Cooking in Progress\Their high school first-years are contestants in the Autumn Elections,\which is now coming to a head.\Those who have survived the preliminary round response:	are now preparing for the next battle.
context: Second Dish\Episode 1\a culinary bastion that continues to produce world-renowned chefs.\Cooking in Progress\Their high school first-years are contestants in the Autumn Elections,\which is now coming to a head.\Those who have survived the preliminary round\are now preparing for the next battle. response:	Polar Star Dormitory
context: Episode 1\a culinary bastion that continues to produce world-renowned chefs.\Cooking in Progress\Their high school first-years are contestants in the Autumn Elections,\which is now coming to a head.\Those who have survived the preliminary round\are now preparing for the next battle.\Polar Star Dormitory response:	All right!
context: a culinary bastion that continues to produce world-renowned chefs.\Cooking in Progress\Their high school first-years are contestants in the Autumn Elections,\which is now coming to a head.\Those who have survived the preliminary round\are now preparing for the next battle.\Polar Star Dormitory\All right! response:	Did I pack the petty knife?
context: Cooking in Progress\Their high school first-years are contestants in the Autumn Elections,\which is now coming to a head.\Those who have survived the preliminary round\are now preparing for the next battle.\Polar Star Dormitory\All right!\Did I pack the petty knife? response:	There it is...
context: Their high school first-years are contestants in the Autumn Elections,\which is now coming to a head.\Those who have survived the preliminary round\are now preparing for the next battle.\Polar Star Dormitory\All right!\Did I pack the petty knife?\There it is... response:	Did I pack the timer?!
context: which is now coming to a head.\Those who have survived the preliminary round\are now preparing for the next battle.\Polar Star Dormitory\All right!\Did I pack the petty knife?\There it is...\Did I pack the timer?! response:	There will only be an explanation about the main tournament today.
context: Those who have survived the preliminary round\are now preparing for the next battle.\Polar Star Dormitory\All right!\Did I pack the petty knife?\There it is...\Did I pack the timer?!\There will only be an explanation about the main tournament today. response:	Do you really need your tools?
context: are now preparing for the next battle.\Polar Star Dormitory\All right!\Did I pack the petty knife?\There it is...\Did I pack the timer?!\There will only be an explanation about the main tournament today.\Do you really need your tools? response:	Oh, right.
context: Polar Star Dormitory\All right!\Did I pack the petty knife?\There it is...\Did I pack the timer?!\There will only be an explanation about the main tournament today.\Do you really need your tools?\Oh, right. response:	Yeesh. You never change.
context: All right!\Did I pack the petty knife?\There it is...\Did I pack the timer?!\There will only be an explanation about the main tournament today.\Do you really need your tools?\Oh, right.\Yeesh. You never change. response:	Hey, Tadokoro.
context: Did I pack the petty knife?\There it is...\Did I pack the timer?!\There will only be an explanation about the main tournament today.\Do you really need your tools?\Oh, right.\Yeesh. You never change.\Hey, Tadokoro. response:	Our ride's here.
context: There it is...\Did I pack the timer?!\There will only be an explanation about the main tournament today.\Do you really need your tools?\Oh, right.\Yeesh. You never change.\Hey, Tadokoro.\Our ride's here. response:	Let's go!
context: Did I pack the timer?!\There will only be an explanation about the main tournament today.\Do you really need your tools?\Oh, right.\Yeesh. You never change.\Hey, Tadokoro.\Our ride's here.\Let's go! response:	The eight elites, none of whom lack individuality and expertise,
context: There will only be an explanation about the main tournament today.\Do you really need your tools?\Oh, right.\Yeesh. You never change.\Hey, Tadokoro.\Our ride's here.\Let's go!\The eight elites, none of whom lack individuality and expertise, response:	will wear themselves to the bone to ascend to the top!
context: Do you really need your tools?\Oh, right.\Yeesh. You never change.\Hey, Tadokoro.\Our ride's here.\Let's go!\The eight elites, none of whom lack individuality and expertise,\will wear themselves to the bone to ascend to the top! response:	The Autumn Elections' main tournament will now begin!
context: Oh, right.\Yeesh. You never change.\Hey, Tadokoro.\Our ride's here.\Let's go!\The eight elites, none of whom lack individuality and expertise,\will wear themselves to the bone to ascend to the top!\The Autumn Elections' main tournament will now begin! response:	What Fills the Box
context: Yeesh. You never change.\Hey, Tadokoro.\Our ride's here.\Let's go!\The eight elites, none of whom lack individuality and expertise,\will wear themselves to the bone to ascend to the top!\The Autumn Elections' main tournament will now begin!\What Fills the Box response:	Soma-kun, about the lottery results...
context: Hey, Tadokoro.\Our ride's here.\Let's go!\The eight elites, none of whom lack individuality and expertise,\will wear themselves to the bone to ascend to the top!\The Autumn Elections' main tournament will now begin!\What Fills the Box\Soma-kun, about the lottery results... response:	You'll be competing in the very first round.
context: Our ride's here.\Let's go!\The eight elites, none of whom lack individuality and expertise,\will wear themselves to the bone to ascend to the top!\The Autumn Elections' main tournament will now begin!\What Fills the Box\Soma-kun, about the lottery results...\You'll be competing in the very first round. response:	The theme for the round is bento.
context: Let's go!\The eight elites, none of whom lack individuality and expertise,\will wear themselves to the bone to ascend to the top!\The Autumn Elections' main tournament will now begin!\What Fills the Box\Soma-kun, about the lottery results...\You'll be competing in the very first round.\The theme for the round is bento. response:	Bento?
context: The eight elites, none of whom lack individuality and expertise,\will wear themselves to the bone to ascend to the top!\The Autumn Elections' main tournament will now begin!\What Fills the Box\Soma-kun, about the lottery results...\You'll be competing in the very first round.\The theme for the round is bento.\Bento? response:	You mean that bento?
context: will wear themselves to the bone to ascend to the top!\The Autumn Elections' main tournament will now begin!\What Fills the Box\Soma-kun, about the lottery results...\You'll be competing in the very first round.\The theme for the round is bento.\Bento?\You mean that bento? response:	That's right.
context: The Autumn Elections' main tournament will now begin!\What Fills the Box\Soma-kun, about the lottery results...\You'll be competing in the very first round.\The theme for the round is bento.\Bento?\You mean that bento?\That's right. response:	Finish all the necessary preparations today for the match tomorrow.
context: What Fills the Box\Soma-kun, about the lottery results...\You'll be competing in the very first round.\The theme for the round is bento.\Bento?\You mean that bento?\That's right.\Finish all the necessary preparations today for the match tomorrow. response:	Bento, huh... this academy's more down-to-earth than I thought.
context: Soma-kun, about the lottery results...\You'll be competing in the very first round.\The theme for the round is bento.\Bento?\You mean that bento?\That's right.\Finish all the necessary preparations today for the match tomorrow.\Bento, huh... this academy's more down-to-earth than I thought. response:	Ha.
context: You'll be competing in the very first round.\The theme for the round is bento.\Bento?\You mean that bento?\That's right.\Finish all the necessary preparations today for the match tomorrow.\Bento, huh... this academy's more down-to-earth than I thought.\Ha. response:	What are you talking about?
context: The theme for the round is bento.\Bento?\You mean that bento?\That's right.\Finish all the necessary preparations today for the match tomorrow.\Bento, huh... this academy's more down-to-earth than I thought.\Ha.\What are you talking about? response:	You're ignorant to the extreme.
context: Bento?\You mean that bento?\That's right.\Finish all the necessary preparations today for the match tomorrow.\Bento, huh... this academy's more down-to-earth than I thought.\Ha.\What are you talking about?\You're ignorant to the extreme. response:	Bento is a food culture unique to Japan.
context: You mean that bento?\That's right.\Finish all the necessary preparations today for the match tomorrow.\Bento, huh... this academy's more down-to-earth than I thought.\Ha.\What are you talking about?\You're ignorant to the extreme.\Bento is a food culture unique to Japan. response:	Gourmands have long loved bentos created from high-end seasonal ingredients.
context: That's right.\Finish all the necessary preparations today for the match tomorrow.\Bento, huh... this academy's more down-to-earth than I thought.\Ha.\What are you talking about?\You're ignorant to the extreme.\Bento is a food culture unique to Japan.\Gourmands have long loved bentos created from high-end seasonal ingredients. response:	Even prominent chefs overseas are familiar with bentos,
context: Finish all the necessary preparations today for the match tomorrow.\Bento, huh... this academy's more down-to-earth than I thought.\Ha.\What are you talking about?\You're ignorant to the extreme.\Bento is a food culture unique to Japan.\Gourmands have long loved bentos created from high-end seasonal ingredients.\Even prominent chefs overseas are familiar with bentos, response:	and the word has even been added to a French dictionary.
context: Bento, huh... this academy's more down-to-earth than I thought.\Ha.\What are you talking about?\You're ignorant to the extreme.\Bento is a food culture unique to Japan.\Gourmands have long loved bentos created from high-end seasonal ingredients.\Even prominent chefs overseas are familiar with bentos,\and the word has even been added to a French dictionary. response:	It is a theme that is justifiably appropriate for a celebration of food.
context: Ha.\What are you talking about?\You're ignorant to the extreme.\Bento is a food culture unique to Japan.\Gourmands have long loved bentos created from high-end seasonal ingredients.\Even prominent chefs overseas are familiar with bentos,\and the word has even been added to a French dictionary.\It is a theme that is justifiably appropriate for a celebration of food. response:	It's an entirely different beast from the B-grade gourmet food you're an expert in!
context: What are you talking about?\You're ignorant to the extreme.\Bento is a food culture unique to Japan.\Gourmands have long loved bentos created from high-end seasonal ingredients.\Even prominent chefs overseas are familiar with bentos,\and the word has even been added to a French dictionary.\It is a theme that is justifiably appropriate for a celebration of food.\It's an entirely different beast from the B-grade gourmet food you're an expert in! response:	I've gotta say, I'm still not a fan of that side of your personality.
context: You're ignorant to the extreme.\Bento is a food culture unique to Japan.\Gourmands have long loved bentos created from high-end seasonal ingredients.\Even prominent chefs overseas are familiar with bentos,\and the word has even been added to a French dictionary.\It is a theme that is justifiably appropriate for a celebration of food.\It's an entirely different beast from the B-grade gourmet food you're an expert in!\I've gotta say, I'm still not a fan of that side of your personality. response:	I'm pretty good at talking with people, but man, Nakiri, you're something else.
context: Bento is a food culture unique to Japan.\Gourmands have long loved bentos created from high-end seasonal ingredients.\Even prominent chefs overseas are familiar with bentos,\and the word has even been added to a French dictionary.\It is a theme that is justifiably appropriate for a celebration of food.\It's an entirely different beast from the B-grade gourmet food you're an expert in!\I've gotta say, I'm still not a fan of that side of your personality.\I'm pretty good at talking with people, but man, Nakiri, you're something else. response:	What?!
context: Gourmands have long loved bentos created from high-end seasonal ingredients.\Even prominent chefs overseas are familiar with bentos,\and the word has even been added to a French dictionary.\It is a theme that is justifiably appropriate for a celebration of food.\It's an entirely different beast from the B-grade gourmet food you're an expert in!\I've gotta say, I'm still not a fan of that side of your personality.\I'm pretty good at talking with people, but man, Nakiri, you're something else.\What?! response:	Things were pretty tense between us on our way back from camp, too!
context: Even prominent chefs overseas are familiar with bentos,\and the word has even been added to a French dictionary.\It is a theme that is justifiably appropriate for a celebration of food.\It's an entirely different beast from the B-grade gourmet food you're an expert in!\I've gotta say, I'm still not a fan of that side of your personality.\I'm pretty good at talking with people, but man, Nakiri, you're something else.\What?!\Things were pretty tense between us on our way back from camp, too! response:	What's your point?!
context: and the word has even been added to a French dictionary.\It is a theme that is justifiably appropriate for a celebration of food.\It's an entirely different beast from the B-grade gourmet food you're an expert in!\I've gotta say, I'm still not a fan of that side of your personality.\I'm pretty good at talking with people, but man, Nakiri, you're something else.\What?!\Things were pretty tense between us on our way back from camp, too!\What's your point?! response:	I have no idea what you're getting at!
context: It is a theme that is justifiably appropriate for a celebration of food.\It's an entirely different beast from the B-grade gourmet food you're an expert in!\I've gotta say, I'm still not a fan of that side of your personality.\I'm pretty good at talking with people, but man, Nakiri, you're something else.\What?!\Things were pretty tense between us on our way back from camp, too!\What's your point?!\I have no idea what you're getting at! response:	You're irritating me!
context: It's an entirely different beast from the B-grade gourmet food you're an expert in!\I've gotta say, I'm still not a fan of that side of your personality.\I'm pretty good at talking with people, but man, Nakiri, you're something else.\What?!\Things were pretty tense between us on our way back from camp, too!\What's your point?!\I have no idea what you're getting at!\You're irritating me! response:	Oh, this is odd.
context: I've gotta say, I'm still not a fan of that side of your personality.\I'm pretty good at talking with people, but man, Nakiri, you're something else.\What?!\Things were pretty tense between us on our way back from camp, too!\What's your point?!\I have no idea what you're getting at!\You're irritating me!\Oh, this is odd. response:	She don't usually raise her voice.
context: I'm pretty good at talking with people, but man, Nakiri, you're something else.\What?!\Things were pretty tense between us on our way back from camp, too!\What's your point?!\I have no idea what you're getting at!\You're irritating me!\Oh, this is odd.\She don't usually raise her voice. response:	Ah, I have a visitor regarding an unrelated topic.
context: What?!\Things were pretty tense between us on our way back from camp, too!\What's your point?!\I have no idea what you're getting at!\You're irritating me!\Oh, this is odd.\She don't usually raise her voice.\Ah, I have a visitor regarding an unrelated topic. response:	Excuse me.
context: Things were pretty tense between us on our way back from camp, too!\What's your point?!\I have no idea what you're getting at!\You're irritating me!\Oh, this is odd.\She don't usually raise her voice.\Ah, I have a visitor regarding an unrelated topic.\Excuse me. response:	Yukihira Soma.
context: What's your point?!\I have no idea what you're getting at!\You're irritating me!\Oh, this is odd.\She don't usually raise her voice.\Ah, I have a visitor regarding an unrelated topic.\Excuse me.\Yukihira Soma. response:	Try your best to make it through the rounds.
context: I have no idea what you're getting at!\You're irritating me!\Oh, this is odd.\She don't usually raise her voice.\Ah, I have a visitor regarding an unrelated topic.\Excuse me.\Yukihira Soma.\Try your best to make it through the rounds. response:	It'd be quite a downer if you were to fail in the very first round.
context: You're irritating me!\Oh, this is odd.\She don't usually raise her voice.\Ah, I have a visitor regarding an unrelated topic.\Excuse me.\Yukihira Soma.\Try your best to make it through the rounds.\It'd be quite a downer if you were to fail in the very first round. response:	So, who am I going up against?
context: Oh, this is odd.\She don't usually raise her voice.\Ah, I have a visitor regarding an unrelated topic.\Excuse me.\Yukihira Soma.\Try your best to make it through the rounds.\It'd be quite a downer if you were to fail in the very first round.\So, who am I going up against? response:	The 43rd Autumn Elections
context: She don't usually raise her voice.\Ah, I have a visitor regarding an unrelated topic.\Excuse me.\Yukihira Soma.\Try your best to make it through the rounds.\It'd be quite a downer if you were to fail in the very first round.\So, who am I going up against?\The 43rd Autumn Elections response:	The Following Day Getten Hall
context: Ah, I have a visitor regarding an unrelated topic.\Excuse me.\Yukihira Soma.\Try your best to make it through the rounds.\It'd be quite a downer if you were to fail in the very first round.\So, who am I going up against?\The 43rd Autumn Elections\The Following Day Getten Hall response:	Thank you for your patience!
