context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him, response:	completely wiped out Oracion Seis!
context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him,\completely wiped out Oracion Seis! response:	Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations,
context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him,\completely wiped out Oracion Seis!\Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations, response:	and will accomplish quite a lot again this episode-men!
context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him,\completely wiped out Oracion Seis!\Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations,\and will accomplish quite a lot again this episode-men! response:	Was that what actually happened?
context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him,\completely wiped out Oracion Seis!\Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations,\and will accomplish quite a lot again this episode-men!\Was that what actually happened? response:	Nirvana: The ultra-inversion magic which swaps light for darkness.
context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him,\completely wiped out Oracion Seis!\Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations,\and will accomplish quite a lot again this episode-men!\Was that what actually happened?\Nirvana: The ultra-inversion magic which swaps light for darkness. response:	The Nivirt: A race which once sealed away Nirvana.
context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him,\completely wiped out Oracion Seis!\Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations,\and will accomplish quite a lot again this episode-men!\Was that what actually happened?\Nirvana: The ultra-inversion magic which swaps light for darkness.\The Nivirt: A race which once sealed away Nirvana. response:	Caitshelter: The guild of their descendants.
context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him,\completely wiped out Oracion Seis!\Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations,\and will accomplish quite a lot again this episode-men!\Was that what actually happened?\Nirvana: The ultra-inversion magic which swaps light for darkness.\The Nivirt: A race which once sealed away Nirvana.\Caitshelter: The guild of their descendants. response:	Zero: The Master of Oracion Seis,
context: completely wiped out Oracion Seis!\Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations,\and will accomplish quite a lot again this episode-men!\Was that what actually happened?\Nirvana: The ultra-inversion magic which swaps light for darkness.\The Nivirt: A race which once sealed away Nirvana.\Caitshelter: The guild of their descendants.\Zero: The Master of Oracion Seis, response:	and right now, he is aiming Nirvana's cannon straight at Caitshelter!
context: Shaking off my honey, Erza-san's tearful visage, Ichiya lived up to everyone's expectations,\and will accomplish quite a lot again this episode-men!\Was that what actually happened?\Nirvana: The ultra-inversion magic which swaps light for darkness.\The Nivirt: A race which once sealed away Nirvana.\Caitshelter: The guild of their descendants.\Zero: The Master of Oracion Seis,\and right now, he is aiming Nirvana's cannon straight at Caitshelter! response:	Natsu and the gang's final battle has started, in order to stop Nirvana!
context: and will accomplish quite a lot again this episode-men!\Was that what actually happened?\Nirvana: The ultra-inversion magic which swaps light for darkness.\The Nivirt: A race which once sealed away Nirvana.\Caitshelter: The guild of their descendants.\Zero: The Master of Oracion Seis,\and right now, he is aiming Nirvana's cannon straight at Caitshelter!\Natsu and the gang's final battle has started, in order to stop Nirvana! response:	The power... The power of my friends flows throughout my body!
context: Was that what actually happened?\Nirvana: The ultra-inversion magic which swaps light for darkness.\The Nivirt: A race which once sealed away Nirvana.\Caitshelter: The guild of their descendants.\Zero: The Master of Oracion Seis,\and right now, he is aiming Nirvana's cannon straight at Caitshelter!\Natsu and the gang's final battle has started, in order to stop Nirvana!\The power... The power of my friends flows throughout my body! response:	I will give you true nothingness.
context: Nirvana: The ultra-inversion magic which swaps light for darkness.\The Nivirt: A race which once sealed away Nirvana.\Caitshelter: The guild of their descendants.\Zero: The Master of Oracion Seis,\and right now, he is aiming Nirvana's cannon straight at Caitshelter!\Natsu and the gang's final battle has started, in order to stop Nirvana!\The power... The power of my friends flows throughout my body!\I will give you true nothingness. response:	Blazing Explosive Flame Edge!
context: The Nivirt: A race which once sealed away Nirvana.\Caitshelter: The guild of their descendants.\Zero: The Master of Oracion Seis,\and right now, he is aiming Nirvana's cannon straight at Caitshelter!\Natsu and the gang's final battle has started, in order to stop Nirvana!\The power... The power of my friends flows throughout my body!\I will give you true nothingness.\Blazing Explosive Flame Edge! response:	I'm With You!
context: Caitshelter: The guild of their descendants.\Zero: The Master of Oracion Seis,\and right now, he is aiming Nirvana's cannon straight at Caitshelter!\Natsu and the gang's final battle has started, in order to stop Nirvana!\The power... The power of my friends flows throughout my body!\I will give you true nothingness.\Blazing Explosive Flame Edge!\I'm With You! response:	It's time! Everyone, I'm counting on you!
context: Zero: The Master of Oracion Seis,\and right now, he is aiming Nirvana's cannon straight at Caitshelter!\Natsu and the gang's final battle has started, in order to stop Nirvana!\The power... The power of my friends flows throughout my body!\I will give you true nothingness.\Blazing Explosive Flame Edge!\I'm With You!\It's time! Everyone, I'm counting on you! response:	Gate of the Golden Bull, we open thee!
context: and right now, he is aiming Nirvana's cannon straight at Caitshelter!\Natsu and the gang's final battle has started, in order to stop Nirvana!\The power... The power of my friends flows throughout my body!\I will give you true nothingness.\Blazing Explosive Flame Edge!\I'm With You!\It's time! Everyone, I'm counting on you!\Gate of the Golden Bull, we open thee! response:	Taurus!
context: Natsu and the gang's final battle has started, in order to stop Nirvana!\The power... The power of my friends flows throughout my body!\I will give you true nothingness.\Blazing Explosive Flame Edge!\I'm With You!\It's time! Everyone, I'm counting on you!\Gate of the Golden Bull, we open thee!\Taurus! response:	Alright!
context: The power... The power of my friends flows throughout my body!\I will give you true nothingness.\Blazing Explosive Flame Edge!\I'm With You!\It's time! Everyone, I'm counting on you!\Gate of the Golden Bull, we open thee!\Taurus!\Alright! response:	We're counting on you, Taurus!
context: I will give you true nothingness.\Blazing Explosive Flame Edge!\I'm With You!\It's time! Everyone, I'm counting on you!\Gate of the Golden Bull, we open thee!\Taurus!\Alright!\We're counting on you, Taurus! response:	Leave it to me, nice bodied-babes!
context: Blazing Explosive Flame Edge!\I'm With You!\It's time! Everyone, I'm counting on you!\Gate of the Golden Bull, we open thee!\Taurus!\Alright!\We're counting on you, Taurus!\Leave it to me, nice bodied-babes! response:	Parfum of Power... Maximum Power!
context: I'm With You!\It's time! Everyone, I'm counting on you!\Gate of the Golden Bull, we open thee!\Taurus!\Alright!\We're counting on you, Taurus!\Leave it to me, nice bodied-babes!\Parfum of Power... Maximum Power! response:	Men!
context: It's time! Everyone, I'm counting on you!\Gate of the Golden Bull, we open thee!\Taurus!\Alright!\We're counting on you, Taurus!\Leave it to me, nice bodied-babes!\Parfum of Power... Maximum Power!\Men! response:	Requip!
context: Gate of the Golden Bull, we open thee!\Taurus!\Alright!\We're counting on you, Taurus!\Leave it to me, nice bodied-babes!\Parfum of Power... Maximum Power!\Men!\Requip! response:	Black Wing Armor!
context: Taurus!\Alright!\We're counting on you, Taurus!\Leave it to me, nice bodied-babes!\Parfum of Power... Maximum Power!\Men!\Requip!\Black Wing Armor! response:	Here I go!
context: Alright!\We're counting on you, Taurus!\Leave it to me, nice bodied-babes!\Parfum of Power... Maximum Power!\Men!\Requip!\Black Wing Armor!\Here I go! response:	Grandine... Give me the power!
context: We're counting on you, Taurus!\Leave it to me, nice bodied-babes!\Parfum of Power... Maximum Power!\Men!\Requip!\Black Wing Armor!\Here I go!\Grandine... Give me the power! response:	Wendy... Concentrate! You can do it!
context: Leave it to me, nice bodied-babes!\Parfum of Power... Maximum Power!\Men!\Requip!\Black Wing Armor!\Here I go!\Grandine... Give me the power!\Wendy... Concentrate! You can do it! response:	Before me, history ends.
context: Parfum of Power... Maximum Power!\Men!\Requip!\Black Wing Armor!\Here I go!\Grandine... Give me the power!\Wendy... Concentrate! You can do it!\Before me, history ends. response:	The curtain shall rise on the Era of Nil.
context: Men!\Requip!\Black Wing Armor!\Here I go!\Grandine... Give me the power!\Wendy... Concentrate! You can do it!\Before me, history ends.\The curtain shall rise on the Era of Nil. response:	Genesis Zero!
context: Requip!\Black Wing Armor!\Here I go!\Grandine... Give me the power!\Wendy... Concentrate! You can do it!\Before me, history ends.\The curtain shall rise on the Era of Nil.\Genesis Zero! response:	I cast open the Gate of Wraithwail!
context: Black Wing Armor!\Here I go!\Grandine... Give me the power!\Wendy... Concentrate! You can do it!\Before me, history ends.\The curtain shall rise on the Era of Nil.\Genesis Zero!\I cast open the Gate of Wraithwail! response:	People of the nil, erase this person's existence, devour his very memory and soul!
context: Here I go!\Grandine... Give me the power!\Wendy... Concentrate! You can do it!\Before me, history ends.\The curtain shall rise on the Era of Nil.\Genesis Zero!\I cast open the Gate of Wraithwail!\People of the nil, erase this person's existence, devour his very memory and soul! response:	Begone! Begone before the name of Zero!
context: Grandine... Give me the power!\Wendy... Concentrate! You can do it!\Before me, history ends.\The curtain shall rise on the Era of Nil.\Genesis Zero!\I cast open the Gate of Wraithwail!\People of the nil, erase this person's existence, devour his very memory and soul!\Begone! Begone before the name of Zero! response:	Now you are also a resident of the land of nil.
context: Wendy... Concentrate! You can do it!\Before me, history ends.\The curtain shall rise on the Era of Nil.\Genesis Zero!\I cast open the Gate of Wraithwail!\People of the nil, erase this person's existence, devour his very memory and soul!\Begone! Begone before the name of Zero!\Now you are also a resident of the land of nil. response:	It is over.
context: Before me, history ends.\The curtain shall rise on the Era of Nil.\Genesis Zero!\I cast open the Gate of Wraithwail!\People of the nil, erase this person's existence, devour his very memory and soul!\Begone! Begone before the name of Zero!\Now you are also a resident of the land of nil.\It is over. response:	What the... Damn it... I can't see anything.
context: The curtain shall rise on the Era of Nil.\Genesis Zero!\I cast open the Gate of Wraithwail!\People of the nil, erase this person's existence, devour his very memory and soul!\Begone! Begone before the name of Zero!\Now you are also a resident of the land of nil.\It is over.\What the... Damn it... I can't see anything. response:	All my strength is gone...
context: Genesis Zero!\I cast open the Gate of Wraithwail!\People of the nil, erase this person's existence, devour his very memory and soul!\Begone! Begone before the name of Zero!\Now you are also a resident of the land of nil.\It is over.\What the... Damn it... I can't see anything.\All my strength is gone... response:	Damn it all...
context: I cast open the Gate of Wraithwail!\People of the nil, erase this person's existence, devour his very memory and soul!\Begone! Begone before the name of Zero!\Now you are also a resident of the land of nil.\It is over.\What the... Damn it... I can't see anything.\All my strength is gone...\Damn it all... response:	Natsu!
context: People of the nil, erase this person's existence, devour his very memory and soul!\Begone! Begone before the name of Zero!\Now you are also a resident of the land of nil.\It is over.\What the... Damn it... I can't see anything.\All my strength is gone...\Damn it all...\Natsu! response:	What is the matter? You'll be defeated from something like this?
