context: Hajime-chan, you were already my favorite the moment I met you. response:	I felt you accepted me for who I was right away,
context: Hajime-chan, you were already my favorite the moment I met you.\I felt you accepted me for who I was right away, response:	and that made me so happy.
context: Hajime-chan, you were already my favorite the moment I met you.\I felt you accepted me for who I was right away,\and that made me so happy. response:	You're always like that, aren't you?
context: Hajime-chan, you were already my favorite the moment I met you.\I felt you accepted me for who I was right away,\and that made me so happy.\You're always like that, aren't you? response:	You don't care at all about appearances or labels.
context: Hajime-chan, you were already my favorite the moment I met you.\I felt you accepted me for who I was right away,\and that made me so happy.\You're always like that, aren't you?\You don't care at all about appearances or labels. response:	You look right at the person in front of you.
context: Hajime-chan, you were already my favorite the moment I met you.\I felt you accepted me for who I was right away,\and that made me so happy.\You're always like that, aren't you?\You don't care at all about appearances or labels.\You look right at the person in front of you. response:	You bypass conventions that everyone's going along with,
context: Hajime-chan, you were already my favorite the moment I met you.\I felt you accepted me for who I was right away,\and that made me so happy.\You're always like that, aren't you?\You don't care at all about appearances or labels.\You look right at the person in front of you.\You bypass conventions that everyone's going along with, response:	with such careless ease.
context: Hajime-chan, you were already my favorite the moment I met you.\I felt you accepted me for who I was right away,\and that made me so happy.\You're always like that, aren't you?\You don't care at all about appearances or labels.\You look right at the person in front of you.\You bypass conventions that everyone's going along with,\with such careless ease. response:	Well, like...
context: I felt you accepted me for who I was right away,\and that made me so happy.\You're always like that, aren't you?\You don't care at all about appearances or labels.\You look right at the person in front of you.\You bypass conventions that everyone's going along with,\with such careless ease.\Well, like... response:	There's no point in cutting them down.
context: and that made me so happy.\You're always like that, aren't you?\You don't care at all about appearances or labels.\You look right at the person in front of you.\You bypass conventions that everyone's going along with,\with such careless ease.\Well, like...\There's no point in cutting them down. response:	Oh, more importantly,
context: You're always like that, aren't you?\You don't care at all about appearances or labels.\You look right at the person in front of you.\You bypass conventions that everyone's going along with,\with such careless ease.\Well, like...\There's no point in cutting them down.\Oh, more importantly, response:	it's like, I haven't really met them!
context: You don't care at all about appearances or labels.\You look right at the person in front of you.\You bypass conventions that everyone's going along with,\with such careless ease.\Well, like...\There's no point in cutting them down.\Oh, more importantly,\it's like, I haven't really met them! response:	Yeah, that's it!
context: You look right at the person in front of you.\You bypass conventions that everyone's going along with,\with such careless ease.\Well, like...\There's no point in cutting them down.\Oh, more importantly,\it's like, I haven't really met them!\Yeah, that's it! response:	That's why even Utsutsu, who never opened up to anyone before...
context: You bypass conventions that everyone's going along with,\with such careless ease.\Well, like...\There's no point in cutting them down.\Oh, more importantly,\it's like, I haven't really met them!\Yeah, that's it!\That's why even Utsutsu, who never opened up to anyone before... response:	Whoa!
context: with such careless ease.\Well, like...\There's no point in cutting them down.\Oh, more importantly,\it's like, I haven't really met them!\Yeah, that's it!\That's why even Utsutsu, who never opened up to anyone before...\Whoa! response:	Are you trying to reject the basic premise of Gatchaman?
context: Well, like...\There's no point in cutting them down.\Oh, more importantly,\it's like, I haven't really met them!\Yeah, that's it!\That's why even Utsutsu, who never opened up to anyone before...\Whoa!\Are you trying to reject the basic premise of Gatchaman? response:	I've been alive for three centuries,
context: There's no point in cutting them down.\Oh, more importantly,\it's like, I haven't really met them!\Yeah, that's it!\That's why even Utsutsu, who never opened up to anyone before...\Whoa!\Are you trying to reject the basic premise of Gatchaman?\I've been alive for three centuries, response:	but I've never met anyone like you.
context: Oh, more importantly,\it's like, I haven't really met them!\Yeah, that's it!\That's why even Utsutsu, who never opened up to anyone before...\Whoa!\Are you trying to reject the basic premise of Gatchaman?\I've been alive for three centuries,\but I've never met anyone like you. response:	I have a feeling that you'll change us lonely caged birds
