context: Natsu, why are you here? response:	Don't go scarin' me like that.
context: Natsu, why are you here?\Don't go scarin' me like that. response:	Natsu...
context: Natsu, why are you here?\Don't go scarin' me like that.\Natsu... response:	Natsu!
context: Natsu, why are you here?\Don't go scarin' me like that.\Natsu...\Natsu! response:	What's with you? Weren't we heading to the top?
context: Natsu, why are you here?\Don't go scarin' me like that.\Natsu...\Natsu!\What's with you? Weren't we heading to the top? response:	I don't really get it, but I smelled somethin' really freaky.
context: Natsu, why are you here?\Don't go scarin' me like that.\Natsu...\Natsu!\What's with you? Weren't we heading to the top?\I don't really get it, but I smelled somethin' really freaky. response:	W-What's that?
context: Natsu, why are you here?\Don't go scarin' me like that.\Natsu...\Natsu!\What's with you? Weren't we heading to the top?\I don't really get it, but I smelled somethin' really freaky.\W-What's that? response:	The trees around him are...
context: Natsu, why are you here?\Don't go scarin' me like that.\Natsu...\Natsu!\What's with you? Weren't we heading to the top?\I don't really get it, but I smelled somethin' really freaky.\W-What's that?\The trees around him are... response:	They're dieing!
context: Don't go scarin' me like that.\Natsu...\Natsu!\What's with you? Weren't we heading to the top?\I don't really get it, but I smelled somethin' really freaky.\W-What's that?\The trees around him are...\They're dieing! response:	Black Wizard.
context: Natsu...\Natsu!\What's with you? Weren't we heading to the top?\I don't really get it, but I smelled somethin' really freaky.\W-What's that?\The trees around him are...\They're dieing!\Black Wizard. response:	Is that his magic?
context: Natsu!\What's with you? Weren't we heading to the top?\I don't really get it, but I smelled somethin' really freaky.\W-What's that?\The trees around him are...\They're dieing!\Black Wizard.\Is that his magic? response:	You don't see that every day.
context: What's with you? Weren't we heading to the top?\I don't really get it, but I smelled somethin' really freaky.\W-What's that?\The trees around him are...\They're dieing!\Black Wizard.\Is that his magic?\You don't see that every day. response:	What the hell is he?
context: I don't really get it, but I smelled somethin' really freaky.\W-What's that?\The trees around him are...\They're dieing!\Black Wizard.\Is that his magic?\You don't see that every day.\What the hell is he? response:	I don't know who you are, but this island belongs to our guild!
context: W-What's that?\The trees around him are...\They're dieing!\Black Wizard.\Is that his magic?\You don't see that every day.\What the hell is he?\I don't know who you are, but this island belongs to our guild! response:	Don't go bustin' in on our exam!
context: The trees around him are...\They're dieing!\Black Wizard.\Is that his magic?\You don't see that every day.\What the hell is he?\I don't know who you are, but this island belongs to our guild!\Don't go bustin' in on our exam! response:	You've... grown up nice and strong.
