context: Where is this? response:	The spot where a giant demon known as Ryukotsusei was sealed.
context: Where is this?\The spot where a giant demon known as Ryukotsusei was sealed. response:	But...
context: Where is this?\The spot where a giant demon known as Ryukotsusei was sealed.\But... response:	To destroy it totally without leaving a trace of it...
context: Where is this?\The spot where a giant demon known as Ryukotsusei was sealed.\But...\To destroy it totally without leaving a trace of it... response:	Lord Sesshomaru, is this really the work of Inuyasha?
context: Where is this?\The spot where a giant demon known as Ryukotsusei was sealed.\But...\To destroy it totally without leaving a trace of it...\Lord Sesshomaru, is this really the work of Inuyasha? response:	But I don't know just how he did it.
context: Where is this?\The spot where a giant demon known as Ryukotsusei was sealed.\But...\To destroy it totally without leaving a trace of it...\Lord Sesshomaru, is this really the work of Inuyasha?\But I don't know just how he did it. response:	Hmm...
context: Where is this?\The spot where a giant demon known as Ryukotsusei was sealed.\But...\To destroy it totally without leaving a trace of it...\Lord Sesshomaru, is this really the work of Inuyasha?\But I don't know just how he did it.\Hmm... response:	Imagine that Inuyasha defeating Ryukotsusei.
context: Where is this?\The spot where a giant demon known as Ryukotsusei was sealed.\But...\To destroy it totally without leaving a trace of it...\Lord Sesshomaru, is this really the work of Inuyasha?\But I don't know just how he did it.\Hmm...\Imagine that Inuyasha defeating Ryukotsusei. response:	It took everything in your father's power to put Ryukotsusei under seal.
context: The spot where a giant demon known as Ryukotsusei was sealed.\But...\To destroy it totally without leaving a trace of it...\Lord Sesshomaru, is this really the work of Inuyasha?\But I don't know just how he did it.\Hmm...\Imagine that Inuyasha defeating Ryukotsusei.\It took everything in your father's power to put Ryukotsusei under seal. response:	And that Inuyasha...
context: But...\To destroy it totally without leaving a trace of it...\Lord Sesshomaru, is this really the work of Inuyasha?\But I don't know just how he did it.\Hmm...\Imagine that Inuyasha defeating Ryukotsusei.\It took everything in your father's power to put Ryukotsusei under seal.\And that Inuyasha... response:	Oh, don't leave me, Lord Sesshomaru!
context: To destroy it totally without leaving a trace of it...\Lord Sesshomaru, is this really the work of Inuyasha?\But I don't know just how he did it.\Hmm...\Imagine that Inuyasha defeating Ryukotsusei.\It took everything in your father's power to put Ryukotsusei under seal.\And that Inuyasha...\Oh, don't leave me, Lord Sesshomaru! response:	Huh?
context: Lord Sesshomaru, is this really the work of Inuyasha?\But I don't know just how he did it.\Hmm...\Imagine that Inuyasha defeating Ryukotsusei.\It took everything in your father's power to put Ryukotsusei under seal.\And that Inuyasha...\Oh, don't leave me, Lord Sesshomaru!\Huh? response:	What's the matter, Koga?
