context: Your Holiness! response:	I-I can't believe it...
context: Your Holiness!\I-I can't believe it... response:	The Pope...
context: Your Holiness!\I-I can't believe it...\The Pope... response:	His Holiness...
context: Your Holiness!\I-I can't believe it...\The Pope...\His Holiness... response:	W-Was eaten?!
context: Your Holiness!\I-I can't believe it...\The Pope...\His Holiness...\W-Was eaten?! response:	R-Retreat!
context: Your Holiness!\I-I can't believe it...\The Pope...\His Holiness...\W-Was eaten?!\R-Retreat! response:	All men retreat!
context: Your Holiness!\I-I can't believe it...\The Pope...\His Holiness...\W-Was eaten?!\R-Retreat!\All men retreat! response:	Saito? Saito!
context: Your Holiness!\I-I can't believe it...\The Pope...\His Holiness...\W-Was eaten?!\R-Retreat!\All men retreat!\Saito? Saito! response:	No, you've got to hold on!
context: I-I can't believe it...\The Pope...\His Holiness...\W-Was eaten?!\R-Retreat!\All men retreat!\Saito? Saito!\No, you've got to hold on! response:	Saito!
context: The Pope...\His Holiness...\W-Was eaten?!\R-Retreat!\All men retreat!\Saito? Saito!\No, you've got to hold on!\Saito! response:	Louise's Choice
context: His Holiness...\W-Was eaten?!\R-Retreat!\All men retreat!\Saito? Saito!\No, you've got to hold on!\Saito!\Louise's Choice response:	So long, pal.
context: W-Was eaten?!\R-Retreat!\All men retreat!\Saito? Saito!\No, you've got to hold on!\Saito!\Louise's Choice\So long, pal. response:	Derf...
context: R-Retreat!\All men retreat!\Saito? Saito!\No, you've got to hold on!\Saito!\Louise's Choice\So long, pal.\Derf... response:	Derf!
context: All men retreat!\Saito? Saito!\No, you've got to hold on!\Saito!\Louise's Choice\So long, pal.\Derf...\Derf! response:	Saito!
context: Saito? Saito!\No, you've got to hold on!\Saito!\Louise's Choice\So long, pal.\Derf...\Derf!\Saito! response:	-Saito! -Saito!
context: No, you've got to hold on!\Saito!\Louise's Choice\So long, pal.\Derf...\Derf!\Saito!\-Saito! -Saito! response:	Where am I?
context: Saito!\Louise's Choice\So long, pal.\Derf...\Derf!\Saito!\-Saito! -Saito!\Where am I? response:	We're in the Versailles Palace in Lutece.
context: Louise's Choice\So long, pal.\Derf...\Derf!\Saito!\-Saito! -Saito!\Where am I?\We're in the Versailles Palace in Lutece. response:	We came back.
context: So long, pal.\Derf...\Derf!\Saito!\-Saito! -Saito!\Where am I?\We're in the Versailles Palace in Lutece.\We came back. response:	In Lutece?
context: Derf...\Derf!\Saito!\-Saito! -Saito!\Where am I?\We're in the Versailles Palace in Lutece.\We came back.\In Lutece? response:	Wait, what about the Ancient Dragon?
context: Derf!\Saito!\-Saito! -Saito!\Where am I?\We're in the Versailles Palace in Lutece.\We came back.\In Lutece?\Wait, what about the Ancient Dragon? response:	What happened to the dragon?
context: Saito!\-Saito! -Saito!\Where am I?\We're in the Versailles Palace in Lutece.\We came back.\In Lutece?\Wait, what about the Ancient Dragon?\What happened to the dragon? response:	Don't worry.
context: -Saito! -Saito!\Where am I?\We're in the Versailles Palace in Lutece.\We came back.\In Lutece?\Wait, what about the Ancient Dragon?\What happened to the dragon?\Don't worry. response:	For now...
context: Where am I?\We're in the Versailles Palace in Lutece.\We came back.\In Lutece?\Wait, what about the Ancient Dragon?\What happened to the dragon?\Don't worry.\For now... response:	It stopped?
context: We're in the Versailles Palace in Lutece.\We came back.\In Lutece?\Wait, what about the Ancient Dragon?\What happened to the dragon?\Don't worry.\For now...\It stopped? response:	Yes, it suddenly stopped after passing through the valley of Oltia.
context: We came back.\In Lutece?\Wait, what about the Ancient Dragon?\What happened to the dragon?\Don't worry.\For now...\It stopped?\Yes, it suddenly stopped after passing through the valley of Oltia. response:	I saw it, too!
context: In Lutece?\Wait, what about the Ancient Dragon?\What happened to the dragon?\Don't worry.\For now...\It stopped?\Yes, it suddenly stopped after passing through the valley of Oltia.\I saw it, too! response:	That huge thing curled up and solidified like a rock!
context: Wait, what about the Ancient Dragon?\What happened to the dragon?\Don't worry.\For now...\It stopped?\Yes, it suddenly stopped after passing through the valley of Oltia.\I saw it, too!\That huge thing curled up and solidified like a rock! response:	Could it be that the power
context: What happened to the dragon?\Don't worry.\For now...\It stopped?\Yes, it suddenly stopped after passing through the valley of Oltia.\I saw it, too!\That huge thing curled up and solidified like a rock!\Could it be that the power response:	of His Holiness defeated the dragon?
context: Don't worry.\For now...\It stopped?\Yes, it suddenly stopped after passing through the valley of Oltia.\I saw it, too!\That huge thing curled up and solidified like a rock!\Could it be that the power\of His Holiness defeated the dragon? response:	I'm afraid not.
context: For now...\It stopped?\Yes, it suddenly stopped after passing through the valley of Oltia.\I saw it, too!\That huge thing curled up and solidified like a rock!\Could it be that the power\of His Holiness defeated the dragon?\I'm afraid not. response:	Its heart continues to beat.
context: It stopped?\Yes, it suddenly stopped after passing through the valley of Oltia.\I saw it, too!\That huge thing curled up and solidified like a rock!\Could it be that the power\of His Holiness defeated the dragon?\I'm afraid not.\Its heart continues to beat. response:	I do not believe it is dead.
context: Yes, it suddenly stopped after passing through the valley of Oltia.\I saw it, too!\That huge thing curled up and solidified like a rock!\Could it be that the power\of His Holiness defeated the dragon?\I'm afraid not.\Its heart continues to beat.\I do not believe it is dead. response:	Which means it will soon rise again.
context: I saw it, too!\That huge thing curled up and solidified like a rock!\Could it be that the power\of His Holiness defeated the dragon?\I'm afraid not.\Its heart continues to beat.\I do not believe it is dead.\Which means it will soon rise again. response:	Indeed.
