context: Sorry. response:	So? How much did you see?
context: Sorry.\So? How much did you see? response:	You saw my perfect body, didn't you?! I know you did!
context: Sorry.\So? How much did you see?\You saw my perfect body, didn't you?! I know you did! response:	I can't believe that you of all people would see me stark naked!
context: Sorry.\So? How much did you see?\You saw my perfect body, didn't you?! I know you did!\I can't believe that you of all people would see me stark naked! response:	I-I didn't see anything, okay? I mean, that place was pretty steamy!
context: Sorry.\So? How much did you see?\You saw my perfect body, didn't you?! I know you did!\I can't believe that you of all people would see me stark naked!\I-I didn't see anything, okay? I mean, that place was pretty steamy! response:	Really?
context: Sorry.\So? How much did you see?\You saw my perfect body, didn't you?! I know you did!\I can't believe that you of all people would see me stark naked!\I-I didn't see anything, okay? I mean, that place was pretty steamy!\Really? response:	You're telling the truth, right? If you're lying, I swear!
context: Sorry.\So? How much did you see?\You saw my perfect body, didn't you?! I know you did!\I can't believe that you of all people would see me stark naked!\I-I didn't see anything, okay? I mean, that place was pretty steamy!\Really?\You're telling the truth, right? If you're lying, I swear! response:	I'm telling the truth!
context: Sorry.\So? How much did you see?\You saw my perfect body, didn't you?! I know you did!\I can't believe that you of all people would see me stark naked!\I-I didn't see anything, okay? I mean, that place was pretty steamy!\Really?\You're telling the truth, right? If you're lying, I swear!\I'm telling the truth! response:	Then what about that last thing?
context: So? How much did you see?\You saw my perfect body, didn't you?! I know you did!\I can't believe that you of all people would see me stark naked!\I-I didn't see anything, okay? I mean, that place was pretty steamy!\Really?\You're telling the truth, right? If you're lying, I swear!\I'm telling the truth!\Then what about that last thing? response:	What do you mean, that last thing?
context: You saw my perfect body, didn't you?! I know you did!\I can't believe that you of all people would see me stark naked!\I-I didn't see anything, okay? I mean, that place was pretty steamy!\Really?\You're telling the truth, right? If you're lying, I swear!\I'm telling the truth!\Then what about that last thing?\What do you mean, that last thing? response:	If you don't get it, then never mind.
context: I can't believe that you of all people would see me stark naked!\I-I didn't see anything, okay? I mean, that place was pretty steamy!\Really?\You're telling the truth, right? If you're lying, I swear!\I'm telling the truth!\Then what about that last thing?\What do you mean, that last thing?\If you don't get it, then never mind. response:	Of course I could never say it.
context: I-I didn't see anything, okay? I mean, that place was pretty steamy!\Really?\You're telling the truth, right? If you're lying, I swear!\I'm telling the truth!\Then what about that last thing?\What do you mean, that last thing?\If you don't get it, then never mind.\Of course I could never say it. response:	Not something like that.
context: Really?\You're telling the truth, right? If you're lying, I swear!\I'm telling the truth!\Then what about that last thing?\What do you mean, that last thing?\If you don't get it, then never mind.\Of course I could never say it.\Not something like that. response:	A night has passed since the incident in the women's bath.
context: You're telling the truth, right? If you're lying, I swear!\I'm telling the truth!\Then what about that last thing?\What do you mean, that last thing?\If you don't get it, then never mind.\Of course I could never say it.\Not something like that.\A night has passed since the incident in the women's bath. response:	H-Hey! About yesterday...
context: I'm telling the truth!\Then what about that last thing?\What do you mean, that last thing?\If you don't get it, then never mind.\Of course I could never say it.\Not something like that.\A night has passed since the incident in the women's bath.\H-Hey! About yesterday... response:	Good morning, darling.
context: Then what about that last thing?\What do you mean, that last thing?\If you don't get it, then never mind.\Of course I could never say it.\Not something like that.\A night has passed since the incident in the women's bath.\H-Hey! About yesterday...\Good morning, darling. response:	You'd better hurry, or they'll run out of food.
context: What do you mean, that last thing?\If you don't get it, then never mind.\Of course I could never say it.\Not something like that.\A night has passed since the incident in the women's bath.\H-Hey! About yesterday...\Good morning, darling.\You'd better hurry, or they'll run out of food. response:	What's wrong?
context: If you don't get it, then never mind.\Of course I could never say it.\Not something like that.\A night has passed since the incident in the women's bath.\H-Hey! About yesterday...\Good morning, darling.\You'd better hurry, or they'll run out of food.\What's wrong? response:	Marital spat?
context: Of course I could never say it.\Not something like that.\A night has passed since the incident in the women's bath.\H-Hey! About yesterday...\Good morning, darling.\You'd better hurry, or they'll run out of food.\What's wrong?\Marital spat? response:	Not by a long shot!
context: Not something like that.\A night has passed since the incident in the women's bath.\H-Hey! About yesterday...\Good morning, darling.\You'd better hurry, or they'll run out of food.\What's wrong?\Marital spat?\Not by a long shot! response:	What's going on?
context: A night has passed since the incident in the women's bath.\H-Hey! About yesterday...\Good morning, darling.\You'd better hurry, or they'll run out of food.\What's wrong?\Marital spat?\Not by a long shot!\What's going on? response:	She's surprisingly calm after yesterday's mess.
context: H-Hey! About yesterday...\Good morning, darling.\You'd better hurry, or they'll run out of food.\What's wrong?\Marital spat?\Not by a long shot!\What's going on?\She's surprisingly calm after yesterday's mess. response:	Was I the only one whose heart was racing, then?
context: Good morning, darling.\You'd better hurry, or they'll run out of food.\What's wrong?\Marital spat?\Not by a long shot!\What's going on?\She's surprisingly calm after yesterday's mess.\Was I the only one whose heart was racing, then? response:	Man, I was freaking out for nothing.
context: You'd better hurry, or they'll run out of food.\What's wrong?\Marital spat?\Not by a long shot!\What's going on?\She's surprisingly calm after yesterday's mess.\Was I the only one whose heart was racing, then?\Man, I was freaking out for nothing. response:	Seriously...
context: What's wrong?\Marital spat?\Not by a long shot!\What's going on?\She's surprisingly calm after yesterday's mess.\Was I the only one whose heart was racing, then?\Man, I was freaking out for nothing.\Seriously... response:	Why is my heart beating so fast?
context: Marital spat?\Not by a long shot!\What's going on?\She's surprisingly calm after yesterday's mess.\Was I the only one whose heart was racing, then?\Man, I was freaking out for nothing.\Seriously...\Why is my heart beating so fast? response:	By the way, Raku, have you heard about tonight's big event?
context: Not by a long shot!\What's going on?\She's surprisingly calm after yesterday's mess.\Was I the only one whose heart was racing, then?\Man, I was freaking out for nothing.\Seriously...\Why is my heart beating so fast?\By the way, Raku, have you heard about tonight's big event? response:	After we get back from the mountain, see, we'll be holding our usual test of courage.
context: What's going on?\She's surprisingly calm after yesterday's mess.\Was I the only one whose heart was racing, then?\Man, I was freaking out for nothing.\Seriously...\Why is my heart beating so fast?\By the way, Raku, have you heard about tonight's big event?\After we get back from the mountain, see, we'll be holding our usual test of courage. response:	Test of courage? We're in high school now!
context: She's surprisingly calm after yesterday's mess.\Was I the only one whose heart was racing, then?\Man, I was freaking out for nothing.\Seriously...\Why is my heart beating so fast?\By the way, Raku, have you heard about tonight's big event?\After we get back from the mountain, see, we'll be holding our usual test of courage.\Test of courage? We're in high school now! response:	However, this isn't an ordinary test of courage!
context: Was I the only one whose heart was racing, then?\Man, I was freaking out for nothing.\Seriously...\Why is my heart beating so fast?\By the way, Raku, have you heard about tonight's big event?\After we get back from the mountain, see, we'll be holding our usual test of courage.\Test of courage? We're in high school now!\However, this isn't an ordinary test of courage! response:	We're pairing up boys and girls with a drawing.
context: Man, I was freaking out for nothing.\Seriously...\Why is my heart beating so fast?\By the way, Raku, have you heard about tonight's big event?\After we get back from the mountain, see, we'll be holding our usual test of courage.\Test of courage? We're in high school now!\However, this isn't an ordinary test of courage!\We're pairing up boys and girls with a drawing. response:	But wait, there's more! One rule above all!
context: Seriously...\Why is my heart beating so fast?\By the way, Raku, have you heard about tonight's big event?\After we get back from the mountain, see, we'll be holding our usual test of courage.\Test of courage? We're in high school now!\However, this isn't an ordinary test of courage!\We're pairing up boys and girls with a drawing.\But wait, there's more! One rule above all! response:	Each pair has to hold hands the whole time!
