context: placeholder for: Erm... response:	Kokoro
context: placeholder for: Erm...\Kokoro response:	masshiro PAGE mekuru
context: placeholder for: Erm...\Kokoro\masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: placeholder for: Erm...\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook response:	Incoming Text
context: placeholder for: Erm...\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text response:	Incoming Text
context: placeholder for: Erm...\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text response:	tobidasu irodoru hajikeru
context: placeholder for: Erm...\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru response:	just waiting to be painted
context: placeholder for: Erm...\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted response:	mangekyou no fuukei
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei response:	with a kaleidoscope of my experiences.
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences. response:	From
context: I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From response:	Me
context: Incoming Text\Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me response:	To
context: Incoming Text\tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me\To response:	You
context: tobidasu irodoru hajikeru\just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me\To\You response:	kizukeba STORY wa mada
context: just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me\To\You\kizukeba STORY wa mada response:	This story has only
context: mangekyou no fuukei\with a kaleidoscope of my experiences.\From\Me\To\You\kizukeba STORY wa mada\This story has only response:	kizukeba STORY wa mada
context: with a kaleidoscope of my experiences.\From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada response:	This story has only
context: From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only response:	gikochinaku hajimatta bakkari
context: Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari response:	just barely begun
context: To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	shinkokyuu wo mou ikkai
context: This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai response:	I take a deep breath
context: gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath response:	shinkokyuu wo mou ikkai
context: just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai response:	I take a deep breath
context: gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath response:	aa yawarakakute atatakai kimi no te
context: just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te response:	Your hand is so warm held within mine;
context: gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine; response:	nigiri shimete sono kokoro no oku made todoku you ni
context: just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine;\nigiri shimete sono kokoro no oku made todoku you ni response:	it reaches all the way to my heart.
context: shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine;\nigiri shimete sono kokoro no oku made todoku you ni\it reaches all the way to my heart. response:	hohoenmi de kureta nara nigirikaeshite kuretara
context: I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine;\nigiri shimete sono kokoro no oku made todoku you ni\it reaches all the way to my heart.\hohoenmi de kureta nara nigirikaeshite kuretara response:	I can't see a brighter future
context: shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine;\nigiri shimete sono kokoro no oku made todoku you ni\it reaches all the way to my heart.\hohoenmi de kureta nara nigirikaeshite kuretara\I can't see a brighter future response:	boku wa tada mae wo miteru
context: I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine;\nigiri shimete sono kokoro no oku made todoku you ni\it reaches all the way to my heart.\hohoenmi de kureta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru response:	than you smiling and taking my hand as well
context: aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine;\nigiri shimete sono kokoro no oku made todoku you ni\it reaches all the way to my heart.\hohoenmi de kureta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well response:	Why are you crying?
context: Your hand is so warm held within mine;\nigiri shimete sono kokoro no oku made todoku you ni\it reaches all the way to my heart.\hohoenmi de kureta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Why are you crying? response:	Was it Miura?
context: nigiri shimete sono kokoro no oku made todoku you ni\it reaches all the way to my heart.\hohoenmi de kureta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Why are you crying?\Was it Miura? response:	I'm sorry.
context: it reaches all the way to my heart.\hohoenmi de kureta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Why are you crying?\Was it Miura?\I'm sorry. response:	I'm sorry you had to look out for me so much.
context: hohoenmi de kureta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Why are you crying?\Was it Miura?\I'm sorry.\I'm sorry you had to look out for me so much. response:	I'm sorry I caused you so much trouble.
context: I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Why are you crying?\Was it Miura?\I'm sorry.\I'm sorry you had to look out for me so much.\I'm sorry I caused you so much trouble. response:	I'm sorry!
context: boku wa tada mae wo miteru\than you smiling and taking my hand as well\Why are you crying?\Was it Miura?\I'm sorry.\I'm sorry you had to look out for me so much.\I'm sorry I caused you so much trouble.\I'm sorry! response:	I did those things'cause I like you.
context: than you smiling and taking my hand as well\Why are you crying?\Was it Miura?\I'm sorry.\I'm sorry you had to look out for me so much.\I'm sorry I caused you so much trouble.\I'm sorry!\I did those things'cause I like you. response:	Because you're an idiot!
context: Why are you crying?\Was it Miura?\I'm sorry.\I'm sorry you had to look out for me so much.\I'm sorry I caused you so much trouble.\I'm sorry!\I did those things'cause I like you.\Because you're an idiot! response:	Wasn't Kazehaya the only one who never looked at you out of pity?
context: Was it Miura?\I'm sorry.\I'm sorry you had to look out for me so much.\I'm sorry I caused you so much trouble.\I'm sorry!\I did those things'cause I like you.\Because you're an idiot!\Wasn't Kazehaya the only one who never looked at you out of pity? response:	Even though even Chizu and Ayane did!
context: I'm sorry.\I'm sorry you had to look out for me so much.\I'm sorry I caused you so much trouble.\I'm sorry!\I did those things'cause I like you.\Because you're an idiot!\Wasn't Kazehaya the only one who never looked at you out of pity?\Even though even Chizu and Ayane did! response:	Open your eyes!
context: I'm sorry you had to look out for me so much.\I'm sorry I caused you so much trouble.\I'm sorry!\I did those things'cause I like you.\Because you're an idiot!\Wasn't Kazehaya the only one who never looked at you out of pity?\Even though even Chizu and Ayane did!\Open your eyes! response:	What?
context: I'm sorry I caused you so much trouble.\I'm sorry!\I did those things'cause I like you.\Because you're an idiot!\Wasn't Kazehaya the only one who never looked at you out of pity?\Even though even Chizu and Ayane did!\Open your eyes!\What? response:	To You
context: I'm sorry!\I did those things'cause I like you.\Because you're an idiot!\Wasn't Kazehaya the only one who never looked at you out of pity?\Even though even Chizu and Ayane did!\Open your eyes!\What?\To You response:	Kuronuma!
context: I did those things'cause I like you.\Because you're an idiot!\Wasn't Kazehaya the only one who never looked at you out of pity?\Even though even Chizu and Ayane did!\Open your eyes!\What?\To You\Kuronuma! response:	How's the school festival prep coming along?
context: Because you're an idiot!\Wasn't Kazehaya the only one who never looked at you out of pity?\Even though even Chizu and Ayane did!\Open your eyes!\What?\To You\Kuronuma!\How's the school festival prep coming along? response:	Making progress?
context: Wasn't Kazehaya the only one who never looked at you out of pity?\Even though even Chizu and Ayane did!\Open your eyes!\What?\To You\Kuronuma!\How's the school festival prep coming along?\Making progress? response:	The costume and accessories groups are both doing really well.
context: Even though even Chizu and Ayane did!\Open your eyes!\What?\To You\Kuronuma!\How's the school festival prep coming along?\Making progress?\The costume and accessories groups are both doing really well. response:	I think they'll be able to finish on time.
context: Open your eyes!\What?\To You\Kuronuma!\How's the school festival prep coming along?\Making progress?\The costume and accessories groups are both doing really well.\I think they'll be able to finish on time. response:	The news poster group is moving along well too.
context: What?\To You\Kuronuma!\How's the school festival prep coming along?\Making progress?\The costume and accessories groups are both doing really well.\I think they'll be able to finish on time.\The news poster group is moving along well too. response:	When they're finished, they'll be able to help out the other groups.
