context: I heard you call for help, Suiryu. response:	You did well on your own.
context: I heard you call for help, Suiryu.\You did well on your own. response:	Leave the rest to me.
context: I heard you call for help, Suiryu.\You did well on your own.\Leave the rest to me. response:	That head...
context: I heard you call for help, Suiryu.\You did well on your own.\Leave the rest to me.\That head... response:	A hero?
context: I heard you call for help, Suiryu.\You did well on your own.\Leave the rest to me.\That head...\A hero? response:	A hero?!
context: I heard you call for help, Suiryu.\You did well on your own.\Leave the rest to me.\That head...\A hero?\A hero?! response:	You stupid little hero!
context: I heard you call for help, Suiryu.\You did well on your own.\Leave the rest to me.\That head...\A hero?\A hero?!\You stupid little hero! response:	Did you show up just to try to make a name for yourself?
context: I heard you call for help, Suiryu.\You did well on your own.\Leave the rest to me.\That head...\A hero?\A hero?!\You stupid little hero!\Did you show up just to try to make a name for yourself? response:	The Ultimate Dilemma
context: You did well on your own.\Leave the rest to me.\That head...\A hero?\A hero?!\You stupid little hero!\Did you show up just to try to make a name for yourself?\The Ultimate Dilemma response:	Don't make me laugh!
context: Leave the rest to me.\That head...\A hero?\A hero?!\You stupid little hero!\Did you show up just to try to make a name for yourself?\The Ultimate Dilemma\Don't make me laugh! response:	You don't even realize how weak you are!
context: That head...\A hero?\A hero?!\You stupid little hero!\Did you show up just to try to make a name for yourself?\The Ultimate Dilemma\Don't make me laugh!\You don't even realize how weak you are! response:	You're just...
context: A hero?\A hero?!\You stupid little hero!\Did you show up just to try to make a name for yourself?\The Ultimate Dilemma\Don't make me laugh!\You don't even realize how weak you are!\You're just... response:	You're...
context: A hero?!\You stupid little hero!\Did you show up just to try to make a name for yourself?\The Ultimate Dilemma\Don't make me laugh!\You don't even realize how weak you are!\You're just...\You're... response:	Huh?!
context: You stupid little hero!\Did you show up just to try to make a name for yourself?\The Ultimate Dilemma\Don't make me laugh!\You don't even realize how weak you are!\You're just...\You're...\Huh?! response:	Who are you? Have we met before?
context: Did you show up just to try to make a name for yourself?\The Ultimate Dilemma\Don't make me laugh!\You don't even realize how weak you are!\You're just...\You're...\Huh?!\Who are you? Have we met before? response:	Shut up!
context: The Ultimate Dilemma\Don't make me laugh!\You don't even realize how weak you are!\You're just...\You're...\Huh?!\Who are you? Have we met before?\Shut up! response:	Now that I'm a monster, you can take
context: Don't make me laugh!\You don't even realize how weak you are!\You're just...\You're...\Huh?!\Who are you? Have we met before?\Shut up!\Now that I'm a monster, you can take response:	the full course of pain dealt by the great Bakuzan!
context: You don't even realize how weak you are!\You're just...\You're...\Huh?!\Who are you? Have we met before?\Shut up!\Now that I'm a monster, you can take\the full course of pain dealt by the great Bakuzan! response:	Art of Darkness Hell-Killer!
context: You're just...\You're...\Huh?!\Who are you? Have we met before?\Shut up!\Now that I'm a monster, you can take\the full course of pain dealt by the great Bakuzan!\Art of Darkness Hell-Killer! response:	Demon-Weeper Low Kick!
