context: Signs response:	Opening 1st Frame
context: Signs\Opening 1st Frame response:	Ending
context: Signs\Opening 1st Frame\Ending response:	Publish by ehsan777
context: Signs\Opening 1st Frame\Ending\Publish by ehsan777 response:	Keep it up, Annie!
context: Signs\Opening 1st Frame\Ending\Publish by ehsan777\Keep it up, Annie! response:	That's my daughter!
context: Signs\Opening 1st Frame\Ending\Publish by ehsan777\Keep it up, Annie!\That's my daughter! response:	What are you doing? Don't stop!
context: Signs\Opening 1st Frame\Ending\Publish by ehsan777\Keep it up, Annie!\That's my daughter!\What are you doing? Don't stop! response:	Huh? Didn't you hear?
context: Signs\Opening 1st Frame\Ending\Publish by ehsan777\Keep it up, Annie!\That's my daughter!\What are you doing? Don't stop!\Huh? Didn't you hear? response:	The Titan boy and his companions were summoned by the King.
context: Opening 1st Frame\Ending\Publish by ehsan777\Keep it up, Annie!\That's my daughter!\What are you doing? Don't stop!\Huh? Didn't you hear?\The Titan boy and his companions were summoned by the King. response:	They'll be passing through the city today.
context: Ending\Publish by ehsan777\Keep it up, Annie!\That's my daughter!\What are you doing? Don't stop!\Huh? Didn't you hear?\The Titan boy and his companions were summoned by the King.\They'll be passing through the city today. response:	I see.
context: Publish by ehsan777\Keep it up, Annie!\That's my daughter!\What are you doing? Don't stop!\Huh? Didn't you hear?\The Titan boy and his companions were summoned by the King.\They'll be passing through the city today.\I see. response:	He's gonna wind up getting dissected for sure this time.
context: Keep it up, Annie!\That's my daughter!\What are you doing? Don't stop!\Huh? Didn't you hear?\The Titan boy and his companions were summoned by the King.\They'll be passing through the city today.\I see.\He's gonna wind up getting dissected for sure this time. response:	Either way, I just hope things work out so they'll seal the gates.
context: That's my daughter!\What are you doing? Don't stop!\Huh? Didn't you hear?\The Titan boy and his companions were summoned by the King.\They'll be passing through the city today.\I see.\He's gonna wind up getting dissected for sure this time.\Either way, I just hope things work out so they'll seal the gates. response:	What?! Did you just say seal the gates?
context: What are you doing? Don't stop!\Huh? Didn't you hear?\The Titan boy and his companions were summoned by the King.\They'll be passing through the city today.\I see.\He's gonna wind up getting dissected for sure this time.\Either way, I just hope things work out so they'll seal the gates.\What?! Did you just say seal the gates? response:	Do you want to further defile our gods with lowly human meddling?!
context: Huh? Didn't you hear?\The Titan boy and his companions were summoned by the King.\They'll be passing through the city today.\I see.\He's gonna wind up getting dissected for sure this time.\Either way, I just hope things work out so they'll seal the gates.\What?! Did you just say seal the gates?\Do you want to further defile our gods with lowly human meddling?! response:	Maria! Rose! Sina!
context: The Titan boy and his companions were summoned by the King.\They'll be passing through the city today.\I see.\He's gonna wind up getting dissected for sure this time.\Either way, I just hope things work out so they'll seal the gates.\What?! Did you just say seal the gates?\Do you want to further defile our gods with lowly human meddling?!\Maria! Rose! Sina! response:	How dare you even suggest desecrating our three sacred goddesses?!
context: They'll be passing through the city today.\I see.\He's gonna wind up getting dissected for sure this time.\Either way, I just hope things work out so they'll seal the gates.\What?! Did you just say seal the gates?\Do you want to further defile our gods with lowly human meddling?!\Maria! Rose! Sina!\How dare you even suggest desecrating our three sacred goddesses?! response:	He's one of those crazies who worship the Walls as gods.
