context: ReLIFE Experiment Contract response:	ReLIFE Laboratory is an organization that is developing a program
context: ReLIFE Experiment Contract\ReLIFE Laboratory is an organization that is developing a program response:	to rehabilitate people who have dropped out of society: your so-called NEETs.
context: ReLIFE Experiment Contract\ReLIFE Laboratory is an organization that is developing a program\to rehabilitate people who have dropped out of society: your so-called NEETs. response:	For a year starting this spring,
context: ReLIFE Experiment Contract\ReLIFE Laboratory is an organization that is developing a program\to rehabilitate people who have dropped out of society: your so-called NEETs.\For a year starting this spring, response:	we want you to be a student,
context: ReLIFE Experiment Contract\ReLIFE Laboratory is an organization that is developing a program\to rehabilitate people who have dropped out of society: your so-called NEETs.\For a year starting this spring,\we want you to be a student, response:	and go back to high school!
context: ReLIFE Experiment Contract\ReLIFE Laboratory is an organization that is developing a program\to rehabilitate people who have dropped out of society: your so-called NEETs.\For a year starting this spring,\we want you to be a student,\and go back to high school! response:	I've come too far to turn back!
context: ReLIFE Experiment Contract\ReLIFE Laboratory is an organization that is developing a program\to rehabilitate people who have dropped out of society: your so-called NEETs.\For a year starting this spring,\we want you to be a student,\and go back to high school!\I've come too far to turn back! response:	Fine, you're on! I'll do this ReLIFE thing!
context: ReLIFE Experiment Contract\ReLIFE Laboratory is an organization that is developing a program\to rehabilitate people who have dropped out of society: your so-called NEETs.\For a year starting this spring,\we want you to be a student,\and go back to high school!\I've come too far to turn back!\Fine, you're on! I'll do this ReLIFE thing! response:	Communication Skills: Zero
context: ReLIFE Laboratory is an organization that is developing a program\to rehabilitate people who have dropped out of society: your so-called NEETs.\For a year starting this spring,\we want you to be a student,\and go back to high school!\I've come too far to turn back!\Fine, you're on! I'll do this ReLIFE thing!\Communication Skills: Zero response:	I can't handle waking up this early.
context: to rehabilitate people who have dropped out of society: your so-called NEETs.\For a year starting this spring,\we want you to be a student,\and go back to high school!\I've come too far to turn back!\Fine, you're on! I'll do this ReLIFE thing!\Communication Skills: Zero\I can't handle waking up this early. response:	Based on yesterday's tests,
context: For a year starting this spring,\we want you to be a student,\and go back to high school!\I've come too far to turn back!\Fine, you're on! I'll do this ReLIFE thing!\Communication Skills: Zero\I can't handle waking up this early.\Based on yesterday's tests, response:	Oga-kun for the boys, and Hishiro-san for the girls.
context: we want you to be a student,\and go back to high school!\I've come too far to turn back!\Fine, you're on! I'll do this ReLIFE thing!\Communication Skills: Zero\I can't handle waking up this early.\Based on yesterday's tests,\Oga-kun for the boys, and Hishiro-san for the girls. response:	Great to be working with you all!
context: and go back to high school!\I've come too far to turn back!\Fine, you're on! I'll do this ReLIFE thing!\Communication Skills: Zero\I can't handle waking up this early.\Based on yesterday's tests,\Oga-kun for the boys, and Hishiro-san for the girls.\Great to be working with you all! response:	I look forward to working with you all.
context: I've come too far to turn back!\Fine, you're on! I'll do this ReLIFE thing!\Communication Skills: Zero\I can't handle waking up this early.\Based on yesterday's tests,\Oga-kun for the boys, and Hishiro-san for the girls.\Great to be working with you all!\I look forward to working with you all. response:	I failed all of them!
context: Fine, you're on! I'll do this ReLIFE thing!\Communication Skills: Zero\I can't handle waking up this early.\Based on yesterday's tests,\Oga-kun for the boys, and Hishiro-san for the girls.\Great to be working with you all!\I look forward to working with you all.\I failed all of them! response:	I don't believe Oga.
context: Communication Skills: Zero\I can't handle waking up this early.\Based on yesterday's tests,\Oga-kun for the boys, and Hishiro-san for the girls.\Great to be working with you all!\I look forward to working with you all.\I failed all of them!\I don't believe Oga. response:	He's actually smart.
context: I can't handle waking up this early.\Based on yesterday's tests,\Oga-kun for the boys, and Hishiro-san for the girls.\Great to be working with you all!\I look forward to working with you all.\I failed all of them!\I don't believe Oga.\He's actually smart. response:	With these two leading you, I hope you have a fun first term.
context: Based on yesterday's tests,\Oga-kun for the boys, and Hishiro-san for the girls.\Great to be working with you all!\I look forward to working with you all.\I failed all of them!\I don't believe Oga.\He's actually smart.\With these two leading you, I hope you have a fun first term. response:	But he's so showy.
context: Oga-kun for the boys, and Hishiro-san for the girls.\Great to be working with you all!\I look forward to working with you all.\I failed all of them!\I don't believe Oga.\He's actually smart.\With these two leading you, I hope you have a fun first term.\But he's so showy. response:	Kariu-san?
context: Great to be working with you all!\I look forward to working with you all.\I failed all of them!\I don't believe Oga.\He's actually smart.\With these two leading you, I hope you have a fun first term.\But he's so showy.\Kariu-san? response:	What's up with her? She looks furious.
context: I look forward to working with you all.\I failed all of them!\I don't believe Oga.\He's actually smart.\With these two leading you, I hope you have a fun first term.\But he's so showy.\Kariu-san?\What's up with her? She looks furious. response:	But this year, she's in the same class as Hishiro-san, the top scorer in our grade.
context: I failed all of them!\I don't believe Oga.\He's actually smart.\With these two leading you, I hope you have a fun first term.\But he's so showy.\Kariu-san?\What's up with her? She looks furious.\But this year, she's in the same class as Hishiro-san, the top scorer in our grade. response:	So she's all fired up now and couldn't call in sick.
context: I don't believe Oga.\He's actually smart.\With these two leading you, I hope you have a fun first term.\But he's so showy.\Kariu-san?\What's up with her? She looks furious.\But this year, she's in the same class as Hishiro-san, the top scorer in our grade.\So she's all fired up now and couldn't call in sick. response:	Oh, she must be mad she didn't top the class.
context: He's actually smart.\With these two leading you, I hope you have a fun first term.\But he's so showy.\Kariu-san?\What's up with her? She looks furious.\But this year, she's in the same class as Hishiro-san, the top scorer in our grade.\So she's all fired up now and couldn't call in sick.\Oh, she must be mad she didn't top the class. response:	Pleasure working with ya, Hishiro-san.
context: With these two leading you, I hope you have a fun first term.\But he's so showy.\Kariu-san?\What's up with her? She looks furious.\But this year, she's in the same class as Hishiro-san, the top scorer in our grade.\So she's all fired up now and couldn't call in sick.\Oh, she must be mad she didn't top the class.\Pleasure working with ya, Hishiro-san. response:	Likewise.
context: But he's so showy.\Kariu-san?\What's up with her? She looks furious.\But this year, she's in the same class as Hishiro-san, the top scorer in our grade.\So she's all fired up now and couldn't call in sick.\Oh, she must be mad she didn't top the class.\Pleasure working with ya, Hishiro-san.\Likewise. response:	That's it for homeroom.
context: Kariu-san?\What's up with her? She looks furious.\But this year, she's in the same class as Hishiro-san, the top scorer in our grade.\So she's all fired up now and couldn't call in sick.\Oh, she must be mad she didn't top the class.\Pleasure working with ya, Hishiro-san.\Likewise.\That's it for homeroom. response:	Drop by the staff room later to pick up your silver pins.
context: What's up with her? She looks furious.\But this year, she's in the same class as Hishiro-san, the top scorer in our grade.\So she's all fired up now and couldn't call in sick.\Oh, she must be mad she didn't top the class.\Pleasure working with ya, Hishiro-san.\Likewise.\That's it for homeroom.\Drop by the staff room later to pick up your silver pins. response:	Okay.
context: But this year, she's in the same class as Hishiro-san, the top scorer in our grade.\So she's all fired up now and couldn't call in sick.\Oh, she must be mad she didn't top the class.\Pleasure working with ya, Hishiro-san.\Likewise.\That's it for homeroom.\Drop by the staff room later to pick up your silver pins.\Okay. response:	Okay.
context: So she's all fired up now and couldn't call in sick.\Oh, she must be mad she didn't top the class.\Pleasure working with ya, Hishiro-san.\Likewise.\That's it for homeroom.\Drop by the staff room later to pick up your silver pins.\Okay.\Okay. response:	Sensei!
context: Oh, she must be mad she didn't top the class.\Pleasure working with ya, Hishiro-san.\Likewise.\That's it for homeroom.\Drop by the staff room later to pick up your silver pins.\Okay.\Okay.\Sensei! response:	Too bad, huh, Kariu?
context: Pleasure working with ya, Hishiro-san.\Likewise.\That's it for homeroom.\Drop by the staff room later to pick up your silver pins.\Okay.\Okay.\Sensei!\Too bad, huh, Kariu? response:	Why're you rubbing salt into her wound? Get a clue, Oga!
context: Likewise.\That's it for homeroom.\Drop by the staff room later to pick up your silver pins.\Okay.\Okay.\Sensei!\Too bad, huh, Kariu?\Why're you rubbing salt into her wound? Get a clue, Oga! response:	But, well, you did have a cold.
context: That's it for homeroom.\Drop by the staff room later to pick up your silver pins.\Okay.\Okay.\Sensei!\Too bad, huh, Kariu?\Why're you rubbing salt into her wound? Get a clue, Oga!\But, well, you did have a cold. response:	Hope you can take her on at full strength next time.
context: Drop by the staff room later to pick up your silver pins.\Okay.\Okay.\Sensei!\Too bad, huh, Kariu?\Why're you rubbing salt into her wound? Get a clue, Oga!\But, well, you did have a cold.\Hope you can take her on at full strength next time. response:	Whatever. It was all my fault, including my failure to take care of myself.
context: Okay.\Okay.\Sensei!\Too bad, huh, Kariu?\Why're you rubbing salt into her wound? Get a clue, Oga!\But, well, you did have a cold.\Hope you can take her on at full strength next time.\Whatever. It was all my fault, including my failure to take care of myself. response:	I don't wanna use the cold as an excuse.
context: Okay.\Sensei!\Too bad, huh, Kariu?\Why're you rubbing salt into her wound? Get a clue, Oga!\But, well, you did have a cold.\Hope you can take her on at full strength next time.\Whatever. It was all my fault, including my failure to take care of myself.\I don't wanna use the cold as an excuse. response:	I just wasn't as good as her.
context: Sensei!\Too bad, huh, Kariu?\Why're you rubbing salt into her wound? Get a clue, Oga!\But, well, you did have a cold.\Hope you can take her on at full strength next time.\Whatever. It was all my fault, including my failure to take care of myself.\I don't wanna use the cold as an excuse.\I just wasn't as good as her. response:	That's all.
context: Too bad, huh, Kariu?\Why're you rubbing salt into her wound? Get a clue, Oga!\But, well, you did have a cold.\Hope you can take her on at full strength next time.\Whatever. It was all my fault, including my failure to take care of myself.\I don't wanna use the cold as an excuse.\I just wasn't as good as her.\That's all. response:	You're so indifferent. Not cute.
context: Why're you rubbing salt into her wound? Get a clue, Oga!\But, well, you did have a cold.\Hope you can take her on at full strength next time.\Whatever. It was all my fault, including my failure to take care of myself.\I don't wanna use the cold as an excuse.\I just wasn't as good as her.\That's all.\You're so indifferent. Not cute. response:	Knock it off already, Oga.
context: But, well, you did have a cold.\Hope you can take her on at full strength next time.\Whatever. It was all my fault, including my failure to take care of myself.\I don't wanna use the cold as an excuse.\I just wasn't as good as her.\That's all.\You're so indifferent. Not cute.\Knock it off already, Oga. response:	Yeah, yeah, I'm not cute!
context: Hope you can take her on at full strength next time.\Whatever. It was all my fault, including my failure to take care of myself.\I don't wanna use the cold as an excuse.\I just wasn't as good as her.\That's all.\You're so indifferent. Not cute.\Knock it off already, Oga.\Yeah, yeah, I'm not cute! response:	I bet you're glad you don't have to work with me anymore!
context: Whatever. It was all my fault, including my failure to take care of myself.\I don't wanna use the cold as an excuse.\I just wasn't as good as her.\That's all.\You're so indifferent. Not cute.\Knock it off already, Oga.\Yeah, yeah, I'm not cute!\I bet you're glad you don't have to work with me anymore! response:	Nah...
context: I don't wanna use the cold as an excuse.\I just wasn't as good as her.\That's all.\You're so indifferent. Not cute.\Knock it off already, Oga.\Yeah, yeah, I'm not cute!\I bet you're glad you don't have to work with me anymore!\Nah... response:	I don't think that.
context: I just wasn't as good as her.\That's all.\You're so indifferent. Not cute.\Knock it off already, Oga.\Yeah, yeah, I'm not cute!\I bet you're glad you don't have to work with me anymore!\Nah...\I don't think that. response:	What's with the persecution complex?
context: That's all.\You're so indifferent. Not cute.\Knock it off already, Oga.\Yeah, yeah, I'm not cute!\I bet you're glad you don't have to work with me anymore!\Nah...\I don't think that.\What's with the persecution complex? response:	Just drop it already.
context: You're so indifferent. Not cute.\Knock it off already, Oga.\Yeah, yeah, I'm not cute!\I bet you're glad you don't have to work with me anymore!\Nah...\I don't think that.\What's with the persecution complex?\Just drop it already. response:	What the heck? I was trying to cheer you up!
context: Knock it off already, Oga.\Yeah, yeah, I'm not cute!\I bet you're glad you don't have to work with me anymore!\Nah...\I don't think that.\What's with the persecution complex?\Just drop it already.\What the heck? I was trying to cheer you up! response:	By talking down to me? Ugh.
context: Yeah, yeah, I'm not cute!\I bet you're glad you don't have to work with me anymore!\Nah...\I don't think that.\What's with the persecution complex?\Just drop it already.\What the heck? I was trying to cheer you up!\By talking down to me? Ugh. response:	Oh? Could it be?
context: I bet you're glad you don't have to work with me anymore!\Nah...\I don't think that.\What's with the persecution complex?\Just drop it already.\What the heck? I was trying to cheer you up!\By talking down to me? Ugh.\Oh? Could it be? response:	Why are you so pissed?
context: Nah...\I don't think that.\What's with the persecution complex?\Just drop it already.\What the heck? I was trying to cheer you up!\By talking down to me? Ugh.\Oh? Could it be?\Why are you so pissed? response:	Shut up!
context: I don't think that.\What's with the persecution complex?\Just drop it already.\What the heck? I was trying to cheer you up!\By talking down to me? Ugh.\Oh? Could it be?\Why are you so pissed?\Shut up! response:	Oh, I almost forgot. About the tests...
context: What's with the persecution complex?\Just drop it already.\What the heck? I was trying to cheer you up!\By talking down to me? Ugh.\Oh? Could it be?\Why are you so pissed?\Shut up!\Oh, I almost forgot. About the tests... response:	As always, if you failed even one, you're going to take make-ups.
context: Just drop it already.\What the heck? I was trying to cheer you up!\By talking down to me? Ugh.\Oh? Could it be?\Why are you so pissed?\Shut up!\Oh, I almost forgot. About the tests...\As always, if you failed even one, you're going to take make-ups. response:	And you'll keep taking them until you score higher than 50.
context: What the heck? I was trying to cheer you up!\By talking down to me? Ugh.\Oh? Could it be?\Why are you so pissed?\Shut up!\Oh, I almost forgot. About the tests...\As always, if you failed even one, you're going to take make-ups.\And you'll keep taking them until you score higher than 50. response:	Study hard so you pass the first time.
