context: Woods... squirrel... lily... yellow... response:	Your late father's friend lives so deep in the forest.
context: Woods... squirrel... lily... yellow...\Your late father's friend lives so deep in the forest. response:	Huh?
context: Woods... squirrel... lily... yellow...\Your late father's friend lives so deep in the forest.\Huh? response:	A voice... from the sky.
context: Woods... squirrel... lily... yellow...\Your late father's friend lives so deep in the forest.\Huh?\A voice... from the sky. response:	I don't see anyone.
context: Woods... squirrel... lily... yellow...\Your late father's friend lives so deep in the forest.\Huh?\A voice... from the sky.\I don't see anyone. response:	I've been expecting you...
context: Woods... squirrel... lily... yellow...\Your late father's friend lives so deep in the forest.\Huh?\A voice... from the sky.\I don't see anyone.\I've been expecting you... response:	Sesshomaru.
context: Woods... squirrel... lily... yellow...\Your late father's friend lives so deep in the forest.\Huh?\A voice... from the sky.\I don't see anyone.\I've been expecting you...\Sesshomaru. response:	You knew that I was coming, Bokusen-Oh?
context: Woods... squirrel... lily... yellow...\Your late father's friend lives so deep in the forest.\Huh?\A voice... from the sky.\I don't see anyone.\I've been expecting you...\Sesshomaru.\You knew that I was coming, Bokusen-Oh? response:	You've come to speak to me...
context: Your late father's friend lives so deep in the forest.\Huh?\A voice... from the sky.\I don't see anyone.\I've been expecting you...\Sesshomaru.\You knew that I was coming, Bokusen-Oh?\You've come to speak to me... response:	about the swords.
context: Huh?\A voice... from the sky.\I don't see anyone.\I've been expecting you...\Sesshomaru.\You knew that I was coming, Bokusen-Oh?\You've come to speak to me...\about the swords. response:	Inuyasha told me...
context: A voice... from the sky.\I don't see anyone.\I've been expecting you...\Sesshomaru.\You knew that I was coming, Bokusen-Oh?\You've come to speak to me...\about the swords.\Inuyasha told me... response:	while I went in search for Kohaku...
context: I don't see anyone.\I've been expecting you...\Sesshomaru.\You knew that I was coming, Bokusen-Oh?\You've come to speak to me...\about the swords.\Inuyasha told me...\while I went in search for Kohaku... response:	Miroku! What're you doing?
context: I've been expecting you...\Sesshomaru.\You knew that I was coming, Bokusen-Oh?\You've come to speak to me...\about the swords.\Inuyasha told me...\while I went in search for Kohaku...\Miroku! What're you doing? response:	There are poison insects!
context: Sesshomaru.\You knew that I was coming, Bokusen-Oh?\You've come to speak to me...\about the swords.\Inuyasha told me...\while I went in search for Kohaku...\Miroku! What're you doing?\There are poison insects! response:	Wind Tunnel!
context: You knew that I was coming, Bokusen-Oh?\You've come to speak to me...\about the swords.\Inuyasha told me...\while I went in search for Kohaku...\Miroku! What're you doing?\There are poison insects!\Wind Tunnel! response:	Miroku!
context: You've come to speak to me...\about the swords.\Inuyasha told me...\while I went in search for Kohaku...\Miroku! What're you doing?\There are poison insects!\Wind Tunnel!\Miroku! response:	You're sucking in the poison insects, too!
context: about the swords.\Inuyasha told me...\while I went in search for Kohaku...\Miroku! What're you doing?\There are poison insects!\Wind Tunnel!\Miroku!\You're sucking in the poison insects, too! response:	Inuyasha, go after Sango and Kagome.
context: Inuyasha told me...\while I went in search for Kohaku...\Miroku! What're you doing?\There are poison insects!\Wind Tunnel!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome. response:	You sacrificed yourself and fought... Yet I went after Kohaku...
context: while I went in search for Kohaku...\Miroku! What're you doing?\There are poison insects!\Wind Tunnel!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\You sacrificed yourself and fought... Yet I went after Kohaku... response:	Kohaku!
context: Miroku! What're you doing?\There are poison insects!\Wind Tunnel!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\You sacrificed yourself and fought... Yet I went after Kohaku...\Kohaku! response:	I'll kill you, then kill myself.
