context: Humans and monsters share the same world response:	They exist on opposite side of the Ying Yang
context: Humans and monsters share the same world\They exist on opposite side of the Ying Yang response:	So they coexist peacefully
context: Humans and monsters share the same world\They exist on opposite side of the Ying Yang\So they coexist peacefully response:	But recently,
context: Humans and monsters share the same world\They exist on opposite side of the Ying Yang\So they coexist peacefully\But recently, response:	The system is in disarray
context: Humans and monsters share the same world\They exist on opposite side of the Ying Yang\So they coexist peacefully\But recently,\The system is in disarray response:	The Yin Yang has broken
context: Humans and monsters share the same world\They exist on opposite side of the Ying Yang\So they coexist peacefully\But recently,\The system is in disarray\The Yin Yang has broken response:	And abnormalities occur
context: Humans and monsters share the same world\They exist on opposite side of the Ying Yang\So they coexist peacefully\But recently,\The system is in disarray\The Yin Yang has broken\And abnormalities occur response:	The world is in chaos
context: Humans and monsters share the same world\They exist on opposite side of the Ying Yang\So they coexist peacefully\But recently,\The system is in disarray\The Yin Yang has broken\And abnormalities occur\The world is in chaos response:	I must find the key to saving this earth
context: They exist on opposite side of the Ying Yang\So they coexist peacefully\But recently,\The system is in disarray\The Yin Yang has broken\And abnormalities occur\The world is in chaos\I must find the key to saving this earth response:	Or,
context: So they coexist peacefully\But recently,\The system is in disarray\The Yin Yang has broken\And abnormalities occur\The world is in chaos\I must find the key to saving this earth\Or, response:	I'll become the key itself
context: But recently,\The system is in disarray\The Yin Yang has broken\And abnormalities occur\The world is in chaos\I must find the key to saving this earth\Or,\I'll become the key itself response:	Student, don't make rash decisions
context: The system is in disarray\The Yin Yang has broken\And abnormalities occur\The world is in chaos\I must find the key to saving this earth\Or,\I'll become the key itself\Student, don't make rash decisions response:	90 of people are troubled in some way
context: The Yin Yang has broken\And abnormalities occur\The world is in chaos\I must find the key to saving this earth\Or,\I'll become the key itself\Student, don't make rash decisions\90 of people are troubled in some way response:	Living will result in facing those problems
context: And abnormalities occur\The world is in chaos\I must find the key to saving this earth\Or,\I'll become the key itself\Student, don't make rash decisions\90 of people are troubled in some way\Living will result in facing those problems response:	Sports betting is harmful
context: The world is in chaos\I must find the key to saving this earth\Or,\I'll become the key itself\Student, don't make rash decisions\90 of people are troubled in some way\Living will result in facing those problems\Sports betting is harmful response:	Avoid the World Cup
context: I must find the key to saving this earth\Or,\I'll become the key itself\Student, don't make rash decisions\90 of people are troubled in some way\Living will result in facing those problems\Sports betting is harmful\Avoid the World Cup response:	Any problem came be overcome
context: Or,\I'll become the key itself\Student, don't make rash decisions\90 of people are troubled in some way\Living will result in facing those problems\Sports betting is harmful\Avoid the World Cup\Any problem came be overcome response:	The struggles in life will only improve your brilliance
context: I'll become the key itself\Student, don't make rash decisions\90 of people are troubled in some way\Living will result in facing those problems\Sports betting is harmful\Avoid the World Cup\Any problem came be overcome\The struggles in life will only improve your brilliance response:	Student, do not make rash decisions
context: Student, don't make rash decisions\90 of people are troubled in some way\Living will result in facing those problems\Sports betting is harmful\Avoid the World Cup\Any problem came be overcome\The struggles in life will only improve your brilliance\Student, do not make rash decisions response:	What is with this tone of pity?
context: 90 of people are troubled in some way\Living will result in facing those problems\Sports betting is harmful\Avoid the World Cup\Any problem came be overcome\The struggles in life will only improve your brilliance\Student, do not make rash decisions\What is with this tone of pity? response:	I never said I was jumping!
context: Living will result in facing those problems\Sports betting is harmful\Avoid the World Cup\Any problem came be overcome\The struggles in life will only improve your brilliance\Student, do not make rash decisions\What is with this tone of pity?\I never said I was jumping! response:	Also,
context: Sports betting is harmful\Avoid the World Cup\Any problem came be overcome\The struggles in life will only improve your brilliance\Student, do not make rash decisions\What is with this tone of pity?\I never said I was jumping!\Also, response:	Is this the only thing you know how to say?
context: Avoid the World Cup\Any problem came be overcome\The struggles in life will only improve your brilliance\Student, do not make rash decisions\What is with this tone of pity?\I never said I was jumping!\Also,\Is this the only thing you know how to say? response:	Enough is enough!
context: Any problem came be overcome\The struggles in life will only improve your brilliance\Student, do not make rash decisions\What is with this tone of pity?\I never said I was jumping!\Also,\Is this the only thing you know how to say?\Enough is enough! response:	I'm not going to jump!
context: The struggles in life will only improve your brilliance\Student, do not make rash decisions\What is with this tone of pity?\I never said I was jumping!\Also,\Is this the only thing you know how to say?\Enough is enough!\I'm not going to jump! response:	How many times to I have to say it!
context: Student, do not make rash decisions\What is with this tone of pity?\I never said I was jumping!\Also,\Is this the only thing you know how to say?\Enough is enough!\I'm not going to jump!\How many times to I have to say it! response:	AHH!!!
context: What is with this tone of pity?\I never said I was jumping!\Also,\Is this the only thing you know how to say?\Enough is enough!\I'm not going to jump!\How many times to I have to say it!\AHH!!! response:	You,
context: I never said I was jumping!\Also,\Is this the only thing you know how to say?\Enough is enough!\I'm not going to jump!\How many times to I have to say it!\AHH!!!\You, response:	Who are you?
context: Also,\Is this the only thing you know how to say?\Enough is enough!\I'm not going to jump!\How many times to I have to say it!\AHH!!!\You,\Who are you? response:	What's your business here?
context: Is this the only thing you know how to say?\Enough is enough!\I'm not going to jump!\How many times to I have to say it!\AHH!!!\You,\Who are you?\What's your business here? response:	Huh?
context: Enough is enough!\I'm not going to jump!\How many times to I have to say it!\AHH!!!\You,\Who are you?\What's your business here?\Huh? response:	That should be my question
context: I'm not going to jump!\How many times to I have to say it!\AHH!!!\You,\Who are you?\What's your business here?\Huh?\That should be my question response:	Alone by yourself on the 20th floor
