context: Lord Villar... response:	I'd like you to assist Starck in our battle against Waldlind.
context: Lord Villar...\I'd like you to assist Starck in our battle against Waldlind. response:	Lord Pavel...
context: Lord Villar...\I'd like you to assist Starck in our battle against Waldlind.\Lord Pavel... response:	The Union is currently in peace talks with the Alliance.
context: Lord Villar...\I'd like you to assist Starck in our battle against Waldlind.\Lord Pavel...\The Union is currently in peace talks with the Alliance. response:	I'm not holding my breath for the Union to act!
context: Lord Villar...\I'd like you to assist Starck in our battle against Waldlind.\Lord Pavel...\The Union is currently in peace talks with the Alliance.\I'm not holding my breath for the Union to act! response:	All we need is for you to make a move!
context: Lord Villar...\I'd like you to assist Starck in our battle against Waldlind.\Lord Pavel...\The Union is currently in peace talks with the Alliance.\I'm not holding my breath for the Union to act!\All we need is for you to make a move! response:	Once you do, Ozeri and Bultava will surely secede from the Alliance!
context: Lord Villar...\I'd like you to assist Starck in our battle against Waldlind.\Lord Pavel...\The Union is currently in peace talks with the Alliance.\I'm not holding my breath for the Union to act!\All we need is for you to make a move!\Once you do, Ozeri and Bultava will surely secede from the Alliance! response:	If you do make a move, Lord Villar,
context: Lord Villar...\I'd like you to assist Starck in our battle against Waldlind.\Lord Pavel...\The Union is currently in peace talks with the Alliance.\I'm not holding my breath for the Union to act!\All we need is for you to make a move!\Once you do, Ozeri and Bultava will surely secede from the Alliance!\If you do make a move, Lord Villar, response:	I will convince my father to send troops from Dartania.
context: I'd like you to assist Starck in our battle against Waldlind.\Lord Pavel...\The Union is currently in peace talks with the Alliance.\I'm not holding my breath for the Union to act!\All we need is for you to make a move!\Once you do, Ozeri and Bultava will surely secede from the Alliance!\If you do make a move, Lord Villar,\I will convince my father to send troops from Dartania. response:	In my opinion, Lord Milza is absolutely right.
context: Lord Pavel...\The Union is currently in peace talks with the Alliance.\I'm not holding my breath for the Union to act!\All we need is for you to make a move!\Once you do, Ozeri and Bultava will surely secede from the Alliance!\If you do make a move, Lord Villar,\I will convince my father to send troops from Dartania.\In my opinion, Lord Milza is absolutely right. response:	For Altirk to survive, even if it means breaking off from the Union,
context: The Union is currently in peace talks with the Alliance.\I'm not holding my breath for the Union to act!\All we need is for you to make a move!\Once you do, Ozeri and Bultava will surely secede from the Alliance!\If you do make a move, Lord Villar,\I will convince my father to send troops from Dartania.\In my opinion, Lord Milza is absolutely right.\For Altirk to survive, even if it means breaking off from the Union, response:	we should fight.
context: I'm not holding my breath for the Union to act!\All we need is for you to make a move!\Once you do, Ozeri and Bultava will surely secede from the Alliance!\If you do make a move, Lord Villar,\I will convince my father to send troops from Dartania.\In my opinion, Lord Milza is absolutely right.\For Altirk to survive, even if it means breaking off from the Union,\we should fight. response:	I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress.
context: All we need is for you to make a move!\Once you do, Ozeri and Bultava will surely secede from the Alliance!\If you do make a move, Lord Villar,\I will convince my father to send troops from Dartania.\In my opinion, Lord Milza is absolutely right.\For Altirk to survive, even if it means breaking off from the Union,\we should fight.\I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress. response:	Not only that, but I don't wish to break Lord Alexis's heart.
context: Once you do, Ozeri and Bultava will surely secede from the Alliance!\If you do make a move, Lord Villar,\I will convince my father to send troops from Dartania.\In my opinion, Lord Milza is absolutely right.\For Altirk to survive, even if it means breaking off from the Union,\we should fight.\I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress.\Not only that, but I don't wish to break Lord Alexis's heart. response:	But it's Lord Alexis himself who's trying to destroy us!
context: If you do make a move, Lord Villar,\I will convince my father to send troops from Dartania.\In my opinion, Lord Milza is absolutely right.\For Altirk to survive, even if it means breaking off from the Union,\we should fight.\I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress.\Not only that, but I don't wish to break Lord Alexis's heart.\But it's Lord Alexis himself who's trying to destroy us! response:	Please, rather than uphold your honor, choose the path that allows Altirk to survive!
context: I will convince my father to send troops from Dartania.\In my opinion, Lord Milza is absolutely right.\For Altirk to survive, even if it means breaking off from the Union,\we should fight.\I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress.\Not only that, but I don't wish to break Lord Alexis's heart.\But it's Lord Alexis himself who's trying to destroy us!\Please, rather than uphold your honor, choose the path that allows Altirk to survive! response:	Siluca! Refrain yourself!
context: In my opinion, Lord Milza is absolutely right.\For Altirk to survive, even if it means breaking off from the Union,\we should fight.\I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress.\Not only that, but I don't wish to break Lord Alexis's heart.\But it's Lord Alexis himself who's trying to destroy us!\Please, rather than uphold your honor, choose the path that allows Altirk to survive!\Siluca! Refrain yourself! response:	I cannot bring myself to betray Lord Alexis.
context: For Altirk to survive, even if it means breaking off from the Union,\we should fight.\I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress.\Not only that, but I don't wish to break Lord Alexis's heart.\But it's Lord Alexis himself who's trying to destroy us!\Please, rather than uphold your honor, choose the path that allows Altirk to survive!\Siluca! Refrain yourself!\I cannot bring myself to betray Lord Alexis. response:	It appears I don't need your opinion.
context: we should fight.\I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress.\Not only that, but I don't wish to break Lord Alexis's heart.\But it's Lord Alexis himself who's trying to destroy us!\Please, rather than uphold your honor, choose the path that allows Altirk to survive!\Siluca! Refrain yourself!\I cannot bring myself to betray Lord Alexis.\It appears I don't need your opinion. response:	Return to your domain with Theo.
context: I'll be a laughingstock for leaving the Union for not getting my way at the Lords' Congress.\Not only that, but I don't wish to break Lord Alexis's heart.\But it's Lord Alexis himself who's trying to destroy us!\Please, rather than uphold your honor, choose the path that allows Altirk to survive!\Siluca! Refrain yourself!\I cannot bring myself to betray Lord Alexis.\It appears I don't need your opinion.\Return to your domain with Theo. response:	Understood.
context: Not only that, but I don't wish to break Lord Alexis's heart.\But it's Lord Alexis himself who's trying to destroy us!\Please, rather than uphold your honor, choose the path that allows Altirk to survive!\Siluca! Refrain yourself!\I cannot bring myself to betray Lord Alexis.\It appears I don't need your opinion.\Return to your domain with Theo.\Understood. response:	Theo.
context: But it's Lord Alexis himself who's trying to destroy us!\Please, rather than uphold your honor, choose the path that allows Altirk to survive!\Siluca! Refrain yourself!\I cannot bring myself to betray Lord Alexis.\It appears I don't need your opinion.\Return to your domain with Theo.\Understood.\Theo. response:	I'm counting on you.
context: Please, rather than uphold your honor, choose the path that allows Altirk to survive!\Siluca! Refrain yourself!\I cannot bring myself to betray Lord Alexis.\It appears I don't need your opinion.\Return to your domain with Theo.\Understood.\Theo.\I'm counting on you. response:	I understand, sir.
context: Siluca! Refrain yourself!\I cannot bring myself to betray Lord Alexis.\It appears I don't need your opinion.\Return to your domain with Theo.\Understood.\Theo.\I'm counting on you.\I understand, sir. response:	What that mage said seemed like sound advice to me.
context: I cannot bring myself to betray Lord Alexis.\It appears I don't need your opinion.\Return to your domain with Theo.\Understood.\Theo.\I'm counting on you.\I understand, sir.\What that mage said seemed like sound advice to me. response:	It's my call to make, not yours.
context: It appears I don't need your opinion.\Return to your domain with Theo.\Understood.\Theo.\I'm counting on you.\I understand, sir.\What that mage said seemed like sound advice to me.\It's my call to make, not yours. response:	I suggest you show some restraint, as well.
context: Return to your domain with Theo.\Understood.\Theo.\I'm counting on you.\I understand, sir.\What that mage said seemed like sound advice to me.\It's my call to make, not yours.\I suggest you show some restraint, as well. response:	You should pledge fealty to Lady Marrine immediately, and agree to be subjugated.
context: Understood.\Theo.\I'm counting on you.\I understand, sir.\What that mage said seemed like sound advice to me.\It's my call to make, not yours.\I suggest you show some restraint, as well.\You should pledge fealty to Lady Marrine immediately, and agree to be subjugated. response:	That's up to me to decide, not you!
context: Theo.\I'm counting on you.\I understand, sir.\What that mage said seemed like sound advice to me.\It's my call to make, not yours.\I suggest you show some restraint, as well.\You should pledge fealty to Lady Marrine immediately, and agree to be subjugated.\That's up to me to decide, not you! response:	I have no intention of allying with Marrine Kreische!
context: I'm counting on you.\I understand, sir.\What that mage said seemed like sound advice to me.\It's my call to make, not yours.\I suggest you show some restraint, as well.\You should pledge fealty to Lady Marrine immediately, and agree to be subjugated.\That's up to me to decide, not you!\I have no intention of allying with Marrine Kreische! response:	I'll be keeping an eye on Lord Pavel's battle till the end.
context: I understand, sir.\What that mage said seemed like sound advice to me.\It's my call to make, not yours.\I suggest you show some restraint, as well.\You should pledge fealty to Lady Marrine immediately, and agree to be subjugated.\That's up to me to decide, not you!\I have no intention of allying with Marrine Kreische!\I'll be keeping an eye on Lord Pavel's battle till the end. response:	I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope.
context: What that mage said seemed like sound advice to me.\It's my call to make, not yours.\I suggest you show some restraint, as well.\You should pledge fealty to Lady Marrine immediately, and agree to be subjugated.\That's up to me to decide, not you!\I have no intention of allying with Marrine Kreische!\I'll be keeping an eye on Lord Pavel's battle till the end.\I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope. response:	It wasn't like you to act like that.
context: It's my call to make, not yours.\I suggest you show some restraint, as well.\You should pledge fealty to Lady Marrine immediately, and agree to be subjugated.\That's up to me to decide, not you!\I have no intention of allying with Marrine Kreische!\I'll be keeping an eye on Lord Pavel's battle till the end.\I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope.\It wasn't like you to act like that. response:	I couldn't see any other way to save Altirk.
context: I suggest you show some restraint, as well.\You should pledge fealty to Lady Marrine immediately, and agree to be subjugated.\That's up to me to decide, not you!\I have no intention of allying with Marrine Kreische!\I'll be keeping an eye on Lord Pavel's battle till the end.\I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope.\It wasn't like you to act like that.\I couldn't see any other way to save Altirk. response:	It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right?
context: You should pledge fealty to Lady Marrine immediately, and agree to be subjugated.\That's up to me to decide, not you!\I have no intention of allying with Marrine Kreische!\I'll be keeping an eye on Lord Pavel's battle till the end.\I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope.\It wasn't like you to act like that.\I couldn't see any other way to save Altirk.\It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right? response:	It will be hard to change the tides of war,
context: That's up to me to decide, not you!\I have no intention of allying with Marrine Kreische!\I'll be keeping an eye on Lord Pavel's battle till the end.\I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope.\It wasn't like you to act like that.\I couldn't see any other way to save Altirk.\It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right?\It will be hard to change the tides of war, response:	so our only hope is to muster as many troops as possible.
context: I have no intention of allying with Marrine Kreische!\I'll be keeping an eye on Lord Pavel's battle till the end.\I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope.\It wasn't like you to act like that.\I couldn't see any other way to save Altirk.\It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right?\It will be hard to change the tides of war,\so our only hope is to muster as many troops as possible. response:	Right!
context: I'll be keeping an eye on Lord Pavel's battle till the end.\I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope.\It wasn't like you to act like that.\I couldn't see any other way to save Altirk.\It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right?\It will be hard to change the tides of war,\so our only hope is to muster as many troops as possible.\Right! response:	Starting tomorrow, I'll be touring the domain.
context: I'm interested to see how Waldlind will assault the perilous Isthmus of Penelope.\It wasn't like you to act like that.\I couldn't see any other way to save Altirk.\It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right?\It will be hard to change the tides of war,\so our only hope is to muster as many troops as possible.\Right!\Starting tomorrow, I'll be touring the domain. response:	And you'll be joining me, this time.
context: It wasn't like you to act like that.\I couldn't see any other way to save Altirk.\It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right?\It will be hard to change the tides of war,\so our only hope is to muster as many troops as possible.\Right!\Starting tomorrow, I'll be touring the domain.\And you'll be joining me, this time. response:	Seems like they're not ready to accept us yet.
context: I couldn't see any other way to save Altirk.\It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right?\It will be hard to change the tides of war,\so our only hope is to muster as many troops as possible.\Right!\Starting tomorrow, I'll be touring the domain.\And you'll be joining me, this time.\Seems like they're not ready to accept us yet. response:	There's nothing we can do.
context: It's unlikely to avoid a war against the Alliance, so it's a matter of how we prepare, right?\It will be hard to change the tides of war,\so our only hope is to muster as many troops as possible.\Right!\Starting tomorrow, I'll be touring the domain.\And you'll be joining me, this time.\Seems like they're not ready to accept us yet.\There's nothing we can do. response:	After all, there must be a lot of Dimitrie's kin here.
context: It will be hard to change the tides of war,\so our only hope is to muster as many troops as possible.\Right!\Starting tomorrow, I'll be touring the domain.\And you'll be joining me, this time.\Seems like they're not ready to accept us yet.\There's nothing we can do.\After all, there must be a lot of Dimitrie's kin here. response:	That's right.
context: so our only hope is to muster as many troops as possible.\Right!\Starting tomorrow, I'll be touring the domain.\And you'll be joining me, this time.\Seems like they're not ready to accept us yet.\There's nothing we can do.\After all, there must be a lot of Dimitrie's kin here.\That's right. response:	I plan on heading near the Bultava border. Let's move on to the next village.
context: Right!\Starting tomorrow, I'll be touring the domain.\And you'll be joining me, this time.\Seems like they're not ready to accept us yet.\There's nothing we can do.\After all, there must be a lot of Dimitrie's kin here.\That's right.\I plan on heading near the Bultava border. Let's move on to the next village. response:	Right.
context: Starting tomorrow, I'll be touring the domain.\And you'll be joining me, this time.\Seems like they're not ready to accept us yet.\There's nothing we can do.\After all, there must be a lot of Dimitrie's kin here.\That's right.\I plan on heading near the Bultava border. Let's move on to the next village.\Right. response:	Let's take shelter over there.
context: And you'll be joining me, this time.\Seems like they're not ready to accept us yet.\There's nothing we can do.\After all, there must be a lot of Dimitrie's kin here.\That's right.\I plan on heading near the Bultava border. Let's move on to the next village.\Right.\Let's take shelter over there. response:	What a sorry sight we are!
context: Seems like they're not ready to accept us yet.\There's nothing we can do.\After all, there must be a lot of Dimitrie's kin here.\That's right.\I plan on heading near the Bultava border. Let's move on to the next village.\Right.\Let's take shelter over there.\What a sorry sight we are! response:	It won't be good if we're in these wet clothes.
context: There's nothing we can do.\After all, there must be a lot of Dimitrie's kin here.\That's right.\I plan on heading near the Bultava border. Let's move on to the next village.\Right.\Let's take shelter over there.\What a sorry sight we are!\It won't be good if we're in these wet clothes. response:	We need to get changed, right?
context: After all, there must be a lot of Dimitrie's kin here.\That's right.\I plan on heading near the Bultava border. Let's move on to the next village.\Right.\Let's take shelter over there.\What a sorry sight we are!\It won't be good if we're in these wet clothes.\We need to get changed, right? response:	No good. The firewood's damp.
context: That's right.\I plan on heading near the Bultava border. Let's move on to the next village.\Right.\Let's take shelter over there.\What a sorry sight we are!\It won't be good if we're in these wet clothes.\We need to get changed, right?\No good. The firewood's damp. response:	Are you cold?
context: I plan on heading near the Bultava border. Let's move on to the next village.\Right.\Let's take shelter over there.\What a sorry sight we are!\It won't be good if we're in these wet clothes.\We need to get changed, right?\No good. The firewood's damp.\Are you cold? response:	Yes. A little.
context: Right.\Let's take shelter over there.\What a sorry sight we are!\It won't be good if we're in these wet clothes.\We need to get changed, right?\No good. The firewood's damp.\Are you cold?\Yes. A little. response:	Then...
context: Let's take shelter over there.\What a sorry sight we are!\It won't be good if we're in these wet clothes.\We need to get changed, right?\No good. The firewood's damp.\Are you cold?\Yes. A little.\Then... response:	Let's do this.
context: What a sorry sight we are!\It won't be good if we're in these wet clothes.\We need to get changed, right?\No good. The firewood's damp.\Are you cold?\Yes. A little.\Then...\Let's do this. response:	You're not cold now, are you?
context: It won't be good if we're in these wet clothes.\We need to get changed, right?\No good. The firewood's damp.\Are you cold?\Yes. A little.\Then...\Let's do this.\You're not cold now, are you? response:	N-No...
context: We need to get changed, right?\No good. The firewood's damp.\Are you cold?\Yes. A little.\Then...\Let's do this.\You're not cold now, are you?\N-No... response:	Sitting here like this reminds me of how I used to camp out in the rain.
context: No good. The firewood's damp.\Are you cold?\Yes. A little.\Then...\Let's do this.\You're not cold now, are you?\N-No...\Sitting here like this reminds me of how I used to camp out in the rain. response:	That's right, you used to wander all over the place.
context: Are you cold?\Yes. A little.\Then...\Let's do this.\You're not cold now, are you?\N-No...\Sitting here like this reminds me of how I used to camp out in the rain.\That's right, you used to wander all over the place. response:	Yeah.
context: Yes. A little.\Then...\Let's do this.\You're not cold now, are you?\N-No...\Sitting here like this reminds me of how I used to camp out in the rain.\That's right, you used to wander all over the place.\Yeah. response:	Traveling alone really made me feel lonely.
context: Then...\Let's do this.\You're not cold now, are you?\N-No...\Sitting here like this reminds me of how I used to camp out in the rain.\That's right, you used to wander all over the place.\Yeah.\Traveling alone really made me feel lonely. response:	I'm glad to have you by my side, Sir Theo.
