context: She should be at the temple at this hour. response:	The line to see the Lady Cleric is here.
context: She should be at the temple at this hour.\The line to see the Lady Cleric is here. response:	Please have your ticket in hand.
context: She should be at the temple at this hour.\The line to see the Lady Cleric is here.\Please have your ticket in hand. response:	Man, I feel alive again!
context: She should be at the temple at this hour.\The line to see the Lady Cleric is here.\Please have your ticket in hand.\Man, I feel alive again! response:	My body feels so much lighter.
context: She should be at the temple at this hour.\The line to see the Lady Cleric is here.\Please have your ticket in hand.\Man, I feel alive again!\My body feels so much lighter. response:	Looks like she's working hard again today. Hopefully not too hard.
context: She should be at the temple at this hour.\The line to see the Lady Cleric is here.\Please have your ticket in hand.\Man, I feel alive again!\My body feels so much lighter.\Looks like she's working hard again today. Hopefully not too hard. response:	I believe there is.
context: She should be at the temple at this hour.\The line to see the Lady Cleric is here.\Please have your ticket in hand.\Man, I feel alive again!\My body feels so much lighter.\Looks like she's working hard again today. Hopefully not too hard.\I believe there is. response:	If we find a cleric who can exorcise evil...
context: She should be at the temple at this hour.\The line to see the Lady Cleric is here.\Please have your ticket in hand.\Man, I feel alive again!\My body feels so much lighter.\Looks like she's working hard again today. Hopefully not too hard.\I believe there is.\If we find a cleric who can exorcise evil... response:	But she rarely takes on jobs to remove curse-based skills.
context: The line to see the Lady Cleric is here.\Please have your ticket in hand.\Man, I feel alive again!\My body feels so much lighter.\Looks like she's working hard again today. Hopefully not too hard.\I believe there is.\If we find a cleric who can exorcise evil...\But she rarely takes on jobs to remove curse-based skills. response:	There may be some reason behind it,
context: Please have your ticket in hand.\Man, I feel alive again!\My body feels so much lighter.\Looks like she's working hard again today. Hopefully not too hard.\I believe there is.\If we find a cleric who can exorcise evil...\But she rarely takes on jobs to remove curse-based skills.\There may be some reason behind it, response:	but I'm her best friend, and she won't even tell me.
context: Man, I feel alive again!\My body feels so much lighter.\Looks like she's working hard again today. Hopefully not too hard.\I believe there is.\If we find a cleric who can exorcise evil...\But she rarely takes on jobs to remove curse-based skills.\There may be some reason behind it,\but I'm her best friend, and she won't even tell me. response:	Lady Cleric...
context: My body feels so much lighter.\Looks like she's working hard again today. Hopefully not too hard.\I believe there is.\If we find a cleric who can exorcise evil...\But she rarely takes on jobs to remove curse-based skills.\There may be some reason behind it,\but I'm her best friend, and she won't even tell me.\Lady Cleric... response:	I'm taking a break.
context: Looks like she's working hard again today. Hopefully not too hard.\I believe there is.\If we find a cleric who can exorcise evil...\But she rarely takes on jobs to remove curse-based skills.\There may be some reason behind it,\but I'm her best friend, and she won't even tell me.\Lady Cleric...\I'm taking a break. response:	I apologize, but please wait.
context: I believe there is.\If we find a cleric who can exorcise evil...\But she rarely takes on jobs to remove curse-based skills.\There may be some reason behind it,\but I'm her best friend, and she won't even tell me.\Lady Cleric...\I'm taking a break.\I apologize, but please wait. response:	Understood.
context: If we find a cleric who can exorcise evil...\But she rarely takes on jobs to remove curse-based skills.\There may be some reason behind it,\but I'm her best friend, and she won't even tell me.\Lady Cleric...\I'm taking a break.\I apologize, but please wait.\Understood. response:	Oh, whoops...
context: But she rarely takes on jobs to remove curse-based skills.\There may be some reason behind it,\but I'm her best friend, and she won't even tell me.\Lady Cleric...\I'm taking a break.\I apologize, but please wait.\Understood.\Oh, whoops... response:	I seem to be out of energy.
context: There may be some reason behind it,\but I'm her best friend, and she won't even tell me.\Lady Cleric...\I'm taking a break.\I apologize, but please wait.\Understood.\Oh, whoops...\I seem to be out of energy. response:	It appears as though you're working too hard, Lady Cleric.
context: but I'm her best friend, and she won't even tell me.\Lady Cleric...\I'm taking a break.\I apologize, but please wait.\Understood.\Oh, whoops...\I seem to be out of energy.\It appears as though you're working too hard, Lady Cleric. response:	Oh, it's you, Lola.
context: Lady Cleric...\I'm taking a break.\I apologize, but please wait.\Understood.\Oh, whoops...\I seem to be out of energy.\It appears as though you're working too hard, Lady Cleric.\Oh, it's you, Lola. response:	That's quite the greeting for someone who's worried about you.
context: I'm taking a break.\I apologize, but please wait.\Understood.\Oh, whoops...\I seem to be out of energy.\It appears as though you're working too hard, Lady Cleric.\Oh, it's you, Lola.\That's quite the greeting for someone who's worried about you. response:	I apologize.
context: I apologize, but please wait.\Understood.\Oh, whoops...\I seem to be out of energy.\It appears as though you're working too hard, Lady Cleric.\Oh, it's you, Lola.\That's quite the greeting for someone who's worried about you.\I apologize. response:	So what's the very capable receptionist from the guild doing here today?
context: Understood.\Oh, whoops...\I seem to be out of energy.\It appears as though you're working too hard, Lady Cleric.\Oh, it's you, Lola.\That's quite the greeting for someone who's worried about you.\I apologize.\So what's the very capable receptionist from the guild doing here today? response:	I hate to ask this when I know you're tired,
