context: From the Starting Sky response:	It wasn't a dream.
context: From the Starting Sky\It wasn't a dream. response:	The saucer over the city,
context: From the Starting Sky\It wasn't a dream.\The saucer over the city, response:	Noel, who watched over us from nearby.
context: From the Starting Sky\It wasn't a dream.\The saucer over the city,\Noel, who watched over us from nearby. response:	All of it was real?
context: From the Starting Sky\It wasn't a dream.\The saucer over the city,\Noel, who watched over us from nearby.\All of it was real? response:	Yes.
context: From the Starting Sky\It wasn't a dream.\The saucer over the city,\Noel, who watched over us from nearby.\All of it was real?\Yes. response:	Nonoka.
context: From the Starting Sky\It wasn't a dream.\The saucer over the city,\Noel, who watched over us from nearby.\All of it was real?\Yes.\Nonoka. response:	Thank goodness.
context: From the Starting Sky\It wasn't a dream.\The saucer over the city,\Noel, who watched over us from nearby.\All of it was real?\Yes.\Nonoka.\Thank goodness. response:	No one remembers Noel.
context: It wasn't a dream.\The saucer over the city,\Noel, who watched over us from nearby.\All of it was real?\Yes.\Nonoka.\Thank goodness.\No one remembers Noel. response:	There's nothing I can do.
context: The saucer over the city,\Noel, who watched over us from nearby.\All of it was real?\Yes.\Nonoka.\Thank goodness.\No one remembers Noel.\There's nothing I can do. response:	But I'm glad you remember.
context: Noel, who watched over us from nearby.\All of it was real?\Yes.\Nonoka.\Thank goodness.\No one remembers Noel.\There's nothing I can do.\But I'm glad you remember. response:	Just knowing I'm not the only one...
context: All of it was real?\Yes.\Nonoka.\Thank goodness.\No one remembers Noel.\There's nothing I can do.\But I'm glad you remember.\Just knowing I'm not the only one... response:	Are you really satisfied with that?
context: Yes.\Nonoka.\Thank goodness.\No one remembers Noel.\There's nothing I can do.\But I'm glad you remember.\Just knowing I'm not the only one...\Are you really satisfied with that? response:	This girl I knew, Nonoka,
context: Nonoka.\Thank goodness.\No one remembers Noel.\There's nothing I can do.\But I'm glad you remember.\Just knowing I'm not the only one...\Are you really satisfied with that?\This girl I knew, Nonoka, response:	would never give up on anything she set out to do until the end.
context: Thank goodness.\No one remembers Noel.\There's nothing I can do.\But I'm glad you remember.\Just knowing I'm not the only one...\Are you really satisfied with that?\This girl I knew, Nonoka,\would never give up on anything she set out to do until the end. response:	She was honest and true.
context: No one remembers Noel.\There's nothing I can do.\But I'm glad you remember.\Just knowing I'm not the only one...\Are you really satisfied with that?\This girl I knew, Nonoka,\would never give up on anything she set out to do until the end.\She was honest and true. response:	Before we knew it, she'd have changed everyone's minds.
context: There's nothing I can do.\But I'm glad you remember.\Just knowing I'm not the only one...\Are you really satisfied with that?\This girl I knew, Nonoka,\would never give up on anything she set out to do until the end.\She was honest and true.\Before we knew it, she'd have changed everyone's minds. response:	Shione.
context: But I'm glad you remember.\Just knowing I'm not the only one...\Are you really satisfied with that?\This girl I knew, Nonoka,\would never give up on anything she set out to do until the end.\She was honest and true.\Before we knew it, she'd have changed everyone's minds.\Shione. response:	That's what this friend of mine was like.
context: Just knowing I'm not the only one...\Are you really satisfied with that?\This girl I knew, Nonoka,\would never give up on anything she set out to do until the end.\She was honest and true.\Before we knew it, she'd have changed everyone's minds.\Shione.\That's what this friend of mine was like. response:	Am I wrong?
context: Are you really satisfied with that?\This girl I knew, Nonoka,\would never give up on anything she set out to do until the end.\She was honest and true.\Before we knew it, she'd have changed everyone's minds.\Shione.\That's what this friend of mine was like.\Am I wrong? response:	Thanks, Shione.
context: This girl I knew, Nonoka,\would never give up on anything she set out to do until the end.\She was honest and true.\Before we knew it, she'd have changed everyone's minds.\Shione.\That's what this friend of mine was like.\Am I wrong?\Thanks, Shione. response:	But it's...
context: would never give up on anything she set out to do until the end.\She was honest and true.\Before we knew it, she'd have changed everyone's minds.\Shione.\That's what this friend of mine was like.\Am I wrong?\Thanks, Shione.\But it's... response:	I'm one of the people who was changed by Nonoka's willpower.
context: She was honest and true.\Before we knew it, she'd have changed everyone's minds.\Shione.\That's what this friend of mine was like.\Am I wrong?\Thanks, Shione.\But it's...\I'm one of the people who was changed by Nonoka's willpower. response:	Have faith in me.
context: Before we knew it, she'd have changed everyone's minds.\Shione.\That's what this friend of mine was like.\Am I wrong?\Thanks, Shione.\But it's...\I'm one of the people who was changed by Nonoka's willpower.\Have faith in me. response:	Shione, can I ask you to do something?
context: Shione.\That's what this friend of mine was like.\Am I wrong?\Thanks, Shione.\But it's...\I'm one of the people who was changed by Nonoka's willpower.\Have faith in me.\Shione, can I ask you to do something? response:	Yes, of course.
context: That's what this friend of mine was like.\Am I wrong?\Thanks, Shione.\But it's...\I'm one of the people who was changed by Nonoka's willpower.\Have faith in me.\Shione, can I ask you to do something?\Yes, of course. response:	I want to get together with our observatory friends once more.
context: Am I wrong?\Thanks, Shione.\But it's...\I'm one of the people who was changed by Nonoka's willpower.\Have faith in me.\Shione, can I ask you to do something?\Yes, of course.\I want to get together with our observatory friends once more. response:	Okay.
context: Thanks, Shione.\But it's...\I'm one of the people who was changed by Nonoka's willpower.\Have faith in me.\Shione, can I ask you to do something?\Yes, of course.\I want to get together with our observatory friends once more.\Okay. response:	Why you little...
