context: Good morning, Rizel... response:	Good morning, Princess.
context: Good morning, Rizel...\Good morning, Princess. response:	The weather's beautiful again today.
context: Good morning, Rizel...\Good morning, Princess.\The weather's beautiful again today. response:	It's a perfect blue sky for a special day.
context: Good morning, Rizel...\Good morning, Princess.\The weather's beautiful again today.\It's a perfect blue sky for a special day. response:	You're right.
context: Good morning, Rizel...\Good morning, Princess.\The weather's beautiful again today.\It's a perfect blue sky for a special day.\You're right. response:	On the south side of the continent of Flognarde,
context: Good morning, Rizel...\Good morning, Princess.\The weather's beautiful again today.\It's a perfect blue sky for a special day.\You're right.\On the south side of the continent of Flognarde, response:	today is a special day for the
context: Good morning, Rizel...\Good morning, Princess.\The weather's beautiful again today.\It's a perfect blue sky for a special day.\You're right.\On the south side of the continent of Flognarde,\today is a special day for the response:	Galette and Pastillage.
context: Good morning, Rizel...\Good morning, Princess.\The weather's beautiful again today.\It's a perfect blue sky for a special day.\You're right.\On the south side of the continent of Flognarde,\today is a special day for the\Galette and Pastillage. response:	Three wonderful people who make everybody smile,
context: Good morning, Princess.\The weather's beautiful again today.\It's a perfect blue sky for a special day.\You're right.\On the south side of the continent of Flognarde,\today is a special day for the\Galette and Pastillage.\Three wonderful people who make everybody smile, response:	the three Heroes, are coming back today.
context: The weather's beautiful again today.\It's a perfect blue sky for a special day.\You're right.\On the south side of the continent of Flognarde,\today is a special day for the\Galette and Pastillage.\Three wonderful people who make everybody smile,\the three Heroes, are coming back today. response:	Once Again, The Hero Returns
context: It's a perfect blue sky for a special day.\You're right.\On the south side of the continent of Flognarde,\today is a special day for the\Galette and Pastillage.\Three wonderful people who make everybody smile,\the three Heroes, are coming back today.\Once Again, The Hero Returns response:	Yeah!
context: You're right.\On the south side of the continent of Flognarde,\today is a special day for the\Galette and Pastillage.\Three wonderful people who make everybody smile,\the three Heroes, are coming back today.\Once Again, The Hero Returns\Yeah! response:	I managed to get to a tie this time!
context: On the south side of the continent of Flognarde,\today is a special day for the\Galette and Pastillage.\Three wonderful people who make everybody smile,\the three Heroes, are coming back today.\Once Again, The Hero Returns\Yeah!\I managed to get to a tie this time! response:	Next time I'll win!
context: today is a special day for the\Galette and Pastillage.\Three wonderful people who make everybody smile,\the three Heroes, are coming back today.\Once Again, The Hero Returns\Yeah!\I managed to get to a tie this time!\Next time I'll win! response:	What?
context: Galette and Pastillage.\Three wonderful people who make everybody smile,\the three Heroes, are coming back today.\Once Again, The Hero Returns\Yeah!\I managed to get to a tie this time!\Next time I'll win!\What? response:	I won't let you win next time!
context: Three wonderful people who make everybody smile,\the three Heroes, are coming back today.\Once Again, The Hero Returns\Yeah!\I managed to get to a tie this time!\Next time I'll win!\What?\I won't let you win next time! response:	Earth/ Tokinochou, Kinokawa City, Japan
context: the three Heroes, are coming back today.\Once Again, The Hero Returns\Yeah!\I managed to get to a tie this time!\Next time I'll win!\What?\I won't let you win next time!\Earth/ Tokinochou, Kinokawa City, Japan response:	A tie, huh?
context: Once Again, The Hero Returns\Yeah!\I managed to get to a tie this time!\Next time I'll win!\What?\I won't let you win next time!\Earth/ Tokinochou, Kinokawa City, Japan\A tie, huh? response:	They're both amazing.
context: Yeah!\I managed to get to a tie this time!\Next time I'll win!\What?\I won't let you win next time!\Earth/ Tokinochou, Kinokawa City, Japan\A tie, huh?\They're both amazing. response:	I have to hurry!
context: I managed to get to a tie this time!\Next time I'll win!\What?\I won't let you win next time!\Earth/ Tokinochou, Kinokawa City, Japan\A tie, huh?\They're both amazing.\I have to hurry! response:	Biscotti Republic Firianno Castle
context: Next time I'll win!\What?\I won't let you win next time!\Earth/ Tokinochou, Kinokawa City, Japan\A tie, huh?\They're both amazing.\I have to hurry!\Biscotti Republic Firianno Castle response:	Your posture's all wrong.
context: What?\I won't let you win next time!\Earth/ Tokinochou, Kinokawa City, Japan\A tie, huh?\They're both amazing.\I have to hurry!\Biscotti Republic Firianno Castle\Your posture's all wrong. response:	Think further ahead!
context: I won't let you win next time!\Earth/ Tokinochou, Kinokawa City, Japan\A tie, huh?\They're both amazing.\I have to hurry!\Biscotti Republic Firianno Castle\Your posture's all wrong.\Think further ahead! response:	Yes, ma'am!
context: Earth/ Tokinochou, Kinokawa City, Japan\A tie, huh?\They're both amazing.\I have to hurry!\Biscotti Republic Firianno Castle\Your posture's all wrong.\Think further ahead!\Yes, ma'am! response:	Next!
context: A tie, huh?\They're both amazing.\I have to hurry!\Biscotti Republic Firianno Castle\Your posture's all wrong.\Think further ahead!\Yes, ma'am!\Next! response:	Captain Eclair is all fired up today.
context: They're both amazing.\I have to hurry!\Biscotti Republic Firianno Castle\Your posture's all wrong.\Think further ahead!\Yes, ma'am!\Next!\Captain Eclair is all fired up today. response:	Of course she is, I mean...
context: I have to hurry!\Biscotti Republic Firianno Castle\Your posture's all wrong.\Think further ahead!\Yes, ma'am!\Next!\Captain Eclair is all fired up today.\Of course she is, I mean... response:	Right.
context: Biscotti Republic Firianno Castle\Your posture's all wrong.\Think further ahead!\Yes, ma'am!\Next!\Captain Eclair is all fired up today.\Of course she is, I mean...\Right. response:	Next!
context: Your posture's all wrong.\Think further ahead!\Yes, ma'am!\Next!\Captain Eclair is all fired up today.\Of course she is, I mean...\Right.\Next! response:	Okay!
context: Think further ahead!\Yes, ma'am!\Next!\Captain Eclair is all fired up today.\Of course she is, I mean...\Right.\Next!\Okay! response:	I'm going to play with
context: Yes, ma'am!\Next!\Captain Eclair is all fired up today.\Of course she is, I mean...\Right.\Next!\Okay!\I'm going to play with response:	the Hero a lot again this time!
context: Next!\Captain Eclair is all fired up today.\Of course she is, I mean...\Right.\Next!\Okay!\I'm going to play with\the Hero a lot again this time! response:	I'm waiting!
context: Captain Eclair is all fired up today.\Of course she is, I mean...\Right.\Next!\Okay!\I'm going to play with\the Hero a lot again this time!\I'm waiting! response:	This time we're summoning three Heroes at the same time.
context: Of course she is, I mean...\Right.\Next!\Okay!\I'm going to play with\the Hero a lot again this time!\I'm waiting!\This time we're summoning three Heroes at the same time. response:	Galette Lion Territory Vannette Castle
context: Right.\Next!\Okay!\I'm going to play with\the Hero a lot again this time!\I'm waiting!\This time we're summoning three Heroes at the same time.\Galette Lion Territory Vannette Castle response:	Shinku and Nanami-san have gone to
context: Next!\Okay!\I'm going to play with\the Hero a lot again this time!\I'm waiting!\This time we're summoning three Heroes at the same time.\Galette Lion Territory Vannette Castle\Shinku and Nanami-san have gone to response:	England for a tournament.
context: Okay!\I'm going to play with\the Hero a lot again this time!\I'm waiting!\This time we're summoning three Heroes at the same time.\Galette Lion Territory Vannette Castle\Shinku and Nanami-san have gone to\England for a tournament. response:	They'll be heading directly to Biscotti and Galette from there.
context: I'm going to play with\the Hero a lot again this time!\I'm waiting!\This time we're summoning three Heroes at the same time.\Galette Lion Territory Vannette Castle\Shinku and Nanami-san have gone to\England for a tournament.\They'll be heading directly to Biscotti and Galette from there. response:	Dukedom of Pastillage Hero King's Hill
context: the Hero a lot again this time!\I'm waiting!\This time we're summoning three Heroes at the same time.\Galette Lion Territory Vannette Castle\Shinku and Nanami-san have gone to\England for a tournament.\They'll be heading directly to Biscotti and Galette from there.\Dukedom of Pastillage Hero King's Hill response:	Rebecca-san, the hero of Pastillage...
context: I'm waiting!\This time we're summoning three Heroes at the same time.\Galette Lion Territory Vannette Castle\Shinku and Nanami-san have gone to\England for a tournament.\They'll be heading directly to Biscotti and Galette from there.\Dukedom of Pastillage Hero King's Hill\Rebecca-san, the hero of Pastillage... response:	will be going to Pastillage from Kinokawa city.
context: This time we're summoning three Heroes at the same time.\Galette Lion Territory Vannette Castle\Shinku and Nanami-san have gone to\England for a tournament.\They'll be heading directly to Biscotti and Galette from there.\Dukedom of Pastillage Hero King's Hill\Rebecca-san, the hero of Pastillage...\will be going to Pastillage from Kinokawa city. response:	Good to see you, Shuze!
context: Galette Lion Territory Vannette Castle\Shinku and Nanami-san have gone to\England for a tournament.\They'll be heading directly to Biscotti and Galette from there.\Dukedom of Pastillage Hero King's Hill\Rebecca-san, the hero of Pastillage...\will be going to Pastillage from Kinokawa city.\Good to see you, Shuze! response:	Earth/ England: City of London
context: Shinku and Nanami-san have gone to\England for a tournament.\They'll be heading directly to Biscotti and Galette from there.\Dukedom of Pastillage Hero King's Hill\Rebecca-san, the hero of Pastillage...\will be going to Pastillage from Kinokawa city.\Good to see you, Shuze!\Earth/ England: City of London response:	Tatsumaki! Cheney!
context: England for a tournament.\They'll be heading directly to Biscotti and Galette from there.\Dukedom of Pastillage Hero King's Hill\Rebecca-san, the hero of Pastillage...\will be going to Pastillage from Kinokawa city.\Good to see you, Shuze!\Earth/ England: City of London\Tatsumaki! Cheney! response:	Thanks for coming to get us!
context: They'll be heading directly to Biscotti and Galette from there.\Dukedom of Pastillage Hero King's Hill\Rebecca-san, the hero of Pastillage...\will be going to Pastillage from Kinokawa city.\Good to see you, Shuze!\Earth/ England: City of London\Tatsumaki! Cheney!\Thanks for coming to get us! response:	It looks like it's going to rain.
context: Dukedom of Pastillage Hero King's Hill\Rebecca-san, the hero of Pastillage...\will be going to Pastillage from Kinokawa city.\Good to see you, Shuze!\Earth/ England: City of London\Tatsumaki! Cheney!\Thanks for coming to get us!\It looks like it's going to rain. response:	Let's head out before then.
context: Rebecca-san, the hero of Pastillage...\will be going to Pastillage from Kinokawa city.\Good to see you, Shuze!\Earth/ England: City of London\Tatsumaki! Cheney!\Thanks for coming to get us!\It looks like it's going to rain.\Let's head out before then. response:	Yeah!
context: will be going to Pastillage from Kinokawa city.\Good to see you, Shuze!\Earth/ England: City of London\Tatsumaki! Cheney!\Thanks for coming to get us!\It looks like it's going to rain.\Let's head out before then.\Yeah! response:	Kuu-sama!
context: Good to see you, Shuze!\Earth/ England: City of London\Tatsumaki! Cheney!\Thanks for coming to get us!\It looks like it's going to rain.\Let's head out before then.\Yeah!\Kuu-sama! response:	Rebecca!
context: Earth/ England: City of London\Tatsumaki! Cheney!\Thanks for coming to get us!\It looks like it's going to rain.\Let's head out before then.\Yeah!\Kuu-sama!\Rebecca! response:	Yeah! I'm back, Kuu-sama!
context: Tatsumaki! Cheney!\Thanks for coming to get us!\It looks like it's going to rain.\Let's head out before then.\Yeah!\Kuu-sama!\Rebecca!\Yeah! I'm back, Kuu-sama! response:	Why are we still together?
context: Thanks for coming to get us!\It looks like it's going to rain.\Let's head out before then.\Yeah!\Kuu-sama!\Rebecca!\Yeah! I'm back, Kuu-sama!\Why are we still together? response:	Weren't we going to split up and go to Galette and Biscotti?
context: It looks like it's going to rain.\Let's head out before then.\Yeah!\Kuu-sama!\Rebecca!\Yeah! I'm back, Kuu-sama!\Why are we still together?\Weren't we going to split up and go to Galette and Biscotti? response:	I don't know, but something seems wrong.
context: Let's head out before then.\Yeah!\Kuu-sama!\Rebecca!\Yeah! I'm back, Kuu-sama!\Why are we still together?\Weren't we going to split up and go to Galette and Biscotti?\I don't know, but something seems wrong. response:	My stuff!
context: Yeah!\Kuu-sama!\Rebecca!\Yeah! I'm back, Kuu-sama!\Why are we still together?\Weren't we going to split up and go to Galette and Biscotti?\I don't know, but something seems wrong.\My stuff! response:	W-We're saved...
context: Kuu-sama!\Rebecca!\Yeah! I'm back, Kuu-sama!\Why are we still together?\Weren't we going to split up and go to Galette and Biscotti?\I don't know, but something seems wrong.\My stuff!\W-We're saved... response:	Looks like it, yeah.
context: Rebecca!\Yeah! I'm back, Kuu-sama!\Why are we still together?\Weren't we going to split up and go to Galette and Biscotti?\I don't know, but something seems wrong.\My stuff!\W-We're saved...\Looks like it, yeah. response:	But...
context: Yeah! I'm back, Kuu-sama!\Why are we still together?\Weren't we going to split up and go to Galette and Biscotti?\I don't know, but something seems wrong.\My stuff!\W-We're saved...\Looks like it, yeah.\But... response:	Where are we?
context: Why are we still together?\Weren't we going to split up and go to Galette and Biscotti?\I don't know, but something seems wrong.\My stuff!\W-We're saved...\Looks like it, yeah.\But...\Where are we? response:	There was a lightning bolt during the summoning, right?
context: Weren't we going to split up and go to Galette and Biscotti?\I don't know, but something seems wrong.\My stuff!\W-We're saved...\Looks like it, yeah.\But...\Where are we?\There was a lightning bolt during the summoning, right? response:	Maybe that knocked us off course.
context: I don't know, but something seems wrong.\My stuff!\W-We're saved...\Looks like it, yeah.\But...\Where are we?\There was a lightning bolt during the summoning, right?\Maybe that knocked us off course. response:	I dropped my stuff, too.
context: My stuff!\W-We're saved...\Looks like it, yeah.\But...\Where are we?\There was a lightning bolt during the summoning, right?\Maybe that knocked us off course.\I dropped my stuff, too. response:	I'm worried about Tatsumaki and Cheney.
context: W-We're saved...\Looks like it, yeah.\But...\Where are we?\There was a lightning bolt during the summoning, right?\Maybe that knocked us off course.\I dropped my stuff, too.\I'm worried about Tatsumaki and Cheney. response:	Let's just head down to the ground for now.
context: Looks like it, yeah.\But...\Where are we?\There was a lightning bolt during the summoning, right?\Maybe that knocked us off course.\I dropped my stuff, too.\I'm worried about Tatsumaki and Cheney.\Let's just head down to the ground for now. response:	Yeah.
context: But...\Where are we?\There was a lightning bolt during the summoning, right?\Maybe that knocked us off course.\I dropped my stuff, too.\I'm worried about Tatsumaki and Cheney.\Let's just head down to the ground for now.\Yeah. response:	Are you okay?
context: Where are we?\There was a lightning bolt during the summoning, right?\Maybe that knocked us off course.\I dropped my stuff, too.\I'm worried about Tatsumaki and Cheney.\Let's just head down to the ground for now.\Yeah.\Are you okay? response:	Yeah.
context: There was a lightning bolt during the summoning, right?\Maybe that knocked us off course.\I dropped my stuff, too.\I'm worried about Tatsumaki and Cheney.\Let's just head down to the ground for now.\Yeah.\Are you okay?\Yeah. response:	Nanami!
context: Maybe that knocked us off course.\I dropped my stuff, too.\I'm worried about Tatsumaki and Cheney.\Let's just head down to the ground for now.\Yeah.\Are you okay?\Yeah.\Nanami! response:	Thanks, Shinku.
context: I dropped my stuff, too.\I'm worried about Tatsumaki and Cheney.\Let's just head down to the ground for now.\Yeah.\Are you okay?\Yeah.\Nanami!\Thanks, Shinku. response:	Yeah.
context: I'm worried about Tatsumaki and Cheney.\Let's just head down to the ground for now.\Yeah.\Are you okay?\Yeah.\Nanami!\Thanks, Shinku.\Yeah. response:	That was close.
context: Let's just head down to the ground for now.\Yeah.\Are you okay?\Yeah.\Nanami!\Thanks, Shinku.\Yeah.\That was close. response:	So, what do we do now?
context: Yeah.\Are you okay?\Yeah.\Nanami!\Thanks, Shinku.\Yeah.\That was close.\So, what do we do now? response:	We saw a place that looked like Biscotti as we fell, right?
context: Are you okay?\Yeah.\Nanami!\Thanks, Shinku.\Yeah.\That was close.\So, what do we do now?\We saw a place that looked like Biscotti as we fell, right? response:	Yeah.
context: Yeah.\Nanami!\Thanks, Shinku.\Yeah.\That was close.\So, what do we do now?\We saw a place that looked like Biscotti as we fell, right?\Yeah. response:	It's pretty clear this is Flognarde,
context: Nanami!\Thanks, Shinku.\Yeah.\That was close.\So, what do we do now?\We saw a place that looked like Biscotti as we fell, right?\Yeah.\It's pretty clear this is Flognarde, response:	so let's start by looking for our stuff.
context: Thanks, Shinku.\Yeah.\That was close.\So, what do we do now?\We saw a place that looked like Biscotti as we fell, right?\Yeah.\It's pretty clear this is Flognarde,\so let's start by looking for our stuff. response:	You're right.
context: Yeah.\That was close.\So, what do we do now?\We saw a place that looked like Biscotti as we fell, right?\Yeah.\It's pretty clear this is Flognarde,\so let's start by looking for our stuff.\You're right. response:	If we can find it, we can get a hold of everyone.
