context: Looks like the village where I lived with Pa. response:	C'mon, Shippo!
context: Looks like the village where I lived with Pa.\C'mon, Shippo! response:	'Kay!
context: Looks like the village where I lived with Pa.\C'mon, Shippo!\'Kay! response:	Who suggested coming here anyway?
context: Looks like the village where I lived with Pa.\C'mon, Shippo!\'Kay!\Who suggested coming here anyway? response:	Doubt if we'll find a shard in a place like this.
context: Looks like the village where I lived with Pa.\C'mon, Shippo!\'Kay!\Who suggested coming here anyway?\Doubt if we'll find a shard in a place like this. response:	Kagome... are you picking up any vibes from a Jewel Shard?
context: Looks like the village where I lived with Pa.\C'mon, Shippo!\'Kay!\Who suggested coming here anyway?\Doubt if we'll find a shard in a place like this.\Kagome... are you picking up any vibes from a Jewel Shard? response:	None at all.
context: Looks like the village where I lived with Pa.\C'mon, Shippo!\'Kay!\Who suggested coming here anyway?\Doubt if we'll find a shard in a place like this.\Kagome... are you picking up any vibes from a Jewel Shard?\None at all. response:	Well, let's split up and look around.
context: Looks like the village where I lived with Pa.\C'mon, Shippo!\'Kay!\Who suggested coming here anyway?\Doubt if we'll find a shard in a place like this.\Kagome... are you picking up any vibes from a Jewel Shard?\None at all.\Well, let's split up and look around. response:	Catch you later!
context: C'mon, Shippo!\'Kay!\Who suggested coming here anyway?\Doubt if we'll find a shard in a place like this.\Kagome... are you picking up any vibes from a Jewel Shard?\None at all.\Well, let's split up and look around.\Catch you later! response:	Huh? What is it?
context: 'Kay!\Who suggested coming here anyway?\Doubt if we'll find a shard in a place like this.\Kagome... are you picking up any vibes from a Jewel Shard?\None at all.\Well, let's split up and look around.\Catch you later!\Huh? What is it? response:	Are you going off alone to pick up some woman, Monk?
context: Who suggested coming here anyway?\Doubt if we'll find a shard in a place like this.\Kagome... are you picking up any vibes from a Jewel Shard?\None at all.\Well, let's split up and look around.\Catch you later!\Huh? What is it?\Are you going off alone to pick up some woman, Monk? response:	Huh! I sense a demon!
context: Doubt if we'll find a shard in a place like this.\Kagome... are you picking up any vibes from a Jewel Shard?\None at all.\Well, let's split up and look around.\Catch you later!\Huh? What is it?\Are you going off alone to pick up some woman, Monk?\Huh! I sense a demon! response:	How can you be so callous?!
context: Kagome... are you picking up any vibes from a Jewel Shard?\None at all.\Well, let's split up and look around.\Catch you later!\Huh? What is it?\Are you going off alone to pick up some woman, Monk?\Huh! I sense a demon!\How can you be so callous?! response:	Huh? What is it?
context: None at all.\Well, let's split up and look around.\Catch you later!\Huh? What is it?\Are you going off alone to pick up some woman, Monk?\Huh! I sense a demon!\How can you be so callous?!\Huh? What is it? response:	What's the matter, Inuyasha?
context: Well, let's split up and look around.\Catch you later!\Huh? What is it?\Are you going off alone to pick up some woman, Monk?\Huh! I sense a demon!\How can you be so callous?!\Huh? What is it?\What's the matter, Inuyasha? response:	We haven't even started.
context: Catch you later!\Huh? What is it?\Are you going off alone to pick up some woman, Monk?\Huh! I sense a demon!\How can you be so callous?!\Huh? What is it?\What's the matter, Inuyasha?\We haven't even started. response:	If there's a demon around, I'll smell it!
context: Huh? What is it?\Are you going off alone to pick up some woman, Monk?\Huh! I sense a demon!\How can you be so callous?!\Huh? What is it?\What's the matter, Inuyasha?\We haven't even started.\If there's a demon around, I'll smell it! response:	He plans to goof off!
context: Are you going off alone to pick up some woman, Monk?\Huh! I sense a demon!\How can you be so callous?!\Huh? What is it?\What's the matter, Inuyasha?\We haven't even started.\If there's a demon around, I'll smell it!\He plans to goof off! response:	Ahh... such nice weather.
context: Huh! I sense a demon!\How can you be so callous?!\Huh? What is it?\What's the matter, Inuyasha?\We haven't even started.\If there's a demon around, I'll smell it!\He plans to goof off!\Ahh... such nice weather. response:	Huh? Shippo's gone.
context: How can you be so callous?!\Huh? What is it?\What's the matter, Inuyasha?\We haven't even started.\If there's a demon around, I'll smell it!\He plans to goof off!\Ahh... such nice weather.\Huh? Shippo's gone. response:	Huh? He probably went off to play. He's just a kid, after all.
context: Huh? What is it?\What's the matter, Inuyasha?\We haven't even started.\If there's a demon around, I'll smell it!\He plans to goof off!\Ahh... such nice weather.\Huh? Shippo's gone.\Huh? He probably went off to play. He's just a kid, after all. response:	Boy, the pains I go through!
context: What's the matter, Inuyasha?\We haven't even started.\If there's a demon around, I'll smell it!\He plans to goof off!\Ahh... such nice weather.\Huh? Shippo's gone.\Huh? He probably went off to play. He's just a kid, after all.\Boy, the pains I go through! response:	We've been in a lot of battles lately.
context: We haven't even started.\If there's a demon around, I'll smell it!\He plans to goof off!\Ahh... such nice weather.\Huh? Shippo's gone.\Huh? He probably went off to play. He's just a kid, after all.\Boy, the pains I go through!\We've been in a lot of battles lately. response:	They deserve to be alone for a change.
context: If there's a demon around, I'll smell it!\He plans to goof off!\Ahh... such nice weather.\Huh? Shippo's gone.\Huh? He probably went off to play. He's just a kid, after all.\Boy, the pains I go through!\We've been in a lot of battles lately.\They deserve to be alone for a change. response:	Now then...
context: He plans to goof off!\Ahh... such nice weather.\Huh? Shippo's gone.\Huh? He probably went off to play. He's just a kid, after all.\Boy, the pains I go through!\We've been in a lot of battles lately.\They deserve to be alone for a change.\Now then... response:	Wait up!
context: Ahh... such nice weather.\Huh? Shippo's gone.\Huh? He probably went off to play. He's just a kid, after all.\Boy, the pains I go through!\We've been in a lot of battles lately.\They deserve to be alone for a change.\Now then...\Wait up! response:	Stop!
context: Huh? Shippo's gone.\Huh? He probably went off to play. He's just a kid, after all.\Boy, the pains I go through!\We've been in a lot of battles lately.\They deserve to be alone for a change.\Now then...\Wait up!\Stop! response:	Catch me if you can!
context: Huh? He probably went off to play. He's just a kid, after all.\Boy, the pains I go through!\We've been in a lot of battles lately.\They deserve to be alone for a change.\Now then...\Wait up!\Stop!\Catch me if you can! response:	Brat!
context: Boy, the pains I go through!\We've been in a lot of battles lately.\They deserve to be alone for a change.\Now then...\Wait up!\Stop!\Catch me if you can!\Brat! response:	Get her!
context: We've been in a lot of battles lately.\They deserve to be alone for a change.\Now then...\Wait up!\Stop!\Catch me if you can!\Brat!\Get her! response:	Liar! You stole the dried persimmon from my house!
context: They deserve to be alone for a change.\Now then...\Wait up!\Stop!\Catch me if you can!\Brat!\Get her!\Liar! You stole the dried persimmon from my house! response:	Did not! Did you see me?!
context: Now then...\Wait up!\Stop!\Catch me if you can!\Brat!\Get her!\Liar! You stole the dried persimmon from my house!\Did not! Did you see me?! response:	Shaddup! You liar!
context: Wait up!\Stop!\Catch me if you can!\Brat!\Get her!\Liar! You stole the dried persimmon from my house!\Did not! Did you see me?!\Shaddup! You liar! response:	Why you! When my brother comes home, you'll all get it!
context: Stop!\Catch me if you can!\Brat!\Get her!\Liar! You stole the dried persimmon from my house!\Did not! Did you see me?!\Shaddup! You liar!\Why you! When my brother comes home, you'll all get it! response:	Stupid! Your brother died long ago in the war!
context: Catch me if you can!\Brat!\Get her!\Liar! You stole the dried persimmon from my house!\Did not! Did you see me?!\Shaddup! You liar!\Why you! When my brother comes home, you'll all get it!\Stupid! Your brother died long ago in the war! response:	My pa was with him when he died.
context: Brat!\Get her!\Liar! You stole the dried persimmon from my house!\Did not! Did you see me?!\Shaddup! You liar!\Why you! When my brother comes home, you'll all get it!\Stupid! Your brother died long ago in the war!\My pa was with him when he died. response:	My brother's NOT dead!
context: Get her!\Liar! You stole the dried persimmon from my house!\Did not! Did you see me?!\Shaddup! You liar!\Why you! When my brother comes home, you'll all get it!\Stupid! Your brother died long ago in the war!\My pa was with him when he died.\My brother's NOT dead! response:	Oww!
context: Liar! You stole the dried persimmon from my house!\Did not! Did you see me?!\Shaddup! You liar!\Why you! When my brother comes home, you'll all get it!\Stupid! Your brother died long ago in the war!\My pa was with him when he died.\My brother's NOT dead!\Oww! response:	Why you!
context: Did not! Did you see me?!\Shaddup! You liar!\Why you! When my brother comes home, you'll all get it!\Stupid! Your brother died long ago in the war!\My pa was with him when he died.\My brother's NOT dead!\Oww!\Why you! response:	You lying thief!
context: Shaddup! You liar!\Why you! When my brother comes home, you'll all get it!\Stupid! Your brother died long ago in the war!\My pa was with him when he died.\My brother's NOT dead!\Oww!\Why you!\You lying thief! response:	W-Wha!
context: Why you! When my brother comes home, you'll all get it!\Stupid! Your brother died long ago in the war!\My pa was with him when he died.\My brother's NOT dead!\Oww!\Why you!\You lying thief!\W-Wha! response:	You kids!
context: Stupid! Your brother died long ago in the war!\My pa was with him when he died.\My brother's NOT dead!\Oww!\Why you!\You lying thief!\W-Wha!\You kids! response:	Arghhh! A ghost!
context: My pa was with him when he died.\My brother's NOT dead!\Oww!\Why you!\You lying thief!\W-Wha!\You kids!\Arghhh! A ghost! response:	Wait up!
context: My brother's NOT dead!\Oww!\Why you!\You lying thief!\W-Wha!\You kids!\Arghhh! A ghost!\Wait up! response:	That'll show'em!
context: Oww!\Why you!\You lying thief!\W-Wha!\You kids!\Arghhh! A ghost!\Wait up!\That'll show'em! response:	It's safe now.
context: Why you!\You lying thief!\W-Wha!\You kids!\Arghhh! A ghost!\Wait up!\That'll show'em!\It's safe now. response:	T-Thank you, raccoon-dog.
context: You lying thief!\W-Wha!\You kids!\Arghhh! A ghost!\Wait up!\That'll show'em!\It's safe now.\T-Thank you, raccoon-dog. response:	I'm a fox.
context: W-Wha!\You kids!\Arghhh! A ghost!\Wait up!\That'll show'em!\It's safe now.\T-Thank you, raccoon-dog.\I'm a fox. response:	For saving me... want half?
context: You kids!\Arghhh! A ghost!\Wait up!\That'll show'em!\It's safe now.\T-Thank you, raccoon-dog.\I'm a fox.\For saving me... want half? response:	Huh?
context: Arghhh! A ghost!\Wait up!\That'll show'em!\It's safe now.\T-Thank you, raccoon-dog.\I'm a fox.\For saving me... want half?\Huh? response:	The dried persimmon I stole. It's yummy.
context: Wait up!\That'll show'em!\It's safe now.\T-Thank you, raccoon-dog.\I'm a fox.\For saving me... want half?\Huh?\The dried persimmon I stole. It's yummy. response:	S- She was the culprit, after all.
