context: Dreadful... response:	What is that?
context: Dreadful...\What is that? response:	Japanese?
context: Dreadful...\What is that?\Japanese? response:	You mean that country in Asia? Where they do that harakiri?
context: Dreadful...\What is that?\Japanese?\You mean that country in Asia? Where they do that harakiri? response:	I'm pleased to meet you, Lord Horikawa.
context: Dreadful...\What is that?\Japanese?\You mean that country in Asia? Where they do that harakiri?\I'm pleased to meet you, Lord Horikawa. response:	It basically means our princess of air
context: Dreadful...\What is that?\Japanese?\You mean that country in Asia? Where they do that harakiri?\I'm pleased to meet you, Lord Horikawa.\It basically means our princess of air response:	is all they're willing to send for an Eastern island nation.
context: Dreadful...\What is that?\Japanese?\You mean that country in Asia? Where they do that harakiri?\I'm pleased to meet you, Lord Horikawa.\It basically means our princess of air\is all they're willing to send for an Eastern island nation. response:	They've likely considered the risks involved.
context: Dreadful...\What is that?\Japanese?\You mean that country in Asia? Where they do that harakiri?\I'm pleased to meet you, Lord Horikawa.\It basically means our princess of air\is all they're willing to send for an Eastern island nation.\They've likely considered the risks involved. response:	I doubt the Crown is unaware of the assassination attempts.
context: What is that?\Japanese?\You mean that country in Asia? Where they do that harakiri?\I'm pleased to meet you, Lord Horikawa.\It basically means our princess of air\is all they're willing to send for an Eastern island nation.\They've likely considered the risks involved.\I doubt the Crown is unaware of the assassination attempts. response:	The assassins' ringleader is Todo Jubei.
context: Japanese?\You mean that country in Asia? Where they do that harakiri?\I'm pleased to meet you, Lord Horikawa.\It basically means our princess of air\is all they're willing to send for an Eastern island nation.\They've likely considered the risks involved.\I doubt the Crown is unaware of the assassination attempts.\The assassins' ringleader is Todo Jubei. response:	Apparently he's single-handedly cut down 100 men.
context: You mean that country in Asia? Where they do that harakiri?\I'm pleased to meet you, Lord Horikawa.\It basically means our princess of air\is all they're willing to send for an Eastern island nation.\They've likely considered the risks involved.\I doubt the Crown is unaware of the assassination attempts.\The assassins' ringleader is Todo Jubei.\Apparently he's single-handedly cut down 100 men. response:	These undeveloped countries and their overblown rumors...
context: I'm pleased to meet you, Lord Horikawa.\It basically means our princess of air\is all they're willing to send for an Eastern island nation.\They've likely considered the risks involved.\I doubt the Crown is unaware of the assassination attempts.\The assassins' ringleader is Todo Jubei.\Apparently he's single-handedly cut down 100 men.\These undeveloped countries and their overblown rumors... response:	It was in a European military report.
context: It basically means our princess of air\is all they're willing to send for an Eastern island nation.\They've likely considered the risks involved.\I doubt the Crown is unaware of the assassination attempts.\The assassins' ringleader is Todo Jubei.\Apparently he's single-handedly cut down 100 men.\These undeveloped countries and their overblown rumors...\It was in a European military report. response:	During the Boshin War, he boarded an ironclad ship and sank it unaided.
context: is all they're willing to send for an Eastern island nation.\They've likely considered the risks involved.\I doubt the Crown is unaware of the assassination attempts.\The assassins' ringleader is Todo Jubei.\Apparently he's single-handedly cut down 100 men.\These undeveloped countries and their overblown rumors...\It was in a European military report.\During the Boshin War, he boarded an ironclad ship and sank it unaided. response:	But you know, now that we have the Princess on our side,
context: They've likely considered the risks involved.\I doubt the Crown is unaware of the assassination attempts.\The assassins' ringleader is Todo Jubei.\Apparently he's single-handedly cut down 100 men.\These undeveloped countries and their overblown rumors...\It was in a European military report.\During the Boshin War, he boarded an ironclad ship and sank it unaided.\But you know, now that we have the Princess on our side, response:	I would hate for her to get caught up in an assassination plot.
context: I doubt the Crown is unaware of the assassination attempts.\The assassins' ringleader is Todo Jubei.\Apparently he's single-handedly cut down 100 men.\These undeveloped countries and their overblown rumors...\It was in a European military report.\During the Boshin War, he boarded an ironclad ship and sank it unaided.\But you know, now that we have the Princess on our side,\I would hate for her to get caught up in an assassination plot. response:	That won't be a problem.
context: The assassins' ringleader is Todo Jubei.\Apparently he's single-handedly cut down 100 men.\These undeveloped countries and their overblown rumors...\It was in a European military report.\During the Boshin War, he boarded an ironclad ship and sank it unaided.\But you know, now that we have the Princess on our side,\I would hate for her to get caught up in an assassination plot.\That won't be a problem. response:	That is what our Principal is for.
context: Apparently he's single-handedly cut down 100 men.\These undeveloped countries and their overblown rumors...\It was in a European military report.\During the Boshin War, he boarded an ironclad ship and sank it unaided.\But you know, now that we have the Princess on our side,\I would hate for her to get caught up in an assassination plot.\That won't be a problem.\That is what our Principal is for. response:	I've had the royal car prepared for you.
context: These undeveloped countries and their overblown rumors...\It was in a European military report.\During the Boshin War, he boarded an ironclad ship and sank it unaided.\But you know, now that we have the Princess on our side,\I would hate for her to get caught up in an assassination plot.\That won't be a problem.\That is what our Principal is for.\I've had the royal car prepared for you. response:	It will take us to London. This way, please.
context: It was in a European military report.\During the Boshin War, he boarded an ironclad ship and sank it unaided.\But you know, now that we have the Princess on our side,\I would hate for her to get caught up in an assassination plot.\That won't be a problem.\That is what our Principal is for.\I've had the royal car prepared for you.\It will take us to London. This way, please. response:	All this, for us. We are deeply in your debt.
