context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul, response:	The Academy of Shinigami Weapons Wielders.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders. response:	In other words, Shibusen.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen. response:	Plunging the world into the depths of fear,
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\Plunging the world into the depths of fear, response:	Those beings that nearly destroyed everything: The Kishin.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\Plunging the world into the depths of fear,\Those beings that nearly destroyed everything: The Kishin. response:	In order to prevent their rebirth...
context: Late Night Show\Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\Plunging the world into the depths of fear,\Those beings that nearly destroyed everything: The Kishin.\In order to prevent their rebirth... response:	This is the training facility for weapons created by Shinigami...
context: Bones 10th anniversary project\A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\Plunging the world into the depths of fear,\Those beings that nearly destroyed everything: The Kishin.\In order to prevent their rebirth...\This is the training facility for weapons created by Shinigami... response:	Well, quite simply,
context: A healthy soul,\The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\Plunging the world into the depths of fear,\Those beings that nearly destroyed everything: The Kishin.\In order to prevent their rebirth...\This is the training facility for weapons created by Shinigami...\Well, quite simply, response:	Shinigami-sama
context: The Academy of Shinigami Weapons Wielders.\In other words, Shibusen.\Plunging the world into the depths of fear,\Those beings that nearly destroyed everything: The Kishin.\In order to prevent their rebirth...\This is the training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama response:	I wonder why it's an Academy.
context: In other words, Shibusen.\Plunging the world into the depths of fear,\Those beings that nearly destroyed everything: The Kishin.\In order to prevent their rebirth...\This is the training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy. response:	Oh well.
context: Plunging the world into the depths of fear,\Those beings that nearly destroyed everything: The Kishin.\In order to prevent their rebirth...\This is the training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well. response:	So, if you think you're prepared, let's have a go at it!
context: Those beings that nearly destroyed everything: The Kishin.\In order to prevent their rebirth...\This is the training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it! response:	So, if you think you're prepared, let's have a go at it!
context: In order to prevent their rebirth...\This is the training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it!\So, if you think you're prepared, let's have a go at it! response:	This is a free fansub. Not for sale or rent.
context: This is the training facility for weapons created by Shinigami...\Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it!\So, if you think you're prepared, let's have a go at it!\This is a free fansub. Not for sale or rent. response:	Without realizing, the resonating broadcast is in the third episode.
context: Well, quite simply,\Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it!\So, if you think you're prepared, let's have a go at it!\This is a free fansub. Not for sale or rent.\Without realizing, the resonating broadcast is in the third episode. response:	To commemorate Kid's entrance,
context: Shinigami-sama\I wonder why it's an Academy.\Oh well.\So, if you think you're prepared, let's have a go at it!\So, if you think you're prepared, let's have a go at it!\This is a free fansub. Not for sale or rent.\Without realizing, the resonating broadcast is in the third episode.\To commemorate Kid's entrance, response:	The past is nostalgic. YES NO.
