context: Mother... response:	I can't do anythin' at all with Goku- sa!
context: Mother...\I can't do anythin' at all with Goku- sa! response:	I'm sure that right now, he's keepin' Gohan up, no doubt about it!
context: Mother...\I can't do anythin' at all with Goku- sa!\I'm sure that right now, he's keepin' Gohan up, no doubt about it! response:	And right now is the most important time for him, too!
context: Mother...\I can't do anythin' at all with Goku- sa!\I'm sure that right now, he's keepin' Gohan up, no doubt about it!\And right now is the most important time for him, too! response:	With everyone gathered at the Kame House,
context: Mother...\I can't do anythin' at all with Goku- sa!\I'm sure that right now, he's keepin' Gohan up, no doubt about it!\And right now is the most important time for him, too!\With everyone gathered at the Kame House, response:	there's not a single person who can serve as a good example for Gohan!
context: Mother...\I can't do anythin' at all with Goku- sa!\I'm sure that right now, he's keepin' Gohan up, no doubt about it!\And right now is the most important time for him, too!\With everyone gathered at the Kame House,\there's not a single person who can serve as a good example for Gohan! response:	Goku- sa has to know that it's not good for him from an educational standpoint!
context: Mother...\I can't do anythin' at all with Goku- sa!\I'm sure that right now, he's keepin' Gohan up, no doubt about it!\And right now is the most important time for him, too!\With everyone gathered at the Kame House,\there's not a single person who can serve as a good example for Gohan!\Goku- sa has to know that it's not good for him from an educational standpoint! response:	I can see from this how Gohan's future is goin' to be.
context: Mother...\I can't do anythin' at all with Goku- sa!\I'm sure that right now, he's keepin' Gohan up, no doubt about it!\And right now is the most important time for him, too!\With everyone gathered at the Kame House,\there's not a single person who can serve as a good example for Gohan!\Goku- sa has to know that it's not good for him from an educational standpoint!\I can see from this how Gohan's future is goin' to be. response:	l've really had it this time.
context: I can't do anythin' at all with Goku- sa!\I'm sure that right now, he's keepin' Gohan up, no doubt about it!\And right now is the most important time for him, too!\With everyone gathered at the Kame House,\there's not a single person who can serve as a good example for Gohan!\Goku- sa has to know that it's not good for him from an educational standpoint!\I can see from this how Gohan's future is goin' to be.\l've really had it this time. response:	There's no way that I can tell them that Goku has died now...
context: I'm sure that right now, he's keepin' Gohan up, no doubt about it!\And right now is the most important time for him, too!\With everyone gathered at the Kame House,\there's not a single person who can serve as a good example for Gohan!\Goku- sa has to know that it's not good for him from an educational standpoint!\I can see from this how Gohan's future is goin' to be.\l've really had it this time.\There's no way that I can tell them that Goku has died now... response:	l guess that for me to return to the Kame House would be best for now.
context: And right now is the most important time for him, too!\With everyone gathered at the Kame House,\there's not a single person who can serve as a good example for Gohan!\Goku- sa has to know that it's not good for him from an educational standpoint!\I can see from this how Gohan's future is goin' to be.\l've really had it this time.\There's no way that I can tell them that Goku has died now...\l guess that for me to return to the Kame House would be best for now. response:	Goku- sa...
context: With everyone gathered at the Kame House,\there's not a single person who can serve as a good example for Gohan!\Goku- sa has to know that it's not good for him from an educational standpoint!\I can see from this how Gohan's future is goin' to be.\l've really had it this time.\There's no way that I can tell them that Goku has died now...\l guess that for me to return to the Kame House would be best for now.\Goku- sa... response:	Eat some more. We've got barbecued elephant this time...
context: there's not a single person who can serve as a good example for Gohan!\Goku- sa has to know that it's not good for him from an educational standpoint!\I can see from this how Gohan's future is goin' to be.\l've really had it this time.\There's no way that I can tell them that Goku has died now...\l guess that for me to return to the Kame House would be best for now.\Goku- sa...\Eat some more. We've got barbecued elephant this time... response:	No need to be shy. You can start by gnawin' on its head...
context: Goku- sa has to know that it's not good for him from an educational standpoint!\I can see from this how Gohan's future is goin' to be.\l've really had it this time.\There's no way that I can tell them that Goku has died now...\l guess that for me to return to the Kame House would be best for now.\Goku- sa...\Eat some more. We've got barbecued elephant this time...\No need to be shy. You can start by gnawin' on its head... response:	Goku...
context: I can see from this how Gohan's future is goin' to be.\l've really had it this time.\There's no way that I can tell them that Goku has died now...\l guess that for me to return to the Kame House would be best for now.\Goku- sa...\Eat some more. We've got barbecued elephant this time...\No need to be shy. You can start by gnawin' on its head...\Goku... response:	Nobody would have been able to tell them, right?
context: l've really had it this time.\There's no way that I can tell them that Goku has died now...\l guess that for me to return to the Kame House would be best for now.\Goku- sa...\Eat some more. We've got barbecued elephant this time...\No need to be shy. You can start by gnawin' on its head...\Goku...\Nobody would have been able to tell them, right? response:	Wah! It's too bright!
context: There's no way that I can tell them that Goku has died now...\l guess that for me to return to the Kame House would be best for now.\Goku- sa...\Eat some more. We've got barbecued elephant this time...\No need to be shy. You can start by gnawin' on its head...\Goku...\Nobody would have been able to tell them, right?\Wah! It's too bright! response:	I can't get down! And I'm hungry!
context: l guess that for me to return to the Kame House would be best for now.\Goku- sa...\Eat some more. We've got barbecued elephant this time...\No need to be shy. You can start by gnawin' on its head...\Goku...\Nobody would have been able to tell them, right?\Wah! It's too bright!\I can't get down! And I'm hungry! response:	If you're hungry, you can just climb down from there and find something to eat.
context: Goku- sa...\Eat some more. We've got barbecued elephant this time...\No need to be shy. You can start by gnawin' on its head...\Goku...\Nobody would have been able to tell them, right?\Wah! It's too bright!\I can't get down! And I'm hungry!\If you're hungry, you can just climb down from there and find something to eat. response:	What? You couldn't tell them?
context: Eat some more. We've got barbecued elephant this time...\No need to be shy. You can start by gnawin' on its head...\Goku...\Nobody would have been able to tell them, right?\Wah! It's too bright!\I can't get down! And I'm hungry!\If you're hungry, you can just climb down from there and find something to eat.\What? You couldn't tell them? response:	I'm very sorry.
context: No need to be shy. You can start by gnawin' on its head...\Goku...\Nobody would have been able to tell them, right?\Wah! It's too bright!\I can't get down! And I'm hungry!\If you're hungry, you can just climb down from there and find something to eat.\What? You couldn't tell them?\I'm very sorry. response:	Don't tell me you didn't say anything!
context: Goku...\Nobody would have been able to tell them, right?\Wah! It's too bright!\I can't get down! And I'm hungry!\If you're hungry, you can just climb down from there and find something to eat.\What? You couldn't tell them?\I'm very sorry.\Don't tell me you didn't say anything! response:	No...
context: Nobody would have been able to tell them, right?\Wah! It's too bright!\I can't get down! And I'm hungry!\If you're hungry, you can just climb down from there and find something to eat.\What? You couldn't tell them?\I'm very sorry.\Don't tell me you didn't say anything!\No... response:	What's the use? Geez, you're so spineless!
context: Wah! It's too bright!\I can't get down! And I'm hungry!\If you're hungry, you can just climb down from there and find something to eat.\What? You couldn't tell them?\I'm very sorry.\Don't tell me you didn't say anything!\No...\What's the use? Geez, you're so spineless! response:	T- that's easy for you to say,
context: I can't get down! And I'm hungry!\If you're hungry, you can just climb down from there and find something to eat.\What? You couldn't tell them?\I'm very sorry.\Don't tell me you didn't say anything!\No...\What's the use? Geez, you're so spineless!\T- that's easy for you to say, response:	but if any normal person saw Chichi- san's face,
context: If you're hungry, you can just climb down from there and find something to eat.\What? You couldn't tell them?\I'm very sorry.\Don't tell me you didn't say anything!\No...\What's the use? Geez, you're so spineless!\T- that's easy for you to say,\but if any normal person saw Chichi- san's face, response:	they'd be unable to tell her!
context: What? You couldn't tell them?\I'm very sorry.\Don't tell me you didn't say anything!\No...\What's the use? Geez, you're so spineless!\T- that's easy for you to say,\but if any normal person saw Chichi- san's face,\they'd be unable to tell her! response:	Oh? So you're saying that I'm no normal person!?
context: I'm very sorry.\Don't tell me you didn't say anything!\No...\What's the use? Geez, you're so spineless!\T- that's easy for you to say,\but if any normal person saw Chichi- san's face,\they'd be unable to tell her!\Oh? So you're saying that I'm no normal person!? response:	T- that's not what I meant...
context: Don't tell me you didn't say anything!\No...\What's the use? Geez, you're so spineless!\T- that's easy for you to say,\but if any normal person saw Chichi- san's face,\they'd be unable to tell her!\Oh? So you're saying that I'm no normal person!?\T- that's not what I meant... response:	Well, I suppose it's no surprise.
context: No...\What's the use? Geez, you're so spineless!\T- that's easy for you to say,\but if any normal person saw Chichi- san's face,\they'd be unable to tell her!\Oh? So you're saying that I'm no normal person!?\T- that's not what I meant...\Well, I suppose it's no surprise. response:	But we can't just keep quiet like this.
context: What's the use? Geez, you're so spineless!\T- that's easy for you to say,\but if any normal person saw Chichi- san's face,\they'd be unable to tell her!\Oh? So you're saying that I'm no normal person!?\T- that's not what I meant...\Well, I suppose it's no surprise.\But we can't just keep quiet like this. response:	If we wrote her a letter explaining what happened,
context: T- that's easy for you to say,\but if any normal person saw Chichi- san's face,\they'd be unable to tell her!\Oh? So you're saying that I'm no normal person!?\T- that's not what I meant...\Well, I suppose it's no surprise.\But we can't just keep quiet like this.\If we wrote her a letter explaining what happened, response:	perhaps she would understand.
context: but if any normal person saw Chichi- san's face,\they'd be unable to tell her!\Oh? So you're saying that I'm no normal person!?\T- that's not what I meant...\Well, I suppose it's no surprise.\But we can't just keep quiet like this.\If we wrote her a letter explaining what happened,\perhaps she would understand. response:	R- right! That will work!
