context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon response:	An elemental blizzard attack...
context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon\An elemental blizzard attack... response:	And the Royal Guard's armor is boosting all of his stats!
context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon\An elemental blizzard attack...\And the Royal Guard's armor is boosting all of his stats! response:	When you actually see it up close, it really seems like cheating.
context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon\An elemental blizzard attack...\And the Royal Guard's armor is boosting all of his stats!\When you actually see it up close, it really seems like cheating. response:	I'll ask again. Have you ever been in a raid?
context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon\An elemental blizzard attack...\And the Royal Guard's armor is boosting all of his stats!\When you actually see it up close, it really seems like cheating.\I'll ask again. Have you ever been in a raid? response:	Nope.
context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon\An elemental blizzard attack...\And the Royal Guard's armor is boosting all of his stats!\When you actually see it up close, it really seems like cheating.\I'll ask again. Have you ever been in a raid?\Nope. response:	Me, neither.
context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon\An elemental blizzard attack...\And the Royal Guard's armor is boosting all of his stats!\When you actually see it up close, it really seems like cheating.\I'll ask again. Have you ever been in a raid?\Nope.\Me, neither. response:	I don't feel like facing the new year on the cold Cathedral floor.
context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon\An elemental blizzard attack...\And the Royal Guard's armor is boosting all of his stats!\When you actually see it up close, it really seems like cheating.\I'll ask again. Have you ever been in a raid?\Nope.\Me, neither.\I don't feel like facing the new year on the cold Cathedral floor. response:	Right.
context: An elemental blizzard attack...\And the Royal Guard's armor is boosting all of his stats!\When you actually see it up close, it really seems like cheating.\I'll ask again. Have you ever been in a raid?\Nope.\Me, neither.\I don't feel like facing the new year on the cold Cathedral floor.\Right. response:	This is our first battle!
context: And the Royal Guard's armor is boosting all of his stats!\When you actually see it up close, it really seems like cheating.\I'll ask again. Have you ever been in a raid?\Nope.\Me, neither.\I don't feel like facing the new year on the cold Cathedral floor.\Right.\This is our first battle! response:	Yeah.
context: When you actually see it up close, it really seems like cheating.\I'll ask again. Have you ever been in a raid?\Nope.\Me, neither.\I don't feel like facing the new year on the cold Cathedral floor.\Right.\This is our first battle!\Yeah. response:	Target sighted.
context: I'll ask again. Have you ever been in a raid?\Nope.\Me, neither.\I don't feel like facing the new year on the cold Cathedral floor.\Right.\This is our first battle!\Yeah.\Target sighted. response:	Moving toward Old Ogawa Town, on Chuo Street.
context: Nope.\Me, neither.\I don't feel like facing the new year on the cold Cathedral floor.\Right.\This is our first battle!\Yeah.\Target sighted.\Moving toward Old Ogawa Town, on Chuo Street. response:	Group C has made contact.
context: Me, neither.\I don't feel like facing the new year on the cold Cathedral floor.\Right.\This is our first battle!\Yeah.\Target sighted.\Moving toward Old Ogawa Town, on Chuo Street.\Group C has made contact. response:	One healer present.
context: I don't feel like facing the new year on the cold Cathedral floor.\Right.\This is our first battle!\Yeah.\Target sighted.\Moving toward Old Ogawa Town, on Chuo Street.\Group C has made contact.\One healer present. response:	Group D is to rendezvous immediately.
context: Right.\This is our first battle!\Yeah.\Target sighted.\Moving toward Old Ogawa Town, on Chuo Street.\Group C has made contact.\One healer present.\Group D is to rendezvous immediately. response:	All other groups are to remain on standby.
context: This is our first battle!\Yeah.\Target sighted.\Moving toward Old Ogawa Town, on Chuo Street.\Group C has made contact.\One healer present.\Group D is to rendezvous immediately.\All other groups are to remain on standby. response:	Group C is Akatsuki, right?
context: Yeah.\Target sighted.\Moving toward Old Ogawa Town, on Chuo Street.\Group C has made contact.\One healer present.\Group D is to rendezvous immediately.\All other groups are to remain on standby.\Group C is Akatsuki, right? response:	Yeah.
context: Target sighted.\Moving toward Old Ogawa Town, on Chuo Street.\Group C has made contact.\One healer present.\Group D is to rendezvous immediately.\All other groups are to remain on standby.\Group C is Akatsuki, right?\Yeah. response:	So far, it's gone according to plan.
context: Moving toward Old Ogawa Town, on Chuo Street.\Group C has made contact.\One healer present.\Group D is to rendezvous immediately.\All other groups are to remain on standby.\Group C is Akatsuki, right?\Yeah.\So far, it's gone according to plan. response:	Her detection abilities are crazy.
context: Group C has made contact.\One healer present.\Group D is to rendezvous immediately.\All other groups are to remain on standby.\Group C is Akatsuki, right?\Yeah.\So far, it's gone according to plan.\Her detection abilities are crazy. response:	It's finally time!
context: One healer present.\Group D is to rendezvous immediately.\All other groups are to remain on standby.\Group C is Akatsuki, right?\Yeah.\So far, it's gone according to plan.\Her detection abilities are crazy.\It's finally time! response:	Will you be okay, Kyouko?
