context: Sis, it'll be all right. response:	Thank you.
context: Sis, it'll be all right.\Thank you. response:	I'm going to hang in there.
context: Sis, it'll be all right.\Thank you.\I'm going to hang in there. response:	Thank you, Sis.
context: Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis. response:	Excuse me.
context: Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me. response:	Oh, Mr. Kokubu.
context: Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu. response:	Miss, how are you feeling?
context: Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling? response:	Im really sorry.
context: Sis, it'll be all right.\Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\Im really sorry. response:	Um, I feel better now, so
context: Thank you.\I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\Im really sorry.\Um, I feel better now, so response:	No, no, stay right there.
context: I'm going to hang in there.\Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\Im really sorry.\Um, I feel better now, so\No, no, stay right there. response:	Uh, Mr. Kokubu, I was being quite rude earlier...
context: Thank you, Sis.\Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\Im really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier... response:	Um...
context: Excuse me.\Oh, Mr. Kokubu.\Miss, how are you feeling?\Im really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um... response:	Miss, you have nothing at all to be sorry about.
context: Oh, Mr. Kokubu.\Miss, how are you feeling?\Im really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about. response:	It's okay.
context: Miss, how are you feeling?\Im really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay. response:	More importantly...
context: Im really sorry.\Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly... response:	Why don't we talk about what to do next?
context: Um, I feel better now, so\No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Why don't we talk about what to do next? response:	Small Palm
context: No, no, stay right there.\Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Why don't we talk about what to do next?\Small Palm response:	Hey, Mr. Kokubu...
context: Uh, Mr. Kokubu, I was being quite rude earlier...\Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Why don't we talk about what to do next?\Small Palm\Hey, Mr. Kokubu... response:	How long are you going to keep calling me here?
context: Um...\Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Why don't we talk about what to do next?\Small Palm\Hey, Mr. Kokubu...\How long are you going to keep calling me here? response:	I mean...
context: Miss, you have nothing at all to be sorry about.\It's okay.\More importantly...\Why don't we talk about what to do next?\Small Palm\Hey, Mr. Kokubu...\How long are you going to keep calling me here?\I mean... response:	didn't I already apologize?
context: It's okay.\More importantly...\Why don't we talk about what to do next?\Small Palm\Hey, Mr. Kokubu...\How long are you going to keep calling me here?\I mean...\didn't I already apologize? response:	Right?
context: More importantly...\Why don't we talk about what to do next?\Small Palm\Hey, Mr. Kokubu...\How long are you going to keep calling me here?\I mean...\didn't I already apologize?\Right? response:	Yes. With your words.
context: Why don't we talk about what to do next?\Small Palm\Hey, Mr. Kokubu...\How long are you going to keep calling me here?\I mean...\didn't I already apologize?\Right?\Yes. With your words. response:	I'm sorry for what I did.
context: Small Palm\Hey, Mr. Kokubu...\How long are you going to keep calling me here?\I mean...\didn't I already apologize?\Right?\Yes. With your words.\I'm sorry for what I did. response:	I apologized and I'm keeping my mouth shut in class.
context: Hey, Mr. Kokubu...\How long are you going to keep calling me here?\I mean...\didn't I already apologize?\Right?\Yes. With your words.\I'm sorry for what I did.\I apologized and I'm keeping my mouth shut in class. response:	Isn't that enough?
context: How long are you going to keep calling me here?\I mean...\didn't I already apologize?\Right?\Yes. With your words.\I'm sorry for what I did.\I apologized and I'm keeping my mouth shut in class.\Isn't that enough? response:	Part of the work is becoming aware of what you did.
context: I mean...\didn't I already apologize?\Right?\Yes. With your words.\I'm sorry for what I did.\I apologized and I'm keeping my mouth shut in class.\Isn't that enough?\Part of the work is becoming aware of what you did. response:	What'll happen if I become aware of it?
context: didn't I already apologize?\Right?\Yes. With your words.\I'm sorry for what I did.\I apologized and I'm keeping my mouth shut in class.\Isn't that enough?\Part of the work is becoming aware of what you did.\What'll happen if I become aware of it? response:	Will something change?
context: Right?\Yes. With your words.\I'm sorry for what I did.\I apologized and I'm keeping my mouth shut in class.\Isn't that enough?\Part of the work is becoming aware of what you did.\What'll happen if I become aware of it?\Will something change? response:	If something changes, will I get something good out of it?
context: Yes. With your words.\I'm sorry for what I did.\I apologized and I'm keeping my mouth shut in class.\Isn't that enough?\Part of the work is becoming aware of what you did.\What'll happen if I become aware of it?\Will something change?\If something changes, will I get something good out of it? response:	Tell me, Mr. Kokubu, will something good happen if we keep living?
context: I'm sorry for what I did.\I apologized and I'm keeping my mouth shut in class.\Isn't that enough?\Part of the work is becoming aware of what you did.\What'll happen if I become aware of it?\Will something change?\If something changes, will I get something good out of it?\Tell me, Mr. Kokubu, will something good happen if we keep living? response:	My parents and everyone around me
context: I apologized and I'm keeping my mouth shut in class.\Isn't that enough?\Part of the work is becoming aware of what you did.\What'll happen if I become aware of it?\Will something change?\If something changes, will I get something good out of it?\Tell me, Mr. Kokubu, will something good happen if we keep living?\My parents and everyone around me response:	say do your best and study hard so you can get into a good high school,
context: Isn't that enough?\Part of the work is becoming aware of what you did.\What'll happen if I become aware of it?\Will something change?\If something changes, will I get something good out of it?\Tell me, Mr. Kokubu, will something good happen if we keep living?\My parents and everyone around me\say do your best and study hard so you can get into a good high school, response:	but even if I got into a good school, who's to say I'll get a job at all,
context: Part of the work is becoming aware of what you did.\What'll happen if I become aware of it?\Will something change?\If something changes, will I get something good out of it?\Tell me, Mr. Kokubu, will something good happen if we keep living?\My parents and everyone around me\say do your best and study hard so you can get into a good high school,\but even if I got into a good school, who's to say I'll get a job at all, response:	let alone one at a good company?
