context: Gold General response:	Knight
context: Gold General\Knight response:	Geez. You finally look this way.
context: Gold General\Knight\Geez. You finally look this way. response:	Yes. Actually, Big Brother...
context: Gold General\Knight\Geez. You finally look this way.\Yes. Actually, Big Brother... response:	I want you to...
context: Gold General\Knight\Geez. You finally look this way.\Yes. Actually, Big Brother...\I want you to... response:	I want you to split Kiriyama's head in half.
context: Gold General\Knight\Geez. You finally look this way.\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half. response:	Dang it, kiddo...
context: Gold General\Knight\Geez. You finally look this way.\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo... response:	I was wondering what you were going to say.
context: Gold General\Knight\Geez. You finally look this way.\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say. response:	Such a troublesome thing...
context: Knight\Geez. You finally look this way.\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing... response:	Blinding Darkness
context: Geez. You finally look this way.\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Blinding Darkness response:	Well, then...
context: Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Blinding Darkness\Well, then... response:	Let's continue, shall we?
context: I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Blinding Darkness\Well, then...\Let's continue, shall we? response:	Prompted by him, I looked at the board...
context: I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Blinding Darkness\Well, then...\Let's continue, shall we?\Prompted by him, I looked at the board... response:	I can't continue.
context: Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Blinding Darkness\Well, then...\Let's continue, shall we?\Prompted by him, I looked at the board...\I can't continue. response:	That's how bad this is.
context: I was wondering what you were going to say.\Such a troublesome thing...\Blinding Darkness\Well, then...\Let's continue, shall we?\Prompted by him, I looked at the board...\I can't continue.\That's how bad this is. response:	The first thing I felt was shock.
context: Such a troublesome thing...\Blinding Darkness\Well, then...\Let's continue, shall we?\Prompted by him, I looked at the board...\I can't continue.\That's how bad this is.\The first thing I felt was shock. response:	Then I was assailed...
context: Blinding Darkness\Well, then...\Let's continue, shall we?\Prompted by him, I looked at the board...\I can't continue.\That's how bad this is.\The first thing I felt was shock.\Then I was assailed... response:	Until just a minute ago, what did I think he was?
context: Well, then...\Let's continue, shall we?\Prompted by him, I looked at the board...\I can't continue.\That's how bad this is.\The first thing I felt was shock.\Then I was assailed...\Until just a minute ago, what did I think he was? response:	Matches against people like that are usually drawn-out battles.
context: Let's continue, shall we?\Prompted by him, I looked at the board...\I can't continue.\That's how bad this is.\The first thing I felt was shock.\Then I was assailed...\Until just a minute ago, what did I think he was?\Matches against people like that are usually drawn-out battles. response:	It's not my favorite.
context: Prompted by him, I looked at the board...\I can't continue.\That's how bad this is.\The first thing I felt was shock.\Then I was assailed...\Until just a minute ago, what did I think he was?\Matches against people like that are usually drawn-out battles.\It's not my favorite. response:	What the hell? People like that?
context: I can't continue.\That's how bad this is.\The first thing I felt was shock.\Then I was assailed...\Until just a minute ago, what did I think he was?\Matches against people like that are usually drawn-out battles.\It's not my favorite.\What the hell? People like that? response:	I can't get irritated.
context: That's how bad this is.\The first thing I felt was shock.\Then I was assailed...\Until just a minute ago, what did I think he was?\Matches against people like that are usually drawn-out battles.\It's not my favorite.\What the hell? People like that?\I can't get irritated. response:	That's where he'll eat me alive.
context: The first thing I felt was shock.\Then I was assailed...\Until just a minute ago, what did I think he was?\Matches against people like that are usually drawn-out battles.\It's not my favorite.\What the hell? People like that?\I can't get irritated.\That's where he'll eat me alive. response:	How can I be so arrogant?
context: Then I was assailed...\Until just a minute ago, what did I think he was?\Matches against people like that are usually drawn-out battles.\It's not my favorite.\What the hell? People like that?\I can't get irritated.\That's where he'll eat me alive.\How can I be so arrogant? response:	I can't get irritated?
context: Until just a minute ago, what did I think he was?\Matches against people like that are usually drawn-out battles.\It's not my favorite.\What the hell? People like that?\I can't get irritated.\That's where he'll eat me alive.\How can I be so arrogant?\I can't get irritated? response:	How can I misread his level so much?
context: Matches against people like that are usually drawn-out battles.\It's not my favorite.\What the hell? People like that?\I can't get irritated.\That's where he'll eat me alive.\How can I be so arrogant?\I can't get irritated?\How can I misread his level so much? response:	I just wanted to win, so I drew the game out, waiting for him to make a mistake,
context: It's not my favorite.\What the hell? People like that?\I can't get irritated.\That's where he'll eat me alive.\How can I be so arrogant?\I can't get irritated?\How can I misread his level so much?\I just wanted to win, so I drew the game out, waiting for him to make a mistake, response:	while I thought of him as a player for nothing more than his ranking.
