context: Taichi. response:	Huh? What?
context: Taichi.\Huh? What? response:	Stay focused.
context: Taichi.\Huh? What?\Stay focused. response:	If Arata comes to watch us,
context: Taichi.\Huh? What?\Stay focused.\If Arata comes to watch us, response:	I want to show off my team, and how strong we are.
context: Taichi.\Huh? What?\Stay focused.\If Arata comes to watch us,\I want to show off my team, and how strong we are. response:	Watch us play, Arata.
context: Taichi.\Huh? What?\Stay focused.\If Arata comes to watch us,\I want to show off my team, and how strong we are.\Watch us play, Arata. response:	This is the second round of the group stage...
context: Taichi.\Huh? What?\Stay focused.\If Arata comes to watch us,\I want to show off my team, and how strong we are.\Watch us play, Arata.\This is the second round of the group stage... response:	We're up against Yamaguchi Mioka High School.
context: Taichi.\Huh? What?\Stay focused.\If Arata comes to watch us,\I want to show off my team, and how strong we are.\Watch us play, Arata.\This is the second round of the group stage...\We're up against Yamaguchi Mioka High School. response:	Mioka...
context: Huh? What?\Stay focused.\If Arata comes to watch us,\I want to show off my team, and how strong we are.\Watch us play, Arata.\This is the second round of the group stage...\We're up against Yamaguchi Mioka High School.\Mioka... response:	Yamaguchi Mioka?!
context: Stay focused.\If Arata comes to watch us,\I want to show off my team, and how strong we are.\Watch us play, Arata.\This is the second round of the group stage...\We're up against Yamaguchi Mioka High School.\Mioka...\Yamaguchi Mioka?! response:	Yamaguchi Mioka is the
context: If Arata comes to watch us,\I want to show off my team, and how strong we are.\Watch us play, Arata.\This is the second round of the group stage...\We're up against Yamaguchi Mioka High School.\Mioka...\Yamaguchi Mioka?!\Yamaguchi Mioka is the response:	public school with the most students accepted to Tokyo University!
context: I want to show off my team, and how strong we are.\Watch us play, Arata.\This is the second round of the group stage...\We're up against Yamaguchi Mioka High School.\Mioka...\Yamaguchi Mioka?!\Yamaguchi Mioka is the\public school with the most students accepted to Tokyo University! response:	The star of public high schools...
context: Watch us play, Arata.\This is the second round of the group stage...\We're up against Yamaguchi Mioka High School.\Mioka...\Yamaguchi Mioka?!\Yamaguchi Mioka is the\public school with the most students accepted to Tokyo University!\The star of public high schools... response:	They're all wearing glasses.
context: This is the second round of the group stage...\We're up against Yamaguchi Mioka High School.\Mioka...\Yamaguchi Mioka?!\Yamaguchi Mioka is the\public school with the most students accepted to Tokyo University!\The star of public high schools...\They're all wearing glasses. response:	Desktomu-kun times five...
context: We're up against Yamaguchi Mioka High School.\Mioka...\Yamaguchi Mioka?!\Yamaguchi Mioka is the\public school with the most students accepted to Tokyo University!\The star of public high schools...\They're all wearing glasses.\Desktomu-kun times five... response:	Huh?
context: Mioka...\Yamaguchi Mioka?!\Yamaguchi Mioka is the\public school with the most students accepted to Tokyo University!\The star of public high schools...\They're all wearing glasses.\Desktomu-kun times five...\Huh? response:	He started placing the cards from the left after shuffling them?
context: Yamaguchi Mioka?!\Yamaguchi Mioka is the\public school with the most students accepted to Tokyo University!\The star of public high schools...\They're all wearing glasses.\Desktomu-kun times five...\Huh?\He started placing the cards from the left after shuffling them? response:	They all used that method?!
context: Yamaguchi Mioka is the\public school with the most students accepted to Tokyo University!\The star of public high schools...\They're all wearing glasses.\Desktomu-kun times five...\Huh?\He started placing the cards from the left after shuffling them?\They all used that method?! response:	So there's no pattern to their placement?!
context: public school with the most students accepted to Tokyo University!\The star of public high schools...\They're all wearing glasses.\Desktomu-kun times five...\Huh?\He started placing the cards from the left after shuffling them?\They all used that method?!\So there's no pattern to their placement?! response:	They're that confident in their memorization skills?
context: The star of public high schools...\They're all wearing glasses.\Desktomu-kun times five...\Huh?\He started placing the cards from the left after shuffling them?\They all used that method?!\So there's no pattern to their placement?!\They're that confident in their memorization skills? response:	Wait, that's not what we should be worrying about...
context: They're all wearing glasses.\Desktomu-kun times five...\Huh?\He started placing the cards from the left after shuffling them?\They all used that method?!\So there's no pattern to their placement?!\They're that confident in their memorization skills?\Wait, that's not what we should be worrying about... response:	The three guys over there
context: Desktomu-kun times five...\Huh?\He started placing the cards from the left after shuffling them?\They all used that method?!\So there's no pattern to their placement?!\They're that confident in their memorization skills?\Wait, that's not what we should be worrying about...\The three guys over there response:	won the All Japan High School Quiz Championship!
context: Huh?\He started placing the cards from the left after shuffling them?\They all used that method?!\So there's no pattern to their placement?!\They're that confident in their memorization skills?\Wait, that's not what we should be worrying about...\The three guys over there\won the All Japan High School Quiz Championship! response:	Why are they playing karuta?
context: He started placing the cards from the left after shuffling them?\They all used that method?!\So there's no pattern to their placement?!\They're that confident in their memorization skills?\Wait, that's not what we should be worrying about...\The three guys over there\won the All Japan High School Quiz Championship!\Why are they playing karuta? response:	Why do we keep getting matched against weird opponents?
context: They all used that method?!\So there's no pattern to their placement?!\They're that confident in their memorization skills?\Wait, that's not what we should be worrying about...\The three guys over there\won the All Japan High School Quiz Championship!\Why are they playing karuta?\Why do we keep getting matched against weird opponents? response:	The five of you have to get us there!
context: So there's no pattern to their placement?!\They're that confident in their memorization skills?\Wait, that's not what we should be worrying about...\The three guys over there\won the All Japan High School Quiz Championship!\Why are they playing karuta?\Why do we keep getting matched against weird opponents?\The five of you have to get us there! response:	We absolutely have to win!
context: They're that confident in their memorization skills?\Wait, that's not what we should be worrying about...\The three guys over there\won the All Japan High School Quiz Championship!\Why are they playing karuta?\Why do we keep getting matched against weird opponents?\The five of you have to get us there!\We absolutely have to win! response:	It doesn't matter how distinguished their school is.
context: Wait, that's not what we should be worrying about...\The three guys over there\won the All Japan High School Quiz Championship!\Why are they playing karuta?\Why do we keep getting matched against weird opponents?\The five of you have to get us there!\We absolutely have to win!\It doesn't matter how distinguished their school is. response:	It doesn't matter if they're quiz champions.
context: The three guys over there\won the All Japan High School Quiz Championship!\Why are they playing karuta?\Why do we keep getting matched against weird opponents?\The five of you have to get us there!\We absolutely have to win!\It doesn't matter how distinguished their school is.\It doesn't matter if they're quiz champions. response:	We've spent so much time on competitive karuta!
context: won the All Japan High School Quiz Championship!\Why are they playing karuta?\Why do we keep getting matched against weird opponents?\The five of you have to get us there!\We absolutely have to win!\It doesn't matter how distinguished their school is.\It doesn't matter if they're quiz champions.\We've spent so much time on competitive karuta! response:	We can do this, guys!
context: Why are they playing karuta?\Why do we keep getting matched against weird opponents?\The five of you have to get us there!\We absolutely have to win!\It doesn't matter how distinguished their school is.\It doesn't matter if they're quiz champions.\We've spent so much time on competitive karuta!\We can do this, guys! response:	Hey, Captain!
context: Why do we keep getting matched against weird opponents?\The five of you have to get us there!\We absolutely have to win!\It doesn't matter how distinguished their school is.\It doesn't matter if they're quiz champions.\We've spent so much time on competitive karuta!\We can do this, guys!\Hey, Captain! response:	Chihaya Furu
context: The five of you have to get us there!\We absolutely have to win!\It doesn't matter how distinguished their school is.\It doesn't matter if they're quiz champions.\We've spent so much time on competitive karuta!\We can do this, guys!\Hey, Captain!\Chihaya Furu response:	Verse 10
context: We absolutely have to win!\It doesn't matter how distinguished their school is.\It doesn't matter if they're quiz champions.\We've spent so much time on competitive karuta!\We can do this, guys!\Hey, Captain!\Chihaya Furu\Verse 10 response:	Rain takes longer to dry
context: It doesn't matter how distinguished their school is.\It doesn't matter if they're quiz champions.\We've spent so much time on competitive karuta!\We can do this, guys!\Hey, Captain!\Chihaya Furu\Verse 10\Rain takes longer to dry response:	Naniwa Bay, now the flower blooms, but for winter
context: It doesn't matter if they're quiz champions.\We've spent so much time on competitive karuta!\We can do this, guys!\Hey, Captain!\Chihaya Furu\Verse 10\Rain takes longer to dry\Naniwa Bay, now the flower blooms, but for winter response:	You may be barred from playing in the tournament tomorrow.
context: We've spent so much time on competitive karuta!\We can do this, guys!\Hey, Captain!\Chihaya Furu\Verse 10\Rain takes longer to dry\Naniwa Bay, now the flower blooms, but for winter\You may be barred from playing in the tournament tomorrow. response:	No unauthorized personnel allowed
context: We can do this, guys!\Hey, Captain!\Chihaya Furu\Verse 10\Rain takes longer to dry\Naniwa Bay, now the flower blooms, but for winter\You may be barred from playing in the tournament tomorrow.\No unauthorized personnel allowed response:	What do we do?
context: Hey, Captain!\Chihaya Furu\Verse 10\Rain takes longer to dry\Naniwa Bay, now the flower blooms, but for winter\You may be barred from playing in the tournament tomorrow.\No unauthorized personnel allowed\What do we do? response:	There's never been an incident with substituting before.
context: Chihaya Furu\Verse 10\Rain takes longer to dry\Naniwa Bay, now the flower blooms, but for winter\You may be barred from playing in the tournament tomorrow.\No unauthorized personnel allowed\What do we do?\There's never been an incident with substituting before. response:	I could ask a friend of mine who coaches baseball.
context: Verse 10\Rain takes longer to dry\Naniwa Bay, now the flower blooms, but for winter\You may be barred from playing in the tournament tomorrow.\No unauthorized personnel allowed\What do we do?\There's never been an incident with substituting before.\I could ask a friend of mine who coaches baseball. response:	Wait, baseball is tough on violations.
