context: You're late. response:	Who are you?
context: You're late.\Who are you? response:	It's always raining.
context: You're late.\Who are you?\It's always raining. response:	What a miserable country.
context: You're late.\Who are you?\It's always raining.\What a miserable country. response:	Are you the one who called me out here?
context: You're late.\Who are you?\It's always raining.\What a miserable country.\Are you the one who called me out here? response:	You already know why you deserve this.
context: You're late.\Who are you?\It's always raining.\What a miserable country.\Are you the one who called me out here?\You already know why you deserve this. response:	Well, just give up.
context: You're late.\Who are you?\It's always raining.\What a miserable country.\Are you the one who called me out here?\You already know why you deserve this.\Well, just give up. response:	What an unpleasant season.
context: You're late.\Who are you?\It's always raining.\What a miserable country.\Are you the one who called me out here?\You already know why you deserve this.\Well, just give up.\What an unpleasant season. response:	Damp and stagnant.
context: Who are you?\It's always raining.\What a miserable country.\Are you the one who called me out here?\You already know why you deserve this.\Well, just give up.\What an unpleasant season.\Damp and stagnant. response:	Well, it sure fits the image of this grimy town.
context: It's always raining.\What a miserable country.\Are you the one who called me out here?\You already know why you deserve this.\Well, just give up.\What an unpleasant season.\Damp and stagnant.\Well, it sure fits the image of this grimy town. response:	My name is Kurasawa Gai,
context: What a miserable country.\Are you the one who called me out here?\You already know why you deserve this.\Well, just give up.\What an unpleasant season.\Damp and stagnant.\Well, it sure fits the image of this grimy town.\My name is Kurasawa Gai, response:	private investigator.
context: Are you the one who called me out here?\You already know why you deserve this.\Well, just give up.\What an unpleasant season.\Damp and stagnant.\Well, it sure fits the image of this grimy town.\My name is Kurasawa Gai,\private investigator. response:	I've been making a living by observing the damp, stagnant nature of people.
context: You already know why you deserve this.\Well, just give up.\What an unpleasant season.\Damp and stagnant.\Well, it sure fits the image of this grimy town.\My name is Kurasawa Gai,\private investigator.\I've been making a living by observing the damp, stagnant nature of people. response:	I don't trust anyone.
