context: Conny! response:	Are there any survivors?
context: Conny!\Are there any survivors? response:	No...
context: Conny!\Are there any survivors?\No... response:	None at all.
context: Conny!\Are there any survivors?\No...\None at all. response:	It's all over...
context: Conny!\Are there any survivors?\No...\None at all.\It's all over... response:	My hometown... It's gone forever.
context: Conny!\Are there any survivors?\No...\None at all.\It's all over...\My hometown... It's gone forever. response:	Hey! Something's strange here.
context: Conny!\Are there any survivors?\No...\None at all.\It's all over...\My hometown... It's gone forever.\Hey! Something's strange here. response:	Has anyone spotted any bodies?
context: Conny!\Are there any survivors?\No...\None at all.\It's all over...\My hometown... It's gone forever.\Hey! Something's strange here.\Has anyone spotted any bodies? response:	No...
context: Are there any survivors?\No...\None at all.\It's all over...\My hometown... It's gone forever.\Hey! Something's strange here.\Has anyone spotted any bodies?\No... response:	I haven't.
context: No...\None at all.\It's all over...\My hometown... It's gone forever.\Hey! Something's strange here.\Has anyone spotted any bodies?\No...\I haven't. response:	How is that even possible?
context: None at all.\It's all over...\My hometown... It's gone forever.\Hey! Something's strange here.\Has anyone spotted any bodies?\No...\I haven't.\How is that even possible? response:	Titans come and not a single drop of blood?
context: It's all over...\My hometown... It's gone forever.\Hey! Something's strange here.\Has anyone spotted any bodies?\No...\I haven't.\How is that even possible?\Titans come and not a single drop of blood? response:	Everyone must've escaped!
context: My hometown... It's gone forever.\Hey! Something's strange here.\Has anyone spotted any bodies?\No...\I haven't.\How is that even possible?\Titans come and not a single drop of blood?\Everyone must've escaped! response:	It means nobody here was eaten.
context: Hey! Something's strange here.\Has anyone spotted any bodies?\No...\I haven't.\How is that even possible?\Titans come and not a single drop of blood?\Everyone must've escaped!\It means nobody here was eaten. response:	Including your family, too.
context: Has anyone spotted any bodies?\No...\I haven't.\How is that even possible?\Titans come and not a single drop of blood?\Everyone must've escaped!\It means nobody here was eaten.\Including your family, too. response:	I see... That's gotta be it!
context: No...\I haven't.\How is that even possible?\Titans come and not a single drop of blood?\Everyone must've escaped!\It means nobody here was eaten.\Including your family, too.\I see... That's gotta be it! response:	Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind.
context: I haven't.\How is that even possible?\Titans come and not a single drop of blood?\Everyone must've escaped!\It means nobody here was eaten.\Including your family, too.\I see... That's gotta be it!\Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind. response:	That's not all that's unbelievable.
context: How is that even possible?\Titans come and not a single drop of blood?\Everyone must've escaped!\It means nobody here was eaten.\Including your family, too.\I see... That's gotta be it!\Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind.\That's not all that's unbelievable. response:	If the entire village was really evacuated,
context: Titans come and not a single drop of blood?\Everyone must've escaped!\It means nobody here was eaten.\Including your family, too.\I see... That's gotta be it!\Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind.\That's not all that's unbelievable.\If the entire village was really evacuated, response:	why would Titans obliterate these houses with nobody in them?
context: Everyone must've escaped!\It means nobody here was eaten.\Including your family, too.\I see... That's gotta be it!\Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind.\That's not all that's unbelievable.\If the entire village was really evacuated,\why would Titans obliterate these houses with nobody in them? response:	But what really boggles my mind is the stables.
context: It means nobody here was eaten.\Including your family, too.\I see... That's gotta be it!\Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind.\That's not all that's unbelievable.\If the entire village was really evacuated,\why would Titans obliterate these houses with nobody in them?\But what really boggles my mind is the stables. response:	If they tried to escape without horses, their chances of survival would be slim.
context: Including your family, too.\I see... That's gotta be it!\Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind.\That's not all that's unbelievable.\If the entire village was really evacuated,\why would Titans obliterate these houses with nobody in them?\But what really boggles my mind is the stables.\If they tried to escape without horses, their chances of survival would be slim. response:	Everyone got their torches?
context: I see... That's gotta be it!\Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind.\That's not all that's unbelievable.\If the entire village was really evacuated,\why would Titans obliterate these houses with nobody in them?\But what really boggles my mind is the stables.\If they tried to escape without horses, their chances of survival would be slim.\Everyone got their torches? response:	Let's move!
context: Yeah. It's unbelievable to think Titans ate everyone without leaving blood behind.\That's not all that's unbelievable.\If the entire village was really evacuated,\why would Titans obliterate these houses with nobody in them?\But what really boggles my mind is the stables.\If they tried to escape without horses, their chances of survival would be slim.\Everyone got their torches?\Let's move! response:	Our mission now is to locate and assess the breach in the wall!
context: That's not all that's unbelievable.\If the entire village was really evacuated,\why would Titans obliterate these houses with nobody in them?\But what really boggles my mind is the stables.\If they tried to escape without horses, their chances of survival would be slim.\Everyone got their torches?\Let's move!\Our mission now is to locate and assess the breach in the wall! response:	Yes, sir!
context: If the entire village was really evacuated,\why would Titans obliterate these houses with nobody in them?\But what really boggles my mind is the stables.\If they tried to escape without horses, their chances of survival would be slim.\Everyone got their torches?\Let's move!\Our mission now is to locate and assess the breach in the wall!\Yes, sir! response:	Wel... come... home...
context: why would Titans obliterate these houses with nobody in them?\But what really boggles my mind is the stables.\If they tried to escape without horses, their chances of survival would be slim.\Everyone got their torches?\Let's move!\Our mission now is to locate and assess the breach in the wall!\Yes, sir!\Wel... come... home... response:	Just now...
context: But what really boggles my mind is the stables.\If they tried to escape without horses, their chances of survival would be slim.\Everyone got their torches?\Let's move!\Our mission now is to locate and assess the breach in the wall!\Yes, sir!\Wel... come... home...\Just now... response:	Conny, hurry up!
context: If they tried to escape without horses, their chances of survival would be slim.\Everyone got their torches?\Let's move!\Our mission now is to locate and assess the breach in the wall!\Yes, sir!\Wel... come... home...\Just now...\Conny, hurry up! response:	We're falling behind Gerger!
context: Everyone got their torches?\Let's move!\Our mission now is to locate and assess the breach in the wall!\Yes, sir!\Wel... come... home...\Just now...\Conny, hurry up!\We're falling behind Gerger! response:	Reiner? Did you hear that?
context: Let's move!\Our mission now is to locate and assess the breach in the wall!\Yes, sir!\Wel... come... home...\Just now...\Conny, hurry up!\We're falling behind Gerger!\Reiner? Did you hear that? response:	The Titan-
context: Our mission now is to locate and assess the breach in the wall!\Yes, sir!\Wel... come... home...\Just now...\Conny, hurry up!\We're falling behind Gerger!\Reiner? Did you hear that?\The Titan- response:	I didn't hear anything at all.
context: Yes, sir!\Wel... come... home...\Just now...\Conny, hurry up!\We're falling behind Gerger!\Reiner? Did you hear that?\The Titan-\I didn't hear anything at all. response:	Enough with the chit-chat. Focus on the mission!
context: Wel... come... home...\Just now...\Conny, hurry up!\We're falling behind Gerger!\Reiner? Did you hear that?\The Titan-\I didn't hear anything at all.\Enough with the chit-chat. Focus on the mission! response:	But it... I think...
context: Just now...\Conny, hurry up!\We're falling behind Gerger!\Reiner? Did you hear that?\The Titan-\I didn't hear anything at all.\Enough with the chit-chat. Focus on the mission!\But it... I think... response:	I don't know how, but...
context: Conny, hurry up!\We're falling behind Gerger!\Reiner? Did you hear that?\The Titan-\I didn't hear anything at all.\Enough with the chit-chat. Focus on the mission!\But it... I think...\I don't know how, but... response:	I think...
