context: Tsukuba-kun, please win for me. response:	Kana-chan?!
context: Tsukuba-kun, please win for me.\Kana-chan?! response:	Did this happen during the last match?
context: Tsukuba-kun, please win for me.\Kana-chan?!\Did this happen during the last match? response:	It's really swollen.
context: Tsukuba-kun, please win for me.\Kana-chan?!\Did this happen during the last match?\It's really swollen. response:	Good thing it was me.
context: Tsukuba-kun, please win for me.\Kana-chan?!\Did this happen during the last match?\It's really swollen.\Good thing it was me. response:	Good thing it wasn't Chihaya-chan jamming her finger.
context: Tsukuba-kun, please win for me.\Kana-chan?!\Did this happen during the last match?\It's really swollen.\Good thing it was me.\Good thing it wasn't Chihaya-chan jamming her finger. response:	What are you talking about, Kana-chan?!
context: Tsukuba-kun, please win for me.\Kana-chan?!\Did this happen during the last match?\It's really swollen.\Good thing it was me.\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?! response:	We should consider ourselves lucky!
context: Tsukuba-kun, please win for me.\Kana-chan?!\Did this happen during the last match?\It's really swollen.\Good thing it was me.\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky! response:	It wasn't our ace who got hurt.
context: Kana-chan?!\Did this happen during the last match?\It's really swollen.\Good thing it was me.\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt. response:	We have first-years to sub in!
context: Did this happen during the last match?\It's really swollen.\Good thing it was me.\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in! response:	Luck is on our side.
context: It's really swollen.\Good thing it was me.\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side. response:	Mizusawa is set up to win.
context: Good thing it was me.\Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win. response:	Did you notice that Oe-senpai was injured, Tsukuba?
context: Good thing it wasn't Chihaya-chan jamming her finger.\What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\Did you notice that Oe-senpai was injured, Tsukuba? response:	O-Of course!
context: What are you talking about, Kana-chan?!\We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\Did you notice that Oe-senpai was injured, Tsukuba?\O-Of course! response:	I was watching Oe-senpai the whole time!
context: We should consider ourselves lucky!\It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\Did you notice that Oe-senpai was injured, Tsukuba?\O-Of course!\I was watching Oe-senpai the whole time! response:	Yeah, you're lying.
context: It wasn't our ace who got hurt.\We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\Did you notice that Oe-senpai was injured, Tsukuba?\O-Of course!\I was watching Oe-senpai the whole time!\Yeah, you're lying. response:	You always lie.
context: We have first-years to sub in!\Luck is on our side.\Mizusawa is set up to win.\Did you notice that Oe-senpai was injured, Tsukuba?\O-Of course!\I was watching Oe-senpai the whole time!\Yeah, you're lying.\You always lie. response:	I was worried about her stamina,
context: Luck is on our side.\Mizusawa is set up to win.\Did you notice that Oe-senpai was injured, Tsukuba?\O-Of course!\I was watching Oe-senpai the whole time!\Yeah, you're lying.\You always lie.\I was worried about her stamina, response:	and I never noticed her injury.
context: Mizusawa is set up to win.\Did you notice that Oe-senpai was injured, Tsukuba?\O-Of course!\I was watching Oe-senpai the whole time!\Yeah, you're lying.\You always lie.\I was worried about her stamina,\and I never noticed her injury. response:	That was a lie.
context: Did you notice that Oe-senpai was injured, Tsukuba?\O-Of course!\I was watching Oe-senpai the whole time!\Yeah, you're lying.\You always lie.\I was worried about her stamina,\and I never noticed her injury.\That was a lie. response:	Tsukuba-kun, please win for me.
context: O-Of course!\I was watching Oe-senpai the whole time!\Yeah, you're lying.\You always lie.\I was worried about her stamina,\and I never noticed her injury.\That was a lie.\Tsukuba-kun, please win for me. response:	Her lie was completely different from mine.
context: I was watching Oe-senpai the whole time!\Yeah, you're lying.\You always lie.\I was worried about her stamina,\and I never noticed her injury.\That was a lie.\Tsukuba-kun, please win for me.\Her lie was completely different from mine. response:	I'm amazed you were able to win your game like this.
context: Yeah, you're lying.\You always lie.\I was worried about her stamina,\and I never noticed her injury.\That was a lie.\Tsukuba-kun, please win for me.\Her lie was completely different from mine.\I'm amazed you were able to win your game like this. response:	It may be sprained.
context: You always lie.\I was worried about her stamina,\and I never noticed her injury.\That was a lie.\Tsukuba-kun, please win for me.\Her lie was completely different from mine.\I'm amazed you were able to win your game like this.\It may be sprained. response:	The swelling could get worse.
context: I was worried about her stamina,\and I never noticed her injury.\That was a lie.\Tsukuba-kun, please win for me.\Her lie was completely different from mine.\I'm amazed you were able to win your game like this.\It may be sprained.\The swelling could get worse. response:	It's okay.
context: and I never noticed her injury.\That was a lie.\Tsukuba-kun, please win for me.\Her lie was completely different from mine.\I'm amazed you were able to win your game like this.\It may be sprained.\The swelling could get worse.\It's okay. response:	Her hand is so small...
context: That was a lie.\Tsukuba-kun, please win for me.\Her lie was completely different from mine.\I'm amazed you were able to win your game like this.\It may be sprained.\The swelling could get worse.\It's okay.\Her hand is so small... response:	Yet Oe-san and Komano-kun are able to lead the others?
context: Tsukuba-kun, please win for me.\Her lie was completely different from mine.\I'm amazed you were able to win your game like this.\It may be sprained.\The swelling could get worse.\It's okay.\Her hand is so small...\Yet Oe-san and Komano-kun are able to lead the others? response:	But...
context: Her lie was completely different from mine.\I'm amazed you were able to win your game like this.\It may be sprained.\The swelling could get worse.\It's okay.\Her hand is so small...\Yet Oe-san and Komano-kun are able to lead the others?\But... response:	In the process, they're also providing a push.
context: I'm amazed you were able to win your game like this.\It may be sprained.\The swelling could get worse.\It's okay.\Her hand is so small...\Yet Oe-san and Komano-kun are able to lead the others?\But...\In the process, they're also providing a push. response:	Chihaya Furu
context: It may be sprained.\The swelling could get worse.\It's okay.\Her hand is so small...\Yet Oe-san and Komano-kun are able to lead the others?\But...\In the process, they're also providing a push.\Chihaya Furu response:	Verse 15
context: The swelling could get worse.\It's okay.\Her hand is so small...\Yet Oe-san and Komano-kun are able to lead the others?\But...\In the process, they're also providing a push.\Chihaya Furu\Verse 15 response:	No matter where I stand
context: It's okay.\Her hand is so small...\Yet Oe-san and Komano-kun are able to lead the others?\But...\In the process, they're also providing a push.\Chihaya Furu\Verse 15\No matter where I stand response:	We're sorry... We're sorry... We're sorry...
context: Her hand is so small...\Yet Oe-san and Komano-kun are able to lead the others?\But...\In the process, they're also providing a push.\Chihaya Furu\Verse 15\No matter where I stand\We're sorry... We're sorry... We're sorry... response:	We're sorry, Sudo-san!
context: Yet Oe-san and Komano-kun are able to lead the others?\But...\In the process, they're also providing a push.\Chihaya Furu\Verse 15\No matter where I stand\We're sorry... We're sorry... We're sorry...\We're sorry, Sudo-san! response:	Please don't spank us!
context: But...\In the process, they're also providing a push.\Chihaya Furu\Verse 15\No matter where I stand\We're sorry... We're sorry... We're sorry...\We're sorry, Sudo-san!\Please don't spank us! response:	Spank?
context: In the process, they're also providing a push.\Chihaya Furu\Verse 15\No matter where I stand\We're sorry... We're sorry... We're sorry...\We're sorry, Sudo-san!\Please don't spank us!\Spank? response:	What?
context: Chihaya Furu\Verse 15\No matter where I stand\We're sorry... We're sorry... We're sorry...\We're sorry, Sudo-san!\Please don't spank us!\Spank?\What? response:	Oh, one of the hosts...
context: Verse 15\No matter where I stand\We're sorry... We're sorry... We're sorry...\We're sorry, Sudo-san!\Please don't spank us!\Spank?\What?\Oh, one of the hosts... response:	Members of Hokuo, too bad about that match.
context: No matter where I stand\We're sorry... We're sorry... We're sorry...\We're sorry, Sudo-san!\Please don't spank us!\Spank?\What?\Oh, one of the hosts...\Members of Hokuo, too bad about that match. response:	Do you need something?
context: We're sorry... We're sorry... We're sorry...\We're sorry, Sudo-san!\Please don't spank us!\Spank?\What?\Oh, one of the hosts...\Members of Hokuo, too bad about that match.\Do you need something? response:	Uh, do you know who Wataya Arata-kun is?
context: We're sorry, Sudo-san!\Please don't spank us!\Spank?\What?\Oh, one of the hosts...\Members of Hokuo, too bad about that match.\Do you need something?\Uh, do you know who Wataya Arata-kun is? response:	From Fukui...
context: Please don't spank us!\Spank?\What?\Oh, one of the hosts...\Members of Hokuo, too bad about that match.\Do you need something?\Uh, do you know who Wataya Arata-kun is?\From Fukui... response:	Wataya Arata?!
context: Spank?\What?\Oh, one of the hosts...\Members of Hokuo, too bad about that match.\Do you need something?\Uh, do you know who Wataya Arata-kun is?\From Fukui...\Wataya Arata?! response:	He is my eternal rival!
context: What?\Oh, one of the hosts...\Members of Hokuo, too bad about that match.\Do you need something?\Uh, do you know who Wataya Arata-kun is?\From Fukui...\Wataya Arata?!\He is my eternal rival! response:	Back in the winter of sixth grade,
