context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: Inside the human body,\roughly 37.2 trillion cells work energetically, response:	DENDRITE
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE response:	all day every day.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day. response:	24 hours and 365 days.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\24 hours and 365 days. response:	ANTIBODY ENCYCLOPEDIA
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\24 hours and 365 days.\ANTIBODY ENCYCLOPEDIA response:	HEART
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\24 hours and 365 days.\ANTIBODY ENCYCLOPEDIA\HEART response:	They are all working very hard.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\24 hours and 365 days.\ANTIBODY ENCYCLOPEDIA\HEART\They are all working very hard. response:	WHITE BLOOD CELL
context: roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\24 hours and 365 days.\ANTIBODY ENCYCLOPEDIA\HEART\They are all working very hard.\WHITE BLOOD CELL response:	UNDER CONSTRUCTION
context: DENDRITE\all day every day.\24 hours and 365 days.\ANTIBODY ENCYCLOPEDIA\HEART\They are all working very hard.\WHITE BLOOD CELL\UNDER CONSTRUCTION response:	PLATELETS
context: all day every day.\24 hours and 365 days.\ANTIBODY ENCYCLOPEDIA\HEART\They are all working very hard.\WHITE BLOOD CELL\UNDER CONSTRUCTION\PLATELETS response:	This is the inside of a human body.
context: 24 hours and 365 days.\ANTIBODY ENCYCLOPEDIA\HEART\They are all working very hard.\WHITE BLOOD CELL\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body. response:	This reservoir's empty, too, huh?
context: ANTIBODY ENCYCLOPEDIA\HEART\They are all working very hard.\WHITE BLOOD CELL\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\This reservoir's empty, too, huh? response:	Here, too? Dammit!
context: HEART\They are all working very hard.\WHITE BLOOD CELL\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\This reservoir's empty, too, huh?\Here, too? Dammit! response:	Except for authorized personnel KEEP OUT
context: They are all working very hard.\WHITE BLOOD CELL\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\This reservoir's empty, too, huh?\Here, too? Dammit!\Except for authorized personnel KEEP OUT response:	RESERVOIR 48
context: WHITE BLOOD CELL\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\This reservoir's empty, too, huh?\Here, too? Dammit!\Except for authorized personnel KEEP OUT\RESERVOIR 48 response:	There's not much fluid left!
context: UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\This reservoir's empty, too, huh?\Here, too? Dammit!\Except for authorized personnel KEEP OUT\RESERVOIR 48\There's not much fluid left! response:	SWEAT
context: PLATELETS\This is the inside of a human body.\This reservoir's empty, too, huh?\Here, too? Dammit!\Except for authorized personnel KEEP OUT\RESERVOIR 48\There's not much fluid left!\SWEAT response:	Isn't there...
context: This is the inside of a human body.\This reservoir's empty, too, huh?\Here, too? Dammit!\Except for authorized personnel KEEP OUT\RESERVOIR 48\There's not much fluid left!\SWEAT\Isn't there... response:	Isn't there anything we can do...
context: This reservoir's empty, too, huh?\Here, too? Dammit!\Except for authorized personnel KEEP OUT\RESERVOIR 48\There's not much fluid left!\SWEAT\Isn't there...\Isn't there anything we can do... response:	to save this world from further global warming?
context: Here, too? Dammit!\Except for authorized personnel KEEP OUT\RESERVOIR 48\There's not much fluid left!\SWEAT\Isn't there...\Isn't there anything we can do...\to save this world from further global warming? response:	EPISODE 11: HEAT STROKE
context: Except for authorized personnel KEEP OUT\RESERVOIR 48\There's not much fluid left!\SWEAT\Isn't there...\Isn't there anything we can do...\to save this world from further global warming?\EPISODE 11: HEAT STROKE response:	Heat Stroke!
context: RESERVOIR 48\There's not much fluid left!\SWEAT\Isn't there...\Isn't there anything we can do...\to save this world from further global warming?\EPISODE 11: HEAT STROKE\Heat Stroke! response:	SWEAT GLANDS
