context: episode title: Kurumi response:	@gay music
context: episode title: Kurumi\@gay music response:	next episode title: Rival
context: episode title: Kurumi\@gay music\next episode title: Rival response:	R-Rumors?
context: episode title: Kurumi\@gay music\next episode title: Rival\R-Rumors? response:	The bad ones about you two?
context: episode title: Kurumi\@gay music\next episode title: Rival\R-Rumors?\The bad ones about you two? response:	Yeah, those.
context: episode title: Kurumi\@gay music\next episode title: Rival\R-Rumors?\The bad ones about you two?\Yeah, those. response:	And the one about me being the one who spread those rumors?
context: episode title: Kurumi\@gay music\next episode title: Rival\R-Rumors?\The bad ones about you two?\Yeah, those.\And the one about me being the one who spread those rumors? response:	That too.
context: episode title: Kurumi\@gay music\next episode title: Rival\R-Rumors?\The bad ones about you two?\Yeah, those.\And the one about me being the one who spread those rumors?\That too. response:	And the one about me being a secret school gang leader?
context: @gay music\next episode title: Rival\R-Rumors?\The bad ones about you two?\Yeah, those.\And the one about me being the one who spread those rumors?\That too.\And the one about me being a secret school gang leader? response:	School gang leader...?
context: next episode title: Rival\R-Rumors?\The bad ones about you two?\Yeah, those.\And the one about me being the one who spread those rumors?\That too.\And the one about me being a secret school gang leader?\School gang leader...? response:	Sadako: Legend of the Secret School Gang Leader
context: R-Rumors?\The bad ones about you two?\Yeah, those.\And the one about me being the one who spread those rumors?\That too.\And the one about me being a secret school gang leader?\School gang leader...?\Sadako: Legend of the Secret School Gang Leader response:	A-Apparently I had you two backing me up,
context: The bad ones about you two?\Yeah, those.\And the one about me being the one who spread those rumors?\That too.\And the one about me being a secret school gang leader?\School gang leader...?\Sadako: Legend of the Secret School Gang Leader\A-Apparently I had you two backing me up, response:	and I even had Kazehaya under my control.
context: Yeah, those.\And the one about me being the one who spread those rumors?\That too.\And the one about me being a secret school gang leader?\School gang leader...?\Sadako: Legend of the Secret School Gang Leader\A-Apparently I had you two backing me up,\and I even had Kazehaya under my control. response:	Huh?
context: And the one about me being the one who spread those rumors?\That too.\And the one about me being a secret school gang leader?\School gang leader...?\Sadako: Legend of the Secret School Gang Leader\A-Apparently I had you two backing me up,\and I even had Kazehaya under my control.\Huh? response:	Seriously?
context: That too.\And the one about me being a secret school gang leader?\School gang leader...?\Sadako: Legend of the Secret School Gang Leader\A-Apparently I had you two backing me up,\and I even had Kazehaya under my control.\Huh?\Seriously? response:	Seriously, that's awesome. And to think you used to be cursed.”
context: And the one about me being a secret school gang leader?\School gang leader...?\Sadako: Legend of the Secret School Gang Leader\A-Apparently I had you two backing me up,\and I even had Kazehaya under my control.\Huh?\Seriously?\Seriously, that's awesome. And to think you used to be cursed.” response:	Rebel! Rebel Sawako!
context: School gang leader...?\Sadako: Legend of the Secret School Gang Leader\A-Apparently I had you two backing me up,\and I even had Kazehaya under my control.\Huh?\Seriously?\Seriously, that's awesome. And to think you used to be cursed.”\Rebel! Rebel Sawako! response:	I seriously hate all of them.
context: Sadako: Legend of the Secret School Gang Leader\A-Apparently I had you two backing me up,\and I even had Kazehaya under my control.\Huh?\Seriously?\Seriously, that's awesome. And to think you used to be cursed.”\Rebel! Rebel Sawako!\I seriously hate all of them. response:	But it must be some kind of mistake.
context: A-Apparently I had you two backing me up,\and I even had Kazehaya under my control.\Huh?\Seriously?\Seriously, that's awesome. And to think you used to be cursed.”\Rebel! Rebel Sawako!\I seriously hate all of them.\But it must be some kind of mistake. response:	Even if she did spread those rumors...
context: and I even had Kazehaya under my control.\Huh?\Seriously?\Seriously, that's awesome. And to think you used to be cursed.”\Rebel! Rebel Sawako!\I seriously hate all of them.\But it must be some kind of mistake.\Even if she did spread those rumors... response:	Wait. In rumorland, these two are backing me up,
context: Huh?\Seriously?\Seriously, that's awesome. And to think you used to be cursed.”\Rebel! Rebel Sawako!\I seriously hate all of them.\But it must be some kind of mistake.\Even if she did spread those rumors...\Wait. In rumorland, these two are backing me up, response:	but I'm spreading slander about them...
context: Seriously?\Seriously, that's awesome. And to think you used to be cursed.”\Rebel! Rebel Sawako!\I seriously hate all of them.\But it must be some kind of mistake.\Even if she did spread those rumors...\Wait. In rumorland, these two are backing me up,\but I'm spreading slander about them... response:	What exactly am I trying to do?
context: Seriously, that's awesome. And to think you used to be cursed.”\Rebel! Rebel Sawako!\I seriously hate all of them.\But it must be some kind of mistake.\Even if she did spread those rumors...\Wait. In rumorland, these two are backing me up,\but I'm spreading slander about them...\What exactly am I trying to do? response:	It was probably bullshit.
context: Rebel! Rebel Sawako!\I seriously hate all of them.\But it must be some kind of mistake.\Even if she did spread those rumors...\Wait. In rumorland, these two are backing me up,\but I'm spreading slander about them...\What exactly am I trying to do?\It was probably bullshit. response:	Basically...
context: I seriously hate all of them.\But it must be some kind of mistake.\Even if she did spread those rumors...\Wait. In rumorland, these two are backing me up,\but I'm spreading slander about them...\What exactly am I trying to do?\It was probably bullshit.\Basically... response:	Kurumi's just stupid.
context: But it must be some kind of mistake.\Even if she did spread those rumors...\Wait. In rumorland, these two are backing me up,\but I'm spreading slander about them...\What exactly am I trying to do?\It was probably bullshit.\Basically...\Kurumi's just stupid. response:	No, Kurumi's not stupid
