context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Here.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Here. response:	This is yours, Asta!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Here.\This is yours, Asta! response:	You don't want it?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Here.\This is yours, Asta!\You don't want it? response:	This is mine...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Here.\This is yours, Asta!\You don't want it?\This is mine... response:	Go ahead, try it on.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Here.\This is yours, Asta!\You don't want it?\This is mine...\Go ahead, try it on. response:	And while we're at it...
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Here.\This is yours, Asta!\You don't want it?\This is mine...\Go ahead, try it on.\And while we're at it... response:	Looks good on you. Don't you think so, Mister Yami?
context: He was called the Wizard King, and he became a legend.\Here.\This is yours, Asta!\You don't want it?\This is mine...\Go ahead, try it on.\And while we're at it...\Looks good on you. Don't you think so, Mister Yami? response:	He looks pretty bland.
context: Here.\This is yours, Asta!\You don't want it?\This is mine...\Go ahead, try it on.\And while we're at it...\Looks good on you. Don't you think so, Mister Yami?\He looks pretty bland. response:	And now, you're officially a member of the Magic Knights Squad, the Black Bulls!
context: This is yours, Asta!\You don't want it?\This is mine...\Go ahead, try it on.\And while we're at it...\Looks good on you. Don't you think so, Mister Yami?\He looks pretty bland.\And now, you're officially a member of the Magic Knights Squad, the Black Bulls! response:	You better work hard not to shame Mister Yami or the Black Bulls!
context: You don't want it?\This is mine...\Go ahead, try it on.\And while we're at it...\Looks good on you. Don't you think so, Mister Yami?\He looks pretty bland.\And now, you're officially a member of the Magic Knights Squad, the Black Bulls!\You better work hard not to shame Mister Yami or the Black Bulls! response:	Thanks! It's a pleasure to work with all of you!
context: This is mine...\Go ahead, try it on.\And while we're at it...\Looks good on you. Don't you think so, Mister Yami?\He looks pretty bland.\And now, you're officially a member of the Magic Knights Squad, the Black Bulls!\You better work hard not to shame Mister Yami or the Black Bulls!\Thanks! It's a pleasure to work with all of you! response:	Shut up.
context: Go ahead, try it on.\And while we're at it...\Looks good on you. Don't you think so, Mister Yami?\He looks pretty bland.\And now, you're officially a member of the Magic Knights Squad, the Black Bulls!\You better work hard not to shame Mister Yami or the Black Bulls!\Thanks! It's a pleasure to work with all of you!\Shut up. response:	Sorry!
