context: Crown Prince! response:	Crown Prince, I had a hard time finding you!
context: Crown Prince!\Crown Prince, I had a hard time finding you! response:	Didn't you wake up in Xiwu Palace?
context: Crown Prince!\Crown Prince, I had a hard time finding you!\Didn't you wake up in Xiwu Palace? response:	I don't know.
context: Crown Prince!\Crown Prince, I had a hard time finding you!\Didn't you wake up in Xiwu Palace?\I don't know. response:	I woke up on Kunlun Mountain.
context: Crown Prince!\Crown Prince, I had a hard time finding you!\Didn't you wake up in Xiwu Palace?\I don't know.\I woke up on Kunlun Mountain. response:	How did you know that I've returned?
context: Crown Prince!\Crown Prince, I had a hard time finding you!\Didn't you wake up in Xiwu Palace?\I don't know.\I woke up on Kunlun Mountain.\How did you know that I've returned? response:	I checked the Book of Destiny.
context: Crown Prince!\Crown Prince, I had a hard time finding you!\Didn't you wake up in Xiwu Palace?\I don't know.\I woke up on Kunlun Mountain.\How did you know that I've returned?\I checked the Book of Destiny. response:	I realized that your mortal self was so lovesick
context: Crown Prince!\Crown Prince, I had a hard time finding you!\Didn't you wake up in Xiwu Palace?\I don't know.\I woke up on Kunlun Mountain.\How did you know that I've returned?\I checked the Book of Destiny.\I realized that your mortal self was so lovesick response:	that you died young from illness.
context: Crown Prince, I had a hard time finding you!\Didn't you wake up in Xiwu Palace?\I don't know.\I woke up on Kunlun Mountain.\How did you know that I've returned?\I checked the Book of Destiny.\I realized that your mortal self was so lovesick\that you died young from illness. response:	It's good that you've returned.
context: Didn't you wake up in Xiwu Palace?\I don't know.\I woke up on Kunlun Mountain.\How did you know that I've returned?\I checked the Book of Destiny.\I realized that your mortal self was so lovesick\that you died young from illness.\It's good that you've returned. response:	Trouble is brewing in the Grand Hall.
context: I don't know.\I woke up on Kunlun Mountain.\How did you know that I've returned?\I checked the Book of Destiny.\I realized that your mortal self was so lovesick\that you died young from illness.\It's good that you've returned.\Trouble is brewing in the Grand Hall. response:	Please come with me immediately!
context: I woke up on Kunlun Mountain.\How did you know that I've returned?\I checked the Book of Destiny.\I realized that your mortal self was so lovesick\that you died young from illness.\It's good that you've returned.\Trouble is brewing in the Grand Hall.\Please come with me immediately! response:	What happened?
