context: You have Shinigami-sama's pardon. response:	I'll have you attend lessons from this afternoon on.
context: You have Shinigami-sama's pardon.\I'll have you attend lessons from this afternoon on. response:	I'll pick you up later, so get ready.
context: You have Shinigami-sama's pardon.\I'll have you attend lessons from this afternoon on.\I'll pick you up later, so get ready. response:	Any response?
context: You have Shinigami-sama's pardon.\I'll have you attend lessons from this afternoon on.\I'll pick you up later, so get ready.\Any response? response:	You know...
context: You have Shinigami-sama's pardon.\I'll have you attend lessons from this afternoon on.\I'll pick you up later, so get ready.\Any response?\You know... response:	If a living person can't take a step out of that room, what are we to do?
context: You have Shinigami-sama's pardon.\I'll have you attend lessons from this afternoon on.\I'll pick you up later, so get ready.\Any response?\You know...\If a living person can't take a step out of that room, what are we to do? response:	Hello...?
context: You have Shinigami-sama's pardon.\I'll have you attend lessons from this afternoon on.\I'll pick you up later, so get ready.\Any response?\You know...\If a living person can't take a step out of that room, what are we to do?\Hello...? response:	She really hates me...
context: You have Shinigami-sama's pardon.\I'll have you attend lessons from this afternoon on.\I'll pick you up later, so get ready.\Any response?\You know...\If a living person can't take a step out of that room, what are we to do?\Hello...?\She really hates me... response:	I called out to her many times, but she's just so scared of coming out...
context: I'll have you attend lessons from this afternoon on.\I'll pick you up later, so get ready.\Any response?\You know...\If a living person can't take a step out of that room, what are we to do?\Hello...?\She really hates me...\I called out to her many times, but she's just so scared of coming out... response:	In the end, she told me she doesn't know how to deal with zombies...
context: I'll pick you up later, so get ready.\Any response?\You know...\If a living person can't take a step out of that room, what are we to do?\Hello...?\She really hates me...\I called out to her many times, but she's just so scared of coming out...\In the end, she told me she doesn't know how to deal with zombies... response:	Is that so?
context: Any response?\You know...\If a living person can't take a step out of that room, what are we to do?\Hello...?\She really hates me...\I called out to her many times, but she's just so scared of coming out...\In the end, she told me she doesn't know how to deal with zombies...\Is that so? response:	If all she does is sulk, then even I can't help her.
context: You know...\If a living person can't take a step out of that room, what are we to do?\Hello...?\She really hates me...\I called out to her many times, but she's just so scared of coming out...\In the end, she told me she doesn't know how to deal with zombies...\Is that so?\If all she does is sulk, then even I can't help her. response:	The quarters are just ahead.
context: If a living person can't take a step out of that room, what are we to do?\Hello...?\She really hates me...\I called out to her many times, but she's just so scared of coming out...\In the end, she told me she doesn't know how to deal with zombies...\Is that so?\If all she does is sulk, then even I can't help her.\The quarters are just ahead. response:	I'll finally be able to meet Crona!
context: Hello...?\She really hates me...\I called out to her many times, but she's just so scared of coming out...\In the end, she told me she doesn't know how to deal with zombies...\Is that so?\If all she does is sulk, then even I can't help her.\The quarters are just ahead.\I'll finally be able to meet Crona! response:	You have a good grasp on Crona's soul's wavelength, right?
