context: Jump! response:	We're here!
context: Jump!\We're here! response:	Let's go, Kousei!
context: Jump!\We're here!\Let's go, Kousei! response:	R-Right!
context: Jump!\We're here!\Let's go, Kousei!\R-Right! response:	We'll head in first while you find parking, Takahiko-san.
context: Jump!\We're here!\Let's go, Kousei!\R-Right!\We'll head in first while you find parking, Takahiko-san. response:	Sure thing, I'll be in soon.
context: Jump!\We're here!\Let's go, Kousei!\R-Right!\We'll head in first while you find parking, Takahiko-san.\Sure thing, I'll be in soon. response:	Let's go, Tsubaki-chan.
context: Jump!\We're here!\Let's go, Kousei!\R-Right!\We'll head in first while you find parking, Takahiko-san.\Sure thing, I'll be in soon.\Let's go, Tsubaki-chan. response:	Yeah.
context: Jump!\We're here!\Let's go, Kousei!\R-Right!\We'll head in first while you find parking, Takahiko-san.\Sure thing, I'll be in soon.\Let's go, Tsubaki-chan.\Yeah. response:	Sumiya piano recitals
context: We're here!\Let's go, Kousei!\R-Right!\We'll head in first while you find parking, Takahiko-san.\Sure thing, I'll be in soon.\Let's go, Tsubaki-chan.\Yeah.\Sumiya piano recitals response:	It's been a while since we've come here as guests, hasn't it?
context: Let's go, Kousei!\R-Right!\We'll head in first while you find parking, Takahiko-san.\Sure thing, I'll be in soon.\Let's go, Tsubaki-chan.\Yeah.\Sumiya piano recitals\It's been a while since we've come here as guests, hasn't it? response:	It sure has. It's nice not having to be nervous.
context: R-Right!\We'll head in first while you find parking, Takahiko-san.\Sure thing, I'll be in soon.\Let's go, Tsubaki-chan.\Yeah.\Sumiya piano recitals\It's been a while since we've come here as guests, hasn't it?\It sure has. It's nice not having to be nervous. response:	You're so cute!
context: We'll head in first while you find parking, Takahiko-san.\Sure thing, I'll be in soon.\Let's go, Tsubaki-chan.\Yeah.\Sumiya piano recitals\It's been a while since we've come here as guests, hasn't it?\It sure has. It's nice not having to be nervous.\You're so cute! response:	That dress looks really good on you!
context: Sure thing, I'll be in soon.\Let's go, Tsubaki-chan.\Yeah.\Sumiya piano recitals\It's been a while since we've come here as guests, hasn't it?\It sure has. It's nice not having to be nervous.\You're so cute!\That dress looks really good on you! response:	Thanks!
