context: Archer, I don't believe it. You response:	Have you no pride as a hero?
context: Archer, I don't believe it. You\Have you no pride as a hero? response:	Of course I haven't.
context: Archer, I don't believe it. You\Have you no pride as a hero?\Of course I haven't. response:	All I have left is foolish regrets.
context: Archer, I don't believe it. You\Have you no pride as a hero?\Of course I haven't.\All I have left is foolish regrets. response:	The thing is, Saber...
context: Archer, I don't believe it. You\Have you no pride as a hero?\Of course I haven't.\All I have left is foolish regrets.\The thing is, Saber... response:	I should never have become a hero.
context: Archer, I don't believe it. You\Have you no pride as a hero?\Of course I haven't.\All I have left is foolish regrets.\The thing is, Saber...\I should never have become a hero. response:	I suggest you stand aside, King of Knights.
context: Archer, I don't believe it. You\Have you no pride as a hero?\Of course I haven't.\All I have left is foolish regrets.\The thing is, Saber...\I should never have become a hero.\I suggest you stand aside, King of Knights. response:	If you exert yourself with no Master, you will quickly disappear.
context: Archer, I don't believe it. You\Have you no pride as a hero?\Of course I haven't.\All I have left is foolish regrets.\The thing is, Saber...\I should never have become a hero.\I suggest you stand aside, King of Knights.\If you exert yourself with no Master, you will quickly disappear. response:	Emiya Shirou is no longer qualified to be a Master.
context: Have you no pride as a hero?\Of course I haven't.\All I have left is foolish regrets.\The thing is, Saber...\I should never have become a hero.\I suggest you stand aside, King of Knights.\If you exert yourself with no Master, you will quickly disappear.\Emiya Shirou is no longer qualified to be a Master. response:	Aiding him will not help your wish come true.
context: Of course I haven't.\All I have left is foolish regrets.\The thing is, Saber...\I should never have become a hero.\I suggest you stand aside, King of Knights.\If you exert yourself with no Master, you will quickly disappear.\Emiya Shirou is no longer qualified to be a Master.\Aiding him will not help your wish come true. response:	I swore that I would protect him, that I would be his sword.
context: All I have left is foolish regrets.\The thing is, Saber...\I should never have become a hero.\I suggest you stand aside, King of Knights.\If you exert yourself with no Master, you will quickly disappear.\Emiya Shirou is no longer qualified to be a Master.\Aiding him will not help your wish come true.\I swore that I would protect him, that I would be his sword. response:	Even without our pact, that pledge remains unchanged.
context: The thing is, Saber...\I should never have become a hero.\I suggest you stand aside, King of Knights.\If you exert yourself with no Master, you will quickly disappear.\Emiya Shirou is no longer qualified to be a Master.\Aiding him will not help your wish come true.\I swore that I would protect him, that I would be his sword.\Even without our pact, that pledge remains unchanged. response:	I see.
context: I should never have become a hero.\I suggest you stand aside, King of Knights.\If you exert yourself with no Master, you will quickly disappear.\Emiya Shirou is no longer qualified to be a Master.\Aiding him will not help your wish come true.\I swore that I would protect him, that I would be his sword.\Even without our pact, that pledge remains unchanged.\I see. response:	In that case...
context: I suggest you stand aside, King of Knights.\If you exert yourself with no Master, you will quickly disappear.\Emiya Shirou is no longer qualified to be a Master.\Aiding him will not help your wish come true.\I swore that I would protect him, that I would be his sword.\Even without our pact, that pledge remains unchanged.\I see.\In that case... response:	Disappear here, you and your false master.
context: If you exert yourself with no Master, you will quickly disappear.\Emiya Shirou is no longer qualified to be a Master.\Aiding him will not help your wish come true.\I swore that I would protect him, that I would be his sword.\Even without our pact, that pledge remains unchanged.\I see.\In that case...\Disappear here, you and your false master. response:	I expected you to cower a bit longer.
context: Emiya Shirou is no longer qualified to be a Master.\Aiding him will not help your wish come true.\I swore that I would protect him, that I would be his sword.\Even without our pact, that pledge remains unchanged.\I see.\In that case...\Disappear here, you and your false master.\I expected you to cower a bit longer. response:	Shut up!
context: Aiding him will not help your wish come true.\I swore that I would protect him, that I would be his sword.\Even without our pact, that pledge remains unchanged.\I see.\In that case...\Disappear here, you and your false master.\I expected you to cower a bit longer.\Shut up! response:	You're fighting the wrong person!
context: I swore that I would protect him, that I would be his sword.\Even without our pact, that pledge remains unchanged.\I see.\In that case...\Disappear here, you and your false master.\I expected you to cower a bit longer.\Shut up!\You're fighting the wrong person! response:	A near enough imitation is, effectively, the real thing.
context: Even without our pact, that pledge remains unchanged.\I see.\In that case...\Disappear here, you and your false master.\I expected you to cower a bit longer.\Shut up!\You're fighting the wrong person!\A near enough imitation is, effectively, the real thing. response:	But can your body handle that level of magical exertion?
context: I see.\In that case...\Disappear here, you and your false master.\I expected you to cower a bit longer.\Shut up!\You're fighting the wrong person!\A near enough imitation is, effectively, the real thing.\But can your body handle that level of magical exertion? response:	Using magic beyond your ability will destroy you.
context: In that case...\Disappear here, you and your false master.\I expected you to cower a bit longer.\Shut up!\You're fighting the wrong person!\A near enough imitation is, effectively, the real thing.\But can your body handle that level of magical exertion?\Using magic beyond your ability will destroy you. response:	Or did you honestly think you would succeed?
context: Disappear here, you and your false master.\I expected you to cower a bit longer.\Shut up!\You're fighting the wrong person!\A near enough imitation is, effectively, the real thing.\But can your body handle that level of magical exertion?\Using magic beyond your ability will destroy you.\Or did you honestly think you would succeed? response:	That if you stubbornly kept trying, your ideal self would be within your grasp?
context: I expected you to cower a bit longer.\Shut up!\You're fighting the wrong person!\A near enough imitation is, effectively, the real thing.\But can your body handle that level of magical exertion?\Using magic beyond your ability will destroy you.\Or did you honestly think you would succeed?\That if you stubbornly kept trying, your ideal self would be within your grasp? response:	Archer...
context: Shut up!\You're fighting the wrong person!\A near enough imitation is, effectively, the real thing.\But can your body handle that level of magical exertion?\Using magic beyond your ability will destroy you.\Or did you honestly think you would succeed?\That if you stubbornly kept trying, your ideal self would be within your grasp?\Archer... response:	Emiya Shirou has reached his limit.
context: You're fighting the wrong person!\A near enough imitation is, effectively, the real thing.\But can your body handle that level of magical exertion?\Using magic beyond your ability will destroy you.\Or did you honestly think you would succeed?\That if you stubbornly kept trying, your ideal self would be within your grasp?\Archer...\Emiya Shirou has reached his limit. response:	A fitting end for a fool who constantly tried to do the impossible.
context: A near enough imitation is, effectively, the real thing.\But can your body handle that level of magical exertion?\Using magic beyond your ability will destroy you.\Or did you honestly think you would succeed?\That if you stubbornly kept trying, your ideal self would be within your grasp?\Archer...\Emiya Shirou has reached his limit.\A fitting end for a fool who constantly tried to do the impossible. response:	Heed my words.
context: But can your body handle that level of magical exertion?\Using magic beyond your ability will destroy you.\Or did you honestly think you would succeed?\That if you stubbornly kept trying, your ideal self would be within your grasp?\Archer...\Emiya Shirou has reached his limit.\A fitting end for a fool who constantly tried to do the impossible.\Heed my words. response:	My will creates your body, and your sword creates my destiny.
context: Using magic beyond your ability will destroy you.\Or did you honestly think you would succeed?\That if you stubbornly kept trying, your ideal self would be within your grasp?\Archer...\Emiya Shirou has reached his limit.\A fitting end for a fool who constantly tried to do the impossible.\Heed my words.\My will creates your body, and your sword creates my destiny. response:	If you heed the Grail's call and obey my will and reason...
