context: The Town Along the River (continued) response:	It still hasn't come.
context: The Town Along the River (continued)\It still hasn't come. response:	Is this what you're looking for...
context: The Town Along the River (continued)\It still hasn't come.\Is this what you're looking for... response:	Mr. Rei Kiriyama MATCH NOTIFICATION
context: The Town Along the River (continued)\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION response:	CHUB
context: The Town Along the River (continued)\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB response:	Finally, the time has come to play against each other in a public forum.
context: The Town Along the River (continued)\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Finally, the time has come to play against each other in a public forum. response:	CREAK
context: The Town Along the River (continued)\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Finally, the time has come to play against each other in a public forum.\CREAK response:	This came to my house, so I figured you would get one, too.
context: The Town Along the River (continued)\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Finally, the time has come to play against each other in a public forum.\CREAK\This came to my house, so I figured you would get one, too. response:	So that's why I came over.
context: It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Finally, the time has come to play against each other in a public forum.\CREAK\This came to my house, so I figured you would get one, too.\So that's why I came over. response:	Either way, I just felt like I had to deliver this letter to you with my own hands.
context: Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Finally, the time has come to play against each other in a public forum.\CREAK\This came to my house, so I figured you would get one, too.\So that's why I came over.\Either way, I just felt like I had to deliver this letter to you with my own hands. response:	So you opened my mailbox?
context: Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Finally, the time has come to play against each other in a public forum.\CREAK\This came to my house, so I figured you would get one, too.\So that's why I came over.\Either way, I just felt like I had to deliver this letter to you with my own hands.\So you opened my mailbox? response:	Without permission, Nikaido?
context: CHUB\Finally, the time has come to play against each other in a public forum.\CREAK\This came to my house, so I figured you would get one, too.\So that's why I came over.\Either way, I just felt like I had to deliver this letter to you with my own hands.\So you opened my mailbox?\Without permission, Nikaido? response:	I've waited for so long.
