context: There was this overwhelming emotion response:	I had while I was barely conscious.
context: There was this overwhelming emotion\I had while I was barely conscious. response:	I didn't have any time to sort through my feelings then.
context: There was this overwhelming emotion\I had while I was barely conscious.\I didn't have any time to sort through my feelings then. response:	It hadn't even been a day since I had met Senpai.
context: There was this overwhelming emotion\I had while I was barely conscious.\I didn't have any time to sort through my feelings then.\It hadn't even been a day since I had met Senpai. response:	But I...
context: There was this overwhelming emotion\I had while I was barely conscious.\I didn't have any time to sort through my feelings then.\It hadn't even been a day since I had met Senpai.\But I... response:	Senpai...
context: There was this overwhelming emotion\I had while I was barely conscious.\I didn't have any time to sort through my feelings then.\It hadn't even been a day since I had met Senpai.\But I...\Senpai... response:	Senpai...
context: There was this overwhelming emotion\I had while I was barely conscious.\I didn't have any time to sort through my feelings then.\It hadn't even been a day since I had met Senpai.\But I...\Senpai...\Senpai... response:	You can't.
context: There was this overwhelming emotion\I had while I was barely conscious.\I didn't have any time to sort through my feelings then.\It hadn't even been a day since I had met Senpai.\But I...\Senpai...\Senpai...\You can't. response:	You can't say it.
context: I had while I was barely conscious.\I didn't have any time to sort through my feelings then.\It hadn't even been a day since I had met Senpai.\But I...\Senpai...\Senpai...\You can't.\You can't say it. response:	Please.
context: I didn't have any time to sort through my feelings then.\It hadn't even been a day since I had met Senpai.\But I...\Senpai...\Senpai...\You can't.\You can't say it.\Please. response:	Why?
context: It hadn't even been a day since I had met Senpai.\But I...\Senpai...\Senpai...\You can't.\You can't say it.\Please.\Why? response:	Why can't I say it?
context: But I...\Senpai...\Senpai...\You can't.\You can't say it.\Please.\Why?\Why can't I say it? response:	Because...
context: Senpai...\Senpai...\You can't.\You can't say it.\Please.\Why?\Why can't I say it?\Because... response:	There's no way I could ever love you.
context: Senpai...\You can't.\You can't say it.\Please.\Why?\Why can't I say it?\Because...\There's no way I could ever love you. response:	You're younger than me, you wear glasses, you're weak,
context: You can't.\You can't say it.\Please.\Why?\Why can't I say it?\Because...\There's no way I could ever love you.\You're younger than me, you wear glasses, you're weak, response:	you wear glasses, you daydream, and you're a pervert.
context: You can't say it.\Please.\Why?\Why can't I say it?\Because...\There's no way I could ever love you.\You're younger than me, you wear glasses, you're weak,\you wear glasses, you daydream, and you're a pervert. response:	You always think people are talking about you,
context: Please.\Why?\Why can't I say it?\Because...\There's no way I could ever love you.\You're younger than me, you wear glasses, you're weak,\you wear glasses, you daydream, and you're a pervert.\You always think people are talking about you, response:	or I guess, it's better to say you have a huge ego.
context: Why?\Why can't I say it?\Because...\There's no way I could ever love you.\You're younger than me, you wear glasses, you're weak,\you wear glasses, you daydream, and you're a pervert.\You always think people are talking about you,\or I guess, it's better to say you have a huge ego. response:	Stop it...
context: Why can't I say it?\Because...\There's no way I could ever love you.\You're younger than me, you wear glasses, you're weak,\you wear glasses, you daydream, and you're a pervert.\You always think people are talking about you,\or I guess, it's better to say you have a huge ego.\Stop it... response:	Stop imagining things!
context: Because...\There's no way I could ever love you.\You're younger than me, you wear glasses, you're weak,\you wear glasses, you daydream, and you're a pervert.\You always think people are talking about you,\or I guess, it's better to say you have a huge ego.\Stop it...\Stop imagining things! response:	Dear Sister,
context: There's no way I could ever love you.\You're younger than me, you wear glasses, you're weak,\you wear glasses, you daydream, and you're a pervert.\You always think people are talking about you,\or I guess, it's better to say you have a huge ego.\Stop it...\Stop imagining things!\Dear Sister, response:	this is your humbled brother writing you.
context: You're younger than me, you wear glasses, you're weak,\you wear glasses, you daydream, and you're a pervert.\You always think people are talking about you,\or I guess, it's better to say you have a huge ego.\Stop it...\Stop imagining things!\Dear Sister,\this is your humbled brother writing you. response:	Your dear brother has gone crazy and had it all blow up in his face.
context: you wear glasses, you daydream, and you're a pervert.\You always think people are talking about you,\or I guess, it's better to say you have a huge ego.\Stop it...\Stop imagining things!\Dear Sister,\this is your humbled brother writing you.\Your dear brother has gone crazy and had it all blow up in his face. response:	I'm sorry for being so pathetic.
