context: Your Highness, Her Highness would like to see you! response:	Her Highness says she has a way to save Su Su!
context: Your Highness, Her Highness would like to see you!\Her Highness says she has a way to save Su Su! response:	Your Highness, please go see Her Highness.
context: Your Highness, Her Highness would like to see you!\Her Highness says she has a way to save Su Su!\Your Highness, please go see Her Highness. response:	She'll definitely tell you the way.
context: Your Highness, Her Highness would like to see you!\Her Highness says she has a way to save Su Su!\Your Highness, please go see Her Highness.\She'll definitely tell you the way. response:	Your Highness, please go see Her Highness.
context: Your Highness, Her Highness would like to see you!\Her Highness says she has a way to save Su Su!\Your Highness, please go see Her Highness.\She'll definitely tell you the way.\Your Highness, please go see Her Highness. response:	Do you know it's a crime to deceive an heir to the throne?
context: Your Highness, Her Highness would like to see you!\Her Highness says she has a way to save Su Su!\Your Highness, please go see Her Highness.\She'll definitely tell you the way.\Your Highness, please go see Her Highness.\Do you know it's a crime to deceive an heir to the throne? response:	Your Highness, I wouldn't dare. I wouldn't dare.
context: Your Highness, Her Highness would like to see you!\Her Highness says she has a way to save Su Su!\Your Highness, please go see Her Highness.\She'll definitely tell you the way.\Your Highness, please go see Her Highness.\Do you know it's a crime to deceive an heir to the throne?\Your Highness, I wouldn't dare. I wouldn't dare. response:	I wouldn't dare to deceive Your Highness.
context: Your Highness, Her Highness would like to see you!\Her Highness says she has a way to save Su Su!\Your Highness, please go see Her Highness.\She'll definitely tell you the way.\Your Highness, please go see Her Highness.\Do you know it's a crime to deceive an heir to the throne?\Your Highness, I wouldn't dare. I wouldn't dare.\I wouldn't dare to deceive Your Highness. response:	Please go see Her Highness.
context: Her Highness says she has a way to save Su Su!\Your Highness, please go see Her Highness.\She'll definitely tell you the way.\Your Highness, please go see Her Highness.\Do you know it's a crime to deceive an heir to the throne?\Your Highness, I wouldn't dare. I wouldn't dare.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness. response:	She'll definitely tell you the way.
context: Your Highness, please go see Her Highness.\She'll definitely tell you the way.\Your Highness, please go see Her Highness.\Do you know it's a crime to deceive an heir to the throne?\Your Highness, I wouldn't dare. I wouldn't dare.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\She'll definitely tell you the way. response:	That's what Her Highness told me.
context: She'll definitely tell you the way.\Your Highness, please go see Her Highness.\Do you know it's a crime to deceive an heir to the throne?\Your Highness, I wouldn't dare. I wouldn't dare.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\She'll definitely tell you the way.\That's what Her Highness told me. response:	I wouldn't dare to deceive Your Highness.
context: Your Highness, please go see Her Highness.\Do you know it's a crime to deceive an heir to the throne?\Your Highness, I wouldn't dare. I wouldn't dare.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\She'll definitely tell you the way.\That's what Her Highness told me.\I wouldn't dare to deceive Your Highness. response:	Please go see Her Highness.
context: Do you know it's a crime to deceive an heir to the throne?\Your Highness, I wouldn't dare. I wouldn't dare.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\She'll definitely tell you the way.\That's what Her Highness told me.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness. response:	Ye Hua, we should be celebrating our marriage today.
context: Your Highness, I wouldn't dare. I wouldn't dare.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\She'll definitely tell you the way.\That's what Her Highness told me.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\Ye Hua, we should be celebrating our marriage today. response:	It's the day I've been longing for for thousands of years.
context: I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\She'll definitely tell you the way.\That's what Her Highness told me.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\Ye Hua, we should be celebrating our marriage today.\It's the day I've been longing for for thousands of years. response:	I know you're waiting for me to tell you the way.
context: Please go see Her Highness.\She'll definitely tell you the way.\That's what Her Highness told me.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\Ye Hua, we should be celebrating our marriage today.\It's the day I've been longing for for thousands of years.\I know you're waiting for me to tell you the way. response:	Ye Hua, we've known each other since childhood.
context: She'll definitely tell you the way.\That's what Her Highness told me.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\Ye Hua, we should be celebrating our marriage today.\It's the day I've been longing for for thousands of years.\I know you're waiting for me to tell you the way.\Ye Hua, we've known each other since childhood. response:	You know how much I hate her.
context: That's what Her Highness told me.\I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\Ye Hua, we should be celebrating our marriage today.\It's the day I've been longing for for thousands of years.\I know you're waiting for me to tell you the way.\Ye Hua, we've known each other since childhood.\You know how much I hate her. response:	But I still have to help you save her.
context: I wouldn't dare to deceive Your Highness.\Please go see Her Highness.\Ye Hua, we should be celebrating our marriage today.\It's the day I've been longing for for thousands of years.\I know you're waiting for me to tell you the way.\Ye Hua, we've known each other since childhood.\You know how much I hate her.\But I still have to help you save her. response:	Even though I've been an orphan since I was young
