context: The serialization meeting starts at 2 PM. response:	It's starting soon.
context: The serialization meeting starts at 2 PM.\It's starting soon. response:	Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack.
context: The serialization meeting starts at 2 PM.\It's starting soon.\Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack. response:	I, Yahagi, will be the facilitator for this meeting.
context: The serialization meeting starts at 2 PM.\It's starting soon.\Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack.\I, Yahagi, will be the facilitator for this meeting. response:	We have thirteen candidates for serialization this meeting.
context: The serialization meeting starts at 2 PM.\It's starting soon.\Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack.\I, Yahagi, will be the facilitator for this meeting.\We have thirteen candidates for serialization this meeting. response:	You've all been given a copy of each.
context: The serialization meeting starts at 2 PM.\It's starting soon.\Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack.\I, Yahagi, will be the facilitator for this meeting.\We have thirteen candidates for serialization this meeting.\You've all been given a copy of each. response:	We'll start with Orihara-sensei's Tanktop.
context: The serialization meeting starts at 2 PM.\It's starting soon.\Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack.\I, Yahagi, will be the facilitator for this meeting.\We have thirteen candidates for serialization this meeting.\You've all been given a copy of each.\We'll start with Orihara-sensei's Tanktop. response:	Uchida, from my group, is this work's editor.
context: The serialization meeting starts at 2 PM.\It's starting soon.\Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack.\I, Yahagi, will be the facilitator for this meeting.\We have thirteen candidates for serialization this meeting.\You've all been given a copy of each.\We'll start with Orihara-sensei's Tanktop.\Uchida, from my group, is this work's editor. response:	The protagonist has transferred to a prestigious private metropolitan high school, and...
context: It's starting soon.\Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack.\I, Yahagi, will be the facilitator for this meeting.\We have thirteen candidates for serialization this meeting.\You've all been given a copy of each.\We'll start with Orihara-sensei's Tanktop.\Uchida, from my group, is this work's editor.\The protagonist has transferred to a prestigious private metropolitan high school, and... response:	The serialization meeting's facilitator is placed in a position above the captains.
context: Now then, I thought we'd begin the December serialization meeting for the weekly Shounen Jack.\I, Yahagi, will be the facilitator for this meeting.\We have thirteen candidates for serialization this meeting.\You've all been given a copy of each.\We'll start with Orihara-sensei's Tanktop.\Uchida, from my group, is this work's editor.\The protagonist has transferred to a prestigious private metropolitan high school, and...\The serialization meeting's facilitator is placed in a position above the captains. response:	Firstly, the captain of the work's editor explains the aim of the story and its current situation.
context: I, Yahagi, will be the facilitator for this meeting.\We have thirteen candidates for serialization this meeting.\You've all been given a copy of each.\We'll start with Orihara-sensei's Tanktop.\Uchida, from my group, is this work's editor.\The protagonist has transferred to a prestigious private metropolitan high school, and...\The serialization meeting's facilitator is placed in a position above the captains.\Firstly, the captain of the work's editor explains the aim of the story and its current situation. response:	The presented names have already been looked over one week beforehand.
context: We have thirteen candidates for serialization this meeting.\You've all been given a copy of each.\We'll start with Orihara-sensei's Tanktop.\Uchida, from my group, is this work's editor.\The protagonist has transferred to a prestigious private metropolitan high school, and...\The serialization meeting's facilitator is placed in a position above the captains.\Firstly, the captain of the work's editor explains the aim of the story and its current situation.\The presented names have already been looked over one week beforehand. response:	The editor's impressions are written on the exterior of the envelopes.
context: You've all been given a copy of each.\We'll start with Orihara-sensei's Tanktop.\Uchida, from my group, is this work's editor.\The protagonist has transferred to a prestigious private metropolitan high school, and...\The serialization meeting's facilitator is placed in a position above the captains.\Firstly, the captain of the work's editor explains the aim of the story and its current situation.\The presented names have already been looked over one week beforehand.\The editor's impressions are written on the exterior of the envelopes. response:	The attendees hold the meeting after reading those impressions.
context: We'll start with Orihara-sensei's Tanktop.\Uchida, from my group, is this work's editor.\The protagonist has transferred to a prestigious private metropolitan high school, and...\The serialization meeting's facilitator is placed in a position above the captains.\Firstly, the captain of the work's editor explains the aim of the story and its current situation.\The presented names have already been looked over one week beforehand.\The editor's impressions are written on the exterior of the envelopes.\The attendees hold the meeting after reading those impressions. response:	As everyone's assessments state, I think he should be cautious here.
context: Uchida, from my group, is this work's editor.\The protagonist has transferred to a prestigious private metropolitan high school, and...\The serialization meeting's facilitator is placed in a position above the captains.\Firstly, the captain of the work's editor explains the aim of the story and its current situation.\The presented names have already been looked over one week beforehand.\The editor's impressions are written on the exterior of the envelopes.\The attendees hold the meeting after reading those impressions.\As everyone's assessments state, I think he should be cautious here. response:	Okay then, would everyone please share their thoughts on this work?
context: The protagonist has transferred to a prestigious private metropolitan high school, and...\The serialization meeting's facilitator is placed in a position above the captains.\Firstly, the captain of the work's editor explains the aim of the story and its current situation.\The presented names have already been looked over one week beforehand.\The editor's impressions are written on the exterior of the envelopes.\The attendees hold the meeting after reading those impressions.\As everyone's assessments state, I think he should be cautious here.\Okay then, would everyone please share their thoughts on this work? response:	Well, after his last work was a hit...
context: The serialization meeting's facilitator is placed in a position above the captains.\Firstly, the captain of the work's editor explains the aim of the story and its current situation.\The presented names have already been looked over one week beforehand.\The editor's impressions are written on the exterior of the envelopes.\The attendees hold the meeting after reading those impressions.\As everyone's assessments state, I think he should be cautious here.\Okay then, would everyone please share their thoughts on this work?\Well, after his last work was a hit... response:	If you take the reader's expectations into account, it's a little weak.
context: Firstly, the captain of the work's editor explains the aim of the story and its current situation.\The presented names have already been looked over one week beforehand.\The editor's impressions are written on the exterior of the envelopes.\The attendees hold the meeting after reading those impressions.\As everyone's assessments state, I think he should be cautious here.\Okay then, would everyone please share their thoughts on this work?\Well, after his last work was a hit...\If you take the reader's expectations into account, it's a little weak. response:	But he's changing his literary style. I don't think it's too bad.
context: The presented names have already been looked over one week beforehand.\The editor's impressions are written on the exterior of the envelopes.\The attendees hold the meeting after reading those impressions.\As everyone's assessments state, I think he should be cautious here.\Okay then, would everyone please share their thoughts on this work?\Well, after his last work was a hit...\If you take the reader's expectations into account, it's a little weak.\But he's changing his literary style. I don't think it's too bad. response:	It's not bad, but the Orihara-san style of boldness seems faded.
context: The editor's impressions are written on the exterior of the envelopes.\The attendees hold the meeting after reading those impressions.\As everyone's assessments state, I think he should be cautious here.\Okay then, would everyone please share their thoughts on this work?\Well, after his last work was a hit...\If you take the reader's expectations into account, it's a little weak.\But he's changing his literary style. I don't think it's too bad.\It's not bad, but the Orihara-san style of boldness seems faded. response:	It most certainly seems like he's feeling his way around.
context: The attendees hold the meeting after reading those impressions.\As everyone's assessments state, I think he should be cautious here.\Okay then, would everyone please share their thoughts on this work?\Well, after his last work was a hit...\If you take the reader's expectations into account, it's a little weak.\But he's changing his literary style. I don't think it's too bad.\It's not bad, but the Orihara-san style of boldness seems faded.\It most certainly seems like he's feeling his way around. response:	It's a no. Have him rework it.
context: As everyone's assessments state, I think he should be cautious here.\Okay then, would everyone please share their thoughts on this work?\Well, after his last work was a hit...\If you take the reader's expectations into account, it's a little weak.\But he's changing his literary style. I don't think it's too bad.\It's not bad, but the Orihara-san style of boldness seems faded.\It most certainly seems like he's feeling his way around.\It's a no. Have him rework it. response:	The works presented in the meeting are divided into groups of yes and no for serialization.
context: Okay then, would everyone please share their thoughts on this work?\Well, after his last work was a hit...\If you take the reader's expectations into account, it's a little weak.\But he's changing his literary style. I don't think it's too bad.\It's not bad, but the Orihara-san style of boldness seems faded.\It most certainly seems like he's feeling his way around.\It's a no. Have him rework it.\The works presented in the meeting are divided into groups of yes and no for serialization. response:	Works given a no can be...
context: Well, after his last work was a hit...\If you take the reader's expectations into account, it's a little weak.\But he's changing his literary style. I don't think it's too bad.\It's not bad, but the Orihara-san style of boldness seems faded.\It most certainly seems like he's feeling his way around.\It's a no. Have him rework it.\The works presented in the meeting are divided into groups of yes and no for serialization.\Works given a no can be... response:	designated to be reworked and looked at again,
context: If you take the reader's expectations into account, it's a little weak.\But he's changing his literary style. I don't think it's too bad.\It's not bad, but the Orihara-san style of boldness seems faded.\It most certainly seems like he's feeling his way around.\It's a no. Have him rework it.\The works presented in the meeting are divided into groups of yes and no for serialization.\Works given a no can be...\designated to be reworked and looked at again, response:	tested out as one-shots
context: But he's changing his literary style. I don't think it's too bad.\It's not bad, but the Orihara-san style of boldness seems faded.\It most certainly seems like he's feeling his way around.\It's a no. Have him rework it.\The works presented in the meeting are divided into groups of yes and no for serialization.\Works given a no can be...\designated to be reworked and looked at again,\tested out as one-shots response:	or simply rejected and discarded.
context: It's not bad, but the Orihara-san style of boldness seems faded.\It most certainly seems like he's feeling his way around.\It's a no. Have him rework it.\The works presented in the meeting are divided into groups of yes and no for serialization.\Works given a no can be...\designated to be reworked and looked at again,\tested out as one-shots\or simply rejected and discarded. response:	Works that are given a yes
context: It most certainly seems like he's feeling his way around.\It's a no. Have him rework it.\The works presented in the meeting are divided into groups of yes and no for serialization.\Works given a no can be...\designated to be reworked and looked at again,\tested out as one-shots\or simply rejected and discarded.\Works that are given a yes response:	become new series.
context: It's a no. Have him rework it.\The works presented in the meeting are divided into groups of yes and no for serialization.\Works given a no can be...\designated to be reworked and looked at again,\tested out as one-shots\or simply rejected and discarded.\Works that are given a yes\become new series. response:	To make room for them, editors also decide which series will be ended.
context: The works presented in the meeting are divided into groups of yes and no for serialization.\Works given a no can be...\designated to be reworked and looked at again,\tested out as one-shots\or simply rejected and discarded.\Works that are given a yes\become new series.\To make room for them, editors also decide which series will be ended. response:	These last questionnaire results haven't been too good.
context: Works given a no can be...\designated to be reworked and looked at again,\tested out as one-shots\or simply rejected and discarded.\Works that are given a yes\become new series.\To make room for them, editors also decide which series will be ended.\These last questionnaire results haven't been too good. response:	I'm worried.
context: designated to be reworked and looked at again,\tested out as one-shots\or simply rejected and discarded.\Works that are given a yes\become new series.\To make room for them, editors also decide which series will be ended.\These last questionnaire results haven't been too good.\I'm worried. response:	It'll be okay.
context: tested out as one-shots\or simply rejected and discarded.\Works that are given a yes\become new series.\To make room for them, editors also decide which series will be ended.\These last questionnaire results haven't been too good.\I'm worried.\It'll be okay. response:	Ever since the time when five were selected at once, they've only chosen three at most.
context: or simply rejected and discarded.\Works that are given a yes\become new series.\To make room for them, editors also decide which series will be ended.\These last questionnaire results haven't been too good.\I'm worried.\It'll be okay.\Ever since the time when five were selected at once, they've only chosen three at most. response:	You sure are carefree.
context: Works that are given a yes\become new series.\To make room for them, editors also decide which series will be ended.\These last questionnaire results haven't been too good.\I'm worried.\It'll be okay.\Ever since the time when five were selected at once, they've only chosen three at most.\You sure are carefree. response:	Really? If you think about it...
context: become new series.\To make room for them, editors also decide which series will be ended.\These last questionnaire results haven't been too good.\I'm worried.\It'll be okay.\Ever since the time when five were selected at once, they've only chosen three at most.\You sure are carefree.\Really? If you think about it... response:	Apart from the already popular authors,
context: To make room for them, editors also decide which series will be ended.\These last questionnaire results haven't been too good.\I'm worried.\It'll be okay.\Ever since the time when five were selected at once, they've only chosen three at most.\You sure are carefree.\Really? If you think about it...\Apart from the already popular authors, response:	lately they're being more critical than ever,
context: These last questionnaire results haven't been too good.\I'm worried.\It'll be okay.\Ever since the time when five were selected at once, they've only chosen three at most.\You sure are carefree.\Really? If you think about it...\Apart from the already popular authors,\lately they're being more critical than ever, response:	even towards serialization-level mangas.
context: I'm worried.\It'll be okay.\Ever since the time when five were selected at once, they've only chosen three at most.\You sure are carefree.\Really? If you think about it...\Apart from the already popular authors,\lately they're being more critical than ever,\even towards serialization-level mangas. response:	Happy crow!
context: It'll be okay.\Ever since the time when five were selected at once, they've only chosen three at most.\You sure are carefree.\Really? If you think about it...\Apart from the already popular authors,\lately they're being more critical than ever,\even towards serialization-level mangas.\Happy crow! response:	I guess they're already underway by now.
context: Ever since the time when five were selected at once, they've only chosen three at most.\You sure are carefree.\Really? If you think about it...\Apart from the already popular authors,\lately they're being more critical than ever,\even towards serialization-level mangas.\Happy crow!\I guess they're already underway by now. response:	Yeah.
context: You sure are carefree.\Really? If you think about it...\Apart from the already popular authors,\lately they're being more critical than ever,\even towards serialization-level mangas.\Happy crow!\I guess they're already underway by now.\Yeah. response:	Yuujirou-san told me earlier...
context: Really? If you think about it...\Apart from the already popular authors,\lately they're being more critical than ever,\even towards serialization-level mangas.\Happy crow!\I guess they're already underway by now.\Yeah.\Yuujirou-san told me earlier... response:	that there are thirteen candidates for serialization at this meeting.
context: Apart from the already popular authors,\lately they're being more critical than ever,\even towards serialization-level mangas.\Happy crow!\I guess they're already underway by now.\Yeah.\Yuujirou-san told me earlier...\that there are thirteen candidates for serialization at this meeting. response:	And that usually at most two new series get serialized.
context: lately they're being more critical than ever,\even towards serialization-level mangas.\Happy crow!\I guess they're already underway by now.\Yeah.\Yuujirou-san told me earlier...\that there are thirteen candidates for serialization at this meeting.\And that usually at most two new series get serialized. response:	Maybe there will be more today.
context: even towards serialization-level mangas.\Happy crow!\I guess they're already underway by now.\Yeah.\Yuujirou-san told me earlier...\that there are thirteen candidates for serialization at this meeting.\And that usually at most two new series get serialized.\Maybe there will be more today. response:	Plus, four authors in it have previous experience being serialized.
context: Happy crow!\I guess they're already underway by now.\Yeah.\Yuujirou-san told me earlier...\that there are thirteen candidates for serialization at this meeting.\And that usually at most two new series get serialized.\Maybe there will be more today.\Plus, four authors in it have previous experience being serialized. response:	Even if a newcomer gets through, it's not gonna be more than one.
context: I guess they're already underway by now.\Yeah.\Yuujirou-san told me earlier...\that there are thirteen candidates for serialization at this meeting.\And that usually at most two new series get serialized.\Maybe there will be more today.\Plus, four authors in it have previous experience being serialized.\Even if a newcomer gets through, it's not gonna be more than one. response:	OOne?
context: Yeah.\Yuujirou-san told me earlier...\that there are thirteen candidates for serialization at this meeting.\And that usually at most two new series get serialized.\Maybe there will be more today.\Plus, four authors in it have previous experience being serialized.\Even if a newcomer gets through, it's not gonna be more than one.\OOne? response:	First sunrise!
context: Yuujirou-san told me earlier...\that there are thirteen candidates for serialization at this meeting.\And that usually at most two new series get serialized.\Maybe there will be more today.\Plus, four authors in it have previous experience being serialized.\Even if a newcomer gets through, it's not gonna be more than one.\OOne?\First sunrise! response:	Let me explain...
context: that there are thirteen candidates for serialization at this meeting.\And that usually at most two new series get serialized.\Maybe there will be more today.\Plus, four authors in it have previous experience being serialized.\Even if a newcomer gets through, it's not gonna be more than one.\OOne?\First sunrise!\Let me explain... response:	Whoever gets serialized, let's not hold any grudges, okay?
context: And that usually at most two new series get serialized.\Maybe there will be more today.\Plus, four authors in it have previous experience being serialized.\Even if a newcomer gets through, it's not gonna be more than one.\OOne?\First sunrise!\Let me explain...\Whoever gets serialized, let's not hold any grudges, okay? response:	OOkay.
context: Maybe there will be more today.\Plus, four authors in it have previous experience being serialized.\Even if a newcomer gets through, it's not gonna be more than one.\OOne?\First sunrise!\Let me explain...\Whoever gets serialized, let's not hold any grudges, okay?\OOkay. response:	Next is hideout door.
context: Plus, four authors in it have previous experience being serialized.\Even if a newcomer gets through, it's not gonna be more than one.\OOne?\First sunrise!\Let me explain...\Whoever gets serialized, let's not hold any grudges, okay?\OOkay.\Next is hideout door. response:	I'm the editor in charge of this work.
context: Even if a newcomer gets through, it's not gonna be more than one.\OOne?\First sunrise!\Let me explain...\Whoever gets serialized, let's not hold any grudges, okay?\OOkay.\Next is hideout door.\I'm the editor in charge of this work. response:	After the results from the Golden Future Cup, I had them write serialization names.
context: OOne?\First sunrise!\Let me explain...\Whoever gets serialized, let's not hold any grudges, okay?\OOkay.\Next is hideout door.\I'm the editor in charge of this work.\After the results from the Golden Future Cup, I had them write serialization names. response:	The original story author, Aoki, is a third year university student, but...
context: First sunrise!\Let me explain...\Whoever gets serialized, let's not hold any grudges, okay?\OOkay.\Next is hideout door.\I'm the editor in charge of this work.\After the results from the Golden Future Cup, I had them write serialization names.\The original story author, Aoki, is a third year university student, but... response:	she had three one-shots published in shoujo magazines over a relatively short period of time.
context: Let me explain...\Whoever gets serialized, let's not hold any grudges, okay?\OOkay.\Next is hideout door.\I'm the editor in charge of this work.\After the results from the Golden Future Cup, I had them write serialization names.\The original story author, Aoki, is a third year university student, but...\she had three one-shots published in shoujo magazines over a relatively short period of time. response:	She can also produce original stories in the name form very efficiently.
context: Whoever gets serialized, let's not hold any grudges, okay?\OOkay.\Next is hideout door.\I'm the editor in charge of this work.\After the results from the Golden Future Cup, I had them write serialization names.\The original story author, Aoki, is a third year university student, but...\she had three one-shots published in shoujo magazines over a relatively short period of time.\She can also produce original stories in the name form very efficiently. response:	I'm sure many of you know about the artist Nakai,
context: OOkay.\Next is hideout door.\I'm the editor in charge of this work.\After the results from the Golden Future Cup, I had them write serialization names.\The original story author, Aoki, is a third year university student, but...\she had three one-shots published in shoujo magazines over a relatively short period of time.\She can also produce original stories in the name form very efficiently.\I'm sure many of you know about the artist Nakai, response:	who's been an assistant to various senseis over the past 12 years.
context: Next is hideout door.\I'm the editor in charge of this work.\After the results from the Golden Future Cup, I had them write serialization names.\The original story author, Aoki, is a third year university student, but...\she had three one-shots published in shoujo magazines over a relatively short period of time.\She can also produce original stories in the name form very efficiently.\I'm sure many of you know about the artist Nakai,\who's been an assistant to various senseis over the past 12 years. response:	You could call him a veteran who has been supporting Jack from behind the scenes.
