context: Mr. Ouryou, your daughter is here to see you again. response:	Isn't that nice?
context: Mr. Ouryou, your daughter is here to see you again.\Isn't that nice? response:	I'm sorry, but your father knows you're here and is happy to see you too.
context: Mr. Ouryou, your daughter is here to see you again.\Isn't that nice?\I'm sorry, but your father knows you're here and is happy to see you too. response:	Please don't get discouraged.
context: Mr. Ouryou, your daughter is here to see you again.\Isn't that nice?\I'm sorry, but your father knows you're here and is happy to see you too.\Please don't get discouraged. response:	Yes, of course.
context: Mr. Ouryou, your daughter is here to see you again.\Isn't that nice?\I'm sorry, but your father knows you're here and is happy to see you too.\Please don't get discouraged.\Yes, of course. response:	That's a lie. Everyone here is the same.
context: Mr. Ouryou, your daughter is here to see you again.\Isn't that nice?\I'm sorry, but your father knows you're here and is happy to see you too.\Please don't get discouraged.\Yes, of course.\That's a lie. Everyone here is the same. response:	They don't notice anything. They don't say anything.
context: Mr. Ouryou, your daughter is here to see you again.\Isn't that nice?\I'm sorry, but your father knows you're here and is happy to see you too.\Please don't get discouraged.\Yes, of course.\That's a lie. Everyone here is the same.\They don't notice anything. They don't say anything. response:	They don't think anything.
context: Mr. Ouryou, your daughter is here to see you again.\Isn't that nice?\I'm sorry, but your father knows you're here and is happy to see you too.\Please don't get discouraged.\Yes, of course.\That's a lie. Everyone here is the same.\They don't notice anything. They don't say anything.\They don't think anything. response:	They are mere shells of their former selves,
context: Isn't that nice?\I'm sorry, but your father knows you're here and is happy to see you too.\Please don't get discouraged.\Yes, of course.\That's a lie. Everyone here is the same.\They don't notice anything. They don't say anything.\They don't think anything.\They are mere shells of their former selves, response:	soon to disappear like the melting snow.
context: I'm sorry, but your father knows you're here and is happy to see you too.\Please don't get discouraged.\Yes, of course.\That's a lie. Everyone here is the same.\They don't notice anything. They don't say anything.\They don't think anything.\They are mere shells of their former selves,\soon to disappear like the melting snow. response:	This epidemic leads innocent people to their deaths,
context: Please don't get discouraged.\Yes, of course.\That's a lie. Everyone here is the same.\They don't notice anything. They don't say anything.\They don't think anything.\They are mere shells of their former selves,\soon to disappear like the melting snow.\This epidemic leads innocent people to their deaths, response:	and yet, its pathogen will never be eradicated.
context: Yes, of course.\That's a lie. Everyone here is the same.\They don't notice anything. They don't say anything.\They don't think anything.\They are mere shells of their former selves,\soon to disappear like the melting snow.\This epidemic leads innocent people to their deaths,\and yet, its pathogen will never be eradicated. response:	This is the disease called serenity,
context: That's a lie. Everyone here is the same.\They don't notice anything. They don't say anything.\They don't think anything.\They are mere shells of their former selves,\soon to disappear like the melting snow.\This epidemic leads innocent people to their deaths,\and yet, its pathogen will never be eradicated.\This is the disease called serenity, response:	a form of death that people have wished for.
context: They don't notice anything. They don't say anything.\They don't think anything.\They are mere shells of their former selves,\soon to disappear like the melting snow.\This epidemic leads innocent people to their deaths,\and yet, its pathogen will never be eradicated.\This is the disease called serenity,\a form of death that people have wished for. response:	My head is full of things
context: They don't think anything.\They are mere shells of their former selves,\soon to disappear like the melting snow.\This epidemic leads innocent people to their deaths,\and yet, its pathogen will never be eradicated.\This is the disease called serenity,\a form of death that people have wished for.\My head is full of things response:	My head is full of things
context: They are mere shells of their former selves,\soon to disappear like the melting snow.\This epidemic leads innocent people to their deaths,\and yet, its pathogen will never be eradicated.\This is the disease called serenity,\a form of death that people have wished for.\My head is full of things\My head is full of things response:	that I can never tell anybody of
context: soon to disappear like the melting snow.\This epidemic leads innocent people to their deaths,\and yet, its pathogen will never be eradicated.\This is the disease called serenity,\a form of death that people have wished for.\My head is full of things\My head is full of things\that I can never tell anybody of response:	that I can never tell anybody of
context: This epidemic leads innocent people to their deaths,\and yet, its pathogen will never be eradicated.\This is the disease called serenity,\a form of death that people have wished for.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of response:	In this perfect world
context: and yet, its pathogen will never be eradicated.\This is the disease called serenity,\a form of death that people have wished for.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world response:	In this perfect world
context: This is the disease called serenity,\a form of death that people have wished for.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world response:	I roam, a lost being
context: a form of death that people have wished for.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being response:	I roam, a lost being
context: My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being response:	This world is impossibly hard on me
context: My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me response:	This world is impossibly hard on me
context: that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me response:	It's an illusion that plays out before my eyes
context: that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes response:	It's an illusion that plays out before my eyes
context: In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes response:	Can I find its faults?
context: In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults? response:	Can I find its faults?
context: I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults? response:	Plastic, all is plastic
context: I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic response:	Plastic, all is plastic
