context: If you keep adding all that extra stuff, you'll never get it right. response:	Jasminka, can't you take this more seriously?
context: If you keep adding all that extra stuff, you'll never get it right.\Jasminka, can't you take this more seriously? response:	Besides, anything you touch is guaranteed to fail.
context: If you keep adding all that extra stuff, you'll never get it right.\Jasminka, can't you take this more seriously?\Besides, anything you touch is guaranteed to fail. response:	I'm saying a dunce like you has no right to give anyone a talking to.
context: If you keep adding all that extra stuff, you'll never get it right.\Jasminka, can't you take this more seriously?\Besides, anything you touch is guaranteed to fail.\I'm saying a dunce like you has no right to give anyone a talking to. response:	I'm saying it's pointless for a dunce to get so worked up.
context: If you keep adding all that extra stuff, you'll never get it right.\Jasminka, can't you take this more seriously?\Besides, anything you touch is guaranteed to fail.\I'm saying a dunce like you has no right to give anyone a talking to.\I'm saying it's pointless for a dunce to get so worked up. response:	You're the dunce, Amanda!
context: If you keep adding all that extra stuff, you'll never get it right.\Jasminka, can't you take this more seriously?\Besides, anything you touch is guaranteed to fail.\I'm saying a dunce like you has no right to give anyone a talking to.\I'm saying it's pointless for a dunce to get so worked up.\You're the dunce, Amanda! response:	I just gave you a little attitude adjustment.
context: If you keep adding all that extra stuff, you'll never get it right.\Jasminka, can't you take this more seriously?\Besides, anything you touch is guaranteed to fail.\I'm saying a dunce like you has no right to give anyone a talking to.\I'm saying it's pointless for a dunce to get so worked up.\You're the dunce, Amanda!\I just gave you a little attitude adjustment. response:	I just kindly adjusted your attitude a little.
context: If you keep adding all that extra stuff, you'll never get it right.\Jasminka, can't you take this more seriously?\Besides, anything you touch is guaranteed to fail.\I'm saying a dunce like you has no right to give anyone a talking to.\I'm saying it's pointless for a dunce to get so worked up.\You're the dunce, Amanda!\I just gave you a little attitude adjustment.\I just kindly adjusted your attitude a little. response:	I was just kindly adjusting your posture.
context: Jasminka, can't you take this more seriously?\Besides, anything you touch is guaranteed to fail.\I'm saying a dunce like you has no right to give anyone a talking to.\I'm saying it's pointless for a dunce to get so worked up.\You're the dunce, Amanda!\I just gave you a little attitude adjustment.\I just kindly adjusted your attitude a little.\I was just kindly adjusting your posture. response:	As if you can lecture anyone on their attitude!
context: Besides, anything you touch is guaranteed to fail.\I'm saying a dunce like you has no right to give anyone a talking to.\I'm saying it's pointless for a dunce to get so worked up.\You're the dunce, Amanda!\I just gave you a little attitude adjustment.\I just kindly adjusted your attitude a little.\I was just kindly adjusting your posture.\As if you can lecture anyone on their attitude! response:	You ain't got the right to lecture people on their posture.
context: I'm saying a dunce like you has no right to give anyone a talking to.\I'm saying it's pointless for a dunce to get so worked up.\You're the dunce, Amanda!\I just gave you a little attitude adjustment.\I just kindly adjusted your attitude a little.\I was just kindly adjusting your posture.\As if you can lecture anyone on their attitude!\You ain't got the right to lecture people on their posture. response:	You've just got a grudge because you lost the race!
context: I'm saying it's pointless for a dunce to get so worked up.\You're the dunce, Amanda!\I just gave you a little attitude adjustment.\I just kindly adjusted your attitude a little.\I was just kindly adjusting your posture.\As if you can lecture anyone on their attitude!\You ain't got the right to lecture people on their posture.\You've just got a grudge because you lost the race! response:	Huh?! No, I'm not!
