context: I can't find the will to do anything. response:	It's summer.
context: I can't find the will to do anything.\It's summer. response:	There should be plenty to do.
context: I can't find the will to do anything.\It's summer.\There should be plenty to do. response:	She only needed to be an apprentice as a pretense.
context: I can't find the will to do anything.\It's summer.\There should be plenty to do.\She only needed to be an apprentice as a pretense. response:	So I bought her without much thought, and I observed her without much thought.
context: I can't find the will to do anything.\It's summer.\There should be plenty to do.\She only needed to be an apprentice as a pretense.\So I bought her without much thought, and I observed her without much thought. response:	I didn't think I'd need to do much more.
context: I can't find the will to do anything.\It's summer.\There should be plenty to do.\She only needed to be an apprentice as a pretense.\So I bought her without much thought, and I observed her without much thought.\I didn't think I'd need to do much more. response:	She was quite unusual,
context: I can't find the will to do anything.\It's summer.\There should be plenty to do.\She only needed to be an apprentice as a pretense.\So I bought her without much thought, and I observed her without much thought.\I didn't think I'd need to do much more.\She was quite unusual, response:	and she was surprisingly quick to warm up to me.
context: I can't find the will to do anything.\It's summer.\There should be plenty to do.\She only needed to be an apprentice as a pretense.\So I bought her without much thought, and I observed her without much thought.\I didn't think I'd need to do much more.\She was quite unusual,\and she was surprisingly quick to warm up to me. response:	But...
context: It's summer.\There should be plenty to do.\She only needed to be an apprentice as a pretense.\So I bought her without much thought, and I observed her without much thought.\I didn't think I'd need to do much more.\She was quite unusual,\and she was surprisingly quick to warm up to me.\But... response:	She doesn't speak much.
context: There should be plenty to do.\She only needed to be an apprentice as a pretense.\So I bought her without much thought, and I observed her without much thought.\I didn't think I'd need to do much more.\She was quite unusual,\and she was surprisingly quick to warm up to me.\But...\She doesn't speak much. response:	Seeing her that way, I'm filled with two indescribable sensations.
context: She only needed to be an apprentice as a pretense.\So I bought her without much thought, and I observed her without much thought.\I didn't think I'd need to do much more.\She was quite unusual,\and she was surprisingly quick to warm up to me.\But...\She doesn't speak much.\Seeing her that way, I'm filled with two indescribable sensations. response:	Elias...
context: So I bought her without much thought, and I observed her without much thought.\I didn't think I'd need to do much more.\She was quite unusual,\and she was surprisingly quick to warm up to me.\But...\She doesn't speak much.\Seeing her that way, I'm filled with two indescribable sensations.\Elias... response:	I was asleep.
context: I didn't think I'd need to do much more.\She was quite unusual,\and she was surprisingly quick to warm up to me.\But...\She doesn't speak much.\Seeing her that way, I'm filled with two indescribable sensations.\Elias...\I was asleep. response:	It's done?
context: She was quite unusual,\and she was surprisingly quick to warm up to me.\But...\She doesn't speak much.\Seeing her that way, I'm filled with two indescribable sensations.\Elias...\I was asleep.\It's done? response:	Is it done?
context: and she was surprisingly quick to warm up to me.\But...\She doesn't speak much.\Seeing her that way, I'm filled with two indescribable sensations.\Elias...\I was asleep.\It's done?\Is it done? response:	Lindel-san.
context: But...\She doesn't speak much.\Seeing her that way, I'm filled with two indescribable sensations.\Elias...\I was asleep.\It's done?\Is it done?\Lindel-san. response:	Then let's add the final touches.
context: She doesn't speak much.\Seeing her that way, I'm filled with two indescribable sensations.\Elias...\I was asleep.\It's done?\Is it done?\Lindel-san.\Then let's add the final touches. response:	You become sleepy because you've unknowingly been using your magic.
context: Seeing her that way, I'm filled with two indescribable sensations.\Elias...\I was asleep.\It's done?\Is it done?\Lindel-san.\Then let's add the final touches.\You become sleepy because you've unknowingly been using your magic. response:	The things we make are imbued with magic.
context: Elias...\I was asleep.\It's done?\Is it done?\Lindel-san.\Then let's add the final touches.\You become sleepy because you've unknowingly been using your magic.\The things we make are imbued with magic. response:	Ainsworth should have taught you these things.
context: I was asleep.\It's done?\Is it done?\Lindel-san.\Then let's add the final touches.\You become sleepy because you've unknowingly been using your magic.\The things we make are imbued with magic.\Ainsworth should have taught you these things. response:	It's because I can't ask him.
context: It's done?\Is it done?\Lindel-san.\Then let's add the final touches.\You become sleepy because you've unknowingly been using your magic.\The things we make are imbued with magic.\Ainsworth should have taught you these things.\It's because I can't ask him. response:	I don't like giving him trouble.
context: Is it done?\Lindel-san.\Then let's add the final touches.\You become sleepy because you've unknowingly been using your magic.\The things we make are imbued with magic.\Ainsworth should have taught you these things.\It's because I can't ask him.\I don't like giving him trouble. response:	Taking care of youngsters doesn't even count as trouble.
context: Lindel-san.\Then let's add the final touches.\You become sleepy because you've unknowingly been using your magic.\The things we make are imbued with magic.\Ainsworth should have taught you these things.\It's because I can't ask him.\I don't like giving him trouble.\Taking care of youngsters doesn't even count as trouble. response:	You have no idea how much of a pain in the ass he's been.
context: Then let's add the final touches.\You become sleepy because you've unknowingly been using your magic.\The things we make are imbued with magic.\Ainsworth should have taught you these things.\It's because I can't ask him.\I don't like giving him trouble.\Taking care of youngsters doesn't even count as trouble.\You have no idea how much of a pain in the ass he's been. response:	Years went by, but he still was terrible at skiing, his soup was always burnt,
