context: Takeo sometimes puts other people's feelings before his own, response:	because he just wants the other person to be happy...
context: Takeo sometimes puts other people's feelings before his own,\because he just wants the other person to be happy... response:	I think that was the first time I've ever screamed.
context: Takeo sometimes puts other people's feelings before his own,\because he just wants the other person to be happy...\I think that was the first time I've ever screamed. response:	You okay?
context: Takeo sometimes puts other people's feelings before his own,\because he just wants the other person to be happy...\I think that was the first time I've ever screamed.\You okay? response:	I'm fine.
context: Takeo sometimes puts other people's feelings before his own,\because he just wants the other person to be happy...\I think that was the first time I've ever screamed.\You okay?\I'm fine. response:	I'm home.
context: Takeo sometimes puts other people's feelings before his own,\because he just wants the other person to be happy...\I think that was the first time I've ever screamed.\You okay?\I'm fine.\I'm home. response:	My Heart
context: Takeo sometimes puts other people's feelings before his own,\because he just wants the other person to be happy...\I think that was the first time I've ever screamed.\You okay?\I'm fine.\I'm home.\My Heart response:	My cheap, plastic umbrella wouldn't have kept her dry, anyway.
context: Takeo sometimes puts other people's feelings before his own,\because he just wants the other person to be happy...\I think that was the first time I've ever screamed.\You okay?\I'm fine.\I'm home.\My Heart\My cheap, plastic umbrella wouldn't have kept her dry, anyway. response:	I'm happy for her.
context: because he just wants the other person to be happy...\I think that was the first time I've ever screamed.\You okay?\I'm fine.\I'm home.\My Heart\My cheap, plastic umbrella wouldn't have kept her dry, anyway.\I'm happy for her. response:	Yamato Rinko
context: I think that was the first time I've ever screamed.\You okay?\I'm fine.\I'm home.\My Heart\My cheap, plastic umbrella wouldn't have kept her dry, anyway.\I'm happy for her.\Yamato Rinko response:	Takeo-kun?
context: You okay?\I'm fine.\I'm home.\My Heart\My cheap, plastic umbrella wouldn't have kept her dry, anyway.\I'm happy for her.\Yamato Rinko\Takeo-kun? response:	Hey.
context: I'm fine.\I'm home.\My Heart\My cheap, plastic umbrella wouldn't have kept her dry, anyway.\I'm happy for her.\Yamato Rinko\Takeo-kun?\Hey. response:	Thanks for coming by today!
context: I'm home.\My Heart\My cheap, plastic umbrella wouldn't have kept her dry, anyway.\I'm happy for her.\Yamato Rinko\Takeo-kun?\Hey.\Thanks for coming by today! response:	No problem.
context: My Heart\My cheap, plastic umbrella wouldn't have kept her dry, anyway.\I'm happy for her.\Yamato Rinko\Takeo-kun?\Hey.\Thanks for coming by today!\No problem. response:	I thought I saw you in the city today.
context: My cheap, plastic umbrella wouldn't have kept her dry, anyway.\I'm happy for her.\Yamato Rinko\Takeo-kun?\Hey.\Thanks for coming by today!\No problem.\I thought I saw you in the city today. response:	Were you there?
