context: Misawa Batting Center response:	The Year Draws To A Close
context: Misawa Batting Center\The Year Draws To A Close response:	We accept point cards
context: Misawa Batting Center\The Year Draws To A Close\We accept point cards response:	Go-Goo
context: Misawa Batting Center\The Year Draws To A Close\We accept point cards\Go-Goo response:	Good evening...
context: Misawa Batting Center\The Year Draws To A Close\We accept point cards\Go-Goo\Good evening... response:	Haven't seen you in a while.
context: Misawa Batting Center\The Year Draws To A Close\We accept point cards\Go-Goo\Good evening...\Haven't seen you in a while. response:	What brings you here today?
context: Misawa Batting Center\The Year Draws To A Close\We accept point cards\Go-Goo\Good evening...\Haven't seen you in a while.\What brings you here today? response:	I-I came to see Sasayan-kun...
context: Misawa Batting Center\The Year Draws To A Close\We accept point cards\Go-Goo\Good evening...\Haven't seen you in a while.\What brings you here today?\I-I came to see Sasayan-kun... response:	Oh, Natsume-san.
context: The Year Draws To A Close\We accept point cards\Go-Goo\Good evening...\Haven't seen you in a while.\What brings you here today?\I-I came to see Sasayan-kun...\Oh, Natsume-san. response:	So many of them...
context: We accept point cards\Go-Goo\Good evening...\Haven't seen you in a while.\What brings you here today?\I-I came to see Sasayan-kun...\Oh, Natsume-san.\So many of them... response:	Sorry about making you come out here.
context: Go-Goo\Good evening...\Haven't seen you in a while.\What brings you here today?\I-I came to see Sasayan-kun...\Oh, Natsume-san.\So many of them...\Sorry about making you come out here. response:	No, it's okay.
context: Good evening...\Haven't seen you in a while.\What brings you here today?\I-I came to see Sasayan-kun...\Oh, Natsume-san.\So many of them...\Sorry about making you come out here.\No, it's okay. response:	I should have returned this sooner.
context: Haven't seen you in a while.\What brings you here today?\I-I came to see Sasayan-kun...\Oh, Natsume-san.\So many of them...\Sorry about making you come out here.\No, it's okay.\I should have returned this sooner. response:	I can be normal around Sasayan-kun.
context: What brings you here today?\I-I came to see Sasayan-kun...\Oh, Natsume-san.\So many of them...\Sorry about making you come out here.\No, it's okay.\I should have returned this sooner.\I can be normal around Sasayan-kun. response:	Natsume-san!
context: I-I came to see Sasayan-kun...\Oh, Natsume-san.\So many of them...\Sorry about making you come out here.\No, it's okay.\I should have returned this sooner.\I can be normal around Sasayan-kun.\Natsume-san! response:	He wants to talk to you!
context: Oh, Natsume-san.\So many of them...\Sorry about making you come out here.\No, it's okay.\I should have returned this sooner.\I can be normal around Sasayan-kun.\Natsume-san!\He wants to talk to you! response:	Stupid!
context: So many of them...\Sorry about making you come out here.\No, it's okay.\I should have returned this sooner.\I can be normal around Sasayan-kun.\Natsume-san!\He wants to talk to you!\Stupid! response:	Look at him!
context: Sorry about making you come out here.\No, it's okay.\I should have returned this sooner.\I can be normal around Sasayan-kun.\Natsume-san!\He wants to talk to you!\Stupid!\Look at him! response:	S-Sorry, Natsume-san.
