context: FUCK YOUR SHIT I AM A SHARK response:	So hot...
context: FUCK YOUR SHIT I AM A SHARK\So hot... response:	Jirou?
context: FUCK YOUR SHIT I AM A SHARK\So hot...\Jirou? response:	Konoe?
context: FUCK YOUR SHIT I AM A SHARK\So hot...\Jirou?\Konoe? response:	Want a drink?
context: FUCK YOUR SHIT I AM A SHARK\So hot...\Jirou?\Konoe?\Want a drink? response:	I sure do!
context: FUCK YOUR SHIT I AM A SHARK\So hot...\Jirou?\Konoe?\Want a drink?\I sure do! response:	Thank you!
context: FUCK YOUR SHIT I AM A SHARK\So hot...\Jirou?\Konoe?\Want a drink?\I sure do!\Thank you! response:	But what are you doing here?
context: FUCK YOUR SHIT I AM A SHARK\So hot...\Jirou?\Konoe?\Want a drink?\I sure do!\Thank you!\But what are you doing here? response:	Well, you see, there's something I have to tell you.
context: So hot...\Jirou?\Konoe?\Want a drink?\I sure do!\Thank you!\But what are you doing here?\Well, you see, there's something I have to tell you. response:	Tell me?
context: Jirou?\Konoe?\Want a drink?\I sure do!\Thank you!\But what are you doing here?\Well, you see, there's something I have to tell you.\Tell me? response:	Yeah...
context: Konoe?\Want a drink?\I sure do!\Thank you!\But what are you doing here?\Well, you see, there's something I have to tell you.\Tell me?\Yeah... response:	Let's elope!
context: Want a drink?\I sure do!\Thank you!\But what are you doing here?\Well, you see, there's something I have to tell you.\Tell me?\Yeah...\Let's elope! response:	What?!
context: I sure do!\Thank you!\But what are you doing here?\Well, you see, there's something I have to tell you.\Tell me?\Yeah...\Let's elope!\What?! response:	Elope?
context: Thank you!\But what are you doing here?\Well, you see, there's something I have to tell you.\Tell me?\Yeah...\Let's elope!\What?!\Elope? response:	I'm sure you're confused since this is out of the blue,
context: But what are you doing here?\Well, you see, there's something I have to tell you.\Tell me?\Yeah...\Let's elope!\What?!\Elope?\I'm sure you're confused since this is out of the blue, response:	But...
context: Well, you see, there's something I have to tell you.\Tell me?\Yeah...\Let's elope!\What?!\Elope?\I'm sure you're confused since this is out of the blue,\But... response:	I need Jirou!
context: Tell me?\Yeah...\Let's elope!\What?!\Elope?\I'm sure you're confused since this is out of the blue,\But...\I need Jirou! response:	Huh?
context: Yeah...\Let's elope!\What?!\Elope?\I'm sure you're confused since this is out of the blue,\But...\I need Jirou!\Huh? response:	It'll be all right.
context: Let's elope!\What?!\Elope?\I'm sure you're confused since this is out of the blue,\But...\I need Jirou!\Huh?\It'll be all right. response:	You'll just feel a little sleepy.
context: What?!\Elope?\I'm sure you're confused since this is out of the blue,\But...\I need Jirou!\Huh?\It'll be all right.\You'll just feel a little sleepy. response:	You...
context: Elope?\I'm sure you're confused since this is out of the blue,\But...\I need Jirou!\Huh?\It'll be all right.\You'll just feel a little sleepy.\You... response:	I'm sorry, Jirou.
context: I'm sure you're confused since this is out of the blue,\But...\I need Jirou!\Huh?\It'll be all right.\You'll just feel a little sleepy.\You...\I'm sorry, Jirou. response:	A butler must follow their master's orders.
