context: As I watched the ice guy, response:	I thought, I can't beat him!
context: As I watched the ice guy,\I thought, I can't beat him! response:	Damn it! Damn it, damn it!
context: As I watched the ice guy,\I thought, I can't beat him!\Damn it! Damn it, damn it! response:	Hey, you too, Deku!
context: As I watched the ice guy,\I thought, I can't beat him!\Damn it! Damn it, damn it!\Hey, you too, Deku! response:	I'm just...
context: As I watched the ice guy,\I thought, I can't beat him!\Damn it! Damn it, damn it!\Hey, you too, Deku!\I'm just... response:	I'm just getting started!
context: As I watched the ice guy,\I thought, I can't beat him!\Damn it! Damn it, damn it!\Hey, you too, Deku!\I'm just...\I'm just getting started! response:	You hear?
context: As I watched the ice guy,\I thought, I can't beat him!\Damn it! Damn it, damn it!\Hey, you too, Deku!\I'm just...\I'm just getting started!\You hear? response:	Here, I will become number one!
context: As I watched the ice guy,\I thought, I can't beat him!\Damn it! Damn it, damn it!\Hey, you too, Deku!\I'm just...\I'm just getting started!\You hear?\Here, I will become number one! response:	Midoriya.
context: I thought, I can't beat him!\Damn it! Damn it, damn it!\Hey, you too, Deku!\I'm just...\I'm just getting started!\You hear?\Here, I will become number one!\Midoriya. response:	I'm going to beat you.
context: Damn it! Damn it, damn it!\Hey, you too, Deku!\I'm just...\I'm just getting started!\You hear?\Here, I will become number one!\Midoriya.\I'm going to beat you. response:	I pledge-
context: Hey, you too, Deku!\I'm just...\I'm just getting started!\You hear?\Here, I will become number one!\Midoriya.\I'm going to beat you.\I pledge- response:	That I'll be number one.
context: I'm just...\I'm just getting started!\You hear?\Here, I will become number one!\Midoriya.\I'm going to beat you.\I pledge-\That I'll be number one. response:	Bastard, don't declare war to the wrong person!
context: I'm just getting started!\You hear?\Here, I will become number one!\Midoriya.\I'm going to beat you.\I pledge-\That I'll be number one.\Bastard, don't declare war to the wrong person! response:	Not yet!
context: You hear?\Here, I will become number one!\Midoriya.\I'm going to beat you.\I pledge-\That I'll be number one.\Bastard, don't declare war to the wrong person!\Not yet! response:	What?!
