context: Allow me to introduce a new student. response:	This is Ange Lucare from Incognia.
context: Allow me to introduce a new student.\This is Ange Lucare from Incognia. response:	Despite her humble upbringing, her grades have been nothing short of excellent,
context: Allow me to introduce a new student.\This is Ange Lucare from Incognia.\Despite her humble upbringing, her grades have been nothing short of excellent, response:	and she has been awarded a scholarship here at Queen's Mayfaire Academy.
context: Allow me to introduce a new student.\This is Ange Lucare from Incognia.\Despite her humble upbringing, her grades have been nothing short of excellent,\and she has been awarded a scholarship here at Queen's Mayfaire Academy. response:	I hope you will all learn from her example.
context: Allow me to introduce a new student.\This is Ange Lucare from Incognia.\Despite her humble upbringing, her grades have been nothing short of excellent,\and she has been awarded a scholarship here at Queen's Mayfaire Academy.\I hope you will all learn from her example. response:	Incognia?
context: Allow me to introduce a new student.\This is Ange Lucare from Incognia.\Despite her humble upbringing, her grades have been nothing short of excellent,\and she has been awarded a scholarship here at Queen's Mayfaire Academy.\I hope you will all learn from her example.\Incognia? response:	Where's that?
context: Allow me to introduce a new student.\This is Ange Lucare from Incognia.\Despite her humble upbringing, her grades have been nothing short of excellent,\and she has been awarded a scholarship here at Queen's Mayfaire Academy.\I hope you will all learn from her example.\Incognia?\Where's that? response:	You know, the colony...
context: Allow me to introduce a new student.\This is Ange Lucare from Incognia.\Despite her humble upbringing, her grades have been nothing short of excellent,\and she has been awarded a scholarship here at Queen's Mayfaire Academy.\I hope you will all learn from her example.\Incognia?\Where's that?\You know, the colony... response:	I'm... I'm Ange. I-I'm very pleased to meet you!
context: This is Ange Lucare from Incognia.\Despite her humble upbringing, her grades have been nothing short of excellent,\and she has been awarded a scholarship here at Queen's Mayfaire Academy.\I hope you will all learn from her example.\Incognia?\Where's that?\You know, the colony...\I'm... I'm Ange. I-I'm very pleased to meet you! response:	Aww, look at her!
context: Despite her humble upbringing, her grades have been nothing short of excellent,\and she has been awarded a scholarship here at Queen's Mayfaire Academy.\I hope you will all learn from her example.\Incognia?\Where's that?\You know, the colony...\I'm... I'm Ange. I-I'm very pleased to meet you!\Aww, look at her! response:	She's so cute!
context: and she has been awarded a scholarship here at Queen's Mayfaire Academy.\I hope you will all learn from her example.\Incognia?\Where's that?\You know, the colony...\I'm... I'm Ange. I-I'm very pleased to meet you!\Aww, look at her!\She's so cute! response:	What a funny girl!
context: I hope you will all learn from her example.\Incognia?\Where's that?\You know, the colony...\I'm... I'm Ange. I-I'm very pleased to meet you!\Aww, look at her!\She's so cute!\What a funny girl! response:	Do you really think this Operation: Changeling is possible?
context: Incognia?\Where's that?\You know, the colony...\I'm... I'm Ange. I-I'm very pleased to meet you!\Aww, look at her!\She's so cute!\What a funny girl!\Do you really think this Operation: Changeling is possible? response:	Switching an enemy nation's princess with one of our own spies...
context: Where's that?\You know, the colony...\I'm... I'm Ange. I-I'm very pleased to meet you!\Aww, look at her!\She's so cute!\What a funny girl!\Do you really think this Operation: Changeling is possible?\Switching an enemy nation's princess with one of our own spies... response:	We have authorization from the Defense Committee.
