context: Oh, no! Nirvana's started to move! response:	Plus, Natsu and I are rockin' matching outfits for some reason.
context: Oh, no! Nirvana's started to move!\Plus, Natsu and I are rockin' matching outfits for some reason. response:	I can hear you!
context: Oh, no! Nirvana's started to move!\Plus, Natsu and I are rockin' matching outfits for some reason.\I can hear you! response:	Natsu can't handle transportation, so he can't even stand on it.
context: Oh, no! Nirvana's started to move!\Plus, Natsu and I are rockin' matching outfits for some reason.\I can hear you!\Natsu can't handle transportation, so he can't even stand on it. response:	I can hear you!
context: Oh, no! Nirvana's started to move!\Plus, Natsu and I are rockin' matching outfits for some reason.\I can hear you!\Natsu can't handle transportation, so he can't even stand on it.\I can hear you! response:	I gotta do something to stop this thing!
context: Oh, no! Nirvana's started to move!\Plus, Natsu and I are rockin' matching outfits for some reason.\I can hear you!\Natsu can't handle transportation, so he can't even stand on it.\I can hear you!\I gotta do something to stop this thing! response:	I can hear you!
context: Oh, no! Nirvana's started to move!\Plus, Natsu and I are rockin' matching outfits for some reason.\I can hear you!\Natsu can't handle transportation, so he can't even stand on it.\I can hear you!\I gotta do something to stop this thing!\I can hear you! response:	Huh? Look at that, Natsu!
context: Oh, no! Nirvana's started to move!\Plus, Natsu and I are rockin' matching outfits for some reason.\I can hear you!\Natsu can't handle transportation, so he can't even stand on it.\I can hear you!\I gotta do something to stop this thing!\I can hear you!\Huh? Look at that, Natsu! response:	See? The Magic Circle is back to normal.
context: Plus, Natsu and I are rockin' matching outfits for some reason.\I can hear you!\Natsu can't handle transportation, so he can't even stand on it.\I can hear you!\I gotta do something to stop this thing!\I can hear you!\Huh? Look at that, Natsu!\See? The Magic Circle is back to normal. response:	I thought your last attack erased it...
context: I can hear you!\Natsu can't handle transportation, so he can't even stand on it.\I can hear you!\I gotta do something to stop this thing!\I can hear you!\Huh? Look at that, Natsu!\See? The Magic Circle is back to normal.\I thought your last attack erased it... response:	Which means that unless we beat up Mr. Smarty Pants, it's no use.
context: Natsu can't handle transportation, so he can't even stand on it.\I can hear you!\I gotta do something to stop this thing!\I can hear you!\Huh? Look at that, Natsu!\See? The Magic Circle is back to normal.\I thought your last attack erased it...\Which means that unless we beat up Mr. Smarty Pants, it's no use. response:	I can hear you! I won't let you.
