context: This arrow is very precious. It's the only one there is. response:	It's my precious objective.
context: This arrow is very precious. It's the only one there is.\It's my precious objective. response:	I just have to retrieve it.
context: This arrow is very precious. It's the only one there is.\It's my precious objective.\I just have to retrieve it. response:	Don't you dare pull out that arrow! It'll make him bleed even more!
context: This arrow is very precious. It's the only one there is.\It's my precious objective.\I just have to retrieve it.\Don't you dare pull out that arrow! It'll make him bleed even more! response:	Because my little brother's an idiot, I have to kill you now.
context: This arrow is very precious. It's the only one there is.\It's my precious objective.\I just have to retrieve it.\Don't you dare pull out that arrow! It'll make him bleed even more!\Because my little brother's an idiot, I have to kill you now. response:	Which means it won't be good if something happens to this arrow.
context: This arrow is very precious. It's the only one there is.\It's my precious objective.\I just have to retrieve it.\Don't you dare pull out that arrow! It'll make him bleed even more!\Because my little brother's an idiot, I have to kill you now.\Which means it won't be good if something happens to this arrow. response:	If the lady next door happens to see it, or if it snaps in half, that'd be bad news.
context: This arrow is very precious. It's the only one there is.\It's my precious objective.\I just have to retrieve it.\Don't you dare pull out that arrow! It'll make him bleed even more!\Because my little brother's an idiot, I have to kill you now.\Which means it won't be good if something happens to this arrow.\If the lady next door happens to see it, or if it snaps in half, that'd be bad news. response:	I'm a very methodical type, you see,
context: This arrow is very precious. It's the only one there is.\It's my precious objective.\I just have to retrieve it.\Don't you dare pull out that arrow! It'll make him bleed even more!\Because my little brother's an idiot, I have to kill you now.\Which means it won't be good if something happens to this arrow.\If the lady next door happens to see it, or if it snaps in half, that'd be bad news.\I'm a very methodical type, you see, response:	so I want to make sure I put the arrow away properly.
context: It's my precious objective.\I just have to retrieve it.\Don't you dare pull out that arrow! It'll make him bleed even more!\Because my little brother's an idiot, I have to kill you now.\Which means it won't be good if something happens to this arrow.\If the lady next door happens to see it, or if it snaps in half, that'd be bad news.\I'm a very methodical type, you see,\so I want to make sure I put the arrow away properly. response:	When you're listening to CDs, you properly put the first one away in its case
context: I just have to retrieve it.\Don't you dare pull out that arrow! It'll make him bleed even more!\Because my little brother's an idiot, I have to kill you now.\Which means it won't be good if something happens to this arrow.\If the lady next door happens to see it, or if it snaps in half, that'd be bad news.\I'm a very methodical type, you see,\so I want to make sure I put the arrow away properly.\When you're listening to CDs, you properly put the first one away in its case response:	before listening to the second one, right?
context: Don't you dare pull out that arrow! It'll make him bleed even more!\Because my little brother's an idiot, I have to kill you now.\Which means it won't be good if something happens to this arrow.\If the lady next door happens to see it, or if it snaps in half, that'd be bad news.\I'm a very methodical type, you see,\so I want to make sure I put the arrow away properly.\When you're listening to CDs, you properly put the first one away in its case\before listening to the second one, right? response:	Everyone's like that.
context: Because my little brother's an idiot, I have to kill you now.\Which means it won't be good if something happens to this arrow.\If the lady next door happens to see it, or if it snaps in half, that'd be bad news.\I'm a very methodical type, you see,\so I want to make sure I put the arrow away properly.\When you're listening to CDs, you properly put the first one away in its case\before listening to the second one, right?\Everyone's like that. response:	I'm like that, too.
