context: I'm sorry. I mustn't go with you. response:	We would run and run, but to where?
context: I'm sorry. I mustn't go with you.\We would run and run, but to where? response:	There is no place that is safe for us.
context: I'm sorry. I mustn't go with you.\We would run and run, but to where?\There is no place that is safe for us. response:	That's...
context: I'm sorry. I mustn't go with you.\We would run and run, but to where?\There is no place that is safe for us.\That's... response:	I am glad that you came for me.
context: I'm sorry. I mustn't go with you.\We would run and run, but to where?\There is no place that is safe for us.\That's...\I am glad that you came for me. response:	But there is no path ahead of us to travel down yet.
context: I'm sorry. I mustn't go with you.\We would run and run, but to where?\There is no place that is safe for us.\That's...\I am glad that you came for me.\But there is no path ahead of us to travel down yet. response:	Thank you. This is not a time to attempt to do too much.
context: I'm sorry. I mustn't go with you.\We would run and run, but to where?\There is no place that is safe for us.\That's...\I am glad that you came for me.\But there is no path ahead of us to travel down yet.\Thank you. This is not a time to attempt to do too much. response:	Is it because of the snow?
context: I'm sorry. I mustn't go with you.\We would run and run, but to where?\There is no place that is safe for us.\That's...\I am glad that you came for me.\But there is no path ahead of us to travel down yet.\Thank you. This is not a time to attempt to do too much.\Is it because of the snow? response:	Lieselotte.
context: We would run and run, but to where?\There is no place that is safe for us.\That's...\I am glad that you came for me.\But there is no path ahead of us to travel down yet.\Thank you. This is not a time to attempt to do too much.\Is it because of the snow?\Lieselotte. response:	You have no one to blame but yourself.
context: There is no place that is safe for us.\That's...\I am glad that you came for me.\But there is no path ahead of us to travel down yet.\Thank you. This is not a time to attempt to do too much.\Is it because of the snow?\Lieselotte.\You have no one to blame but yourself. response:	It was you who betrayed us Magiuses.
context: That's...\I am glad that you came for me.\But there is no path ahead of us to travel down yet.\Thank you. This is not a time to attempt to do too much.\Is it because of the snow?\Lieselotte.\You have no one to blame but yourself.\It was you who betrayed us Magiuses. response:	I did not betray you.
context: I am glad that you came for me.\But there is no path ahead of us to travel down yet.\Thank you. This is not a time to attempt to do too much.\Is it because of the snow?\Lieselotte.\You have no one to blame but yourself.\It was you who betrayed us Magiuses.\I did not betray you. response:	I simply wanted to do the right thing.
context: But there is no path ahead of us to travel down yet.\Thank you. This is not a time to attempt to do too much.\Is it because of the snow?\Lieselotte.\You have no one to blame but yourself.\It was you who betrayed us Magiuses.\I did not betray you.\I simply wanted to do the right thing. response:	Module 77 has been targeted for attack?!
context: Thank you. This is not a time to attempt to do too much.\Is it because of the snow?\Lieselotte.\You have no one to blame but yourself.\It was you who betrayed us Magiuses.\I did not betray you.\I simply wanted to do the right thing.\Module 77 has been targeted for attack?! response:	Yes. A space-model Phantom is en route to the Moon.
context: Is it because of the snow?\Lieselotte.\You have no one to blame but yourself.\It was you who betrayed us Magiuses.\I did not betray you.\I simply wanted to do the right thing.\Module 77 has been targeted for attack?!\Yes. A space-model Phantom is en route to the Moon. response:	But the Moon is neutral!
context: Lieselotte.\You have no one to blame but yourself.\It was you who betrayed us Magiuses.\I did not betray you.\I simply wanted to do the right thing.\Module 77 has been targeted for attack?!\Yes. A space-model Phantom is en route to the Moon.\But the Moon is neutral! response:	Yeah, but these guys attacked JIOR, and we were neutral, too.
context: You have no one to blame but yourself.\It was you who betrayed us Magiuses.\I did not betray you.\I simply wanted to do the right thing.\Module 77 has been targeted for attack?!\Yes. A space-model Phantom is en route to the Moon.\But the Moon is neutral!\Yeah, but these guys attacked JIOR, and we were neutral, too. response:	Let's go back to the Moon! Module 77 is completely defenseless!
