context: Where did he go? response:	Behind you, Butta!
context: Where did he go?\Behind you, Butta! response:	What!?
context: Where did he go?\Behind you, Butta!\What!? response:	Yo.
context: Where did he go?\Behind you, Butta!\What!?\Yo. response:	H- how did you get behind me!?
context: Where did he go?\Behind you, Butta!\What!?\Yo.\H- how did you get behind me!? response:	Behind me, who prides himself on being the fastest in the universe!
context: Where did he go?\Behind you, Butta!\What!?\Yo.\H- how did you get behind me!?\Behind me, who prides himself on being the fastest in the universe! response:	Then maybe you're second-fastest in the universe, ain't you?
context: Where did he go?\Behind you, Butta!\What!?\Yo.\H- how did you get behind me!?\Behind me, who prides himself on being the fastest in the universe!\Then maybe you're second-fastest in the universe, ain't you? response:	H - how can this be?
context: Where did he go?\Behind you, Butta!\What!?\Yo.\H- how did you get behind me!?\Behind me, who prides himself on being the fastest in the universe!\Then maybe you're second-fastest in the universe, ain't you?\H - how can this be? response:	Not only did he repel my Crusher Ball, he managed to slip behind Butta!
context: Behind you, Butta!\What!?\Yo.\H- how did you get behind me!?\Behind me, who prides himself on being the fastest in the universe!\Then maybe you're second-fastest in the universe, ain't you?\H - how can this be?\Not only did he repel my Crusher Ball, he managed to slip behind Butta! response:	lt's as if l'm having a bad dream.
context: What!?\Yo.\H- how did you get behind me!?\Behind me, who prides himself on being the fastest in the universe!\Then maybe you're second-fastest in the universe, ain't you?\H - how can this be?\Not only did he repel my Crusher Ball, he managed to slip behind Butta!\lt's as if l'm having a bad dream. response:	Who are you!?
context: Yo.\H- how did you get behind me!?\Behind me, who prides himself on being the fastest in the universe!\Then maybe you're second-fastest in the universe, ain't you?\H - how can this be?\Not only did he repel my Crusher Ball, he managed to slip behind Butta!\lt's as if l'm having a bad dream.\Who are you!? response:	I am a Saiyan, who was raised on Earth... I guess.
context: H- how did you get behind me!?\Behind me, who prides himself on being the fastest in the universe!\Then maybe you're second-fastest in the universe, ain't you?\H - how can this be?\Not only did he repel my Crusher Ball, he managed to slip behind Butta!\lt's as if l'm having a bad dream.\Who are you!?\I am a Saiyan, who was raised on Earth... I guess. response:	Don't be ridiculous!
context: Behind me, who prides himself on being the fastest in the universe!\Then maybe you're second-fastest in the universe, ain't you?\H - how can this be?\Not only did he repel my Crusher Ball, he managed to slip behind Butta!\lt's as if l'm having a bad dream.\Who are you!?\I am a Saiyan, who was raised on Earth... I guess.\Don't be ridiculous! response:	How can a Saiyan have that kind of speed!?
