context: I do. response:	Nagato led us to the back of her apartment building.
context: I do.\Nagato led us to the back of her apartment building. response:	Oh, they all seem used to people.
context: I do.\Nagato led us to the back of her apartment building.\Oh, they all seem used to people. response:	Black cat, black cat...
context: I do.\Nagato led us to the back of her apartment building.\Oh, they all seem used to people.\Black cat, black cat... response:	Oh well. Let's use this one.
context: I do.\Nagato led us to the back of her apartment building.\Oh, they all seem used to people.\Black cat, black cat...\Oh well. Let's use this one. response:	And she's changed the set up again.
context: I do.\Nagato led us to the back of her apartment building.\Oh, they all seem used to people.\Black cat, black cat...\Oh well. Let's use this one.\And she's changed the set up again. response:	It's not black, but I guess we don't have a choice.
context: I do.\Nagato led us to the back of her apartment building.\Oh, they all seem used to people.\Black cat, black cat...\Oh well. Let's use this one.\And she's changed the set up again.\It's not black, but I guess we don't have a choice. response:	Okay, Yuki! This is your partner!
context: I do.\Nagato led us to the back of her apartment building.\Oh, they all seem used to people.\Black cat, black cat...\Oh well. Let's use this one.\And she's changed the set up again.\It's not black, but I guess we don't have a choice.\Okay, Yuki! This is your partner! response:	Be good friends!
context: Nagato led us to the back of her apartment building.\Oh, they all seem used to people.\Black cat, black cat...\Oh well. Let's use this one.\And she's changed the set up again.\It's not black, but I guess we don't have a choice.\Okay, Yuki! This is your partner!\Be good friends! response:	The Sigh of Haruhi Suzumiya V
context: Oh, they all seem used to people.\Black cat, black cat...\Oh well. Let's use this one.\And she's changed the set up again.\It's not black, but I guess we don't have a choice.\Okay, Yuki! This is your partner!\Be good friends!\The Sigh of Haruhi Suzumiya V response:	The Sigh of Haruhi Suzumiya V And so we started filming again.
context: Black cat, black cat...\Oh well. Let's use this one.\And she's changed the set up again.\It's not black, but I guess we don't have a choice.\Okay, Yuki! This is your partner!\Be good friends!\The Sigh of Haruhi Suzumiya V\The Sigh of Haruhi Suzumiya V And so we started filming again. response:	The Sigh of Haruhi Suzumiya V It looks like it doesn't matter where we shoot.
context: Oh well. Let's use this one.\And she's changed the set up again.\It's not black, but I guess we don't have a choice.\Okay, Yuki! This is your partner!\Be good friends!\The Sigh of Haruhi Suzumiya V\The Sigh of Haruhi Suzumiya V And so we started filming again.\The Sigh of Haruhi Suzumiya V It looks like it doesn't matter where we shoot. response:	It looks like it doesn't matter where we shoot.
context: And she's changed the set up again.\It's not black, but I guess we don't have a choice.\Okay, Yuki! This is your partner!\Be good friends!\The Sigh of Haruhi Suzumiya V\The Sigh of Haruhi Suzumiya V And so we started filming again.\The Sigh of Haruhi Suzumiya V It looks like it doesn't matter where we shoot.\It looks like it doesn't matter where we shoot. response:	Yuki! Attack Mikuru!
context: It's not black, but I guess we don't have a choice.\Okay, Yuki! This is your partner!\Be good friends!\The Sigh of Haruhi Suzumiya V\The Sigh of Haruhi Suzumiya V And so we started filming again.\The Sigh of Haruhi Suzumiya V It looks like it doesn't matter where we shoot.\It looks like it doesn't matter where we shoot.\Yuki! Attack Mikuru! response:	Take this...
context: Okay, Yuki! This is your partner!\Be good friends!\The Sigh of Haruhi Suzumiya V\The Sigh of Haruhi Suzumiya V And so we started filming again.\The Sigh of Haruhi Suzumiya V It looks like it doesn't matter where we shoot.\It looks like it doesn't matter where we shoot.\Yuki! Attack Mikuru!\Take this... response:	Okay, cut! Nice!
context: Be good friends!\The Sigh of Haruhi Suzumiya V\The Sigh of Haruhi Suzumiya V And so we started filming again.\The Sigh of Haruhi Suzumiya V It looks like it doesn't matter where we shoot.\It looks like it doesn't matter where we shoot.\Yuki! Attack Mikuru!\Take this...\Okay, cut! Nice! response:	We'll make that cat talk!
context: The Sigh of Haruhi Suzumiya V\The Sigh of Haruhi Suzumiya V And so we started filming again.\The Sigh of Haruhi Suzumiya V It looks like it doesn't matter where we shoot.\It looks like it doesn't matter where we shoot.\Yuki! Attack Mikuru!\Take this...\Okay, cut! Nice!\We'll make that cat talk! response:	He's a witch's cat, after all.
