context: Act 5 Bring Back Love response:	-Damn it! -Search thoroughly!
context: Act 5 Bring Back Love\-Damn it! -Search thoroughly! response:	They are not here.
context: Act 5 Bring Back Love\-Damn it! -Search thoroughly!\They are not here. response:	There is nobody here either.
context: Act 5 Bring Back Love\-Damn it! -Search thoroughly!\They are not here.\There is nobody here either. response:	The place is completely empty!
context: Act 5 Bring Back Love\-Damn it! -Search thoroughly!\They are not here.\There is nobody here either.\The place is completely empty! response:	What the hell is going on?!
context: Act 5 Bring Back Love\-Damn it! -Search thoroughly!\They are not here.\There is nobody here either.\The place is completely empty!\What the hell is going on?! response:	Commander, please come and look.
context: Act 5 Bring Back Love\-Damn it! -Search thoroughly!\They are not here.\There is nobody here either.\The place is completely empty!\What the hell is going on?!\Commander, please come and look. response:	What is it?!
context: Act 5 Bring Back Love\-Damn it! -Search thoroughly!\They are not here.\There is nobody here either.\The place is completely empty!\What the hell is going on?!\Commander, please come and look.\What is it?! response:	The well...
context: -Damn it! -Search thoroughly!\They are not here.\There is nobody here either.\The place is completely empty!\What the hell is going on?!\Commander, please come and look.\What is it?!\The well... response:	Wh-What is this smell?!
context: They are not here.\There is nobody here either.\The place is completely empty!\What the hell is going on?!\Commander, please come and look.\What is it?!\The well...\Wh-What is this smell?! response:	It's shit.
context: There is nobody here either.\The place is completely empty!\What the hell is going on?!\Commander, please come and look.\What is it?!\The well...\Wh-What is this smell?!\It's shit. response:	It looks like the Elves threw shit into the well.
context: The place is completely empty!\What the hell is going on?!\Commander, please come and look.\What is it?!\The well...\Wh-What is this smell?!\It's shit.\It looks like the Elves threw shit into the well. response:	There's also something strange...
context: What the hell is going on?!\Commander, please come and look.\What is it?!\The well...\Wh-What is this smell?!\It's shit.\It looks like the Elves threw shit into the well.\There's also something strange... response:	What?!
context: Commander, please come and look.\What is it?!\The well...\Wh-What is this smell?!\It's shit.\It looks like the Elves threw shit into the well.\There's also something strange...\What?! response:	Sir. The soil underneath the toilet's subfloor was dug up and it's gone.
context: What is it?!\The well...\Wh-What is this smell?!\It's shit.\It looks like the Elves threw shit into the well.\There's also something strange...\What?!\Sir. The soil underneath the toilet's subfloor was dug up and it's gone. response:	How the hell did that happen?! Is this Elven magic?
context: The well...\Wh-What is this smell?!\It's shit.\It looks like the Elves threw shit into the well.\There's also something strange...\What?!\Sir. The soil underneath the toilet's subfloor was dug up and it's gone.\How the hell did that happen?! Is this Elven magic? response:	What is going on?!
context: Wh-What is this smell?!\It's shit.\It looks like the Elves threw shit into the well.\There's also something strange...\What?!\Sir. The soil underneath the toilet's subfloor was dug up and it's gone.\How the hell did that happen?! Is this Elven magic?\What is going on?! response:	Where did they disappear to?!
context: It's shit.\It looks like the Elves threw shit into the well.\There's also something strange...\What?!\Sir. The soil underneath the toilet's subfloor was dug up and it's gone.\How the hell did that happen?! Is this Elven magic?\What is going on?!\Where did they disappear to?! response:	What is happening?!
context: It looks like the Elves threw shit into the well.\There's also something strange...\What?!\Sir. The soil underneath the toilet's subfloor was dug up and it's gone.\How the hell did that happen?! Is this Elven magic?\What is going on?!\Where did they disappear to?!\What is happening?! response:	I am going to kill all of them tonight.
context: There's also something strange...\What?!\Sir. The soil underneath the toilet's subfloor was dug up and it's gone.\How the hell did that happen?! Is this Elven magic?\What is going on?!\Where did they disappear to?!\What is happening?!\I am going to kill all of them tonight. response:	I will take everyone's head.
context: What?!\Sir. The soil underneath the toilet's subfloor was dug up and it's gone.\How the hell did that happen?! Is this Elven magic?\What is going on?!\Where did they disappear to?!\What is happening?!\I am going to kill all of them tonight.\I will take everyone's head. response:	Altogether, we took twenty blades and sets of armor from the dead.
